player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Saquon Barkley,45791,HB,NYG,16,-0.4,7,78.1,33.3,2,6,0,9.5,6,10,21,0,51.8,88.3,77.1,75.3,55.0,3.7,18,1,41,16.9,82,484,0,57,78.5,380,4.1,20,80.3,73,0,3.7,18,338,443,7.8,5.9,0.89
Aaron Jones,11937,HB,GB,17,-0.2,8,81.9,100.0,3,3,0,9.2,6,19,12,2,57.2,37.4,86.1,50.6,64.6,5.7,21,0,30,10.8,40,371,0,59,85.2,316,11.6,43,112.7,72,5,12.9,48,395,482,8.2,6.7,1.25
Michael Gallup,26075,WR,DAL,14,12.2,1,54.2,42.1,8,19,0,9.3,4,25,9,0,56.9,77.9,62.8,,62.2,0.0,0,4,27,0.0,0,444,0,39,95.3,423,7.9,35,67.1,72,4,92.1,409,424,110,2.8,10.9,1.0
Chris Moore,10741,WR,HST,16,9.6,10,66.7,42.9,6,14,1,5.9,3,24,13,0,70.9,79.5,63.2,70.0,64.2,1.1,5,3,52,0.4,2,464,1,48,95.0,441,65.1,302,81.3,72,2,33.8,157,548,267,5.6,11.4,1.24
Alvin Kamara,11822,HB,NO,15,1.2,15,80.3,25.0,1,4,0,8.1,5,17,20,2,61.9,49.9,72.7,20.2,65.4,0.0,0,0,54,13.8,49,356,0,57,82.9,295,4.2,15,104.8,71,2,6.5,23,490,469,8.2,8.6,1.66
Darius Slayton,25578,WR,NYG,16,12.6,4,65.7,53.3,8,15,0,11.5,6,30,21,2,48.4,23.7,68.5,67.3,69.3,0.5,2,2,55,0.2,1,431,1,46,94.0,405,28.3,122,97.6,70,2,71.0,306,724,267,5.8,15.7,1.79
Joe Mixon,11803,HB,CIN,14,0.3,11,85.7,25.0,1,4,0,6.3,4,17,7,0,71.3,91.0,79.3,38.1,79.5,0.0,0,0,35,14.7,55,373,1,60,80.7,301,4.8,18,102.4,70,2,10.2,38,441,468,7.8,7.4,1.47
Russell Gage,44771,WR,TB,13,5.9,4,72.9,66.7,6,9,0,7.3,4,31,30,1,66.7,38.8,67.7,,66.9,0.0,0,0,23,0.0,0,390,0,51,94.9,370,35.6,139,112.0,70,5,64.4,251,426,177,3.5,8.4,1.15
Noah Brown,11993,WR,DAL,16,11.7,5,61.4,40.9,9,22,0,8.5,4,25,9,1,60.5,31.2,59.5,77.0,60.7,0.0,0,4,51,1.8,9,488,2,43,92.6,452,44.5,217,76.8,70,3,55.5,271,555,125,2.9,12.9,1.23
Cole Kmet,60995,TE,CHI,17,8.2,6,72.5,33.3,2,6,0,3.8,2,27,6,1,79.6,39.0,67.6,68.8,66.1,43.2,221,5,50,11.5,59,511,5,50,83.8,428,42.3,216,98.9,69,7,13.3,68,544,293,5.9,10.9,1.27
