player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Josh Kline,8230,G,TEN,14,99.7,1,31,70.4,75.8,65.6,1,18,470,99.6,99.4,97.3,4,22,3,926,0,1,0,929,513,516,924,0,413,0
Rick Wagner,7950,T,BLT,14,100.0,1,3,74.0,78.4,63.4,4,25,568,100.0,100.0,96.9,3,32,3,926,0,0,0,926,612,612,4,920,314,0
D.J. Humphries,9457,T,ARZ,13,100.0,1,1,68.3,61.8,75.6,7,30,553,100.0,100.0,95.0,6,46,9,922,0,0,171,922,599,599,0,750,323,0
Orlando Franklin,6198,G,SD,16,100.0,0,27,61.5,58.6,60.8,8,30,527,100.0,100.0,96.0,3,40,2,919,0,919,0,919,560,560,0,0,359,0
Duane Brown,4340,T,HST,14,99.9,0,13,86.2,82.8,79.1,5,27,500,99.8,99.8,96.6,1,33,1,917,0,0,915,918,543,544,0,0,374,3
Bobby Massie,7112,T,CHI,15,100.0,0,6,66.8,69.5,59.6,6,27,535,100.0,100.0,96.2,3,37,4,916,0,0,0,916,569,569,0,916,347,0
Rodger Saffold,5558,G,LA,15,100.0,1,26,72.6,75.2,69.6,3,21,535,100.0,100.0,97.4,4,26,2,916,0,780,81,916,570,570,0,55,346,0
Shawn Lauvao,5616,G,WAS,14,100.0,0,32,59.8,60.7,59.5,4,32,566,100.0,100.0,96.3,5,39,3,913,0,913,0,913,599,599,0,0,314,0
Brandon Linder,8728,C,JAX,14,100.0,0,15,81.8,83.6,78.3,2,9,569,100.0,100.0,98.7,2,13,2,909,909,0,0,909,611,611,0,0,298,0
Tyron Smith,6161,T,DAL,14,100.0,1,9,85.9,88.7,76.6,3,16,474,100.0,100.0,97.6,7,21,2,902,0,0,902,902,504,504,0,0,398,0
Marshal Yanda,3702,G,BLT,13,100.0,0,3,87.7,92.7,79.5,0,6,572,100.0,100.0,99.5,4,6,0,899,0,460,1,899,612,612,405,32,287,0
Greg Robinson,8637,T,LA,14,100.0,4,26,59.9,66.7,50.3,5,27,531,100.0,100.0,95.5,14,40,8,892,0,0,892,892,567,567,0,0,325,0
Riley Reiff,7029,T,DET,14,100.0,2,11,69.1,67.3,64.8,2,38,565,100.0,100.0,95.8,5,44,4,888,0,0,0,888,604,604,0,887,284,1
T.J. Clemmings,9543,T,MIN,14,100.0,2,18,46.9,41.2,57.8,14,35,539,100.0,100.0,93.8,11,58,9,882,0,0,663,882,567,567,0,210,315,9
