player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Bradley Pinion,9598,P,TB,15,56,56,4.43,38.86,42.46,7.7,0,0,8,17,30,63.9,24,65,8,0,37.5,162,21,56,248.04,2176,2,2378
Ty Long,9728,K,LAC,14,46,46,4.2,37.57,45.46,11.1,1,0,4,5,27,50.9,12,69,6,0,63.0,323,29,47,193.27,1728,2,2091
Jordan Berry,10236,P,MIN,17,78,78,4.12,41.35,46.46,8.7,1,0,10,15,18,57.0,28,64,11,0,50.0,339,39,79,321.1,3225,3,3624
Riley Dixon,10862,P,NYG,17,74,74,4.16,39.54,44.36,8.5,0,0,17,15,21,51.2,24,63,8,0,37.8,237,28,74,307.55,2926,6,3283
Lachlan Edwards,10869,P,CAR,10,38,38,4.07,41.61,47.92,8.7,1,0,2,9,5,55.3,9,62,2,0,60.5,200,23,39,154.73,1581,2,1821
Zane Gonzalez,11979,K,CAR,1,1,1,3.37,20.0,40.0,,0,0,0,0,5,60.0,0,40,0,0,0.0,0,0,1,3.37,20,1,40
Harrison Butker,11988,K,KC,1,1,1,3.21,31.0,31.0,,0,0,1,0,16,60.0,1,31,0,0,0.0,0,0,1,3.21,31,0,31
Younghoe Koo,12042,K,ATL,1,2,2,2.95,35.0,35.0,,0,0,1,0,2,57.5,0,45,1,0,0.0,0,0,2,5.89,70,0,70
Rigoberto Sanchez,12130,P,IND,17,59,59,4.23,39.66,44.53,9.5,0,0,8,15,14,70.6,26,79,7,0,47.5,267,28,59,249.86,2340,1,2627
Matt Haack,12212,P,BUF,15,52,52,4.06,38.35,42.88,5.6,1,0,9,11,4,49.9,18,63,8,0,32.7,96,17,53,210.9,1994,7,2230
Cameron Johnston,12255,P,HST,17,88,88,4.14,41.74,46.68,7.9,0,0,10,22,13,62.1,39,69,7,0,51.1,355,45,88,364.16,3673,4,4108
Tristan Vizcaino,13076,K,LAC,1,1,1,4.01,26.0,32.0,6.0,0,0,0,0,27,60.0,1,32,0,0,0.0,6,0,1,4.01,26,0,32
Johnny Townsend,22261,P,KC,4,13,13,3.96,36.77,42.77,11.6,0,0,0,5,16,46.7,3,63,2,0,38.5,58,5,13,51.44,478,1,556
Corey Bojorquez,27626,P,GB,17,53,53,4.29,39.98,46.55,12.8,0,0,7,12,12,62.4,22,82,9,0,39.6,268,21,53,227.18,2119,4,2467
Logan Cooke,29214,P,JAX,15,64,64,4.34,44.27,47.28,8.2,1,0,8,26,15,72.6,32,68,8,0,32.8,173,21,65,277.96,2833,1,3026
Ryan Winslow,30026,P,WAS,4,16,16,4.01,37.44,39.06,2.9,0,0,3,3,32,45.4,3,46,1,0,56.3,26,9,16,64.15,599,0,625
Tommy Townsend,33007,P,KC,15,37,37,4.34,43.84,47.19,4.0,0,0,5,9,16,48.4,20,68,4,0,43.2,64,16,37,160.75,1622,3,1746
Sterling Hofrichter,33541,P,TB,2,6,6,4.34,34.17,37.83,11.0,0,0,0,4,30,59.5,3,45,0,0,33.3,22,2,6,26.04,205,0,227
Joseph Charlton,33672,P,JAX,6,24,24,4.54,38.04,40.54,10.0,1,0,2,14,15,61.8,8,57,3,0,16.7,40,4,25,108.98,913,1,973
Jake Bailey,33963,P,NE,17,49,49,4.17,42.0,47.27,8.6,3,0,6,13,19,63.2,26,71,8,0,32.7,138,16,52,204.37,2058,6,2316
Matt Ammendola,34039,K,NYJ,1,6,6,3.98,42.5,48.5,12.0,0,0,0,1,22,56.0,2,65,2,0,50.0,36,3,6,23.88,255,0,291
Jack Fox,34735,P,DET,17,65,65,4.24,42.31,49.2,8.8,0,0,11,10,11,59.9,18,70,2,0,53.8,308,35,65,275.69,2750,7,3198
Michael Dickson,35381,P,SEA,17,83,83,4.2,41.7,46.93,7.3,0,0,13,22,29,65.9,43,68,6,0,38.6,234,32,83,348.7,3461,10,3895
AJ Cole,36038,P,LV,17,64,64,4.35,42.52,50.03,12.2,0,0,5,17,23,84.6,32,71,7,0,43.8,341,28,64,278.37,2721,7,3202
JK Scott,38809,P,JAX,1,4,4,4.74,39.75,39.75,,0,0,0,4,15,56.5,1,47,0,0,0.0,0,0,4,18.97,159,0,159
Corliss Waitman,39620,P,PIT,2,7,7,4.12,42.57,52.14,9.4,0,0,1,0,25,53.3,1,63,0,0,71.4,47,5,7,28.82,298,1,365
Mitch Wishnowsky,44663,P,SF,16,57,57,4.24,40.53,45.02,7.8,0,0,10,15,28,59.7,23,67,7,0,35.1,156,20,57,241.5,2310,5,2566
Braden Mann,44664,P,NYJ,10,41,41,4.33,41.56,45.73,9.4,1,0,9,6,22,57.1,15,63,9,0,39.0,151,16,42,177.5,1704,1,1875
Blake Gillikin,45045,P,NO,17,83,83,4.25,41.99,47.66,9.1,0,0,11,18,20,64.9,32,63,7,0,51.8,391,43,83,352.87,3485,4,3956
Cameron Nizialek,60273,P,PIT,4,18,18,4.09,39.78,45.39,8.7,0,0,3,3,25,53.6,7,62,3,0,38.9,61,7,18,73.59,716,2,817
Pressley Harvin III,62973,P,PIT,15,70,70,4.28,38.01,42.6,9.7,0,0,6,19,25,53.6,28,64,15,0,38.6,261,27,70,299.63,2661,3,2982
Jamie Gillan,63303,P,CLV,12,42,42,4.22,39.52,43.86,8.5,0,0,3,12,8,52.6,16,65,7,0,45.2,162,19,42,177.29,1660,1,1842
Arryn Siposs,82019,P,PHI,16,55,55,4.25,38.75,43.93,9.4,0,0,10,12,24,66.9,17,68,6,0,43.6,225,24,55,233.5,2131,3,2416
