player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ahmad Bradshaw,3866,HB,NYG,16,234,34,13,31.8,296,0,931,5,18,34,623,48.7,20,53,21,2,0,74.0,74.2,86.2,,78.1,69.6,71.1,47.0,37,0,381,50,242,263,0,0,61,284,10,931,623,2.66,4.0,1.57,0
Rashard Mendenhall,4337,HB,PIT,15,228,30,8,23.9,222,0,928,1,7,30,563,37.1,21,45,25,1,0,82.8,81.5,82.0,,76.0,65.3,79.5,61.1,68,0,154,18,162,245,0,0,24,246,9,928,563,2.47,4.1,0.95,0
Ryan Mathews,5537,HB,SD,14,222,30,17,35.2,384,0,1091,3,5,30,710,41.2,35,52,27,5,0,38.5,73.0,84.5,,62.4,79.4,69.0,58.3,39,0,455,50,229,242,0,0,58,272,6,1091,710,3.2,4.9,1.99,0
BenJarvus Green-Ellis,4599,HB,NE,19,219,19,5,10.0,81,0,807,2,3,19,447,19.4,16,50,19,0,0,90.9,74.0,83.7,,68.5,56.4,74.0,57.1,18,0,182,12,146,246,0,0,17,231,12,807,447,2.04,3.7,1.25,0
Reggie Bush,2947,HB,MIA,15,216,25,13,32.8,359,0,1096,2,10,25,546,34.2,35,40,17,5,0,48.2,62.6,54.7,55.5,34.7,64.3,65.0,58.9,76,1,296,43,252,254,0,0,52,259,6,1096,546,2.53,5.1,1.17,0
Adrian Peterson,3623,HB,MIN,12,208,33,9,30.3,294,0,970,1,2,33,650,48.4,27,49,18,2,0,81.1,83.7,47.1,,60.9,60.2,84.5,61.2,54,2,131,18,165,241,0,0,21,226,12,970,650,3.13,4.7,0.79,0
Matt Forte,4358,HB,CHI,12,203,38,18,47.2,471,0,997,1,11,38,545,51.6,29,40,6,2,0,70.1,85.1,54.6,60.0,61.8,82.9,83.1,58.1,46,1,490,52,256,216,0,0,71,255,3,997,545,2.68,4.9,1.91,0
Brandon Jacobs,2327,HB,NYG,18,189,23,6,17.1,126,0,736,2,5,23,506,36.0,17,41,21,4,0,52.4,73.6,81.0,,61.0,64.0,72.1,60.0,34,0,144,19,117,198,0,0,25,208,8,736,506,2.68,3.9,1.23,0
Ben Tate,5583,HB,HST,17,184,30,13,31.7,313,1,987,1,1,30,608,52.0,34,55,13,4,0,36.0,75.1,32.4,,68.2,59.6,75.0,56.8,56,1,98,13,108,198,0,0,18,197,5,987,608,3.3,5.4,0.91,0
LeGarrette Blount,5863,HB,TB,14,184,33,8,26.6,212,0,796,1,7,33,534,58.3,15,34,30,6,0,28.5,71.0,37.2,,66.2,40.6,74.1,58.4,54,2,148,15,116,204,0,0,23,199,5,796,534,2.9,4.3,1.28,0
Fred Jackson,3368,HB,BUF,10,170,33,15,45.6,426,0,934,0,10,33,637,77.1,23,39,4,3,0,65.7,82.6,57.0,,90.4,70.9,80.8,64.7,80,1,442,39,238,222,0,0,48,209,6,934,637,3.75,5.5,1.86,0
Daniel Thomas,6214,HB,MIA,13,165,11,4,13.6,79,0,581,0,4,11,320,16.4,12,25,17,2,0,60.4,55.7,82.4,60.0,84.0,67.3,51.0,58.5,28,0,72,12,98,185,0,0,14,177,0,581,320,1.94,3.5,0.73,0
DeMarco Murray,6223,HB,DAL,13,164,21,11,36.8,330,0,897,4,7,21,494,44.4,18,41,9,2,0,82.2,71.5,81.7,,67.3,58.5,71.8,57.3,91,0,183,26,148,175,0,0,34,190,2,897,494,3.01,5.5,1.24,0
Peyton Hillis,4541,HB,CLV,10,161,12,4,12.6,74,0,587,1,1,12,384,16.9,10,33,8,3,0,61.5,65.8,83.8,,63.2,56.5,67.0,58.0,24,0,130,22,200,176,0,0,30,183,3,587,384,2.39,3.6,0.65,0
DeAngelo Williams,2972,HB,CAR,16,155,18,14,48.2,410,0,845,3,2,18,450,34.0,19,32,5,0,0,90.3,69.3,45.5,,55.4,49.1,74.3,66.4,74,1,135,16,179,198,0,0,24,171,7,850,450,2.9,5.5,0.75,0
Thomas Jones,585,HB,KC,16,153,4,3,14.2,69,0,485,0,1,4,218,4.5,9,20,16,0,0,90.2,58.4,27.6,,80.3,56.4,57.6,58.8,26,1,43,5,68,176,0,0,7,158,0,485,218,1.42,3.2,0.63,0
Roy Helu,6257,HB,WAS,15,151,13,8,25.2,161,0,640,4,7,13,369,24.4,20,31,32,2,0,62.9,65.0,52.2,,84.8,50.6,67.2,61.7,28,1,379,49,276,166,0,0,56,200,2,640,369,2.44,4.2,1.37,0
Jackie Battle,3885,HB,KC,15,149,11,7,25.0,149,0,597,1,2,11,395,21.8,12,27,16,0,0,90.2,69.8,81.0,,78.0,60.0,66.7,67.4,34,0,68,9,72,162,0,0,11,158,2,597,395,2.65,4.0,0.94,0
Jonathan Stewart,4327,HB,CAR,16,142,31,11,31.9,247,0,775,5,20,31,420,79.8,27,47,5,1,0,77.0,81.0,86.9,,43.6,67.2,86.1,77.8,32,0,413,47,254,210,0,0,57,189,4,775,420,2.96,5.5,1.63,0
Ryan Grant,2609,HB,GB,16,142,14,5,20.9,124,0,594,3,6,14,352,30.2,13,28,12,2,0,57.5,65.9,40.0,,68.2,47.9,69.2,57.2,47,1,285,22,141,164,0,0,28,164,2,594,352,2.48,4.2,2.02,0
James Starks,5716,HB,GB,14,139,27,12,39.5,245,0,621,4,12,27,373,60.8,20,32,12,2,0,64.0,77.0,86.8,,76.7,59.0,79.1,58.9,40,0,240,33,209,157,0,0,40,172,1,621,373,2.68,4.5,1.15,0
Tim Tebow,5550,QB,DEN,16,135,13,6,18.6,131,0,391,0,0,8,161,14.3,25,40,10,14,0,29.0,49.5,3.4,49.6,72.2,58.2,55.5,60.4,32,8,0,0,2,491,315,40,1,95,7,706,403,2.99,5.2,0.0,0
Donald Brown,4950,HB,IND,13,134,16,8,36.4,235,0,645,1,2,16,415,37.2,16,26,14,0,0,90.0,68.8,38.9,,79.5,50.0,70.9,57.7,80,1,86,16,171,145,0,0,17,150,5,645,415,3.1,4.8,0.5,0
Isaac Redman,5233,HB,PIT,17,127,25,7,27.0,162,0,600,1,5,25,420,67.5,18,37,25,2,0,55.3,86.0,84.4,,67.9,63.9,87.6,56.1,32,0,99,20,131,162,0,0,22,147,3,600,420,3.31,4.7,0.76,0
Felix Jones,4336,HB,DAL,12,127,23,5,26.4,152,0,575,4,7,23,379,56.0,13,28,9,5,0,28.7,72.2,82.6,,73.4,52.1,73.7,59.8,40,0,231,33,134,139,0,0,41,160,1,575,379,2.98,4.5,1.72,0
Cam Newton,6153,QB,CAR,16,123,19,4,15.8,109,0,327,0,0,5,98,8.6,27,51,5,4,0,86.3,67.2,34.4,65.1,,89.5,68.4,62.0,49,5,27,1,2,399,365,48,1,76,14,692,297,2.41,5.6,13.5,0
Mark Ingram II,6180,HB,NO,10,122,11,3,15.2,72,0,474,0,3,11,251,21.7,9,31,20,1,0,70.5,69.1,18.6,,79.6,67.7,67.9,57.2,35,1,46,11,72,132,0,0,12,133,5,474,251,2.06,3.9,0.64,0
Kendall Hunter,6267,HB,SF,17,122,16,6,27.7,144,0,519,2,0,16,316,29.8,16,24,28,0,0,89.6,77.5,82.7,,42.9,67.3,79.6,60.0,44,0,208,17,131,131,0,0,23,139,2,519,316,2.59,4.3,1.59,0
Ricky Williams,440,HB,BLT,18,120,9,4,18.9,93,0,493,2,1,9,312,19.5,8,23,3,2,0,51.4,64.5,81.4,,53.0,58.8,65.3,58.5,28,0,83,13,85,139,0,0,17,133,2,493,312,2.6,4.1,0.98,0
Pierre Thomas,4080,HB,NO,18,119,24,8,26.0,165,0,634,3,20,24,365,76.7,16,31,20,2,0,59.0,88.0,41.9,,69.5,85.4,89.0,60.0,33,1,485,57,231,131,0,0,62,176,6,634,365,3.07,5.3,2.1,0
Mike Tolbert,4740,HB,SD,15,119,14,3,18.8,91,0,483,6,13,14,280,36.7,11,25,27,2,0,58.3,68.2,87.5,,61.7,59.7,70.4,73.9,40,0,433,54,272,143,0,0,70,173,8,483,280,2.35,4.1,1.59,0
Joseph Addai,2975,HB,IND,12,118,10,3,10.6,46,0,433,2,0,10,257,16.4,8,16,14,1,0,70.8,65.4,83.6,,67.1,51.9,67.1,57.7,16,0,93,15,142,133,0,0,21,133,1,433,257,2.18,3.7,0.65,0
Bernard Scott,5133,HB,CIN,17,118,13,4,19.5,78,0,399,3,0,13,272,22.4,9,23,7,0,0,89.6,62.1,80.9,56.6,41.5,37.0,68.7,60.0,25,0,67,16,78,125,0,0,20,134,3,399,272,2.31,3.4,0.86,0
Dexter McCluster,5561,HB,KC,16,114,14,6,25.6,132,0,516,4,3,14,244,22.7,15,28,16,2,0,55.3,68.9,85.5,,75.9,58.2,70.9,67.0,32,0,328,46,234,144,0,0,58,160,1,516,244,2.14,4.5,1.4,0
Marion Barber III,2326,HB,CHI,11,114,16,6,27.0,114,0,422,1,1,16,321,40.2,11,26,6,1,0,63.7,66.5,15.6,,63.9,62.4,66.3,60.0,29,1,50,5,48,118,0,0,8,119,6,422,321,2.82,3.7,1.04,0
Darren McFadden,4318,HB,OAK,7,113,10,10,49.0,301,0,614,0,3,10,325,28.3,16,23,23,2,0,70.2,78.7,27.2,,59.7,89.1,73.5,60.3,70,1,154,19,104,128,0,0,22,132,4,614,325,2.88,5.4,1.48,0
Lance Ball,4808,HB,DEN,18,113,13,4,21.2,98,0,463,4,3,13,242,26.4,12,26,10,2,0,56.0,62.9,86.4,,53.9,44.3,69.9,56.2,34,0,154,17,200,188,0,0,29,130,1,463,242,2.14,4.1,0.77,0
Toby Gerhart,5576,HB,MIN,16,109,23,5,28.8,153,0,531,1,4,23,324,60.8,16,24,18,1,0,75.7,77.0,83.5,,69.7,66.7,76.2,78.5,67,0,190,23,157,140,0,0,26,132,1,531,324,2.97,4.9,1.21,0
C.J. Spiller,5534,HB,BUF,16,107,9,11,48.6,292,0,601,4,6,9,313,30.1,15,26,4,2,0,71.9,75.9,55.9,,86.4,62.5,82.5,74.1,41,1,271,39,246,167,0,0,52,146,4,601,313,2.93,5.6,1.1,0
Chris Ivory,6007,HB,NO,8,101,13,3,17.8,79,0,444,0,0,13,278,35.4,10,26,20,0,0,87.8,76.3,77.1,,80.3,49.5,74.5,56.7,35,0,0,0,28,112,0,0,1,101,1,444,278,2.75,4.4,0.0,0
Delone Carter,6271,HB,IND,15,101,12,3,22.0,83,0,377,1,1,12,272,33.0,8,20,14,3,0,28.3,54.1,81.8,,49.3,43.5,57.7,59.1,42,0,18,5,90,111,0,0,7,106,2,377,272,2.69,3.7,0.2,0
Darren Sproles,2347,HB,NO,18,100,15,15,50.7,333,0,657,9,9,15,338,39.6,24,33,20,0,0,90.2,79.6,87.1,,20.9,73.7,90.6,59.2,36,0,863,105,433,117,0,0,130,205,4,657,338,3.38,6.6,1.99,0
Danny Woodhead,4914,HB,NE,18,94,10,0,0.0,0,0,412,1,6,10,199,29.0,8,21,19,0,0,88.5,62.0,87.0,,52.9,54.7,67.2,58.7,12,0,208,23,253,113,0,0,35,117,1,412,199,2.12,4.4,0.82,0
Stevan Ridley,6225,HB,NE,13,91,11,10,44.2,204,0,462,0,0,11,278,35.4,13,19,19,2,0,39.7,58.5,81.1,,79.9,37.8,64.9,56.8,33,0,17,4,66,120,0,0,5,95,1,462,278,3.05,5.1,0.26,0
Montario Hardesty,5584,HB,CLV,10,88,9,2,12.8,34,0,266,5,5,9,192,29.9,3,6,8,1,0,63.8,51.2,82.1,,45.3,44.8,55.8,49.0,19,0,122,14,116,101,0,0,20,102,0,266,192,2.18,3.0,1.05,0
Cadillac Williams,2222,HB,SL,11,87,7,3,15.2,55,0,361,3,0,7,230,18.3,9,19,26,2,0,64.5,65.0,82.8,,72.9,41.0,70.4,58.7,23,0,93,14,127,99,0,0,19,101,1,361,230,2.64,4.1,0.73,0
Jahvid Best,5555,HB,DET,6,84,10,4,42.3,165,0,390,4,6,10,200,34.3,9,16,11,0,0,87.4,69.2,85.8,,30.5,71.1,69.7,59.3,88,1,300,27,162,92,0,0,36,111,2,390,200,2.38,4.6,1.85,0
Tim Hightower,4463,HB,WAS,5,84,6,5,29.0,93,0,321,1,0,6,198,15.0,7,13,32,0,0,86.9,68.0,81.2,,86.5,59.8,65.5,60.5,22,0,78,10,79,95,0,0,13,94,1,321,198,2.36,3.8,0.99,0
Maurice Morris,1061,HB,DET,15,80,2,2,14.9,47,0,316,2,6,2,183,17.3,6,12,11,1,0,65.3,57.1,85.4,,76.2,58.3,54.0,58.7,31,0,230,26,187,88,0,0,33,106,1,316,183,2.29,4.0,1.23,0
Kahlil Bell,5243,HB,CHI,7,79,11,5,26.9,94,0,349,0,4,11,203,39.3,10,14,6,3,0,26.9,68.0,81.5,,72.6,67.6,65.5,57.7,26,0,133,19,100,83,0,0,22,98,1,349,203,2.57,4.4,1.33,0
Kevin Smith,4378,HB,DET,8,78,11,7,38.7,150,0,388,4,4,11,220,41.5,11,16,11,1,0,62.7,66.0,84.4,,85.0,39.2,73.4,59.7,43,1,199,24,180,90,0,0,32,102,4,388,220,2.82,5.0,1.11,0
Chris Ogbonnaya,5135,HB,CLV,13,76,6,3,29.4,100,0,340,1,4,6,185,24.8,7,13,8,2,0,37.4,54.2,84.4,,58.6,63.1,49.2,66.9,40,0,157,22,149,99,0,0,29,98,1,340,185,2.43,4.5,1.05,0
Michael Vick,773,QB,PHI,13,76,7,2,6.1,37,0,65,0,0,0,36,0.0,25,28,24,10,0,30.2,79.4,7.1,79.6,,,66.0,60.3,53,7,0,0,0,303,538,52,0,24,1,603,174,2.29,7.9,,0
LaDainian Tomlinson,777,HB,NYJ,14,75,6,2,12.5,35,0,280,5,6,6,145,19.8,5,15,22,0,0,87.4,63.9,84.7,60.0,76.8,61.8,61.5,60.7,20,0,449,42,237,86,0,0,57,117,1,280,145,1.93,3.7,1.89,0
Aaron Rodgers,2241,QB,GB,16,67,1,0,0.0,0,0,1,0,0,0,3,0.0,12,24,12,5,0,87.7,92.7,56.2,92.6,60.9,,59.7,60.0,25,3,0,0,0,313,322,49,0,18,3,323,103,1.54,4.8,,0
Deji Karim,5703,HB,JAX,12,63,4,0,0.0,0,0,130,2,2,4,89,11.0,2,9,15,0,0,85.1,57.2,81.2,,53.2,48.7,60.7,60.2,14,0,120,14,76,69,0,0,18,77,0,130,89,1.41,2.1,1.58,0
Colt McCoy,5609,QB,CLV,13,60,2,0,0.0,0,0,8,0,1,0,11,2.3,3,17,8,8,0,53.4,56.2,62.2,60.2,61.3,,35.4,60.3,20,3,3,2,0,309,205,39,2,23,0,213,97,1.62,3.6,,0
Ryan Torain,4453,HB,WAS,8,59,7,3,37.5,75,0,200,1,0,7,158,28.8,3,5,32,1,0,54.6,58.9,78.1,,81.5,35.7,63.5,59.3,39,0,23,6,57,71,0,0,9,65,1,200,158,2.68,3.4,0.4,0
Javon Ringer,5097,HB,TEN,12,59,9,1,13.5,25,0,185,1,10,9,100,37.0,6,7,31,1,0,59.5,65.4,82.9,,67.1,77.3,58.8,59.1,25,0,187,28,137,69,0,0,31,87,1,185,100,1.69,3.1,1.36,0
Keiland Williams,5794,HB,DET,13,58,6,2,17.4,34,0,195,0,0,6,126,19.7,6,10,11,2,0,28.4,56.5,80.4,,55.4,60.2,57.1,53.2,18,0,62,8,41,65,0,0,8,66,2,195,126,2.17,3.4,1.51,0
Jacquizz Rodgers,6297,HB,ATL,17,57,12,0,0.0,0,0,205,3,8,12,132,56.5,8,15,2,1,0,58.2,61.8,85.0,,75.5,52.4,63.3,61.9,13,1,206,25,190,84,0,0,30,82,1,205,132,2.32,3.6,1.08,0
Tashard Choice,4436,HB,BUF,13,57,4,0,0.0,0,0,152,3,1,4,115,13.3,3,10,4,3,0,24.8,47.3,83.3,,72.5,43.4,47.8,47.2,14,0,124,19,116,67,0,0,27,76,1,152,115,2.02,2.7,1.07,0
Alex Smith,2218,QB,SF,18,56,1,1,12.3,28,0,35,1,0,0,5,0.0,9,15,28,9,0,45.6,78.6,49.4,80.1,,,50.6,60.0,28,6,0,0,0,507,193,30,0,26,3,228,107,1.91,4.1,,0
Ryan Fitzpatrick,2467,QB,BUF,16,56,1,0,0.0,0,0,26,0,0,0,22,0.0,8,19,4,6,0,73.0,65.4,66.6,69.4,61.3,,30.8,61.5,18,2,0,0,0,356,185,27,0,29,0,211,59,1.05,3.8,,0
Evan Royster,6329,HB,WAS,6,56,8,5,31.1,102,0,328,0,1,8,189,46.7,7,17,32,0,0,84.1,73.0,79.8,,83.2,62.7,72.3,59.0,28,0,68,9,72,61,0,0,13,65,0,328,189,3.38,5.9,0.94,0
Josh Freeman,4940,QB,TB,15,55,4,0,0.0,0,0,-9,0,0,0,10,0.0,10,25,30,7,0,58.5,58.8,16.6,61.2,,58.4,47.1,60.0,25,6,-4,0,1,287,227,29,0,26,4,218,135,2.45,4.0,-4.0,0
Leon Washington,3062,HB,SEA,16,53,9,4,45.2,112,0,248,2,1,9,168,50.3,6,8,29,0,0,84.1,61.0,9.4,,83.3,49.5,63.8,57.4,48,2,48,10,64,64,0,0,14,63,1,248,168,3.17,4.7,0.75,0
Tom Brady,698,QB,NE,19,52,0,0,0.0,0,1,39,0,0,0,20,0.0,1,24,19,5,0,90.7,88.9,54.6,90.3,,,35.4,60.0,13,5,0,0,0,513,75,14,0,38,4,114,57,1.1,2.2,,0
Percy Harvin,4945,WR,MIN,16,52,5,6,48.1,166,0,345,7,10,5,118,24.5,13,16,18,2,0,68.3,86.5,49.1,,74.9,87.9,69.0,76.5,39,3,975,87,390,198,0,0,118,139,2,345,118,2.27,6.6,2.5,0
Danny Ware,4095,HB,NYG,20,50,5,2,18.5,32,0,173,1,7,5,132,40.1,4,7,21,0,0,57.6,66.5,87.5,,67.7,71.8,60.7,58.2,17,0,191,29,172,66,0,0,37,79,0,173,132,2.64,3.5,1.11,0
Blaine Gabbert,6162,QB,JAX,15,48,1,0,0.0,0,0,-5,0,0,0,5,0.0,3,8,15,11,0,26.3,31.2,77.0,37.4,,,26.7,60.4,12,3,0,0,0,411,104,22,0,26,0,99,25,0.52,2.1,,0
Justin Forsett,4547,HB,SEA,16,46,6,1,15.2,22,0,145,1,3,6,77,21.8,2,6,29,0,0,83.9,64.5,85.7,,61.6,67.4,62.8,58.3,22,0,128,23,155,57,0,0,30,69,1,145,77,1.67,3.2,0.83,0
Jason Snelling,3860,HB,ATL,16,46,7,1,11.4,18,0,158,2,12,7,97,54.1,4,8,2,0,0,84.2,62.7,85.9,,78.8,61.2,56.7,63.3,18,0,188,28,144,109,0,0,33,74,0,158,97,2.11,3.4,1.31,0
Joe Flacco,4332,QB,BLT,18,45,0,0,0.0,0,0,-11,0,0,0,6,0.0,4,14,3,12,0,46.4,65.3,31.9,68.3,,60.0,33.6,60.1,33,6,-8,1,1,517,118,13,1,33,1,107,15,0.33,2.4,-8.0,0
Derrick Ward,1949,HB,HST,5,45,10,1,9.7,15,0,154,0,0,10,96,47.4,2,11,13,0,0,82.2,73.8,74.9,,70.7,52.0,73.2,59.2,15,0,0,0,14,49,0,0,1,45,2,154,96,2.13,3.4,0.0,0
LaRod Stephens-Howling,5164,HB,ARZ,14,43,1,2,32.3,54,0,167,1,3,1,98,16.3,2,5,1,0,0,82.8,62.6,81.1,,82.8,82.2,51.4,59.0,39,0,234,13,68,49,0,0,16,56,0,167,98,2.28,3.9,3.44,0
Joe McKnight,5636,HB,NYJ,12,43,3,0,0.0,0,0,134,0,1,3,89,14.8,1,8,22,0,0,82.7,73.3,78.1,,79.1,81.5,66.4,60.2,11,0,139,13,53,50,0,0,16,56,0,134,89,2.07,3.1,2.62,0
Eli Manning,1722,QB,NYG,20,42,0,0,0.0,0,0,-37,0,0,0,-5,0.0,3,3,21,8,0,86.3,87.4,5.7,90.1,,,30.7,60.0,14,10,0,0,0,532,69,12,0,30,1,32,20,0.48,0.8,,0
Ronnie Brown,2219,HB,PHI,16,42,1,1,11.0,15,0,136,1,0,1,82,4.6,3,11,24,1,0,29.8,50.1,81.1,,51.3,38.4,56.5,58.0,15,1,0,0,52,60,0,0,2,42,1,136,82,1.95,3.2,0.0,0
Matt Ryan,4317,QB,ATL,17,40,0,0,0.0,0,0,-17,0,0,0,3,0.0,4,11,2,5,0,78.4,79.4,58.8,80.2,,,45.9,60.0,12,4,0,0,0,431,104,16,0,24,2,87,13,0.33,2.2,,0
Tarvaris Jackson,3009,QB,SEA,15,39,1,0,0.0,0,0,5,0,0,0,6,0.0,3,7,29,6,0,82.5,68.8,65.3,71.4,62.2,55.2,34.6,60.0,13,3,0,0,2,402,102,20,0,19,1,107,48,1.23,2.7,0.0,0
Andy Dalton,6187,QB,CIN,17,39,0,1,10.3,17,0,18,0,0,0,3,0.0,6,11,7,4,0,79.2,62.2,79.1,62.5,,60.0,49.6,60.0,17,1,0,0,1,439,147,24,1,15,1,165,43,1.1,4.2,0.0,0
Earnest Graham,1613,HB,TB,7,37,6,3,38.7,84,0,217,2,1,6,115,34.5,5,6,30,1,0,27.5,69.1,83.4,,85.5,55.9,72.8,56.9,34,0,163,26,106,50,0,0,30,63,0,217,115,3.11,5.9,1.54,0
Mark Sanchez,4928,QB,NYJ,16,37,0,0,0.0,0,0,-10,0,0,0,9,0.0,4,13,22,9,0,56.2,53.3,68.2,56.2,61.3,59.9,30.0,61.3,25,4,0,0,1,420,104,18,0,19,6,94,42,1.14,2.5,0.0,0
Knowshon Moreno,4935,HB,DEN,7,37,7,2,25.7,46,0,179,1,4,7,100,61.9,7,5,10,1,0,42.3,65.5,83.0,,45.1,60.3,70.4,58.7,24,0,101,11,89,53,0,0,14,48,0,179,100,2.7,4.8,1.13,0
Ben Roethlisberger,1732,QB,PIT,16,34,1,0,0.0,0,0,-5,0,0,0,1,0.0,1,6,25,8,0,63.8,75.5,57.7,75.8,70.7,,47.2,60.0,11,3,0,0,0,412,90,15,0,19,0,85,30,0.88,2.5,,0
Matt Moore,4018,QB,MIA,13,33,0,0,0.0,0,0,-9,0,0,0,0,0.0,3,5,17,14,0,26.1,71.7,74.6,76.1,61.3,60.0,28.9,60.2,16,1,0,0,0,361,69,12,0,21,2,60,34,1.03,1.8,,0
Anthony Dixon,5696,HB,SF,10,32,1,0,0.0,0,0,90,0,1,1,55,10.4,0,6,28,0,0,80.0,63.2,76.0,,75.3,62.5,62.3,56.9,9,0,6,1,4,46,0,0,1,33,2,90,55,1.72,2.8,1.5,0
John Kuhn,2686,FB,GB,17,31,1,0,0.0,0,0,80,3,2,1,56,11.5,1,9,12,1,0,38.7,55.6,86.1,,72.2,51.4,53.0,57.2,12,1,85,16,139,195,0,0,20,47,4,80,56,1.81,2.6,0.61,0
Kregg Lumpkin,4714,HB,TB,15,31,5,1,18.1,19,1,105,2,5,5,52,23.3,2,5,30,1,0,83.3,58.4,87.9,,35.2,69.8,58.1,69.6,19,1,291,41,197,50,0,0,48,72,0,105,52,1.68,3.4,1.48,0
Curtis Brinkley,5514,HB,SD,5,30,0,0,0.0,0,0,101,0,0,0,53,0.0,2,4,27,0,0,80.3,63.8,77.0,,77.7,78.5,58.6,59.3,12,0,41,7,23,36,0,0,7,37,1,101,53,1.77,3.4,1.78,0
