player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Johnathan Hankins,7830,DI,DAL,15,11,2,,0,0,9,0,0,65.4,53.6,34.9,62.0,52.4,50.2,0,4,0,0,,8.8,3,0,3,0.0,0,3,0,0,0,2,387,387,145,223,1,18,0,0,187,198,0,14,20,0,0,7,0,0,0,
Travis Kelce,7844,TE,KC,2,0,0,,3,0,16,0,0,60.6,60.7,64.6,,,,0,0,0,0,,,0,0,10,0.0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
Tyrann Mathieu,7850,S,NO,17,16,1,60.0,2,0,20,0,0,87.4,81.3,49.8,61.5,71.1,72.9,1,4,1,4,46,10.3,8,3,4,70.7,21,0,0,354,11,648,1096,78,0,0,78,0,565,1018,16,432,88,18,54,0,35,5,3,249,194,11.9
John Jenkins,7863,DI,LV,17,18,2,,0,0,23,1,1,59.1,61.2,87.3,66.7,55.6,63.0,1,13,0,0,,4.9,3,0,0,0.0,0,1,0,0,0,0,595,594,124,468,0,2,0,1,272,323,0,28,40,3,0,15,0,0,0,
Logan Ryan,7864,S,SF,6,9,0,72.7,0,1,28,0,0,60.9,61.6,81.1,55.4,61.6,52.0,0,0,0,0,21,16.7,5,0,1,123.9,8,0,0,73,3,175,268,5,0,0,5,0,95,263,4,89,92,3,16,1,11,0,2,57,38,7.1
Duron Harmon,7872,S,CLV,7,3,0,77.8,0,0,8,0,0,62.3,60.4,78.7,69.4,49.9,89.9,0,1,0,1,18,0.0,0,0,0,89.1,7,1,0,87,7,139,222,6,0,0,6,0,87,216,7,76,35,8,16,3,9,2,1,54,31,7.7
William Gholston,7908,DI,TB,17,4,0,,0,0,30,0,0,62.1,62.8,61.5,57.1,62.7,47.3,1,6,0,1,,9.5,2,0,1,0.0,0,0,0,0,0,0,286,286,3,148,30,105,0,0,137,149,0,11,15,0,0,7,0,0,0,
A.J. Klein,7930,LB,BUF,2,4,0,84.6,0,0,4,0,0,35.9,35.0,76.7,64.4,48.7,85.4,0,1,0,0,29,0.0,0,0,0,108.3,11,0,0,87,1,56,93,0,0,0,0,0,1,93,4,33,4,4,11,0,13,1,0,130,67,11.8
Micah Hyde,7941,S,BUF,16,10,1,78.1,0,0,4,0,0,69.8,66.2,88.5,60.4,50.2,62.6,1,2,0,2,32,12.1,8,2,0,121.1,25,0,0,227,11,574,912,15,0,0,15,0,460,897,19,319,199,8,48,1,32,3,4,314,80,12.6
Jordan Poyer,8000,S,BUF,18,31,0,73.3,0,2,4,0,0,69.5,67.2,49.8,54.1,65.7,79.3,1,5,0,0,33,7.4,9,5,2,102.9,33,1,0,487,10,664,1103,53,0,0,53,0,334,1050,44,395,218,28,82,1,45,7,1,349,136,10.6
Nick Williams,8006,DI,LAC,14,9,0,,0,0,27,2,0,81.3,59.7,86.1,63.5,51.0,39.8,0,9,0,0,,10.0,3,0,0,0.0,0,1,0,0,0,0,399,399,200,187,0,12,0,0,195,204,0,12,18,5,0,10,0,0,0,
Mike Purcell,8530,DI,DEN,16,11,3,100.0,1,0,10,1,0,45.2,49.8,58.8,57.8,50.4,28.8,5,3,0,0,5,18.2,6,0,2,87.5,1,0,0,2,0,6,463,459,369,89,0,1,0,4,208,249,0,12,16,1,1,8,0,5,-2,5.0
Jadeveon Clowney,8636,ED,BLT,19,12,4,100.0,0,2,3,1,0,62.6,82.9,65.9,79.0,74.6,46.7,10,57,0,0,10,20.0,9,0,3,102.1,2,11,0,4,0,22,747,743,0,1,724,18,0,4,545,180,0,28,24,4,2,78,0,17,-1,8.5
Khalil Mack,8640,ED,LAC,17,14,6,100.0,0,6,27,0,0,86.1,91.8,90.5,86.3,90.8,72.3,11,59,0,0,0,8.3,5,0,0,79.2,1,18,0,3,1,53,934,912,0,0,911,1,0,22,534,347,18,52,41,8,1,88,0,0,0,0.0
Anthony Barr,8644,LB,MIN,4,0,0,100.0,0,0,18,1,0,82.5,70.6,79.2,52.8,59.9,70.5,0,1,0,0,5,0.0,0,0,0,87.5,1,0,0,9,0,18,48,37,0,0,37,0,0,11,20,10,2,1,1,0,1,1,0,5,3,5.0
