player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Chad Henne,4371,QB,MIA,15,74.3,443,491,8.2,0.0,16,20,3.9,61.5,302,0,160,8.2,540,27,171,17,80.2,68.3,69.7,40.9,4,18,561,1,18.8,76.2,5.6,30,19,2,26,15,19,3.4,3298,6.7
Ben Roethlisberger,1732,QB,PIT,15,71.5,446,480,10.2,0.0,12,39,7.8,61.3,294,0,194,7.8,546,25,197,25,41.0,84.6,87.9,40.6,2,9,571,4,21.1,93.1,7.5,41,25,8,12,21,13,2.3,3822,8.0
Jay Cutler,2956,QB,CHI,17,69.2,438,474,9.7,0.0,14,30,5.9,59.5,282,0,233,6.9,565,21,192,6,38.4,66.5,65.8,64.4,4,17,601,6,24.5,86.4,10.1,57,34,0,18,25,35,5.8,3648,7.7
Josh Freeman,4940,QB,TB,16,72.0,436,474,9.7,0.0,6,34,6.8,61.4,291,0,222,7.3,544,23,188,30,69.9,78.3,77.0,67.3,10,6,568,5,12.6,95.9,5.1,28,42,0,22,25,14,2.5,3458,7.3
Donovan McNabb,438,QB,WAS,13,69.1,440,472,9.0,0.0,15,21,4.2,58.3,275,0,212,9.5,524,29,160,32,47.9,65.2,67.0,42.5,8,15,550,4,17.5,77.1,7.1,37,15,2,7,14,18,3.3,3377,7.2
Matt Cassel,2447,QB,KC,16,71.1,419,468,8.8,0.0,13,22,4.5,57.9,271,0,185,9.1,519,27,169,16,82.7,68.1,67.2,62.9,6,10,544,7,15.7,89.0,5.6,29,22,5,25,27,15,2.8,3186,6.8
Ryan Fitzpatrick,2467,QB,BUF,13,68.8,413,441,9.5,0.0,12,29,6.3,57.8,255,0,164,10.2,494,29,161,4,80.1,66.9,68.2,41.4,11,15,512,2,14.6,81.8,4.9,24,29,1,4,23,19,3.7,3000,6.8
Shaun Hill,1255,QB,DET,11,76.1,385,416,7.4,0.0,7,13,3.0,61.8,257,0,129,12.3,448,36,139,11,88.1,80.5,79.0,64.1,5,12,464,3,13.2,81.3,3.8,17,15,3,16,16,9,1.9,2686,6.5
Michael Vick,773,QB,PHI,13,75.9,373,408,9.6,0.0,11,26,6.1,62.0,253,1,207,10.6,508,30,170,24,53.1,79.9,74.3,84.2,9,7,531,4,17.9,98.4,7.3,37,63,3,12,22,12,2.3,3310,8.1
David Garrard,1109,QB,JAX,14,74.6,339,366,9.2,0.0,6,25,6.5,64.5,236,0,159,6.7,421,17,140,15,60.3,75.1,77.6,50.2,5,15,442,2,20.1,90.8,7.6,32,23,1,15,23,17,3.8,2734,7.5
Brett Favre,14,QB,MIN,13,69.7,343,358,8.8,0.0,4,15,3.9,60.6,217,0,129,9.2,383,22,117,18,48.5,59.5,64.1,27.7,5,19,409,9,17.1,69.9,5.7,22,3,0,6,11,15,3.7,2509,7.0
Alex Smith,2218,QB,SF,11,74.9,299,342,7.9,0.0,8,13,3.7,59.6,204,1,135,8.9,375,20,106,28,67.4,60.9,62.4,52.9,8,10,392,10,18.5,82.1,6.7,25,8,3,24,14,10,2.6,2370,6.9
Jason Campbell,2242,QB,OAK,13,72.1,301,329,9.4,0.01,11,20,5.6,59.0,194,0,154,10.6,387,23,117,23,39.4,67.2,68.2,49.6,3,8,421,3,21.4,84.5,8.5,33,25,3,11,13,12,2.9,2389,7.3
Derek Anderson,2430,QB,ARZ,12,62.6,310,327,10.2,0.0,7,13,3.8,51.7,169,0,137,12.9,355,25,100,1,72.5,48.2,49.6,54.0,4,10,369,5,18.2,65.9,7.0,25,3,0,6,7,15,4.1,2066,6.3
Jon Kitna,217,QB,DAL,10,76.3,299,318,7.2,0.0,10,16,4.8,65.7,209,0,88,8.3,356,19,123,9,43.3,60.3,64.7,32.6,2,12,374,2,23.9,88.9,5.9,21,17,1,6,16,5,1.3,2365,7.4
Jimmy Clausen,5573,QB,CAR,13,68.8,260,299,7.0,0.0,12,14,4.5,52.5,157,0,118,12.3,344,22,75,5,87.2,60.5,61.7,41.0,3,9,359,2,28.0,58.3,9.6,33,12,1,23,3,6,1.7,1556,5.2
Kerry Collins,115,QB,TEN,10,71.4,252,278,10.3,0.0,7,20,6.8,57.6,160,0,97,11.1,292,20,91,31,59.6,67.3,70.0,27.7,3,8,309,2,13.4,82.2,4.5,13,1,2,14,14,9,2.9,1823,6.6
Colt McCoy,5609,QB,CLV,8,73.9,207,222,9.0,0.0,3,11,4.7,60.8,135,0,78,11.8,261,18,87,8,83.6,75.0,72.6,66.6,0,9,272,1,29.5,74.5,8.8,23,16,1,11,6,9,3.3,1578,7.1
Tony Romo,1693,QB,DAL,6,77.3,203,213,7.7,0.0,3,13,5.8,69.5,148,1,67,5.7,223,9,76,9,90.3,92.0,90.9,76.2,3,7,235,3,10.4,95.0,3.1,7,3,0,4,11,4,1.7,1611,7.6
Kevin Kolb,3652,QB,PHI,6,74.1,170,189,8.8,0.0,7,8,4.0,60.8,115,0,69,8.7,211,11,63,24,48.3,53.9,52.1,64.7,0,7,225,1,23.2,75.8,7.6,16,6,3,9,7,14,6.2,1186,6.3
Bruce Gradkowski,3139,QB,OAK,6,64.6,144,157,9.5,0.0,3,8,4.8,52.9,83,0,61,10.8,172,10,51,23,45.4,57.2,59.4,48.3,4,7,182,3,16.4,66.3,5.8,10,5,0,6,5,6,3.3,1059,6.7
Vince Young,2948,QB,TEN,9,69.4,147,156,12.0,0.0,3,15,9.1,59.6,93,0,59,8.8,182,9,63,31,26.2,67.7,70.3,48.4,2,3,192,2,22.0,98.6,7.1,13,13,0,4,10,11,5.7,1255,8.0
Jake Delhomme,303,QB,CLV,5,73.0,137,149,7.9,0.0,2,5,3.2,62.4,93,0,45,7.0,156,7,36,8,55.1,53.3,59.5,28.8,2,7,164,2,13.3,63.4,3.8,6,1,1,7,2,8,4.9,872,5.9
Troy Smith,3790,QB,SF,6,65.2,135,145,10.8,0.0,4,21,13.7,50.3,73,0,75,17.0,178,15,50,28,28.4,71.2,76.1,37.7,3,4,186,2,24.0,77.8,10.1,18,15,0,3,5,5,2.7,1176,8.1
Matt Moore,4018,QB,CAR,6,70.2,131,143,9.6,0.0,4,5,3.4,55.2,79,0,55,14.1,161,13,48,5,29.2,49.6,49.6,54.3,2,10,165,0,23.6,55.6,8.1,13,5,1,5,5,12,7.3,857,6.0
Rex Grossman,1338,QB,WAS,4,72.3,112,133,7.6,0.0,6,11,7.8,55.6,74,0,53,8.6,144,7,42,32,29.8,64.7,67.7,43.7,2,4,152,3,17.0,81.2,6.3,9,2,1,12,7,8,5.3,884,6.6
John Skelton,5678,QB,ARZ,5,58.5,118,126,9.3,0.0,1,6,4.6,47.6,60,0,45,13.0,142,9,33,1,49.7,62.5,56.8,90.2,0,2,147,1,20.0,65.0,6.3,9,7,1,6,3,5,3.4,662,5.3
Drew Stanton,3659,QB,DET,6,68.8,112,119,7.0,0.0,0,6,4.8,58.0,69,0,43,10.4,132,8,42,11,50.6,58.3,56.7,61.6,3,3,137,1,14.0,78.4,4.5,6,7,2,2,4,6,4.4,780,6.6
Trent Edwards,3708,QB,JAX,4,72.7,88,101,5.8,0.0,3,2,1.9,54.5,55,0,53,14.1,122,9,28,15,87.0,51.4,55.3,42.2,3,5,129,1,20.8,54.9,9.0,11,10,0,7,2,3,2.3,521,5.2
Seneca Wallace,1422,QB,CLV,5,73.9,92,101,8.4,0.0,1,5,4.8,63.4,64,0,35,5.9,109,4,35,8,86.4,66.2,67.2,51.1,1,2,116,1,17.1,88.5,5.5,6,2,0,7,4,2,1.7,695,6.9
Charlie Whitehurst,3026,QB,SEA,5,67.0,91,99,7.0,0.0,1,3,2.9,57.6,57,0,33,6.6,114,4,25,29,87.0,56.3,59.2,47.0,1,3,121,0,15.2,65.5,4.4,5,10,0,6,2,3,2.5,507,5.1
Matthew Stafford,4924,QB,DET,3,67.0,91,96,7.5,0.0,2,4,3.7,59.4,57,0,25,6.6,102,4,28,11,85.9,81.8,78.8,70.9,0,1,114,0,16.0,91.3,3.9,4,2,0,3,6,1,0.9,535,5.6
Joe Webb III,5722,QB,MIN,4,68.6,86,89,8.8,0.0,2,4,4.4,60.7,54,0,37,8.5,112,5,34,18,60.2,49.1,46.4,66.1,0,3,116,1,21.6,61.1,7.1,8,15,0,1,0,5,4.3,480,5.4
Tim Tebow,5550,QB,DEN,4,63.5,74,82,12.8,0.0,0,13,15.3,50.0,41,0,41,12.8,99,6,35,10,87.8,73.7,71.6,67.0,2,3,103,0,14.6,82.4,6.1,6,11,1,5,5,4,3.9,660,8.0
Max Hall,5878,QB,ARZ,6,55.4,74,78,8.5,0.0,1,1,1.3,50.0,39,0,37,4.9,92,2,22,1,30.2,29.5,30.0,59.9,0,6,93,1,37.8,35.7,15.2,14,0,0,3,1,10,10.8,370,4.7
Matt Flynn,4523,QB,GB,4,73.8,61,65,8.4,0.0,0,5,7.1,61.5,40,0,24,11.1,77,5,22,12,84.2,55.8,55.1,58.3,0,2,83,0,29.2,83.7,9.1,7,5,0,4,3,4,4.8,433,6.7
Tyler Thigpen,3833,QB,MIA,4,65.6,61,62,10.7,0.0,1,6,9.4,53.2,33,0,28,17.5,76,7,22,17,84.1,68.7,65.2,71.1,0,2,78,0,28.6,73.0,10.5,8,6,0,0,2,0,0.0,435,7.0
Tarvaris Jackson,3009,QB,MIN,3,67.3,52,58,8.8,0.0,0,3,4.9,58.6,34,0,25,2.9,68,1,20,18,46.5,54.3,55.3,51.4,0,4,71,0,24.0,63.9,8.8,6,4,0,6,3,2,2.8,341,5.9
Charlie Batch,367,QB,PIT,3,69.6,46,49,12.1,0.0,1,5,9.3,59.2,29,0,22,9.4,55,3,14,25,25.6,52.5,57.8,37.0,1,3,61,1,18.2,76.2,7.3,4,2,1,0,3,3,4.9,352,7.2
Stephen McGee,5024,QB,DAL,2,65.0,40,44,5.2,0.0,1,2,4.3,50.0,22,0,21,15.4,59,4,14,9,40.1,58.4,56.0,65.8,0,0,61,1,14.3,81.4,5.1,3,12,1,2,2,3,4.9,238,5.4
Rusty Smith,5699,QB,TEN,2,59.0,39,40,9.7,0.0,1,3,7.0,50.0,20,0,9,13.0,41,3,7,31,79.6,41.1,41.7,,0,4,44,0,11.1,25.0,2.4,1,0,0,0,0,4,9.1,200,5.0
Todd Bouman,299,QB,JAX,1,64.5,31,34,8.3,0.0,0,3,8.1,52.9,18,0,12,10.0,36,2,12,15,79.1,49.6,51.0,52.9,0,2,39,0,8.3,68.5,2.8,1,1,0,3,2,4,10.3,222,6.5
Dennis Dixon,4470,QB,PIT,2,73.3,30,32,6.4,0.0,1,1,3.1,68.8,22,0,21,0.0,40,0,9,25,21.9,41.2,49.7,30.0,1,1,40,0,23.8,79.4,12.5,5,3,0,0,0,3,7.5,254,7.9
Todd Collins,131,QB,CHI,3,50.0,24,31,9.1,0.0,3,0,0.0,32.3,10,0,12,16.7,33,2,2,6,78.1,20.5,21.1,,3,5,34,0,16.7,1.9,6.1,2,0,0,1,0,7,20.6,68,2.2
Brian St. Pierre,1470,QB,CAR,1,75.0,24,28,7.4,0.0,1,1,3.4,46.4,13,0,9,27.8,31,5,3,5,77.7,54.8,54.3,,0,2,32,0,33.3,48.7,9.7,3,0,0,3,1,2,6.3,173,6.2
Richard Bartel,3884,QB,ARZ,1,69.2,26,28,6.6,0.0,1,1,3.4,57.1,16,0,5,11.1,30,2,7,1,77.6,45.3,46.0,,0,1,31,0,40.0,57.1,6.7,2,0,0,1,0,1,3.2,150,5.4
Caleb Hanie,4674,QB,CHI,3,86.4,22,27,7.5,0.0,0,1,3.6,66.7,18,0,14,5.3,30,1,9,6,77.8,63.6,64.0,56.3,1,2,31,1,14.3,71.2,6.7,2,1,0,4,1,2,6.5,208,7.7
Brian Brohm,4370,QB,BUF,1,50.0,22,23,9.9,0.0,1,0,0.0,43.5,10,0,12,9.1,26,1,5,4,76.3,57.4,56.9,,0,3,26,0,25.0,17.9,11.5,3,0,0,0,0,0,0.0,106,4.6
Luke McCown,1827,QB,JAX,1,66.7,18,19,10.6,0.0,1,0,0.0,57.9,11,0,1,8.3,20,1,6,15,75.4,38.5,41.4,55.7,0,0,21,0,0.0,76.6,0.0,0,1,0,0,0,1,4.8,120,6.3
Brodie Croyle,3030,QB,KC,2,50.0,18,19,12.9,0.0,1,0,0.0,42.1,8,0,9,11.1,23,1,2,16,76.3,56.2,56.0,,0,1,25,0,44.4,27.7,17.4,4,0,0,0,0,1,4.0,38,2.0
Josh Johnson,4474,QB,TB,6,100.0,16,16,6.6,0.0,0,0,0.0,87.5,14,0,6,12.5,20,2,6,30,76.3,65.7,67.1,57.6,0,0,22,0,33.3,95.6,10.0,2,2,0,0,0,0,0.0,111,6.9
Brian Hoyer,5277,QB,NE,3,66.7,15,15,10.7,0.0,0,1,6.7,46.7,7,0,4,30.0,16,3,7,19,77.2,60.6,63.6,53.5,0,1,16,1,0.0,69.3,0.0,0,1,0,0,1,1,6.3,122,8.1
David Carr,1009,QB,SF,1,54.5,11,13,11.5,0.0,0,0,0.0,38.5,5,0,2,16.7,14,1,3,28,73.2,28.5,28.8,,1,1,14,0,50.0,23.6,7.1,1,0,1,0,0,1,7.1,67,5.2
Mark Brunell,51,QB,NYJ,2,63.6,11,13,13.9,0.0,0,2,14.3,53.8,7,0,5,0.0,14,0,7,22,73.5,71.9,70.5,,1,1,15,0,20.0,92.0,7.1,1,0,0,1,2,1,6.7,117,9.0
Tony Pike,5727,QB,CAR,1,70.0,10,12,7.3,0.0,0,0,0.0,50.0,6,0,5,14.3,13,1,2,5,73.5,50.4,51.6,58.3,0,0,15,0,20.0,60.1,7.7,1,0,0,2,0,0,0.0,47,3.9
Byron Leftwich,1323,QB,PIT,1,85.7,7,7,4.3,0.0,0,0,0.0,71.4,5,0,3,16.7,9,1,3,25,70.9,53.6,53.2,,0,0,9,0,66.7,86.6,22.2,2,0,0,0,0,0,0.0,42,6.0
Chris Redman,635,QB,ATL,1,83.3,6,6,1.2,0.0,0,0,0.0,66.7,4,0,0,20.0,6,1,1,2,70.6,57.1,57.1,59.8,0,0,7,0,,71.5,0.0,0,0,0,0,0,0,0.0,20,3.3
Tyler Palko,4031,QB,KC,2,100.0,6,6,3.0,0.0,0,0,0.0,66.7,4,0,4,33.3,9,2,3,16,72.1,47.4,50.0,54.7,0,0,10,0,50.0,81.9,22.2,2,1,0,0,0,0,0.0,35,5.8
Kyle Boller,1335,QB,OAK,3,50.0,4,4,9.0,0.0,0,1,25.0,50.0,2,0,3,0.0,7,0,1,23,72.8,35.3,35.4,49.3,0,1,7,0,33.3,30.2,14.3,1,2,0,0,0,1,14.3,25,6.3
J. Levi Brown,5732,QB,BUF,1,66.7,3,3,18.7,0.0,0,0,0.0,66.7,2,0,0,0.0,3,0,1,4,65.5,54.4,54.7,,0,1,3,0,,51.4,0.0,0,0,0,0,0,1,33.3,24,8.0
Brad Smith,3048,WR,NYJ,3,66.7,3,3,15.0,0.0,0,0,0.0,66.7,2,0,2,0.0,3,0,1,22,43.5,57.8,64.0,70.7,0,0,3,0,0.0,109.7,0.0,0,0,0,0,1,0,0.0,6,2.0
Chase Daniel,5214,QB,NO,2,66.7,3,3,2.0,0.0,0,0,0.0,66.7,2,0,1,0.0,5,0,1,20,68.0,48.1,53.6,55.3,0,0,5,0,100.0,79.9,20.0,1,1,0,0,0,0,0.0,16,5.3
Joshua Cribbs,2544,WR,CLV,3,66.7,3,3,8.7,0.0,0,0,0.0,66.7,2,1,0,0.0,3,0,2,8,26.2,62.0,68.3,41.7,0,0,3,2,,84.0,0.0,0,0,0,0,0,0,0.0,19,6.3
Jordan Palmer,3821,QB,CIN,1,100.0,3,3,-1.3,0.0,0,0,0.0,100.0,3,0,2,0.0,5,0,1,7,68.0,58.4,58.4,,0,0,5,0,100.0,91.7,40.0,2,0,0,0,0,0,0.0,18,6.0
Chad Pennington,596,QB,MIA,1,100.0,1,2,5.0,0.0,0,0,0.0,50.0,1,0,1,0.0,2,0,1,17,63.6,58.5,58.6,,1,0,2,0,0.0,83.3,0.0,0,0,0,0,0,0,0.0,19,9.5
Steve Breaston,3758,WR,ARZ,2,50.0,2,2,24.5,0.0,0,1,50.0,50.0,1,0,1,0.0,2,0,1,1,79.7,65.5,75.9,63.5,0,0,2,4,0.0,79.2,0.0,0,0,0,0,0,0,0.0,17,8.5
Micheal Spurlock,3517,WR,TB,2,0.0,1,2,15.0,0.0,0,0,0.0,0.0,0,0,1,,2,0,0,30,74.5,64.6,53.4,,1,0,2,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Peyton Hillis,4541,HB,CLV,2,50.0,2,2,10.5,0.0,0,0,0.0,50.0,1,0,0,0.0,2,0,1,8,29.5,74.2,48.3,67.5,0,0,2,2,,70.8,0.0,0,0,0,0,0,1,50.0,13,6.5
Kellen Clemens,2994,QB,NYJ,1,100.0,1,2,3.0,0.0,0,0,0.0,50.0,1,0,1,0.0,3,0,2,22,67.4,73.8,67.9,65.7,0,0,3,0,0.0,56.3,0.0,0,1,0,1,0,0,0.0,6,3.0
Ronnie Brown,2219,HB,MIA,2,50.0,2,2,15.5,0.0,0,0,0.0,0.0,0,0,1,100.0,2,1,0,17,57.0,62.3,52.9,58.1,0,0,2,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Antwaan Randle El,1069,WR,PIT,3,100.0,2,2,25.0,0.0,0,0,0.0,100.0,2,0,0,0.0,2,0,2,25,76.6,62.8,69.9,63.4,0,0,3,0,,158.3,0.0,0,0,0,0,2,0,0.0,42,21.0
Michael Robinson,3045,FB,SEA,1,100.0,1,1,23.0,0.0,0,1,100.0,100.0,1,0,1,0.0,1,0,1,29,76.9,65.0,81.6,55.7,0,0,1,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,28,28.0
Stefan Logan,4909,WR,DET,1,0.0,1,1,9.0,0.0,0,0,0.0,0.0,0,0,1,,1,0,0,11,75.7,64.3,60.1,74.2,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Marion Barber III,2326,HB,DAL,1,,0,1,,0.0,0,0,0.0,0.0,0,0,1,,1,0,0,9,89.0,57.4,60.0,59.4,0,0,1,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Darren McFadden,4318,HB,OAK,1,0.0,1,1,33.0,0.0,0,0,0.0,0.0,0,0,1,,1,0,0,23,53.3,69.2,39.8,64.4,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,1,100.0,0,0.0
Patrick Crayton,1932,WR,SD,1,0.0,1,1,30.0,0.0,0,0,0.0,0.0,0,0,0,,1,0,0,27,76.5,79.3,54.7,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jahvid Best,5555,HB,DET,1,0.0,1,1,14.0,0.0,0,0,0.0,0.0,0,0,0,,1,0,0,11,80.5,60.3,55.2,60.5,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Earnest Graham,1613,FB,TB,1,100.0,1,1,6.0,0.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,30,30.1,55.7,67.9,55.6,0,0,1,0,,118.8,0.0,0,0,0,0,1,0,0.0,2,2.0
Brandon LaFell,5602,WR,CAR,1,,0,1,,0.0,0,0,0.0,0.0,0,0,1,,1,0,0,5,43.4,64.6,60.0,81.8,0,0,1,3,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Anquan Boldin,1369,WR,BLT,1,100.0,1,1,-11.0,0.0,0,0,0.0,100.0,1,1,1,0.0,1,0,0,3,49.8,71.7,58.8,50.7,0,0,1,4,0.0,79.2,0.0,0,0,0,0,0,0,0.0,-6,-6.0
Armanti Edwards,5613,WR,CAR,2,100.0,1,1,-3.0,0.0,0,0,0.0,100.0,1,0,0,0.0,2,0,0,5,63.6,52.3,60.4,65.9,0,0,2,0,,79.2,0.0,0,1,0,0,0,0,0.0,0,0.0
Brandon Marshall,3064,WR,MIA,1,0.0,1,1,41.0,0.0,0,0,0.0,0.0,0,1,0,,1,0,0,17,63.4,77.1,60.9,59.8,0,0,1,5,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Matt Forte,4358,HB,CHI,1,0.0,1,1,13.0,0.0,0,0,0.0,0.0,0,0,0,,1,0,0,6,72.0,74.4,26.1,71.7,0,1,1,1,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Chad Johnson,806,WR,CIN,1,0.0,1,1,38.0,0.0,0,0,0.0,0.0,0,0,0,,1,0,0,7,81.2,70.2,59.7,,0,0,1,3,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Maurice Jones-Drew,3005,HB,JAX,1,0.0,1,1,21.0,0.0,0,0,0.0,0.0,0,0,1,,1,0,0,15,68.8,72.1,42.6,68.5,0,1,1,0,0.0,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Billy Volek,768,QB,SD,1,100.0,1,1,1.0,0.0,0,0,0.0,100.0,1,0,1,0.0,1,0,1,27,71.2,57.9,60.4,56.4,0,0,1,0,0.0,100.0,0.0,0,0,0,0,0,0,0.0,8,8.0
Mohamed Massaquoi,4973,WR,CLV,1,100.0,1,1,35.0,0.0,0,1,100.0,100.0,1,1,0,0.0,1,0,1,8,29.6,62.3,82.2,67.0,0,0,1,3,,158.3,0.0,0,0,0,0,1,0,0.0,29,29.0
