player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Darrell Henderson,41193,HB,LA,12,149,19,8,20.5,141,0,688,3,4,19,371,32.2,20,39,26,0,41,90.3,68.7,89.5,,78.0,46.6,78.2,60.0,29,0,176,29,280,172,0,0,41,178,5,688,371,2.49,4.6,0.63,107
Michael Carter,57337,HB,NYJ,14,147,39,5,26.0,166,0,639,5,15,39,495,99.4,13,29,22,1,55,76.3,71.0,20.3,,42.7,58.9,77.3,60.3,55,2,325,36,220,170,0,0,50,183,4,639,495,3.37,4.3,1.48,89
Devontae Booker,10770,HB,NYG,16,145,12,6,22.1,131,0,593,3,6,12,374,25.1,14,31,21,0,84,90.3,65.0,54.8,,48.9,67.0,66.5,41.3,31,1,268,40,253,180,0,0,45,185,2,593,374,2.58,4.1,1.06,53
Darrel Williams,13014,HB,KC,17,144,10,2,7.2,40,0,558,1,11,10,316,24.1,13,41,16,0,52,90.3,67.2,89.9,,36.5,66.5,67.3,68.8,21,1,452,47,347,171,0,0,55,191,6,558,316,2.19,3.9,1.3,90
Jalen Hurts,40291,QB,PHI,15,140,18,4,10.6,83,0,368,0,0,11,173,23.5,29,56,24,9,18,69.3,80.8,77.8,73.4,,60.0,86.6,60.0,31,3,0,0,1,412,416,50,1,90,10,784,322,2.3,5.6,0.0,41
Mike Davis,9559,HB,ATL,17,138,23,3,10.3,52,1,503,3,21,23,357,62.5,11,21,2,4,35,29.5,56.1,88.6,,43.2,48.5,61.3,57.6,18,1,259,44,313,168,0,0,55,182,3,503,357,2.59,3.6,0.83,103
Miles Sanders,40555,HB,PHI,12,137,18,11,35.0,264,0,754,1,11,18,400,51.9,20,33,24,1,52,74.1,71.6,46.1,,46.0,65.7,73.3,64.3,38,1,158,26,195,180,0,0,32,163,0,754,400,2.92,5.5,0.81,84
Alexander Mattison,45817,HB,MIN,16,134,28,4,21.4,105,0,491,2,10,28,374,63.9,10,28,18,1,27,71.4,61.0,84.7,,54.6,61.3,61.5,41.8,48,0,228,32,196,148,0,0,38,166,3,491,374,2.79,3.7,1.16,105
Rhamondre Stevenson,98689,HB,NE,12,133,31,5,14.7,89,0,606,1,7,31,433,84.2,20,33,19,2,99,54.7,79.2,80.8,,47.6,51.2,80.9,54.8,21,0,123,14,80,161,0,0,17,147,5,606,433,3.26,4.6,1.54,23
Devonta Freeman,8738,HB,BLT,16,133,21,7,27.6,159,0,576,0,7,21,300,37.8,11,31,3,0,71,90.2,68.2,56.2,,52.8,59.1,74.5,45.6,32,1,190,34,282,182,0,0,38,167,5,576,300,2.26,4.3,0.67,55
Lamar Jackson,46416,QB,BLT,12,133,28,3,6.8,52,0,373,0,0,15,182,39.6,24,48,3,6,66,48.6,70.2,34.3,65.9,,,75.8,60.0,31,5,0,0,0,313,394,50,0,83,2,767,387,2.91,5.8,,1
D'Onta Foreman,11844,HB,TEN,9,133,21,5,21.6,122,1,566,1,3,21,386,49.1,11,22,31,2,37,72.3,68.3,21.3,,57.8,77.8,66.2,49.1,35,1,123,9,61,151,0,0,10,142,3,566,386,2.9,4.3,2.02,95
Tony Pollard,27126,HB,DAL,15,130,27,9,31.0,223,1,719,3,9,27,469,76.9,17,35,9,2,53,62.5,86.2,86.2,,45.6,65.5,90.3,74.8,58,1,337,39,168,157,0,0,44,169,2,719,469,3.61,5.5,2.01,68
Josh Allen,46601,QB,BUF,17,122,32,6,15.2,116,0,313,0,0,16,168,53.3,28,52,4,8,26,66.9,86.6,70.4,77.5,,89.8,92.3,60.3,34,4,0,0,2,387,450,51,0,71,6,763,410,3.36,6.3,0.0,12
Rex Burkhead,7971,HB,HST,16,122,17,3,17.8,76,0,427,0,1,17,330,33.1,7,30,13,1,78,72.3,65.4,86.2,60.0,45.3,75.7,60.6,70.5,36,0,186,25,189,131,0,0,31,147,3,427,330,2.7,3.5,0.98,39
Rashaad Penny,27414,HB,SEA,10,119,27,13,52.3,392,0,749,1,4,27,538,112.1,19,28,29,0,40,89.3,80.5,25.1,,71.0,49.5,83.7,60.2,62,1,48,6,98,133,0,0,7,125,6,749,538,4.52,6.3,0.49,78
Latavius Murray,7962,HB,BLT,14,119,12,4,22.2,111,1,501,2,0,12,381,29.8,9,37,3,0,60,89.3,65.5,43.3,,48.5,44.5,72.8,68.7,46,2,75,10,154,172,0,0,13,129,6,501,381,3.2,4.2,0.49,58
Clyde Edwards-Helaire,57279,HB,KC,10,119,15,3,9.3,48,0,517,0,4,15,284,32.9,9,21,16,2,28,51.9,64.3,10.1,,45.3,63.5,66.0,59.8,17,2,129,19,178,130,0,0,22,138,4,517,284,2.39,4.3,0.72,90
Chase Edmonds,45851,HB,ARZ,12,116,15,6,28.4,168,0,592,1,7,15,321,38.3,18,32,1,1,33,72.7,67.9,90.7,,50.9,61.0,73.5,44.9,54,0,311,43,253,158,0,0,51,159,2,592,321,2.77,5.1,1.23,73
Alex Collins,10805,HB,SEA,11,108,16,2,11.2,46,0,411,0,3,16,265,39.8,9,22,29,1,19,67.1,66.0,26.2,,69.0,50.1,70.6,42.8,25,1,87,9,107,120,0,0,9,117,2,411,265,2.45,3.8,0.81,88
Khalil Herbert,41668,HB,CHI,16,103,18,4,22.2,96,0,433,2,5,18,291,55.5,9,24,6,0,13,73.0,78.8,85.2,,61.5,54.6,84.4,63.9,29,1,96,14,141,126,0,0,16,117,2,433,291,2.83,4.2,0.68,86
Ronald Jones,34001,HB,TB,16,101,13,3,15.2,65,0,428,1,2,13,256,34.3,8,25,30,2,75,45.0,62.3,20.0,,12.4,55.3,67.6,60.0,30,1,64,10,92,109,0,0,12,111,4,428,256,2.53,4.2,0.7,23
D'Ernest Johnson,45734,HB,CLV,15,100,26,6,24.3,130,0,534,4,8,26,347,99.1,16,24,8,1,54,69.3,81.4,38.5,,80.1,42.7,90.6,61.0,30,1,137,19,152,124,0,0,24,119,3,534,347,3.47,5.3,0.9,38
Christian McCaffrey,11763,HB,CAR,7,99,16,6,21.3,94,0,442,0,8,16,297,52.9,15,19,5,1,45,70.4,80.6,84.7,,56.8,92.8,69.7,58.5,18,0,343,37,118,125,0,0,40,136,1,442,297,3.0,4.5,2.91,53
Zack Moss,40341,HB,BUF,13,96,18,1,4.9,17,0,345,2,5,18,225,45.3,5,22,4,2,38,46.4,67.3,86.0,,36.6,51.7,76.2,53.3,17,0,197,23,176,148,0,0,31,119,4,345,225,2.34,3.6,1.12,48
Phillip Lindsay,12660,HB,MIA,14,88,6,1,14.1,35,0,249,1,1,6,188,16.3,2,12,17,0,54,87.5,53.9,81.0,,36.5,52.7,56.6,44.5,35,0,45,4,42,100,0,0,5,92,1,249,188,2.14,2.8,1.07,32
Kyler Murray,38334,QB,ARZ,14,88,3,3,21.0,89,0,199,0,0,2,46,2.7,14,25,1,13,4,45.9,84.0,53.9,88.1,,,49.1,61.3,57,4,7,0,0,361,224,30,0,58,5,423,82,0.93,4.8,,28
Boston Scott,39462,HB,PHI,10,87,9,4,21.4,80,0,373,1,0,9,217,22.4,7,24,24,1,27,63.4,71.7,84.7,,58.2,62.3,72.2,59.8,23,0,83,13,83,121,0,0,15,100,7,373,217,2.49,4.3,1.0,59
Jordan Howard,10784,HB,PHI,7,86,14,5,22.4,91,0,406,1,0,14,270,49.9,9,25,24,0,17,86.5,75.3,82.8,,34.9,45.4,77.0,60.0,25,0,19,2,49,98,0,0,3,88,3,406,270,3.14,4.7,0.39,69
Tevin Coleman,9506,HB,NYJ,11,84,17,6,28.9,103,0,356,1,0,17,290,61.8,10,20,22,0,35,88.3,74.1,83.1,,59.0,59.9,75.0,52.7,20,0,49,11,58,99,0,0,14,95,0,356,290,3.45,4.2,0.84,47
Jeff Wilson Jr.,29413,HB,SF,9,79,7,2,11.2,33,0,294,0,0,7,223,23.0,6,19,28,1,19,60.0,60.9,24.9,,86.7,55.5,62.2,53.1,17,1,31,7,74,130,0,0,8,86,2,294,223,2.82,3.7,0.42,60
Kareem Hunt,11841,HB,CLV,8,78,21,5,29.3,113,0,386,1,4,21,269,86.2,12,22,8,0,46,87.2,74.4,83.9,,66.9,67.5,74.3,59.6,33,0,174,22,109,90,0,0,25,100,5,386,269,3.45,4.9,1.6,26
Trevor Lawrence,77632,QB,JAX,17,73,6,0,0.0,0,0,96,0,0,2,44,5.5,12,21,15,9,0,61.7,59.6,68.9,58.3,,,63.6,60.0,26,2,0,0,0,367,238,33,0,40,2,334,138,1.89,4.6,,25
Justin Fields,82118,QB,CHI,12,72,11,0,0.0,0,0,53,0,0,3,22,9.1,14,22,6,12,2,27.0,64.2,36.9,60.8,,,72.3,61.5,23,4,0,0,0,256,367,45,0,27,2,420,268,3.72,5.8,,15
Carlos Hyde,8692,HB,JAX,12,72,11,2,13.0,33,1,253,2,1,11,174,34.5,4,14,15,2,30,32.9,53.8,87.1,,45.7,41.9,61.0,47.4,18,1,65,12,159,90,0,0,17,84,1,253,174,2.42,3.5,0.41,37
Duke Johnson Jr.,9510,HB,MIA,5,71,12,2,13.0,43,0,330,1,2,12,233,61.3,11,18,17,0,54,85.6,72.1,81.0,,85.6,53.2,73.7,41.4,27,0,41,4,55,82,0,0,5,75,3,330,233,3.28,4.6,0.75,16
Taysom Hill,12112,QB,NO,12,70,15,2,17.9,67,0,256,0,1,12,185,76.8,7,26,20,2,43,72.5,75.0,65.2,59.6,16.9,61.8,91.9,60.8,44,3,52,4,52,208,118,16,6,58,5,374,289,4.13,5.3,1.0,4
Kenneth Gainwell,77737,HB,PHI,16,68,13,2,12.4,36,0,291,5,2,13,199,43.5,7,19,24,1,18,42.1,70.7,88.3,,76.2,73.6,68.7,43.1,18,0,253,33,182,88,0,0,45,101,5,291,199,2.93,4.3,1.39,49
Justin Jackson,29539,HB,LAC,13,68,4,5,39.6,144,1,364,2,5,4,242,35.6,7,18,27,1,27,60.3,63.1,21.5,,23.4,64.5,66.9,60.0,75,2,178,22,124,78,0,0,24,90,2,364,242,3.56,5.4,1.44,41
Jaret Patterson,77745,HB,WAS,15,68,11,0,0.0,0,0,266,0,0,11,177,36.7,6,15,32,1,18,56.9,62.4,82.0,,51.2,73.3,59.6,60.0,13,0,73,10,56,74,0,0,11,78,2,266,177,2.6,3.9,1.3,50
David Johnson,9519,HB,HST,13,67,7,1,6.6,15,0,228,1,6,7,163,31.9,3,7,13,1,34,61.9,60.4,87.2,,34.4,70.6,56.3,54.9,15,0,225,32,176,80,0,0,39,99,0,228,163,2.43,3.4,1.28,28
Patrick Mahomes,11765,QB,KC,17,66,2,0,0.0,0,0,-23,0,0,0,0,0.0,18,25,16,9,2,44.3,77.1,70.5,73.2,,,81.5,60.3,32,5,0,0,0,376,404,48,0,18,2,381,111,1.68,5.8,,0
Justin Herbert,28237,QB,LAC,17,63,3,1,5.6,17,0,23,0,0,0,14,0.0,12,28,27,1,1,92.6,90.0,90.5,85.8,,90.8,79.1,60.0,36,2,0,0,1,395,279,36,0,27,3,302,140,2.22,4.8,0.0,3
Kenyan Drake,10707,HB,LV,12,63,10,2,15.4,39,0,254,1,9,10,162,52.5,5,15,23,0,21,64.3,73.1,84.8,,51.4,82.0,69.7,39.8,21,0,291,30,170,76,0,0,36,93,2,254,162,2.57,4.0,1.71,41
Daniel Jones,39395,QB,NYG,11,62,6,2,20.5,61,0,149,0,0,4,61,15.6,8,16,21,7,5,51.1,71.1,72.2,70.6,72.2,92.6,57.4,60.2,46,3,16,1,4,229,149,23,1,40,2,298,97,1.56,4.8,4.0,14
Ty Johnson,45769,HB,NYJ,16,61,8,3,26.5,63,0,238,9,8,8,131,36.2,7,13,22,1,24,37.9,56.0,88.9,,38.1,50.5,62.8,53.9,24,0,372,34,256,84,0,0,53,95,2,238,131,2.15,3.9,1.45,35
Taylor Heinicke,9896,QB,WAS,16,60,4,0,0.0,0,0,27,0,0,0,9,0.0,12,20,32,7,0,61.8,59.4,56.4,58.9,,,59.3,60.0,38,4,-2,1,0,403,286,42,1,19,1,313,120,2.0,5.2,,4
Deebo Samuel,48274,WR,SF,16,59,20,6,43.3,158,0,365,12,20,20,278,138.6,13,20,28,4,33,29.3,87.2,77.6,62.3,69.7,84.7,82.0,55.3,49,1,1405,77,471,326,0,0,114,136,8,365,278,4.71,6.2,2.98,23
Carson Wentz,10636,QB,IND,17,57,7,0,0.0,0,0,26,0,0,0,11,0.0,8,21,14,8,2,46.4,70.9,69.2,67.9,,,73.6,60.4,18,4,0,0,0,467,189,27,0,30,1,215,128,2.25,3.8,,4
Dontrell Hilliard,45691,HB,TEN,7,56,12,6,48.9,171,0,350,3,1,12,193,59.7,11,15,31,2,20,30.9,57.9,83.4,,31.7,37.5,69.2,58.1,68,0,87,19,109,69,0,0,25,75,2,350,193,3.45,6.3,0.8,31
Royce Freeman,45747,HB,HST,13,56,6,0,0.0,0,0,169,1,1,6,142,26.9,2,8,13,0,30,84.4,58.0,83.8,,58.9,49.3,63.4,41.3,13,0,77,10,115,65,0,0,14,66,0,169,142,2.54,3.0,0.67,25
Nyheim Hines,48103,HB,IND,17,56,14,3,28.3,78,0,276,2,8,14,155,63.4,6,15,14,1,20,73.0,72.7,87.7,,47.1,74.3,71.8,57.0,34,0,310,40,204,93,0,0,53,96,2,276,155,2.77,4.9,1.52,29
Samaje Perine,11869,HB,CIN,15,55,8,3,34.6,85,1,246,2,2,8,221,49.0,7,11,7,0,16,85.1,62.2,31.7,,28.3,64.6,67.4,42.0,46,1,196,27,164,67,0,0,31,82,1,246,221,4.02,4.5,1.2,35
Craig Reynolds,94383,HB,DET,5,55,12,3,33.9,78,0,230,0,2,12,213,87.4,4,11,11,0,31,83.9,76.5,79.5,,58.3,67.9,75.6,60.2,35,0,52,7,48,63,0,0,8,62,0,230,213,3.87,4.2,1.08,23
Ryan Tannehill,7014,QB,TEN,17,55,6,0,0.0,0,0,69,0,0,1,27,2.2,11,32,31,11,2,56.7,83.5,60.9,81.0,60.9,57.6,74.1,60.6,28,5,0,0,2,533,201,20,0,35,7,270,108,1.96,4.9,0.0,11
Peyton Barber,10927,HB,LV,9,55,11,3,30.7,65,0,212,1,2,11,194,70.5,6,12,23,2,26,28.3,68.6,79.2,,85.8,65.3,66.6,60.0,27,0,67,10,44,65,0,0,13,65,2,212,194,3.53,3.9,1.52,29
Salvon Ahmed,57472,HB,MIA,12,54,4,1,10.7,16,0,149,2,3,4,108,21.2,3,8,17,0,17,84.0,56.6,84.2,,43.3,63.5,56.6,37.5,16,0,117,12,87,62,0,0,18,66,0,149,108,2.0,2.8,1.34,34
Tony Jones Jr.,40498,HB,NO,10,54,5,0,0.0,0,0,142,0,0,5,109,17.1,1,7,20,0,17,83.9,63.9,79.5,,88.9,58.0,62.5,60.8,11,0,29,5,50,65,0,0,7,59,0,142,109,2.02,2.6,0.58,36
Chris Carson,12004,HB,SEA,4,54,10,2,27.2,63,0,232,0,6,10,165,81.5,2,11,29,1,21,49.1,70.7,2.5,,35.0,58.1,75.0,59.4,33,1,29,6,55,61,0,0,6,60,3,232,165,3.06,4.3,0.53,31
Ameer Abdullah,9487,HB,CAR,15,51,10,2,18.1,30,0,166,2,10,10,117,51.6,3,8,5,0,17,88.9,62.4,89.5,,31.7,73.9,56.7,71.2,15,0,289,38,193,81,0,0,48,89,0,166,117,2.29,3.3,1.5,34
Derrick Gore,32342,HB,KC,9,51,4,2,28.9,74,0,256,0,3,4,173,40.2,5,12,16,0,24,83.5,77.1,82.1,,75.2,76.5,73.2,58.9,51,0,105,8,46,63,0,0,9,59,2,256,173,3.39,5.0,2.28,27
Sam Darnold,29048,QB,CAR,12,49,2,0,0.0,0,0,28,0,0,0,8,0.0,8,21,5,9,1,33.2,54.7,31.9,53.9,,60.0,63.6,60.3,30,6,0,0,1,284,187,23,0,26,5,215,90,1.84,4.4,0.0,4
Dak Prescott,10769,QB,DAL,16,48,4,0,0.0,0,0,3,0,0,0,9,0.0,6,7,9,14,1,39.6,83.8,79.8,84.7,,55.2,43.2,60.4,21,2,0,0,2,404,143,21,0,27,1,146,145,3.02,3.0,0.0,5
J.D. McKissic,11047,HB,WAS,11,48,1,1,7.1,15,1,212,2,5,1,97,13.3,6,14,32,0,15,85.1,69.5,44.2,,66.3,76.2,63.2,58.3,15,2,397,43,219,80,0,0,51,91,2,212,97,2.02,4.4,1.81,33
Cam Newton,6153,QB,CAR,8,47,8,2,24.8,57,0,194,0,0,7,111,44.0,8,19,5,4,21,72.0,53.3,9.0,46.5,,,73.8,60.3,33,2,0,0,0,105,36,5,0,42,5,230,160,3.4,4.9,,13
Tyler Huntley,46448,QB,BLT,7,47,5,1,5.1,15,0,91,0,0,3,42,26.0,13,22,3,4,16,49.0,68.3,33.0,62.0,,,82.3,60.0,21,4,0,0,0,128,203,25,0,22,2,294,121,2.57,6.3,,0
Brandon Bolden,7469,HB,NE,16,44,14,6,49.6,112,0,226,2,10,14,181,116.1,10,12,19,1,34,58.6,77.4,86.4,,58.9,84.2,77.5,60.3,24,1,405,41,209,63,0,0,48,85,1,226,181,4.11,5.1,1.94,6
Mac Jones,60323,QB,NE,17,44,1,0,0.0,0,0,23,0,0,1,12,1.4,5,22,19,7,2,75.6,78.9,24.7,77.4,72.6,58.9,71.0,60.4,13,6,0,0,1,459,106,15,0,29,0,129,82,1.86,2.9,0.0,1
Dare Ogunbowale,12329,HB,JAX,12,43,2,0,0.0,0,0,137,3,1,2,82,10.2,1,5,15,0,18,82.8,45.2,85.4,,17.8,43.4,54.3,59.5,12,0,114,13,107,54,0,0,19,56,1,137,82,1.91,3.2,1.07,25
Jeremy McNichols,11917,HB,TEN,14,41,6,0,0.0,0,1,156,1,5,6,105,40.8,5,6,31,0,18,83.9,60.4,86.6,,27.7,73.8,59.0,60.0,14,1,240,28,149,53,0,0,34,69,0,156,105,2.56,3.8,1.61,19
Russell Wilson,7077,QB,SEA,14,41,2,0,0.0,0,0,7,0,0,0,4,0.0,9,17,29,6,3,70.8,73.9,60.8,70.7,,,76.1,60.1,17,2,0,0,0,302,179,24,0,17,2,186,72,1.76,4.5,,2
Trey Sermon,57372,HB,SF,5,41,8,2,18.6,31,0,167,1,0,8,119,52.8,3,9,28,0,18,81.9,64.6,80.3,,39.6,44.0,71.1,53.7,16,0,26,3,41,55,0,0,4,44,1,167,119,2.9,4.1,0.63,22
Tua Tagovailoa,60326,QB,MIA,13,41,1,0,0.0,0,0,-2,0,0,0,2,0.0,2,12,17,9,2,30.0,68.3,88.8,67.3,,55.4,60.1,61.8,23,3,0,0,2,314,130,20,0,21,3,128,67,1.63,3.1,0.0,0
Derek Carr,8671,QB,LV,17,40,0,0,0.0,0,0,0,0,0,0,3,0.0,2,9,23,13,0,54.1,76.3,48.8,76.6,,59.3,52.0,61.4,22,5,0,0,1,398,108,18,0,22,0,108,17,0.43,2.7,0.0,2
Damien Williams,9205,HB,CHI,12,40,7,1,14.0,23,0,164,1,7,7,97,60.6,4,11,6,0,8,82.5,71.4,86.6,,72.6,63.9,73.7,58.3,23,0,103,16,97,48,0,0,22,56,2,164,97,2.43,4.1,1.06,28
