player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Dan Bailey,6796,K,MIN,13,0,2,1,50.0,9,4,44.4,18,50.7,0,0,,31,30,96.8,0,11,11,100.0,28,21,75.0,6,5,83.3
Kai Forbath,6860,K,JAX,3,0,1,0,0.0,1,1,100.0,15,54.7,0,0,,3,3,100.0,0,1,1,100.0,5,4,80.0,2,2,100.0
Randy Bullock,7154,K,CIN,16,0,5,2,40.0,6,6,100.0,7,65.5,0,0,,41,39,95.1,0,8,7,87.5,23,19,82.6,4,4,100.0
Greg Zuerlein,7163,K,LA,11,0,6,4,66.7,6,4,66.7,26,71.1,0,0,,36,35,97.2,0,10,10,100.0,31,27,87.1,9,9,100.0
Johnny Hekker,7252,P,LA,1,0,0,0,,0,0,,26,61.5,0,0,,1,1,100.0,0,0,0,,1,1,100.0,1,1,100.0
Giorgio Tavecchio,7278,K,ATL,3,0,2,2,100.0,2,2,100.0,2,79.0,0,0,,8,8,100.0,0,0,0,,5,5,100.0,1,1,100.0
Justin Tucker,7604,K,BLT,16,0,7,5,71.4,11,9,81.8,3,85.3,0,0,,37,36,97.3,0,9,9,100.0,39,35,89.7,12,12,100.0
Caleb Sturgis,7948,K,LAC,6,0,1,0,0.0,6,3,50.0,27,26.2,0,0,,15,9,60.0,0,2,2,100.0,13,9,69.2,4,4,100.0
Dustin Hopkins,7958,K,WAS,14,0,5,4,80.0,12,10,83.3,32,81.1,0,0,,26,25,96.2,0,7,7,100.0,29,26,89.7,5,5,100.0
Brandon McManus,8437,K,DEN,16,0,7,2,28.6,7,7,100.0,10,71.3,0,0,,35,35,100.0,0,6,6,100.0,25,20,80.0,5,5,100.0
Brett Maher,8585,K,DAL,16,0,7,6,85.7,11,7,63.6,9,76.6,0,0,,33,32,97.0,0,8,6,75.0,36,29,80.6,10,10,100.0
Cairo Santos,8932,K,TB,9,0,1,0,0.0,6,3,50.0,30,51.3,1,1,100.0,23,22,95.7,0,6,6,100.0,18,14,77.8,4,4,100.0
Chris Boswell,8990,K,PIT,15,0,1,1,100.0,10,5,50.0,25,30.6,0,0,,48,43,89.6,0,6,4,66.7,20,13,65.0,3,3,100.0
Cody Parkey,9030,K,CHI,16,0,2,1,50.0,12,9,75.0,6,42.2,0,0,,45,42,93.3,0,10,7,70.0,30,23,76.7,6,6,100.0
Chandler Catanzaro,9140,K,CAR,13,0,3,3,100.0,3,0,0.0,5,38.0,0,0,,35,30,85.7,0,10,9,90.0,20,16,80.0,4,4,100.0
Josh Lambo,10133,K,JAX,13,0,5,4,80.0,4,3,75.0,15,78.7,0,0,,20,19,95.0,0,8,8,100.0,21,19,90.5,4,4,100.0
Jason Myers,10207,K,NYJ,16,0,7,6,85.7,11,10,90.9,22,73.0,0,0,,33,30,90.9,0,14,13,92.9,36,33,91.7,4,4,100.0
Wil Lutz,11096,K,NO,16,0,3,2,66.7,12,11,91.7,20,86.4,1,1,100.0,53,52,98.1,0,9,9,100.0,30,28,93.3,5,5,100.0
Ka'imi Fairbairn,11161,K,HST,16,0,6,4,66.7,15,12,80.0,13,68.2,1,1,100.0,41,39,95.1,0,11,11,100.0,42,37,88.1,9,9,100.0
Aldrick Rosas,11331,K,NYG,15,0,5,4,80.0,6,6,100.0,21,88.7,0,0,,32,31,96.9,0,13,13,100.0,33,32,97.0,9,9,100.0
Sam Ficken,11437,K,LA,2,0,0,0,,1,0,0.0,26,43.5,0,0,,10,10,100.0,0,1,1,100.0,3,1,33.3,1,0,0.0
Jake Elliott,11908,K,PHI,16,0,5,2,40.0,8,7,87.5,24,66.5,0,0,,35,33,94.3,0,11,10,90.9,31,26,83.9,7,7,100.0
Zane Gonzalez,11979,K,ARZ,7,0,5,2,40.0,4,2,50.0,1,31.6,0,0,,11,8,72.7,0,4,4,100.0,14,9,64.3,1,1,100.0
Harrison Butker,11988,K,KC,16,0,4,2,50.0,7,6,85.7,16,67.2,0,0,,69,65,94.2,0,7,7,100.0,27,24,88.9,9,9,100.0
Greg Joseph,22842,K,CLV,14,0,2,1,50.0,7,5,71.4,8,42.0,0,0,,29,25,86.2,0,7,7,100.0,20,17,85.0,4,4,100.0
Daniel Carlson,28121,K,OAK,12,0,3,3,100.0,12,9,75.0,23,64.7,0,0,,24,24,100.0,0,4,3,75.0,21,17,81.0,2,2,100.0
Matt McCrane,28749,K,PIT,5,0,2,0,0.0,5,3,60.0,25,47.5,0,0,,9,9,100.0,0,2,2,100.0,12,8,66.7,3,3,100.0
Jason Sanders,29578,K,MIA,16,0,1,1,100.0,9,7,77.8,17,73.0,0,0,,36,35,97.2,0,3,3,100.0,20,18,90.0,7,7,100.0
Michael Badgley,39417,K,LAC,10,0,2,1,50.0,5,5,100.0,27,67.1,0,0,,28,27,96.4,0,5,5,100.0,16,15,93.8,4,4,100.0
