player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Matt Haack,12212,P,MIA,16,68,68,4.43,39.75,44.71,12.4,0,0,15,22,17,66.3,30,63,5,0,35.3,297,24,68,301.43,2703,2,3040
Cameron Johnston,12255,P,PHI,16,71,71,4.33,41.18,46.73,6.7,1,0,5,13,24,63.0,29,66,6,0,57.7,274,41,72,307.08,2924,6,3318
Johnny Townsend,22261,P,BLT,1,2,2,4.25,37.0,50.0,13.0,0,0,0,0,3,60.2,0,55,0,0,100.0,26,2,2,8.49,74,0,100
Corey Bojorquez,27626,P,BUF,15,41,41,4.45,44.0,50.78,8.6,0,0,4,6,4,70.1,19,72,8,0,39.0,138,16,41,182.36,1804,7,2082
Logan Cooke,29214,P,JAX,14,56,56,4.31,43.23,47.66,7.0,0,0,13,11,15,62.1,19,67,6,0,37.5,148,21,56,241.35,2421,5,2669
Hunter Niswander,29601,P,DAL,8,26,26,4.54,42.04,47.23,10.6,0,0,1,14,9,58.3,10,58,0,0,34.6,95,9,26,118.04,1093,2,1228
Tommy Townsend,33007,P,KC,16,52,52,4.46,40.38,44.98,7.9,0,0,5,18,16,73.8,20,67,8,0,28.8,119,15,52,232.03,2100,6,2339
Sterling Hofrichter,33541,P,ATL,16,56,56,4.42,39.27,42.52,5.5,0,0,5,19,2,70.2,17,57,4,0,46.4,142,26,56,247.28,2199,2,2381
Joseph Charlton,33672,P,CAR,16,45,45,4.57,40.84,46.27,10.2,0,0,6,16,5,76.1,21,67,2,0,40.0,184,18,45,205.45,1838,3,2082
Jake Bailey,33963,P,NE,16,55,55,4.37,45.58,48.69,5.9,0,0,15,18,19,74.8,34,71,5,0,21.8,71,12,55,240.58,2507,5,2678
Jack Fox,34735,P,DET,16,59,59,4.55,44.76,49.1,5.5,0,0,11,16,11,82.8,29,67,4,0,35.6,116,21,59,268.33,2641,7,2897
Michael Dickson,35381,P,SEA,16,61,61,4.26,44.41,49.64,7.1,0,0,8,13,29,79.0,33,67,6,0,45.9,199,28,61,259.63,2709,6,3028
AJ Cole,36038,P,LV,16,44,44,4.37,40.14,44.07,9.5,0,0,6,16,23,66.1,24,63,6,0,31.8,133,14,44,192.1,1766,2,1939
JK Scott,38809,P,GB,15,46,46,4.57,37.85,45.48,17.1,1,0,7,10,12,77.9,16,62,9,0,37.0,291,17,47,210.15,1741,3,2092
Trevor Daniel,38843,P,TEN,2,4,4,3.95,37.5,39.25,7.0,1,0,0,2,31,51.7,0,52,1,0,25.0,7,1,5,15.79,150,0,157
Mitch Wishnowsky,44663,P,SF,15,66,66,4.44,42.27,46.86,8.0,1,0,5,28,28,75.4,27,60,4,0,34.8,183,23,67,292.87,2790,6,3093
Braden Mann,44664,P,NYJ,16,82,82,4.39,37.22,43.88,11.7,0,0,10,20,22,64.4,19,60,9,0,46.3,446,38,82,360.22,3052,5,3598
Jamie Gillan,63303,P,CLV,16,51,51,4.29,38.33,44.0,9.2,0,0,4,15,8,60.7,17,59,4,0,49.0,229,25,51,218.86,1955,3,2244
