player,player_id_2018,position_2018,team_name_2018,player_game_count_2018,attempts_2018,avoided_tackles_2018,breakaway_attempts_2018,breakaway_percent_2018,breakaway_yards_2018,declined_penalties_2018,designed_yards_2018,drops_2018,elu_recv_mtf_2018,elu_rush_mtf_2018,elu_yco_2018,elusive_rating_2018,explosive_2018,first_downs_2018,franchise_id_2018,fumbles_2018,gap_attempts_2018,grades_hands_fumble_2018,grades_offense_2018,grades_offense_penalty_2018,grades_pass_2018,grades_pass_block_2018,grades_pass_route_2018,grades_run_2018,grades_run_block_2018,longest_2018,penalties_2018,rec_yards_2018,receptions_2018,routes_2018,run_plays_2018,scramble_yards_2018,scrambles_2018,targets_2018,total_touches_2018,touchdowns_2018,yards_2018,yards_after_contact_2018,yco_attempt_2018,ypa_2018,yprr_2018,zone_attempts_2018,player_id_2019,position_2019,team_name_2019,player_game_count_2019,attempts_2019,avoided_tackles_2019,breakaway_attempts_2019,breakaway_percent_2019,breakaway_yards_2019,declined_penalties_2019,designed_yards_2019,drops_2019,elu_recv_mtf_2019,elu_rush_mtf_2019,elu_yco_2019,elusive_rating_2019,explosive_2019,first_downs_2019,franchise_id_2019,fumbles_2019,gap_attempts_2019,grades_hands_fumble_2019,grades_offense_2019,grades_offense_penalty_2019,grades_pass_2019,grades_pass_block_2019,grades_pass_route_2019,grades_run_2019,grades_run_block_2019,longest_2019,penalties_2019,rec_yards_2019,receptions_2019,routes_2019,run_plays_2019,scramble_yards_2019,scrambles_2019,targets_2019,total_touches_2019,touchdowns_2019,yards_2019,yards_after_contact_2019,yco_attempt_2019,ypa_2019,yprr_2019,zone_attempts_2019,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,player_id_2021,position_2021,team_name_2021,player_game_count_2021,attempts_2021,avoided_tackles_2021,breakaway_attempts_2021,breakaway_percent_2021,breakaway_yards_2021,declined_penalties_2021,designed_yards_2021,drops_2021,elu_recv_mtf_2021,elu_rush_mtf_2021,elu_yco_2021,elusive_rating_2021,explosive_2021,first_downs_2021,franchise_id_2021,fumbles_2021,gap_attempts_2021,grades_hands_fumble_2021,grades_offense_2021,grades_offense_penalty_2021,grades_pass_2021,grades_pass_block_2021,grades_pass_route_2021,grades_run_2021,grades_run_block_2021,longest_2021,penalties_2021,rec_yards_2021,receptions_2021,routes_2021,run_plays_2021,scramble_yards_2021,scrambles_2021,targets_2021,total_touches_2021,touchdowns_2021,yards_2021,yards_after_contact_2021,yco_attempt_2021,ypa_2021,yprr_2021,zone_attempts_2021,player_id_2022,position_2022,team_name_2022,player_game_count_2022,attempts_2022,avoided_tackles_2022,breakaway_attempts_2022,breakaway_percent_2022,breakaway_yards_2022,declined_penalties_2022,designed_yards_2022,drops_2022,elu_recv_mtf_2022,elu_rush_mtf_2022,elu_yco_2022,elusive_rating_2022,explosive_2022,first_downs_2022,franchise_id_2022,fumbles_2022,gap_attempts_2022,grades_hands_fumble_2022,grades_offense_2022,grades_offense_penalty_2022,grades_pass_2022,grades_pass_block_2022,grades_pass_route_2022,grades_run_2022,grades_run_block_2022,longest_2022,penalties_2022,rec_yards_2022,receptions_2022,routes_2022,run_plays_2022,scramble_yards_2022,scrambles_2022,targets_2022,total_touches_2022,touchdowns_2022,yards_2022,yards_after_contact_2022,yco_attempt_2022,ypa_2022,yprr_2022,zone_attempts_2022
Ed Dickson,5595.0,TE,SEA,10.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,8.0,184.6,0.0,1.0,29.0,0.0,0.0,72.2,62.4,85.6,,50.5,65.7,,52.5,9.0,0.0,143.0,12.0,147.0,161.0,0.0,0.0,13.0,13.0,0.0,9.0,8.0,8.0,9.0,0.97,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrius Heyward-Bey,4930.0,WR,PIT,14.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,64.6,55.3,80.2,,,53.9,56.2,76.5,-7.0,0.0,9.0,1.0,41.0,35.0,0.0,0.0,2.0,2.0,0.0,-7.0,1.0,1.0,-7.0,0.22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Sanchez,4928.0,QB,WAS,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,1.0,32.0,1.0,0.0,28.8,41.8,0.0,41.7,,,63.9,60.0,8.0,1.0,0.0,0.0,0.0,22.0,8.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Amendola,4717.0,WR,MIA,15.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,2.0,0.0,1.0,3.3,0.0,0.0,17.0,0.0,0.0,56.6,66.6,72.6,81.0,61.4,66.1,56.6,55.9,-2.0,2.0,575.0,59.0,415.0,239.0,0.0,0.0,75.0,60.0,0.0,-2.0,1.0,1.0,-2.0,1.39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4717.0,WR,DET,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,80.9,74.9,23.7,,72.1,75.4,56.2,70.8,2.0,3.0,602.0,46.0,330.0,106.0,0.0,0.0,68.0,47.0,0.0,2.0,0.0,0.0,2.0,1.82,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Henne,4371.0,QB,KC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,67.4,53.7,73.2,56.1,,,58.3,60.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4371.0,QB,KC,3.0,7.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,3.0,6.1,0.0,1.0,16.0,2.0,0.0,80.4,64.3,79.5,65.3,,,54.6,60.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,7.0,1.0,-2.0,3.0,0.43,-0.3,,4.0,4371.0,QB,KC,4.0,8.0,0.0,0.0,,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,18.4,30.8,76.3,43.1,,,30.6,60.0,4.0,0.0,0.0,0.0,0.0,13.0,4.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,,1.0,4371.0,QB,KC,3.0,5.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,71.0,67.2,74.3,58.7,,,61.3,60.0,-1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,-5.0,0.0,0.0,-1.0,,0.0
Kyle Lauletta,46452.0,QB,NYG,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,69.2,27.0,74.6,26.8,,,60.0,60.1,-2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordy Nelson,4350.0,WR,OAK,15.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,81.6,70.7,90.0,,73.0,70.2,57.2,62.0,-2.0,0.0,739.0,63.0,525.0,284.0,0.0,0.0,86.0,64.0,0.0,-2.0,0.0,0.0,-2.0,1.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayden Hurst,47294.0,TE,BLT,12.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,28.6,0.0,0.0,3.0,0.0,0.0,72.9,66.4,85.1,,52.9,69.1,56.6,57.4,0.0,0.0,163.0,13.0,119.0,145.0,0.0,0.0,21.0,14.0,0.0,0.0,2.0,2.0,0.0,1.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Batson,47669.0,WR,TEN,10.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,200.0,0.0,1.0,31.0,0.0,0.0,74.5,62.3,0.0,,,64.1,,58.9,1.0,2.0,82.0,8.0,109.0,63.0,0.0,0.0,11.0,9.0,0.0,1.0,6.0,6.0,1.0,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47669.0,WR,TEN,12.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,12.0,37.5,1.0,2.0,31.0,1.0,2.0,28.2,58.1,84.1,,,58.6,47.8,62.6,11.0,1.0,100.0,12.0,154.0,126.0,0.0,0.0,12.0,16.0,0.0,20.0,12.0,3.0,5.0,0.65,1.0,47669.0,WR,TEN,3.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,31.0,0.0,0.0,73.6,65.2,78.7,,,62.4,62.7,70.1,11.0,0.0,15.0,2.0,27.0,32.0,0.0,0.0,5.0,4.0,0.0,15.0,2.0,1.0,7.5,0.56,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equanimeous St. Brown,47967.0,WR,GB,11.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,5.0,45.5,0.0,0.0,12.0,0.0,0.0,75.0,64.3,60.3,,,63.8,56.6,72.0,5.0,2.0,328.0,21.0,251.0,93.0,0.0,0.0,34.0,22.0,0.0,5.0,5.0,5.0,5.0,1.31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47967.0,WR,GB,12.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,4.0,150.0,0.0,1.0,12.0,0.0,0.0,70.3,60.4,83.0,,,58.7,62.8,62.3,7.0,0.0,117.0,7.0,101.0,89.0,0.0,0.0,13.0,8.0,0.0,7.0,4.0,4.0,7.0,1.16,0.0,47967.0,WR,GB,13.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,1.0,14.0,155.6,2.0,2.0,12.0,0.0,0.0,73.6,57.4,85.6,,73.1,55.7,66.5,57.6,13.0,2.0,98.0,9.0,148.0,137.0,0.0,0.0,16.0,12.0,0.0,14.0,14.0,4.67,4.7,0.66,0.0,47967.0,WR,CHI,16.0,6.0,2.0,1.0,75.9,41.0,0.0,53.0,1.0,0.0,2.0,27.0,41.5,2.0,2.0,6.0,1.0,0.0,76.5,64.2,88.2,,80.5,60.9,67.5,69.8,41.0,0.0,323.0,21.0,280.0,249.0,1.0,1.0,38.0,26.0,0.0,54.0,27.0,4.5,9.0,1.15,0.0
Brandon Powell,48036.0,WR,DET,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,33.3,0.0,0.0,11.0,0.0,0.0,75.8,63.0,79.2,,,64.5,59.2,44.7,4.0,0.0,129.0,11.0,66.0,31.0,0.0,0.0,17.0,12.0,0.0,4.0,2.0,2.0,4.0,1.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48036.0,WR,ATL,13.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,32.8,56.7,81.1,,,55.9,54.0,74.1,4.0,1.0,69.0,12.0,130.0,44.0,0.0,0.0,16.0,14.0,0.0,7.0,2.0,1.0,3.5,0.53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48036.0,WR,LA,17.0,17.0,1.0,3.0,63.8,51.0,0.0,80.0,0.0,1.0,1.0,54.0,15.5,4.0,6.0,26.0,0.0,9.0,90.3,65.8,84.8,,74.3,65.8,66.0,49.6,20.0,0.0,156.0,24.0,145.0,138.0,0.0,0.0,31.0,41.0,0.0,80.0,54.0,3.18,4.7,1.08,3.0
Derek Anderson,2430.0,QB,BUF,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,26.6,47.5,81.3,47.4,,,60.0,61.6,-1.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dante Pettis,48113.0,WR,SF,11.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,6.0,0.0,1.0,21.4,0.0,0.0,28.0,0.0,0.0,80.3,68.5,66.9,,,69.8,56.6,52.5,-2.0,1.0,467.0,27.0,261.0,167.0,0.0,0.0,40.0,28.0,0.0,-2.0,1.0,1.0,-2.0,1.79,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48113.0,WR,CHI,17.0,2.0,0.0,1.0,78.4,29.0,0.0,37.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,84.5,53.3,50.1,,75.3,53.5,67.4,50.8,29.0,3.0,245.0,19.0,308.0,196.0,0.0,0.0,36.0,21.0,0.0,37.0,0.0,0.0,18.5,0.8,0.0
C.J. Prosise,10724.0,HB,SEA,4.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,67.4,54.6,76.2,,22.8,57.4,59.3,60.0,-3.0,0.0,22.0,3.0,24.0,2.0,0.0,0.0,3.0,4.0,0.0,-3.0,0.0,0.0,-3.0,0.92,1.0,10724.0,HB,SEA,8.0,23.0,2.0,1.0,23.6,17.0,0.0,72.0,0.0,0.0,2.0,47.0,12.4,1.0,4.0,29.0,1.0,4.0,29.3,56.0,83.8,,42.6,64.2,51.6,60.0,17.0,0.0,76.0,10.0,76.0,29.0,0.0,0.0,11.0,33.0,1.0,72.0,47.0,2.04,3.1,1.0,18.0,10724.0,HB,HST,6.0,10.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,1.0,1.0,27.0,46.3,77.7,,77.9,62.3,34.9,60.0,7.0,0.0,18.0,5.0,29.0,11.0,0.0,0.0,5.0,15.0,0.0,19.0,13.0,1.3,1.9,0.62,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonte Carroo,10720.0,WR,MIA,4.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,17.0,0.0,0.0,66.2,76.1,79.7,,,74.0,63.1,61.6,14.0,0.0,94.0,2.0,25.0,16.0,0.0,0.0,4.0,3.0,0.0,14.0,9.0,9.0,14.0,3.76,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajae Sharpe,10774.0,WR,TEN,16.0,1.0,0.0,1.0,100.0,16.0,0.0,16.0,2.0,1.0,0.0,2.0,7.4,1.0,1.0,31.0,0.0,0.0,76.0,61.7,37.3,,67.6,61.6,63.1,64.8,16.0,3.0,316.0,26.0,328.0,240.0,0.0,0.0,46.0,27.0,0.0,16.0,2.0,2.0,16.0,0.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le'Veon Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7829.0,HB,NYJ,15.0,245.0,41.0,2.0,4.3,34.0,0.0,789.0,3.0,18.0,41.0,653.0,50.6,12.0,36.0,22.0,1.0,113.0,86.1,74.1,89.6,,62.5,77.3,70.2,68.6,19.0,0.0,461.0,66.0,391.0,284.0,0.0,0.0,74.0,311.0,3.0,789.0,653.0,2.67,3.2,1.18,126.0,7829.0,HB,KC,11.0,82.0,14.0,3.0,14.6,48.0,0.0,316.0,1.0,4.0,14.0,247.0,55.3,10.0,22.0,16.0,1.0,29.0,86.9,73.9,28.7,,47.0,70.0,74.4,78.4,16.0,2.0,138.0,16.0,153.0,88.0,0.0,0.0,20.0,98.0,2.0,328.0,247.0,3.01,4.0,0.9,52.0,7829.0,HB,TB,8.0,39.0,8.0,0.0,0.0,0.0,0.0,101.0,1.0,0.0,8.0,75.0,35.0,1.0,9.0,30.0,0.0,34.0,82.1,63.3,82.4,,57.5,52.6,67.5,62.9,12.0,0.0,30.0,5.0,81.0,51.0,0.0,0.0,7.0,44.0,2.0,101.0,75.0,1.92,2.6,0.37,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Jacobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45953.0,HB,OAK,13.0,242.0,69.0,16.0,32.3,371.0,0.0,1150.0,3.0,9.0,69.0,842.0,103.6,25.0,53.0,23.0,1.0,70.0,83.9,87.1,84.2,,73.6,55.4,86.9,59.2,51.0,0.0,166.0,20.0,147.0,269.0,0.0,0.0,26.0,262.0,7.0,1150.0,842.0,3.48,4.8,1.13,171.0,45953.0,HB,LV,15.0,273.0,51.0,10.0,17.6,187.0,1.0,1065.0,4.0,10.0,51.0,770.0,56.2,31.0,61.0,23.0,2.0,89.0,65.5,76.3,27.8,,56.6,56.2,79.4,58.5,28.0,2.0,238.0,33.0,231.0,301.0,0.0,0.0,41.0,306.0,12.0,1065.0,770.0,2.82,3.9,1.03,181.0,45953.0,HB,LV,15.0,217.0,57.0,7.0,15.4,134.0,0.0,872.0,5.0,13.0,57.0,617.0,73.4,21.0,45.0,23.0,2.0,55.0,73.0,77.7,57.9,,74.6,59.9,81.5,47.8,28.0,1.0,348.0,54.0,297.0,259.0,0.0,0.0,64.0,271.0,9.0,872.0,617.0,2.84,4.0,1.17,157.0,45953.0,HB,LV,17.0,340.0,90.0,15.0,23.4,386.0,0.0,1652.0,3.0,5.0,90.0,1154.0,82.5,41.0,94.0,23.0,3.0,201.0,73.8,91.6,86.6,,56.3,64.8,91.9,67.3,86.0,0.0,400.0,53.0,341.0,374.0,1.0,1.0,61.0,392.0,12.0,1653.0,1156.0,3.4,4.9,1.17,93.0
David Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45719.0,HB,CHI,16.0,242.0,47.0,5.0,15.0,133.0,0.0,889.0,2.0,8.0,47.0,564.0,48.0,16.0,50.0,6.0,2.0,69.0,72.5,66.6,58.0,,78.6,65.8,65.3,41.8,55.0,1.0,185.0,25.0,239.0,283.0,0.0,0.0,33.0,267.0,6.0,889.0,564.0,2.33,3.7,0.77,169.0,45719.0,HB,CHI,15.0,247.0,54.0,6.0,22.7,243.0,0.0,1070.0,2.0,18.0,54.0,779.0,75.4,24.0,59.0,6.0,1.0,35.0,75.0,81.8,90.1,,60.1,67.2,83.9,69.1,80.0,0.0,438.0,54.0,391.0,280.0,0.0,0.0,63.0,301.0,8.0,1070.0,779.0,3.15,4.3,1.12,203.0,45719.0,HB,CHI,13.0,225.0,38.0,7.0,19.1,162.0,0.0,849.0,2.0,9.0,38.0,569.0,44.5,21.0,55.0,6.0,1.0,52.0,83.7,69.8,89.5,37.2,76.6,69.2,67.7,68.6,41.0,0.0,301.0,42.0,289.0,258.0,0.0,0.0,49.0,267.0,7.0,849.0,569.0,2.53,3.8,1.04,167.0,45719.0,HB,CHI,16.0,201.0,46.0,3.0,8.9,71.0,0.0,801.0,1.0,10.0,46.0,582.0,69.0,17.0,42.0,6.0,2.0,77.0,69.0,67.9,90.3,,57.4,64.0,67.9,59.8,28.0,0.0,316.0,34.0,270.0,288.0,0.0,0.0,39.0,235.0,5.0,801.0,582.0,2.9,4.0,1.17,122.0
Miles Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40555.0,HB,PHI,16.0,179.0,27.0,7.0,29.8,244.0,0.0,818.0,3.0,7.0,27.0,578.0,47.9,16.0,30.0,24.0,2.0,69.0,57.9,62.3,60.1,,55.4,74.7,58.4,42.3,65.0,1.0,509.0,50.0,317.0,208.0,0.0,0.0,62.0,229.0,3.0,818.0,578.0,3.23,4.6,1.61,105.0,40555.0,HB,PHI,12.0,164.0,29.0,6.0,33.4,290.0,0.0,867.0,8.0,5.0,29.0,555.0,59.9,16.0,38.0,24.0,4.0,48.0,34.4,63.0,90.6,,50.1,33.9,75.3,55.3,82.0,0.0,197.0,28.0,295.0,220.0,0.0,0.0,50.0,192.0,6.0,867.0,555.0,3.38,5.3,0.67,110.0,40555.0,HB,PHI,12.0,137.0,18.0,11.0,35.0,264.0,0.0,754.0,1.0,11.0,18.0,400.0,51.9,20.0,33.0,24.0,1.0,52.0,74.1,71.6,46.1,,46.0,65.7,73.3,64.3,38.0,1.0,158.0,26.0,195.0,180.0,0.0,0.0,32.0,163.0,0.0,754.0,400.0,2.92,5.5,0.81,84.0,40555.0,HB,PHI,17.0,259.0,46.0,12.0,22.7,288.0,0.0,1271.0,2.0,5.0,46.0,781.0,55.1,34.0,62.0,24.0,2.0,112.0,73.9,74.0,91.0,,46.0,35.5,82.3,57.5,40.0,0.0,78.0,20.0,269.0,349.0,0.0,0.0,26.0,279.0,11.0,1271.0,781.0,3.02,4.9,0.29,142.0
Devin Singletary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40485.0,HB,BUF,12.0,152.0,36.0,14.0,36.4,282.0,0.0,775.0,5.0,6.0,36.0,456.0,69.6,25.0,37.0,4.0,4.0,79.0,27.3,66.1,26.1,,60.0,47.7,74.9,67.3,38.0,2.0,194.0,29.0,271.0,193.0,0.0,0.0,39.0,181.0,2.0,775.0,456.0,3.0,5.1,0.72,61.0,40485.0,HB,BUF,16.0,156.0,32.0,9.0,28.7,197.0,1.0,687.0,5.0,10.0,32.0,494.0,68.6,21.0,40.0,4.0,1.0,57.0,77.4,66.7,32.4,,55.8,55.6,72.7,66.5,51.0,3.0,269.0,38.0,318.0,203.0,0.0,0.0,47.0,194.0,2.0,687.0,494.0,3.17,4.4,0.85,88.0,40485.0,HB,BUF,17.0,188.0,45.0,13.0,33.4,291.0,0.0,870.0,4.0,10.0,45.0,587.0,75.3,20.0,44.0,4.0,5.0,85.0,31.9,64.7,63.9,,49.0,39.7,77.8,44.4,46.0,1.0,228.0,40.0,378.0,227.0,0.0,0.0,49.0,228.0,7.0,870.0,587.0,3.12,4.6,0.6,97.0,40485.0,HB,BUF,16.0,177.0,33.0,13.0,32.7,268.0,0.0,819.0,4.0,7.0,33.0,504.0,53.0,21.0,42.0,4.0,3.0,108.0,51.9,75.9,90.5,,69.4,56.6,83.0,59.0,33.0,0.0,280.0,38.0,373.0,235.0,0.0,0.0,47.0,215.0,5.0,819.0,504.0,2.85,4.6,0.75,62.0
