Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
LAC,2024,1620.65,14.591,4.2312,0,6.22843,0.0232,0.0543,-0.0615606,-0.0699,-0.08,-0.0686461,0.093,23,18.5,4.5,11,11.2718,9.36869,12
BAL,2012,1618.95,16.4044,4.95089,0.747002,2.1648,0.0822,0.082,-0.0519548,0.0103,0.025,-0.0542967,0.0719,26.1,21.6,4.5,14,12.2057,11.6248,8
NO,2017,1615.99,-4.3474,5.39351,0,5.23804,0.0845,0.177,-0.00683101,-0.0358,-0.031,-0.0338053,0.1203,27.9444,21.1667,6.7778,12,11.8601,10.4009,16
CIN,2024,1614.97,38.4007,4.00398,0,1.91913,0.1173,0.1525,-0.0249703,0.0725,0.041,0.0157217,0.0448,27.7647,25.5294,2.2353,9,9.3427,8.85249,8
NO,2013,1613.38,-0.4661,5.00086,0,2.60257,0.0841,0.2072,-0.0422679,-0.0146,-0.0666,-0.00910199,0.0987,25.2778,19.5,5.7778,12,11.6836,10.643,11
IND,2014,1613.16,7.9786,3.8303,0,2.98079,0.0259,0.0928,-0.152932,-0.0523,-0.0583,-0.0557942,0.0782,27.1053,23,4.1053,13,11.3259,11.2755,12
SEA,2020,1612.73,-5.0015,5.02757,0,3.08502,0.097,0.0947,0.019562,0.0172,0.1141,-0.106727,0.0798,28.1765,23.5882,4.5882,12,10.2643,10.8843,12
BAL,2011,1612.41,-1.1083,3.78847,0,-1.00673,-0.0019,0.0543,-0.072818,-0.11,-0.156,-0.116,0.1081,23.2222,16.7778,6.4444,13,12.3049,12.0003,14
GB,2016,1612.32,31.967,4.16415,0,0.984341,0.1143,0.2005,-0.0285453,0.0734,0.1551,-0.0794496,0.0409,27.6316,25.0526,2.5789,12,10.5981,11.3352,12
MIA,2023,1612.08,5.8363,4.71064,0,2.89619,0.0723,0.14,-0.0225553,-0.0189,-0.031,-0.0546273,0.0912,27.9444,23.1667,4.7778,11,10.9675,10.4937,12
PIT,2018,1611.54,11.2781,4.5868,0,1.09597,0.0525,0.1661,-0.0380992,-0.01,0.0469,-0.00958692,0.0625,26.75,22.5,4.25,9,9.6176,10.0864,11
LAC,2018,1611.2,-16.6097,4.57324,0,3.42014,0.0609,0.1973,-0.0232321,-0.0351,0.0017,-0.0491154,0.096,26.6111,21.5,5.1111,13,11.2274,10.7736,10
KC,2017,1610.38,21.0486,5.16907,0,2.87274,0.0843,0.1651,-0.0270732,-0.0062,0.0238,-0.00808968,0.0905,25.6471,21.2353,4.4118,10,10.3702,10.9777,11
SF,2025,1609.42,13.7663,4.87278,0,4.09241,0.0872,0.1303,-0.0531709,0.0462,0.1083,0.00296483,0.0411,24.5263,22.6842,1.8421,13,10.3765,9.90963,10
MIN,2024,1607.6,10.7408,3.70912,0,4.85875,0.0103,0.0226,-0.0679919,-0.0909,-0.0455,-0.159888,0.1013,24.5,19.9444,4.5556,14,11.1516,10.8367,13
DAL,2014,1606.85,17.8837,3.57792,0,4.01831,0.1107,0.2656,-0.0377812,-0.0065,0.0441,-0.0587916,0.1172,28.4444,22.1111,6.3333,13,11.6092,10.4187,12
NE,2013,1606.67,-16.3704,4.73261,0,-1.89215,0.1046,0.1159,-0.0333988,0.0076,0.0361,-0.018251,0.0971,27.9444,21.4444,6.5,13,11.7345,11.8991,10
ATL,2017,1604.81,-17.6987,4.94644,0,0.785635,0.0434,0.1334,-0.0905254,-0.0142,0.0202,-0.0651018,0.0576,21.6111,19.0556,2.5556,11,10.3323,9.80591,11
NYG,2009,1604.7,21.3124,2.95838,-0.125225,0.316538,0.0492,0.1575,-0.0833121,0.0815,0.0899,0.021823,-0.0323,25.125,26.6875,-1.5625,8,7.429,9.23906,8
NE,2021,1603.91,2.4767,3.52336,0,3.95702,0.0557,0.1047,0.0152562,-0.0776,-0.0683,0.0172219,0.1333,26.6111,19.4444,7.1667,10,12.2002,10.0173,11
HOU,2025,1603.33,3.6682,4.62942,0,4.76072,-0.0226,-0.0017,-0.0856721,-0.1693,-0.2366,-0.0837872,0.1467,23.6842,17.3158,6.3684,13,12.8723,10.7339,12
ARI,2009,1602.32,11.5499,2.86326,-0.125225,0.926284,-0.0046,0.045,-0.0974216,-0.0284,-0.018,-0.0597025,0.0238,24.4444,23.0556,1.3889,11,9.6229,10.2005,10
DET,2023,1602.09,7.3522,4.31088,0,3.9723,0.0417,0.136,-0.0302445,-0.0137,0.0612,-0.092082,0.0554,27.35,23.75,3.6,14,11.657,11.4917,13
CIN,2021,1602.05,21.3518,3.39254,0.540205,6.4786,0.037,0.1184,-0.0743665,-0.0456,-0.0068,-0.0431594,0.0826,26.2857,21.8095,4.4762,13,12.7856,10.2243,11
DET,2025,1602.05,-0.9129,4.57826,0,0.0482469,0.0902,0.1776,-0.0530825,0.0203,-0.007,-0.0292506,0.0699,28.2941,24.2941,4,9,10.0188,10.3917,10
GB,2013,1601.4,41.5433,4.5218,0,-0.518579,0.0721,0.0879,0.0123971,0.0882,0.1075,0.0563072,-0.0162,25.7059,26.5294,-0.8235,8,8.1825,9.05307,6
PIT,2017,1600.81,25.7523,4.78658,0,0.118252,0.0627,0.157,-0.0887399,-0.0284,-0.0526,0.00296403,0.091,26.3529,20.7647,5.5882,13,10.8387,11.8397,10
JAX,2025,1599.65,24.2837,4.48194,0,6.34376,0.073,0.0616,-0.0125887,-0.0636,-0.1254,-0.0414788,0.1366,27.6667,20.1667,7.5,13,12.2228,9.02283,12
ATL,2010,1599.33,15.2297,5.24017,0,2.98066,0.0638,0.1224,-0.0920795,-0.0278,0.0126,-0.0968791,0.0916,25.5882,19.7647,5.8235,13,11.0228,11.1119,11
NE,2009,1598.73,1.1369,2.71968,-0.125225,-1.75791,0.069,0.1537,-0.0425579,-0.0471,-0.0196,-0.046299,0.1161,25.9412,18.7059,7.2353,10,11.6381,11.8427,11
GB,2021,1598.59,22.1138,3.31084,0,-1.85581,0.0952,0.1812,0.0307111,0.0071,-0.0535,0.0538289,0.0881,25.5556,21.3333,4.2222,13,10.8971,11.7244,12
ATL,2011,1598.29,17.9736,3.22376,0,-0.0314553,0.0105,0.1055,-0.101972,-0.0212,0.0335,-0.100673,0.0317,23.7647,22,1.7647,10,9.275,10.2208,9
IND,2020,1596.77,3.0852,4.38942,0,3.53807,0.0708,0.1658,-0.0338774,-0.0342,0.0066,-0.0692984,0.105,27.9412,22.8824,5.0588,11,10.4751,9.69982,13
WAS,2024,1596.27,36.3653,3.25492,0,8.01725,0.1482,0.1483,0.100921,0.0779,0.0583,0.00228313,0.0703,28.8,24.85,3.95,14,11.7305,8.81205,9
IND,2018,1595.02,24.5958,3.92594,0,6.41074,0.033,0.1042,-0.0446764,-0.0491,-0.0159,-0.0553131,0.0821,25.9444,21.2222,4.7222,11,11.1031,8.76561,13
DEN,2015,1594.17,-30.6932,4.76583,-0.250669,-0.234507,-0.087,-0.0866,-0.143297,-0.152,-0.1889,-0.172614,0.065,22.2105,17.8947,4.3158,15,11.8805,11.5586,13
DET,2011,1594.14,39.603,3.0576,0,3.17576,0.0259,0.1334,-0.0600924,-0.0285,-0.0791,-0.0272665,0.0545,29.5294,25.4118,4.1176,10,9.9969,9.22676,8
BAL,2018,1593.93,-19.1227,3.8825,0,3.4791,-0.0058,0.0081,-0.0245458,-0.1129,-0.0727,-0.113672,0.107,23.8824,18.2353,5.6471,10,11.1284,9.26313,9
NO,2010,1593.65,-14.8524,5.01298,0,0.941704,0.0573,0.1276,-0.109829,-0.0099,-0.0095,-0.0887429,0.0671,24.7059,20.4706,4.2353,11,10.3634,11.2632,9
PIT,2014,1593.64,22.284,3.04983,0,1.05145,0.0896,0.2042,-0.105676,0.0484,0.1244,-0.0840003,0.0412,26.6471,23.4118,3.2353,11,9.7937,10.2009,12
PIT,2009,1592.91,11.1352,2.48675,-0.125225,-2.42442,0.0648,0.1315,-0.0624389,0.0196,-0.0198,-0.0514211,0.0452,23,20.25,2.75,9,9.1981,10.3758,9
LAR,2023,1592.05,15.463,3.90944,0,5.38174,0.0111,0.0859,0.001308,-0.0195,0.0086,-0.0326426,0.0306,23.7222,22.2778,1.4444,10,9.6688,7.74532,11
IND,2021,1590.12,-3.6104,2.97208,0,2.15648,0.0515,0.0075,0.0786778,-0.041,0.0425,-0.0489895,0.0925,26.5294,21.4706,5.0588,9,10.5875,9.59851,9
MIN,2018,1589.26,4.0142,3.69556,0,-0.431963,-0.1198,-0.0326,-0.19581,-0.1259,-0.1557,-0.104018,0.0062,22.5,21.3125,1.1875,8,8.5133,8.83742,8
PHI,2010,1589,43.1468,4.82695,0,1.39026,0.0851,0.0699,0.10925,0.0241,0.0476,-0.0713635,0.061,26.7647,23.4118,3.3529,10,9.837,9.87064,8
MIN,2019,1584.69,5.6373,4.08586,0,2.71546,0.0064,0.113,-0.0621514,-0.0863,-0.0785,-0.0970454,0.0926,24.6111,19.4444,5.1667,11,11.4497,10.4419,9
LAR,2019,1583.99,7.5724,4.05792,0,0.505274,-0.0145,0.0968,-0.151949,-0.0499,-0.0171,-0.0853476,0.0354,24.625,22.75,1.875,9,8.7486,9.44606,8
HOU,2018,1581.86,22.5457,3.39979,0,5.41456,0.0007,0.0604,-0.0755169,-0.0782,0.017,-0.1793,0.0789,24.0588,19.8235,4.2353,11,10.4168,9.86743,9
TEN,2020,1581.35,13.7888,3.77236,0,1.65499,0.1579,0.2287,0.079246,0.1116,0.1877,0.019977,0.0462,29.6471,27,2.6471,11,9.4382,10.1584,11
