player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
JuJu Smith-Schuster,11817,WR,PIT,12,29.1,1,25,63.1,,59.5,0,0,0,0.0,0.0,,3,0,0,167,0,0,0,573,0,406,0,0,167,7
Kendrick Bourne,12270,WR,SF,16,36.0,0,28,66.7,75.9,48.0,0,0,4,1.5,1.3,100.0,2,0,0,167,0,0,0,464,4,301,0,0,163,6
Dwayne Haskins,41897,QB,WAS,9,38.2,0,32,67.9,,60.0,0,0,0,0.0,0.0,,1,0,0,166,0,0,0,434,0,260,0,0,166,0
Ryan Izzo,47327,TE,NE,6,61.9,0,19,46.7,55.4,44.9,1,0,30,24.4,23.9,95.0,4,2,1,166,0,0,0,268,32,134,0,0,134,166
Jarius Wright,7118,WR,CAR,16,23.8,0,5,47.8,66.1,48.3,0,0,1,0.2,0.2,100.0,1,0,0,165,0,0,0,693,1,528,0,0,164,2
Chester Rogers,10918,WR,IND,12,40.6,0,14,50.5,74.0,34.9,0,0,1,0.4,0.8,100.0,1,0,0,165,0,0,0,406,2,242,0,0,163,3
Devlin Hodges,29838,QB,PIT,8,43.9,0,25,45.8,,61.5,0,0,0,0.0,0.0,,5,0,0,165,0,0,0,376,0,197,0,0,165,0
Marcus Johnson,11074,WR,IND,8,39.6,0,14,59.8,,60.1,0,0,0,0.0,0.0,,1,0,0,163,0,0,0,412,0,249,0,0,163,1
J.J. Arcega-Whiteside,35014,WR,PHI,16,33.5,0,24,53.8,,63.5,0,0,0,0.0,0.0,,2,0,0,163,0,0,0,486,0,323,0,0,163,3
Logan Thomas,8755,TE,DET,16,48.2,0,11,55.1,61.7,50.2,0,2,31,16.0,15.5,93.5,3,3,1,162,0,0,0,336,32,206,0,0,130,191
Luke Willson,7940,TE,SEA,8,66.3,0,29,61.9,71.4,52.1,0,0,28,26.9,28.1,100.0,2,0,0,161,0,0,0,243,32,114,0,0,129,200
Allen Lazard,48135,WR,GB,15,33.6,0,12,72.3,77.2,81.9,0,0,3,1.0,0.9,100.0,3,0,0,161,0,0,0,479,3,320,0,0,158,16
Levine Toilolo,7915,TE,SF,13,84.3,0,28,58.3,69.4,60.2,1,1,24,44.4,44.4,95.8,1,2,0,161,0,0,0,191,24,54,0,1,137,186
