player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jamison Crowder,9538,WR,WAS,16,8.2,13,72.8,50.0,1,2,0,4.3,3,33,32,2,79.3,41.6,67.0,67.9,66.1,0.9,5,3,55,0.4,2,549,3,67,95.3,523,75.4,414,112.9,92,7,23.7,130,847,383,5.7,12.6,1.62
Mohamed Sanu,7084,WR,ATL,18,8.7,7,76.1,75.0,3,4,1,2.8,2,43,2,1,87.8,52.6,80.0,73.8,76.8,1.4,8,0,59,0.7,4,581,2,70,93.3,542,59.0,343,122.3,92,6,39.2,228,774,318,4.5,11.1,1.43
Eric Ebron,8645,TE,DET,14,8.3,4,69.2,66.7,6,9,0,12.5,9,39,11,0,42.7,80.9,65.4,80.8,71.4,60.0,333,3,61,4.9,27,555,6,63,89.2,495,29.4,163,83.3,91,1,10.6,59,734,279,4.4,11.7,1.48
C.J. Fiedorowicz,8700,TE,HST,17,7.6,6,64.8,100.0,1,1,1,13.2,9,33,13,1,51.1,43.3,78.5,78.9,78.5,51.9,207,2,26,14.3,57,399,3,59,81.2,324,42.1,168,94.1,91,5,5.0,20,630,229,3.9,10.7,1.94
DeSean Jackson,4363,WR,WAS,15,16.9,3,62.9,66.7,2,3,0,9.7,6,35,32,0,61.2,79.9,73.0,,72.0,0.0,0,2,80,0.0,0,520,0,56,94.8,493,30.6,159,107.2,89,4,69.4,361,1005,277,4.9,17.9,2.04
Dontrelle Inman,6597,WR,SD,16,11.4,3,65.2,50.0,1,2,0,6.5,4,37,27,0,70.3,80.6,72.3,67.2,70.7,0.3,2,4,57,0.3,2,612,2,58,94.3,577,61.9,379,90.6,89,4,37.7,231,810,221,3.8,14.0,1.4
Ted Ginn Jr.,3625,WR,CAR,16,13.5,5,60.7,40.0,2,5,0,11.5,7,27,5,0,48.3,90.0,69.2,,70.9,0.0,0,5,88,0.0,0,461,2,54,93.7,432,18.0,83,79.4,89,4,82.0,378,752,194,3.6,13.9,1.74
DeVante Parker,9447,WR,MIA,16,11.9,7,68.2,100.0,1,1,0,1.6,1,37,17,0,90.0,80.5,75.1,65.7,75.1,0.0,0,5,56,0.2,1,499,2,60,94.6,472,19.2,96,88.2,88,4,80.8,403,799,256,4.3,13.3,1.69
Adam Thielen,8288,WR,MIN,16,11.2,7,78.4,66.7,4,6,0,4.2,3,44,18,1,86.9,29.0,79.9,36.3,77.5,1.1,6,2,71,0.2,1,526,2,69,94.7,498,29.1,153,121.9,88,5,69.6,366,967,305,4.4,14.0,1.94
Tyreek Hill,10799,WR,KC,17,7.5,14,75.6,50.0,1,2,0,5.8,4,32,16,1,72.8,75.4,79.5,,78.7,0.0,0,2,49,0.0,0,300,1,65,95.0,285,38.3,115,108.7,86,6,56.7,170,620,297,4.6,9.5,2.18
