,Player,Team,Position,Cap_Space,year
274,Rocky Bernard,Giants,DT,3.048780487804878,2010
275,Jerricho Cotchery,Jets,WR,3.0216804878048777,2010
276,Eugene Wilson,Texans,CB,3.0121951219512195,2010
277,Shane Lechler,Raiders,P,3.008130081300813,2010
278,Visanthe Shiancoe,Vikings,TE,3.008130081300813,2010
279,Percy Harvin,Vikings,WR,2.993739837398374,2010
280,Nick Kaczur,Patriots,T,2.9878048780487805,2010
281,Jason Smith,Rams,LT/T,2.977642276422764,2010
282,Jammal Brown,Commanders,T,2.9422764227642277,2010
283,Chris Johnson,Raiders,CB,2.9268292682926833,2010
284,Greg Jones,Jaguars,FB,2.9268292682926833,2010
285,Tyson Jackson,Chiefs,DE,2.90650406504065,2010
286,Igor Olshansky,Cowboys,DE,2.8983739837398375,2010
287,Aaron Kampman,Jaguars,DE,2.8658536585365857,2010
288,Tony Pashos,Browns,RT/T,2.8495934959349594,2010
289,Cedric Benson,Bengals,RB,2.8455284552845526,2010
290,Derrick Mason,Ravens,WR,2.8455284552845526,2010
291,Ovie Mughelli,Falcons,RB,2.8455284552845526,2010
292,Michael Oher,Ravens,RT/T,2.807317073170732,2010
293,Rich Seubert,Giants,G,2.804878048780488,2010
294,Jay Ratliff,Cowboys,DT,2.7953926829268294,2010
295,Ryan Clady,Broncos,LT/T,2.7921747967479678,2010
296,Dominic Raiola,Lions,C,2.774390243902439,2010
297,Yeremiah Bell,Dolphins,S,2.7642276422764227,2010
298,Chris Kemoeatu,Steelers,G,2.760975609756098,2010
299,Chauncey Davis,Falcons,DE,2.7235772357723578,2010
300,Michael Jenkins,Falcons,WR,2.7235772357723578,2010
301,Shaun Ellis,Jets,DE,2.7235772357723578,2010
302,Haloti Ngata,Ravens,DT,2.666666666666667,2010
303,Mike Vrabel,Chiefs,LB,2.66260162601626,2010
304,Barrett Ruud,Buccaneers,LB,2.6569105691056913,2010
305,Stanford Routt,Raiders,CB,2.6569105691056913,2010
306,Thomas Davis,Panthers,LB,2.6569105691056913,2010
307,A.J. Feeley,Rams,QB,2.642276422764228,2010
308,Marc Colombo,Cowboys,T,2.642276422764228,2010
309,Spencer Johnson,Bills,DT,2.642276422764228,2010
310,Winston Justice,Eagles,LT/T,2.6065040650406504,2010
311,Adam Vinatieri,Colts,K,2.6056910569105693,2010
312,Brandon Chillar,Packers,LB,2.6016260162601625,2010
313,Gary Brackett,Colts,LB,2.6016260162601625,2010
314,Geoff Hangartner,Bills,G,2.6016260162601625,2010
315,Kawika Mitchell,Bills,LB,2.6016260162601625,2010
316,Sam Bradford,Rams,QB,2.6016260162601625,2010
317,Malcom Floyd,Chargers,WR,2.575609756097561,2010
318,Owen Daniels,Texans,TE,2.575609756097561,2010
319,Terrell Owens,Bengals,WR,2.5745252032520325,2010
320,Chris Myers,Texans,C,2.5609756097560976,2010
321,Jason Campbell,Raiders,QB,2.5528455284552845,2010
322,Sam Baker,Falcons,LT/T,2.548780487804878,2010
323,Derrick Harvey,Jaguars,DE,2.540650406504065,2010
324,Sebastian Janikowski,Raiders,K,2.540650406504065,2010
325,Joseph Addai,Colts,RB,2.538821138211382,2010
326,Juqua Parker,Eagles,DE,2.5262439024390244,2010
327,Ndamukong Suh,Lions,DT,2.5203252032520327,2010
328,Joe Haden,Browns,CB,2.513821138211382,2010
329,Billy Volek,Chargers,QB,2.506774796747967,2010
330,Brian Dawkins,Broncos,S,2.5008130081300814,2010
331,Sage Rosenfels,Giants,QB,2.4932252032520323,2010
332,DeAngelo Williams,Panthers,RB,2.491869918699187,2010
333,Josh Brown,Rams,K,2.4846959349593494,2010
334,Matt Moore,Panthers,QB,2.4739837398373985,2010
335,Parys Haralson,49ers,DE/LB,2.4715447154471546,2010
336,Chris Crocker,Bengals,S,2.4695121951219514,2010
337,Darrius Heyward-Bey,Raiders,WR,2.459349593495935,2010
338,Bryant Johnson,Lions,WR,2.4390243902439024,2010
339,James Hall,Rams,DE,2.4390243902439024,2010
340,James Sanders,Patriots,S,2.4390243902439024,2010
341,Nick Hardwick,Chargers,C,2.4390243902439024,2010
342,Reggie Wells,Cardinals,G,2.4390243902439024,2010
343,Takeo Spikes,49ers,LB,2.4390243902439024,2010
344,Wade Smith,Texans,G,2.4390243902439024,2010
345,Will Witherspoon,Titans,OLB/LB,2.4390243902439024,2010
346,Tamba Hali,Chiefs,OLB/LB,2.3983739837398375,2010
347,Sione Pouha,Jets,DT,2.3821138211382116,2010
348,Mike Patterson,Eagles,DT,2.3780487804878048,2010
349,Nick Mangold,Jets,C,2.3609756097560974,2010
350,Cooper Carlisle,Raiders,G,2.3577235772357725,2010
351,Kevin Burnett,Chargers,OLB/LB,2.3577235772357725,2010
352,Trent Williams,Commanders,LT,2.3560975609756096,2010
353,Hakeem Nicks,Giants,WR,2.341463414634146,2010
354,Alex Mack,Browns,C,2.33739837398374,2010
355,Erik Coleman,Falcons,S,2.33739837398374,2010
356,Jabar Gaffney,Broncos,WR,2.33739837398374,2010
357,Patrick Willis,49ers,ILB,2.319512195121951,2010
358,Joey Porter,Cardinals,LB,2.303522764227642,2010
359,Kenny Britt,Titans,WR,2.291261788617886,2010
360,Olindo Mare,Seahawks,K,2.2878048780487803,2010
361,Vincent Fuller,Titans,S,2.2818430894308945,2010
362,Scott Shanle,Saints,LB,2.2764227642276422,2010
363,Tank Johnson,Bengals,DT,2.2764227642276422,2010
364,Ellis Hobbs,Eagles,CB,2.2760162601626015,2010
365,Devery Henderson,Saints,WR,2.2560975609756095,2010
366,Rob Bironas,Titans,K,2.2560975609756095,2010
367,Ryan Fitzpatrick,Bills,QB,2.239837398373984,2010
368,Adam Snyder,49ers,G,2.2357723577235773,2010
369,Chris Baker,Seahawks,TE,2.2357723577235773,2010
370,Donald Lee,Packers,TE,2.2357723577235773,2010
371,Ryan Clark,Steelers,S,2.2357723577235773,2010
372,Eugene Monroe,Jaguars,LT/T,2.221138211382114,2010
373,Michael Koenen,Falcons,P,2.220325203252033,2010
374,Alex Barron,Cowboys,LT/T,2.2201219512195123,2010
375,Fred Taylor,Patriots,RB,2.215447154471545,2010
376,Ronald Fields,Broncos,DT,2.215447154471545,2010
377,Antwan Odom,Bengals,DE,2.195121951219512,2010
378,Bobbie Williams,Bengals,G,2.195121951219512,2010
379,Scott Wells,Packers,C,2.195121951219512,2010
380,Johnathan Joseph,Bengals,CB,2.176829268292683,2010
381,B.J. Raji,Packers,DT,2.1686991869918697,2010
382,Clark Haggans,Cardinals,LB,2.154471544715447,2010
383,Jabari Greer,Saints,CB,2.154471544715447,2010
384,Mathias Kiwanuka,Giants,DE,2.1420731707317073,2010
385,Kyle Orton,Broncos,QB,2.1235772357723577,2010
386,Eric Wood,Bills,C,2.116869918699187,2010
387,Jon Kitna,Cowboys,QB,2.113821138211382,2010
388,Russell Okung,Seahawks,LT/T,2.113821138211382,2010
389,Ryan Longwell,Vikings,K,2.113821138211382,2010
390,Jon Beason,Panthers,ILB/LB,2.1131430894308942,2010
391,Andre Smith,Bengals,RT/T,2.107113821138211,2010
392,Chris Redman,Falcons,QB,2.073170731707317,2010
393,Brent Celek,Eagles,TE,2.069471544715447,2010
394,Joshua Cribbs,Browns,WR,2.063821138211382,2010
395,Todd Herremans,Eagles,G,2.059620325203252,2010
396,Tyler Brayton,Panthers,DT,2.059620325203252,2010
397,Stephen Peterman,Lions,G,2.0552845528455284,2010
398,Jonathan Stewart,Panthers,RB,2.054878048780488,2010
399,Kirk Morrison,Jaguars,LB,2.052032520325203,2010
400,Bernard Pollard,Texans,S,2.0495934959349595,2010
401,Harvey Dahl,Falcons,G,2.0495934959349595,2010
402,Ray Edwards,Vikings,DE,2.0495934959349595,2010
403,Roman Harper,Saints,SS/S,2.0495934959349595,2010
404,Stephen Tulloch,Titans,ILB/LB,2.0495934959349595,2010
405,Tyson Clabo,Falcons,RT/T,2.0495934959349595,2010
406,Willie Colon,Steelers,G,2.0495934959349595,2010
407,Brandon Marshall,Broncos,WR,2.0422764227642274,2010
408,Alan Faneca,Cardinals,G,2.0325203252032518,2010
409,Chris Carr,Ravens,CB,2.0325203252032518,2010
410,Cory Redding,Ravens,DE,2.0325203252032518,2010
