player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_corner,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,weighted_grade,weighted_average_grade
00-0026721,23.0,MISSING,0.0,2010,Bengals,-0.06,25.00%,Tom Nelson,CB,86.0,4.0,1.0,0.0,0.0,7.0,0.0,63.9,59.5,78.2,80.2,0.0,0.0,0.0,0.0,0.0,0.0,118.8,2.0,2.0,60.0,59.0,0.0,5.0,0.0,2.0,0.0,35.0,5117.0,MISSING
00-0026720,23.0,MISSING,0.0,2010,Bengals,-0.06,25.00%,Rico Murray,CB,91.0,4.0,0.0,0.0,0.0,7.0,0.0,39.7,38.5,79.6,82.3,0.0,0.0,0.0,0.0,2.0,0.0,116.2,11.0,42.0,65.0,43.0,1.0,11.0,0.0,18.0,1.0,193.0,3503.5,MISSING
00-0026151,24.0,MISSING,425.0312381121592,2010,Bills,-0.19,25.00%,Leodis McKelvin,CB,851.0,16.0,3.0,1.0,1.0,4.0,0.0,64.0,65.8,63.3,68.3,2.0,0.0,9.5,6.0,7.0,2.0,97.9,49.0,734.0,442.0,56.0,14.0,54.0,2.0,81.0,5.0,682.0,55995.8,MISSING
00-0024223,25.0,MISSING,389.3134829268642,2010,Bills,-0.19,25.00%,Donte Whitner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027018,23.0,MISSING,241.76030598629904,2010,Bills,-0.19,25.00%,Jairus Byrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024285,26.0,MISSING,116.19747527409092,2010,Bills,-0.19,25.00%,Ashton Youboty,CB,24.0,5.0,0.0,0.0,0.0,4.0,0.0,64.5,64.7,75.0,26.6,0.0,0.0,100.0,1.0,0.0,0.0,95.8,1.0,23.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1552.8000000000002,MISSING
00-0026254,26.0,MISSING,80.31581721188135,2010,Bills,-0.19,25.00%,Reggie Corner,CB,462.0,16.0,2.0,0.0,0.0,4.0,0.0,65.3,61.6,45.4,49.4,0.0,0.0,16.7,4.0,4.0,2.0,89.5,21.0,14.0,290.0,422.0,4.0,18.0,0.0,35.0,1.0,234.0,28459.2,MISSING
00-0021994,29.0,MISSING,68.20704292445734,2010,Bills,-0.19,25.00%,Drayton Florence,CB,1063.0,16.0,1.0,1.0,1.0,4.0,1.0,60.1,55.3,28.6,53.9,3.0,1.0,11.7,7.0,11.0,10.0,94.0,48.0,802.0,527.0,166.0,14.0,52.0,2.0,77.0,6.0,559.0,58783.899999999994,MISSING
00-0021951,29.0,MISSING,59.26755837793681,2010,Bills,-0.19,25.00%,Bryan Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027126,23.0,MISSING,38.332153248086094,2010,Bills,-0.19,25.00%,Cary Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022008,29.0,MISSING,27.80059540746498,2010,Bills,-0.19,25.00%,Terrence McGee,CB,313.0,9.0,3.0,0.0,0.0,4.0,0.0,72.7,75.5,84.0,74.7,0.0,0.0,7.1,1.0,2.0,0.0,80.2,10.0,273.0,172.0,20.0,3.0,10.0,1.0,20.0,1.0,95.0,23631.5,MISSING
00-0022341,29.0,MISSING,0.0,2010,Bills,-0.19,25.00%,George Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027024,24.0,MISSING,219.1991873753312,2010,Broncos,-0.13,25.00%,Darcel McBath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026208,24.0,MISSING,145.9049358515241,2010,Broncos,-0.13,25.00%,Chevis Jackson,CB,1.0,1.0,0.0,0.0,0.0,10.0,0.0,MISSING,60.0,64.2,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,MISSING
00-0027083,23.0,MISSING,88.76270544405082,2010,Broncos,-0.13,25.00%,David Bruton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027737,23.0,MISSING,75.82769076417713,2010,Broncos,-0.13,25.00%,Perrish Cox,CB,771.0,15.0,1.0,2.0,1.0,10.0,0.0,64.7,65.9,61.6,73.5,1.0,0.0,7.0,4.0,10.0,5.0,90.4,46.0,712.0,436.0,43.0,9.0,52.0,2.0,84.0,3.0,721.0,50808.9,MISSING
00-0000585,32.0,MISSING,49.82794935403922,2010,Broncos,-0.13,25.00%,Champ Bailey,CB,966.0,15.0,2.0,0.0,1.0,10.0,0.0,85.8,85.7,88.7,86.2,2.0,0.0,2.3,1.0,12.0,2.0,85.5,38.0,843.0,490.0,96.0,14.0,40.0,2.0,66.0,4.0,442.0,82786.2,69.9887653374233
00-0021194,32.0,MISSING,35.9797142050807,2010,Broncos,-0.13,25.00%,Andre' Goodman,CB,367.0,8.0,0.0,1.0,0.0,10.0,0.0,62.7,60.0,35.0,73.0,0.0,0.0,5.6,1.0,6.0,1.0,84.7,19.0,331.0,186.0,26.0,4.0,17.0,0.0,41.0,1.0,353.0,22020.0,MISSING
00-0027611,23.0,MISSING,20.004296622613804,2010,Broncos,-0.13,25.00%,Syd'Quan Thompson,CB,211.0,11.0,2.0,0.0,0.0,10.0,0.0,72.2,68.2,10.7,65.3,2.0,0.0,8.3,1.0,2.0,1.0,47.6,15.0,20.0,157.0,185.0,4.0,9.0,0.0,24.0,0.0,162.0,14390.2,MISSING
00-0022828,28.0,MISSING,11.010381737444192,2010,Broncos,-0.13,25.00%,Nathan Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0004073,36.0,MISSING,6.59690544422106,2010,Broncos,-0.13,25.00%,Brian Dawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020301,31.0,MISSING,4.722546120061762,2010,Broncos,-0.13,25.00%,Renaldo Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027290,22.0,MISSING,0.0,2010,Broncos,-0.13,25.00%,Cassius Vaughn,CB,34.0,3.0,0.0,0.0,0.0,10.0,0.0,54.3,58.8,76.4,76.7,0.0,0.0,0.0,0.0,0.0,1.0,80.2,2.0,27.0,16.0,3.0,1.0,3.0,0.0,4.0,0.0,35.0,1999.2,MISSING
00-0027286,23.0,MISSING,0.0,2010,Broncos,-0.13,25.00%,Kyle McCarthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027860,21.0,5532.0,607.0286920798213,2010,Browns,-0.12,31.30%,Joe Haden,CB,791.0,16.0,1.0,2.0,0.0,8.0,0.0,84.2,82.3,61.0,83.2,6.0,0.0,3.7,2.0,11.0,3.0,50.1,41.0,728.0,452.0,14.0,17.0,51.0,0.0,77.0,2.0,508.0,65099.3,MISSING
00-0027653,23.0,MISSING,285.03213290553674,2010,Browns,-0.12,31.30%,T.J. Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025440,25.0,MISSING,166.12896737855115,2010,Browns,-0.12,31.30%,Eric Wright,CB,708.0,13.0,4.0,0.0,0.0,8.0,1.0,38.8,50.5,87.5,58.6,1.0,0.0,15.1,8.0,5.0,4.0,121.5,43.0,357.0,383.0,253.0,12.0,41.0,4.0,65.0,6.0,623.0,35754.0,MISSING
00-0025451,27.0,MISSING,139.3327309780732,2010,Browns,-0.12,31.30%,Sabby Piscitelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021186,31.0,MISSING,41.16963128105659,2010,Browns,-0.12,31.30%,Sheldon Brown,CB,890.0,16.0,5.0,0.0,0.0,8.0,0.0,65.9,71.2,89.9,61.8,2.0,0.0,11.8,8.0,8.0,3.0,114.2,46.0,776.0,482.0,9.0,16.0,55.0,1.0,72.0,7.0,657.0,63368.0,MISSING
00-0027128,23.0,MISSING,34.43331479402202,2010,Browns,-0.12,31.30%,Coye Francies,CB,17.0,1.0,0.0,0.0,0.0,8.0,0.0,70.6,70.5,74.1,75.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,15.0,14.0,2.0,0.0,2.0,0.0,2.0,0.0,16.0,1198.5,MISSING
00-0023589,28.0,MISSING,30.05502765320252,2010,Browns,-0.12,31.30%,Eric King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023316,27.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Raymond Ventrone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022247,29.0,1972.0,0.0,2010,Browns,-0.12,31.30%,Mike Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020107,32.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Nick Sorensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024834,25.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Derrick Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023405,28.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Abram Elam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026160,24.0,4334.0,328.86955647900874,2010,Buccaneers,0.05,62.50%,Aqib Talib,CB,635.0,11.0,1.0,0.0,0.0,30.0,0.0,74.7,78.2,87.4,72.1,6.0,1.0,7.0,3.0,7.0,2.0,75.6,35.0,586.0,358.0,33.0,9.0,39.0,1.0,59.0,5.0,502.0,49657.0,MISSING
00-0027672,22.0,MISSING,180.85844969570425,2010,Buccaneers,0.05,62.50%,Myron Lewis,CB,196.0,9.0,0.0,1.0,0.0,30.0,0.0,45.9,47.8,83.3,31.5,0.0,0.0,25.0,3.0,3.0,2.0,85.8,11.0,188.0,160.0,6.0,2.0,9.0,0.0,22.0,1.0,142.0,9368.8,MISSING
