,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Team,Year,weighted_grade,weighted_average_grade
36,Anthony Adams,CHI,DI,654,1372,18,1,1,0,3,6,0,0,55.4,65.8,60.0,53.0,68.3,5,10,3.6,1,2,0.0,2,654,0,653,0,1,22,26,3,17,Bears,2010,36231.6,
37,Cory Redding,BLT,DI,683,1381,17,7,2,0,0,3,1,1,55.7,30.5,63.8,53.3,65.4,8,20,8.1,3,5,0.0,4,683,108,214,0,359,24,27,5,32,Ravens,2010,38043.1,
38,Nick Eason,PIT,DI,529,1426,19,1,0,0,0,25,0,0,43.8,84.3,46.1,47.1,36.7,0,7,23.1,3,0,108.3,2,529,126,35,0,351,9,9,0,9,Steelers,2010,23170.199999999997,
39,Aubrayo Franklin,SF,DI,566,1455,16,2,1,0,0,28,1,0,75.3,58.0,52.8,82.9,69.0,0,4,8.3,4,2,87.5,0,566,516,49,0,1,37,42,2,4,49ers,2010,42619.799999999996,
40,Antonio Garay,SD,DI,457,1497,16,4,0,0,0,27,0,0,87.2,51.7,82.2,79.9,82.6,5,18,0.0,0,2,0.0,6,457,376,43,0,35,35,32,4,29,Chargers,2010,39850.4,
41,Tony Brown,TEN,DI,424,1574,11,4,0,0,0,31,0,0,51.8,0.0,65.3,56.5,55.4,5,9,11.8,2,6,104.2,4,424,14,367,0,26,8,11,1,18,Titans,2010,21963.199999999997,
42,Jacques Cesaire,SD,DI,607,1582,16,4,0,0,0,27,0,0,51.3,72.1,54.8,49.2,41.7,2,14,12.1,4,1,0.0,2,607,74,162,0,371,21,25,6,18,Chargers,2010,31139.1,
43,Colin Cole,SEA,DI,525,1589,13,3,6,0,0,29,0,0,67.1,59.0,59.0,71.3,79.1,0,5,2.3,1,1,0.0,1,525,79,425,0,21,33,40,3,6,Seahawks,2010,35227.5,
44,Cullen Jenkins,GB,DI,566,1637,15,2,1,0,0,12,0,0,66.0,71.3,70.4,46.2,66.2,10,27,25.0,4,1,0.0,8,556,32,26,17,471,16,10,2,45,Packers,2010,37356.0,
45,Shaun Smith,KC,DI,480,1702,17,17,0,1,0,16,0,0,67.7,54.7,52.7,75.8,81.0,0,8,1.9,1,2,0.0,1,480,111,36,0,333,28,35,2,9,Chiefs,2010,32496.0,
46,Tommie Harris,CHI,DI,617,1735,17,2,1,0,0,6,2,0,63.6,87.7,62.3,57.3,60.4,2,18,15.4,2,0,39.6,3,617,5,611,0,1,9,9,1,23,Bears,2010,39241.200000000004,
47,Vince Wilfork,NE,DI,818,1742,17,8,1,0,0,19,1,0,69.5,59.7,56.0,74.7,77.6,2,14,9.4,6,3,39.6,2,818,405,112,0,300,41,50,7,18,Patriots,2010,56851.0,
48,Igor Olshansky,DAL,DI,569,1756,16,9,1,0,0,9,0,0,61.5,56.1,53.5,63.8,67.1,2,10,8.8,3,3,39.6,0,569,24,100,0,445,16,22,1,12,Cowboys,2010,34993.5,
49,Junior Siavii,SEA,DI,383,1757,14,3,2,0,0,29,0,0,61.2,63.9,61.4,60.1,53.5,4,3,6.9,2,1,0.0,0,383,35,298,0,50,19,24,3,7,Seahawks,2010,23439.600000000002,
50,Tank Johnson,CIN,DI,223,1768,7,5,0,0,0,7,0,0,63.4,56.2,64.4,61.9,72.9,2,4,16.7,2,1,0.0,0,223,0,223,0,0,5,5,1,6,Bengals,2010,14138.199999999999,
51,Darnell Dockett,ARZ,DI,903,1785,15,5,1,0,1,1,3,0,52.1,52.9,66.6,40.3,70.8,11,19,4.4,2,3,79.2,5,903,150,150,0,601,35,38,5,35,Cardinals,2010,47046.3,
52,Randy Starks,MIA,DI,734,1792,16,1,2,0,0,17,1,0,61.3,53.9,67.3,54.0,78.3,3,24,0.0,0,1,39.6,4,734,103,277,0,350,24,25,0,31,Dolphins,2010,44994.2,
53,Darrion Scott,WAS,DI,29,1809,2,0,0,0,0,32,0,0,71.4,74.3,59.7,71.5,69.2,1,0,0.0,0,0,0.0,0,29,0,2,0,27,2,2,0,1,Commanders,2010,2070.6000000000004,
54,Tony Hargrove,NO,DI,438,1812,14,5,0,1,1,20,0,0,66.7,53.5,58.4,72.6,76.3,3,8,0.0,0,3,0.0,1,438,51,352,0,35,14,20,2,12,Saints,2010,29214.600000000002,
55,Isaac Sopoaga,SF,DI,569,1825,16,7,1,0,0,28,0,0,45.6,71.6,47.9,51.1,56.0,2,8,9.7,3,1,83.3,2,559,8,15,1,408,19,21,2,12,49ers,2010,25946.4,
56,Antonio Smith,HST,DI,902,1856,16,6,2,0,1,13,0,0,57.3,18.3,74.9,40.8,51.7,18,43,20.0,7,8,0.0,3,877,25,204,4,636,19,22,3,64,Texans,2010,51684.6,
57,Amon Gordon,SEA,DI,73,1879,4,0,0,0,0,29,0,0,51.7,78.6,52.6,53.8,69.5,0,0,50.0,2,0,0.0,0,73,8,65,0,0,1,2,0,0,Seahawks,2010,3774.1000000000004,
