player_id,Year,Team,Cap_Space,position_x,age,adjusted_value,Net EPA,Win %,player,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,weighted_average_grade
00-0030584,2020,Chiefs,7.6849979818365295,,29.0,272.53179303401265,0.112,84.20%,Eric Fisher,T,99.9,0.0,16.0,80.0,76.1,72.7,8.0,23.0,661.0,99.8,99.9,97.2,3.0,34.0,3.0,1048.0,0.0,0.0,1046.0,1049.0,702.0,703.0,0.0,0.0,346.0,3.0,83920.0,MISSING
00-0029253,2020,Chiefs,5.459132189707367,,31.0,58.5212567998298,0.112,84.20%,Mitchell Schwartz,T,100.0,0.0,16.0,74.7,78.6,63.0,1.0,5.0,224.0,100.0,100.0,97.8,1.0,8.0,2.0,357.0,0.0,0.0,0.0,357.0,242.0,242.0,0.0,356.0,115.0,1.0,26667.9,MISSING
00-0031279,2020,Falcons,5.430978809283552,,28.0,233.73195201848125,-0.029,25.00%,Jake Matthews,T,100.0,0.0,2.0,75.5,84.0,57.5,6.0,20.0,685.0,100.0,100.0,97.7,3.0,29.0,3.0,1113.0,0.0,0.0,1112.0,1113.0,724.0,724.0,0.0,0.0,389.0,1.0,84031.5,72.52334841628958
00-0035235,2020,Falcons,1.177155903128153,,25.0,290.26000182777,-0.029,25.00%,Kaleb McGary,T,100.0,0.0,2.0,64.3,58.5,65.9,9.0,17.0,534.0,100.0,100.0,96.8,1.0,30.0,4.0,890.0,0.0,0.0,0.0,890.0,566.0,566.0,0.0,889.0,324.0,1.0,57227.0,MISSING
00-0035743,2020,Eagles,0.2604318869828456,,23.0,0.0,-0.08,26.70%,Brett Toth,T,100.0,0.0,24.0,61.4,54.8,65.4,0.0,7.0,61.0,100.0,100.0,92.6,0.0,8.0,1.0,97.0,0.0,0.0,0.0,97.0,68.0,68.0,0.0,95.0,29.0,1.0,5955.8,MISSING
00-0022531,2020,Eagles,2.0433905146316853,,38.0,0.0,-0.08,26.70%,Jason Peters,T,100.0,0.0,24.0,67.6,66.1,62.4,4.0,16.0,320.0,100.0,100.0,94.4,0.0,28.0,8.0,509.0,0.0,0.0,405.0,509.0,339.0,339.0,102.0,0.0,170.0,2.0,34408.399999999994,MISSING
00-0034429,2020,Eagles,0.3518405650857719,,23.0,14.849316061831953,-0.08,26.70%,Jordan Mailata,T,100.0,0.0,24.0,70.4,67.8,68.3,7.0,18.0,467.0,100.0,100.0,95.8,3.0,32.0,7.0,733.0,0.0,2.0,641.0,733.0,503.0,503.0,0.0,87.0,230.0,1.0,51603.2,MISSING
00-0030561,2020,Eagles,5.195865792129163,,30.0,190.6467390546783,-0.08,26.70%,Lane Johnson,T,100.0,0.0,24.0,71.9,83.1,59.7,2.0,2.0,239.0,100.0,100.0,98.7,2.0,5.0,1.0,405.0,0.0,0.0,0.0,405.0,251.0,251.0,0.0,405.0,154.0,0.0,29119.500000000004,MISSING
00-0031893,2020,Dolphins,2.4495459132189707,,28.0,0.0,0.049,62.50%,Jesse Davis,T,100.0,0.0,17.0,62.6,62.1,58.6,10.0,23.0,617.0,100.0,100.0,97.2,2.0,34.0,1.0,1055.0,0.0,0.0,186.0,1055.0,657.0,657.0,509.0,354.0,398.0,4.0,66043.0,MISSING
00-0033560,2020,Dolphins,1.076185671039354,,25.0,60.47952520331469,0.049,62.50%,Julie'n Davenport,T,100.0,0.0,17.0,72.3,87.6,57.4,0.0,0.0,28.0,100.0,100.0,100.0,0.0,0.0,0.0,53.0,0.0,0.0,33.0,53.0,30.0,30.0,0.0,0.0,23.0,19.0,3831.9,MISSING
00-0036248,2020,Dolphins,1.2263627648839557,,21.0,421.0608020507075,0.049,62.50%,Austin Jackson,T,100.0,3.0,17.0,52.5,53.3,49.7,5.0,29.0,506.0,100.0,100.0,95.8,5.0,38.0,4.0,848.0,0.0,0.0,844.0,848.0,543.0,543.0,0.0,0.0,305.0,3.0,44520.0,MISSING
00-0036036,2020,Cowboys,0.3094515640766902,,23.0,0.0,-0.101,37.50%,Terence Steele,T,100.0,2.0,9.0,50.3,49.1,52.6,5.0,34.0,591.0,100.0,100.0,95.2,6.0,48.0,9.0,970.0,0.0,0.0,1.0,970.0,616.0,616.0,0.0,969.0,354.0,0.0,48791.0,MISSING
