player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,sacks,snap_counts_box,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,stops,tackles,tackles_for_loss,targets,total_pressures,weighted_grade,weighted_average_grade
00-0022810,29.0,MISSING,44.93040346757768,2010,Bills,-0.19,25.00%,Reggie Torbor,LB,411.0,10.0,8.0,0.0,0.0,4.0,0.0,75.9,64.0,79.7,62.0,53.4,85.3,1.0,4.0,0.0,5.4,2.0,2.0,0.0,1.0,263.0,286.0,47.0,241.0,13.0,27.0,0.0,12.0,6.0,26304.0,MISSING
00-0024392,26.0,MISSING,30.567515317754975,2010,Bills,-0.19,25.00%,Keith Ellison,LB,121.0,3.0,0.0,0.0,0.0,4.0,0.0,60.6,53.4,77.9,49.2,52.4,67.8,0.0,0.0,0.0,7.7,1.0,1.0,0.0,0.0,119.0,120.0,10.0,60.0,5.0,12.0,0.0,6.0,0.0,6461.4,MISSING
00-0021214,30.0,MISSING,27.231697132595947,2010,Bills,-0.19,25.00%,Akin Ayodele,LB,480.0,15.0,17.0,0.0,0.0,4.0,0.0,79.9,68.8,83.8,49.7,58.2,86.9,0.0,0.0,0.0,6.0,5.0,2.0,0.0,0.0,478.0,479.0,10.0,312.0,30.0,61.0,3.0,23.0,0.0,33024.0,MISSING
00-0021257,31.0,MISSING,14.614729845383502,2010,Bills,-0.19,25.00%,Andra Davis,LB,220.0,6.0,11.0,0.0,1.0,4.0,0.0,57.6,58.0,82.4,60.9,58.2,57.8,0.0,0.0,1.0,12.5,4.0,0.0,0.0,0.0,220.0,220.0,6.0,146.0,7.0,17.0,2.0,7.0,0.0,12760.0,MISSING
00-0027209,23.0,MISSING,0.0,2010,Bills,-0.19,25.00%,Antonio Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027374,26.0,MISSING,0.0,2010,Bills,-0.19,25.00%,Mike Balogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025764,25.0,MISSING,0.0,2010,Bills,-0.19,25.00%,Jon Corto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024017,28.0,MISSING,0.0,2010,Bills,-0.19,25.00%,Pierre Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026994,24.0,MISSING,380.9915689637124,2010,Broncos,-0.13,25.00%,Robert Ayers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025404,26.0,MISSING,320.6535532322126,2010,Broncos,-0.13,25.00%,Jarvis Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027028,24.0,MISSING,205.94739815439215,2010,Broncos,-0.13,25.00%,David Veikune,LB,1.0,1.0,0.0,0.0,0.0,10.0,0.0,MISSING,59.5,61.7,58.7,MISSING,MISSING,0.0,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,MISSING
00-0022780,28.0,MISSING,159.23184214361316,2010,Broncos,-0.13,25.00%,D.J. Williams,LB,1063.0,16.0,16.0,0.0,1.0,10.0,1.0,74.5,73.4,71.5,73.8,62.7,90.1,4.0,6.0,0.0,3.3,4.0,3.0,1.0,6.0,1018.0,1050.0,95.0,502.0,61.0,101.0,4.0,55.0,16.0,78024.20000000001,MISSING
00-0026340,25.0,MISSING,26.76924061964463,2010,Broncos,-0.13,25.00%,Joe Mays,LB,230.0,8.0,3.0,0.0,0.0,10.0,0.0,36.8,59.0,6.7,55.0,83.2,75.4,0.0,1.0,0.0,5.9,2.0,0.0,2.0,0.0,222.0,227.0,12.0,129.0,22.0,29.0,3.0,15.0,1.0,13570.0,MISSING
00-0022034,30.0,MISSING,5.268971209882241,2010,Broncos,-0.13,25.00%,Mario Haggan,LB,1090.0,16.0,10.0,0.0,2.0,10.0,1.0,33.0,57.4,33.3,58.6,76.2,71.2,6.0,12.0,0.0,9.3,8.0,0.0,5.0,5.0,725.0,778.0,305.0,528.0,51.0,68.0,6.0,29.0,23.0,62566.0,MISSING
00-0027276,23.0,MISSING,0.0,2010,Broncos,-0.13,25.00%,Kevin Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025828,24.0,4583.0,0.0,2010,Broncos,-0.13,25.00%,Wesley Woodyard,LB,145.0,7.0,3.0,0.0,1.0,10.0,0.0,28.3,47.4,82.1,86.2,68.5,53.8,1.0,2.0,0.0,19.0,4.0,0.0,0.0,1.0,142.0,143.0,16.0,80.0,7.0,14.0,0.0,12.0,4.0,6873.0,MISSING
00-0026763,24.0,MISSING,0.0,2010,Broncos,-0.13,25.00%,Diyral Briggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026522,23.0,MISSING,0.0,2010,Broncos,-0.13,25.00%,Lee Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023890,27.0,MISSING,0.0,2010,Broncos,-0.13,25.00%,Jason Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024249,26.0,MISSING,203.9572801816283,2010,Browns,-0.12,31.30%,D'Qwell Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023481,27.0,MISSING,124.28133523169616,2010,Browns,-0.12,31.30%,Matt Roth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024286,26.0,MISSING,114.94028166105448,2010,Browns,-0.12,31.30%,Chris Gocong,LB,962.0,16.0,13.0,0.0,1.0,8.0,2.0,72.8,76.5,90.7,67.0,70.4,69.7,3.0,16.0,0.0,9.9,7.0,3.0,0.0,2.0,875.0,888.0,152.0,492.0,35.0,51.0,5.0,31.0,21.0,73593.0,MISSING
00-0027074,23.0,MISSING,100.541862623757,2010,Browns,-0.12,31.30%,Kaluka Maiava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021259,31.0,MISSING,14.293756593709826,2010,Browns,-0.12,31.30%,Scott Fujita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0000846,32.0,MISSING,5.634815365926207,2010,Browns,-0.12,31.30%,Eric Barton,LB,664.0,16.0,11.0,0.0,0.0,8.0,1.0,74.2,76.0,24.7,67.1,72.0,89.0,2.0,5.0,0.0,3.2,2.0,2.0,1.0,0.0,647.0,650.0,42.0,386.0,28.0,49.0,2.0,17.0,7.0,50464.0,84.01521915584415
