,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Team,Year,weighted_grade,weighted_average_grade
54,Bernard Pollard,HST,S,987,2999,15,19,0,4,13,0,39.3,55.9,40.8,86.1,0,0,7.0,8,3,5,124.9,24,576,342,557,57,34,87,2,38,6,279,Texans,2010,55173.299999999996,
55,Anthony Smith,GB,S,163,3028,5,2,0,0,12,0,65.6,60.3,77.7,43.4,1,0,23.8,5,0,0,44.0,5,135,24,101,0,3,14,0,7,0,37,Packers,2010,9828.9,
56,Eric Smith,NYJ,S,693,3042,16,7,0,0,22,0,57.6,56.5,14.8,75.5,0,0,10.8,8,4,5,92.5,20,358,291,338,33,14,59,0,33,1,236,Jets,2010,39154.5,
57,Dawan Landry,BLT,S,1121,3091,18,14,0,1,3,1,74.5,79.8,86.2,89.9,1,1,6.3,7,3,0,102.5,28,751,316,642,47,35,90,4,49,5,321,Ravens,2010,89455.8,
58,Charlie Peprah,GB,S,906,3103,17,11,0,1,12,0,56.3,58.1,85.0,64.7,2,0,15.2,14,2,0,77.6,31,639,243,560,17,22,67,3,50,1,406,Packers,2010,52638.6,
59,Reed Doughty,WAS,S,615,3118,14,16,0,0,32,0,49.9,56.6,84.1,84.6,0,0,6.8,5,2,0,111.2,21,396,200,354,14,18,53,0,32,2,258,Commanders,2010,34809.0,
60,Tyrone Culver,MIA,S,117,3130,8,1,0,0,17,0,41.7,39.7,77.0,74.1,0,0,7.7,1,0,0,126.4,4,88,21,77,6,3,11,1,6,2,42,Dolphins,2010,4644.900000000001,
61,Marcus Hudson,CAR,S,84,3137,14,0,0,0,5,0,67.4,70.6,80.6,30.0,0,0,28.6,2,2,0,122.5,6,9,58,69,14,4,5,0,9,1,60,Panthers,2010,5930.4,
62,Antoine Bethea,IND,S,1102,3152,17,18,0,1,14,0,66.0,74.4,84.7,90.4,1,0,5.4,6,6,0,104.3,18,888,184,622,22,21,88,1,36,4,303,Colts,2010,81988.8,
63,Derrick Martin,GB,S,66,3153,3,0,0,0,12,0,56.8,57.0,74.7,78.2,1,0,0.0,0,0,0,8.3,1,56,6,53,2,1,2,0,3,0,13,Packers,2010,3762.0,
