player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,weighted_grade,weighted_average_grade
00-0022341,29.0,MISSING,0.0,2010,Bills,-0.19,25.00%,George Wilson,S,256.0,15.0,0.0,0.0,0.0,4.0,0.0,69.6,70.3,81.3,40.2,2.0,0.0,26.3,5.0,2.0,0.0,38.4,5.0,146.0,100.0,109.0,5.0,9.0,14.0,0.0,9.0,0.0,64.0,17996.8,MISSING
00-0027024,24.0,MISSING,219.1991873753312,2010,Broncos,-0.13,25.00%,Darcel McBath,S,160.0,6.0,1.0,0.0,0.0,10.0,0.0,44.2,47.7,79.1,72.7,0.0,0.0,7.7,1.0,1.0,0.0,115.6,4.0,100.0,52.0,109.0,4.0,1.0,11.0,0.0,8.0,1.0,62.0,7632.0,MISSING
00-0026208,24.0,MISSING,145.9049358515241,2010,Broncos,-0.13,25.00%,Chevis Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027083,23.0,MISSING,88.76270544405082,2010,Broncos,-0.13,25.00%,David Bruton,S,169.0,10.0,0.0,0.0,0.0,10.0,0.0,54.4,55.8,82.1,29.1,0.0,0.0,15.4,2.0,0.0,0.0,118.8,1.0,57.0,106.0,59.0,2.0,5.0,11.0,2.0,4.0,1.0,73.0,9430.2,MISSING
00-0027737,23.0,MISSING,75.82769076417713,2010,Broncos,-0.13,25.00%,Perrish Cox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0000585,32.0,MISSING,49.82794935403922,2010,Broncos,-0.13,25.00%,Champ Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021194,32.0,MISSING,35.9797142050807,2010,Broncos,-0.13,25.00%,Andre' Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027611,23.0,MISSING,20.004296622613804,2010,Broncos,-0.13,25.00%,Syd'Quan Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022828,28.0,MISSING,11.010381737444192,2010,Broncos,-0.13,25.00%,Nathan Jones,S,581.0,16.0,2.0,0.0,0.0,10.0,0.0,57.5,61.5,86.1,88.5,0.0,0.0,3.8,2.0,2.0,0.0,108.5,38.0,168.0,195.0,341.0,202.0,13.0,48.0,2.0,49.0,1.0,412.0,35731.5,MISSING
00-0004073,36.0,MISSING,6.59690544422106,2010,Broncos,-0.13,25.00%,Brian Dawkins,S,678.0,11.0,6.0,0.0,2.0,10.0,0.0,54.7,65.0,47.5,86.1,1.0,0.0,4.6,3.0,2.0,2.0,131.8,20.0,276.0,374.0,328.0,13.0,16.0,56.0,1.0,29.0,3.0,396.0,44070.0,64.03557884231537
00-0020301,31.0,MISSING,4.722546120061762,2010,Broncos,-0.13,25.00%,Renaldo Hill,S,1052.0,16.0,9.0,0.0,0.0,10.0,1.0,53.3,64.9,84.5,91.5,2.0,0.0,1.5,1.0,1.0,1.0,52.2,14.0,855.0,175.0,515.0,18.0,14.0,58.0,0.0,28.0,1.0,177.0,68274.8,MISSING
00-0027290,22.0,MISSING,0.0,2010,Broncos,-0.13,25.00%,Cassius Vaughn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027286,23.0,MISSING,0.0,2010,Broncos,-0.13,25.00%,Kyle McCarthy,S,37.0,4.0,0.0,0.0,0.0,10.0,0.0,59.4,56.7,77.6,29.8,0.0,0.0,33.3,1.0,0.0,0.0,97.9,2.0,5.0,32.0,22.0,0.0,0.0,2.0,0.0,2.0,0.0,15.0,2097.9,MISSING
00-0027860,21.0,5532.0,607.0286920798213,2010,Browns,-0.12,31.30%,Joe Haden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027653,23.0,MISSING,285.03213290553674,2010,Browns,-0.12,31.30%,T.J. Ward,S,1053.0,16.0,14.0,0.0,1.0,8.0,0.0,37.9,56.0,60.4,66.4,2.0,0.0,12.0,13.0,8.0,1.0,87.2,30.0,881.0,158.0,532.0,9.0,21.0,81.0,4.0,48.0,2.0,421.0,58968.0,MISSING
00-0025440,25.0,MISSING,166.12896737855115,2010,Browns,-0.12,31.30%,Eric Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025451,27.0,MISSING,139.3327309780732,2010,Browns,-0.12,31.30%,Sabby Piscitelli,S,143.0,9.0,0.0,0.0,0.0,8.0,0.0,54.0,53.2,78.6,64.0,1.0,0.0,11.8,2.0,0.0,0.0,118.8,6.0,94.0,42.0,78.0,7.0,3.0,15.0,0.0,6.0,2.0,104.0,7607.6,MISSING
00-0021186,31.0,MISSING,41.16963128105659,2010,Browns,-0.12,31.30%,Sheldon Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027128,23.0,MISSING,34.43331479402202,2010,Browns,-0.12,31.30%,Coye Francies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023589,28.0,MISSING,30.05502765320252,2010,Browns,-0.12,31.30%,Eric King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023316,27.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Ray Ventrone,S,105.0,12.0,1.0,0.0,1.0,8.0,0.0,42.6,42.1,82.1,40.6,0.0,0.0,25.0,3.0,0.0,1.0,144.4,11.0,8.0,84.0,76.0,11.0,4.0,8.0,0.0,13.0,1.0,188.0,4420.5,MISSING
00-0022247,29.0,1972.0,0.0,2010,Browns,-0.12,31.30%,Mike Adams,S,306.0,15.0,2.0,0.0,0.0,8.0,0.0,56.3,61.0,85.0,74.6,2.0,0.0,8.6,3.0,3.0,0.0,96.0,29.0,18.0,119.0,234.0,141.0,10.0,30.0,0.0,40.0,3.0,282.0,18666.0,MISSING
00-0020107,32.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Nick Sorensen,S,14.0,10.0,0.0,0.0,0.0,8.0,0.0,61.2,59.6,72.4,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,39.6,0.0,4.0,8.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,834.4,MISSING
00-0024834,25.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Derrick Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023405,28.0,MISSING,0.0,2010,Browns,-0.12,31.30%,Abram Elam,S,1047.0,16.0,8.0,0.0,2.0,8.0,1.0,62.4,64.1,85.3,79.4,2.0,0.0,10.3,8.0,6.0,0.0,77.1,19.0,766.0,257.0,517.0,15.0,13.0,62.0,2.0,33.0,2.0,254.0,67112.7,MISSING
00-0026160,24.0,4334.0,328.86955647900874,2010,Buccaneers,0.05,62.50%,Aqib Talib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027672,22.0,MISSING,180.85844969570425,2010,Buccaneers,0.05,62.50%,Myron Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025451,27.0,MISSING,139.3327309780732,2010,Buccaneers,0.05,62.50%,Sabby Piscitelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025493,25.0,MISSING,80.46302930421523,2010,Buccaneers,0.05,62.50%,Tanard Jackson,S,129.0,2.0,1.0,0.0,0.0,30.0,0.0,56.2,50.3,76.9,52.3,0.0,0.0,18.2,2.0,0.0,0.0,65.5,5.0,106.0,19.0,72.0,1.0,4.0,8.0,2.0,9.0,0.0,37.0,6488.7,MISSING
00-0022844,28.0,MISSING,75.0159591623584,2010,Buccaneers,0.05,62.50%,Sean Jones,S,938.0,16.0,16.0,0.0,0.0,30.0,1.0,53.4,60.5,57.7,60.4,1.0,0.0,15.5,13.0,2.0,2.0,51.9,12.0,718.0,196.0,494.0,18.0,16.0,55.0,1.0,25.0,0.0,159.0,56749.0,MISSING
00-0027759,22.0,MISSING,57.99784614601104,2010,Buccaneers,0.05,62.50%,Larry Asante,S,12.0,2.0,0.0,0.0,0.0,30.0,0.0,73.1,77.2,70.0,75.2,1.0,0.0,0.0,0.0,0.0,0.0,47.9,1.0,9.0,3.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,926.4,MISSING
00-0026317,25.0,MISSING,37.72076991734133,2010,Buccaneers,0.05,62.50%,Corey Lynch,S,312.0,5.0,3.0,0.0,0.0,30.0,0.0,59.2,60.1,79.1,79.5,1.0,0.0,5.6,1.0,1.0,0.0,95.4,3.0,289.0,18.0,181.0,2.0,1.0,14.0,0.0,5.0,1.0,52.0,18751.2,MISSING
00-0027805,23.0,MISSING,27.57244010423298,2010,Buccaneers,0.05,62.50%,Cody Grimm,S,526.0,9.0,12.0,0.0,1.0,30.0,0.0,62.3,66.8,50.5,79.7,2.0,1.0,8.5,5.0,0.0,1.0,102.4,10.0,424.0,92.0,284.0,7.0,14.0,42.0,0.0,15.0,4.0,161.0,35136.799999999996,MISSING
00-0026945,23.0,MISSING,21.675412045587656,2010,Buccaneers,0.05,62.50%,E.J. Biggers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0000741,35.0,MISSING,8.259320625354707,2010,Buccaneers,0.05,62.50%,Ronde Barber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027210,23.0,MISSING,0.0,2010,Buccaneers,0.05,62.50%,Dominique Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025902,24.0,MISSING,0.0,2010,Buccaneers,0.05,62.50%,Elbert Mack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
