,player,player_id,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Team,Year,weighted_grade,weighted_average_grade
1585,Jesper Horsted,91465,LV,TE,1.0,0,100.0,,0,0,0,0.0,0,0,23,0,64.7,61.2,56.3,67.4,56.0,42.9,3,0,4,14.3,1,7,0,1,85.7,6,42.9,3,83.3,1,0,14.3,1,4,3,3.0,4.0,0.67,1,1,7,Raiders,2023,394.09999999999997,
616,Jesse James,9593,PIT,TE,7.7,2,81.8,,0,0,0,0.0,0,3,25,0,78.0,71.1,71.6,64.9,65.2,87.9,116,0,22,22.7,30,132,0,9,72.7,96,6.8,9,126.5,11,1,3.8,5,78,38,4.2,8.7,0.81,30,77,130,Steelers,2015,9308.0,
665,Jesse James,9593,PIT,TE,7.3,2,69.4,66.7,2,3,0,7.4,4,27,25,0,58.8,79.5,64.8,64.2,56.5,69.7,407,4,26,15.1,88,584,3,50,80.5,470,26.5,155,78.2,72,3,3.1,18,475,180,3.6,9.5,1.01,88,442,580,Steelers,2016,37584.0,
778,Jesse James,9593,PIT,TE,7.2,7,71.0,63.6,7,11,0,4.3,2,21,25,0,68.3,78.5,57.2,60.8,55.8,65.9,361,0,32,12.8,70,548,2,44,82.7,453,27.2,149,103.2,62,3,5.5,30,384,193,4.4,8.7,0.85,70,375,540,Steelers,2017,30888.0,
902,Jesse James,9593,PIT,TE,7.9,0,76.9,60.0,3,5,1,6.3,2,17,25,0,67.3,76.5,65.2,75.8,62.3,74.3,255,1,51,10.8,37,343,3,30,83.1,285,21.3,73,117.8,39,2,3.2,11,423,184,6.1,14.1,1.48,37,220,339,Steelers,2018,22102.8,
1039,Jesse James,9593,DET,TE,5.5,0,64.0,0.0,0,2,0,11.1,2,8,11,0,53.3,73.3,53.7,48.3,55.9,77.0,208,0,23,31.9,86,270,2,16,63.7,172,17.0,46,79.1,25,0,5.2,14,142,61,3.8,8.9,0.83,86,223,268,Lions,2019,14391.6,
1165,Jesse James,9593,DET,TE,6.2,1,66.7,100.0,2,2,1,0.0,0,6,11,0,80.6,72.7,61.2,70.5,56.0,84.4,200,2,31,28.7,68,237,3,14,67.1,159,10.1,24,75.4,21,2,5.5,13,129,79,5.6,9.2,0.81,68,228,237,Lions,2020,14504.400000000001,
1315,Jesse James,9593,CHI,TE,7.0,1,87.5,0.0,0,1,0,0.0,0,3,6,0,75.6,69.5,59.4,76.4,56.3,69.6,96,0,19,25.4,35,138,0,7,72.5,100,21.0,29,138.5,8,1,8.0,11,62,21,3.0,8.9,0.62,35,127,136,Bears,2021,8078.4,
68,Jim Dray,5756,ARZ,TE,5.1,1,33.3,,0,0,0,25.0,1,3,1,0,36.8,65.8,51.8,64.6,38.9,72.3,81,0,24,32.1,36,112,1,3,66.1,74,20.5,23,51.6,9,0,1.8,2,47,23,7.7,15.7,0.64,36,74,106,Cardinals,2010,5490.799999999999,
192,Jim Dray,5756,ARZ,TE,6.8,0,50.0,,0,0,0,0.0,0,1,1,0,68.3,64.0,51.0,39.6,50.7,58.0,40,0,20,29.0,20,69,1,2,66.7,46,18.8,13,69.8,4,0,2.9,2,25,4,2.0,12.5,0.54,20,55,55,Cardinals,2011,2805.0,
306,Jim Dray,5756,ARZ,TE,6.5,0,100.0,,0,0,0,0.0,0,1,1,0,68.3,64.0,73.8,70.4,69.8,40.0,4,0,12,10.0,1,10,0,2,80.0,8,30.0,3,97.9,2,0,0.0,0,15,2,1.0,7.5,1.88,1,24,7,Cardinals,2012,516.6,
362,Jim Dray,5756,ARZ,TE,5.0,2,83.9,,0,0,0,0.0,0,13,1,1,86.7,26.5,66.2,67.3,57.3,74.9,259,2,18,35.3,122,346,4,26,61.0,211,8.7,30,90.2,31,2,0.3,1,215,98,3.8,8.3,1.02,122,340,290,Cardinals,2013,19198.0,
473,Jim Dray,5756,CLV,TE,8.3,0,63.0,,0,0,0,5.6,1,12,8,0,68.5,73.8,67.9,79.0,65.4,87.0,220,2,31,27.7,70,253,4,17,68.0,172,5.5,14,73.4,27,1,2.8,7,242,110,6.5,14.2,1.41,70,346,241,Browns,2014,16363.900000000001,
598,Jim Dray,5756,CLV,TE,8.5,0,40.0,,0,0,0,25.0,2,3,8,0,29.8,68.8,48.9,63.4,39.7,71.6,156,0,18,23.4,51,218,3,6,72.5,158,18.8,41,52.4,15,0,6.9,15,61,35,5.8,10.2,0.39,51,229,212,Browns,2015,10366.8,
50,Jim Kleinsasser,469,MIN,TE,4.3,1,85.0,,0,0,1,0.0,0,6,18,0,82.2,73.6,79.9,76.5,63.7,86.2,200,1,20,48.7,113,232,6,17,48.7,113,5.6,13,76.7,20,0,5.6,13,148,84,4.9,8.7,1.31,113,270,226,Vikings,2010,18057.4,
35,Jimmy Graham,5619,NO,TE,9.0,1,73.8,,0,0,0,8.8,3,21,20,1,61.3,39.4,76.3,74.9,76.9,31.4,54,2,52,3.5,6,172,1,31,93.0,160,34.9,60,118.7,42,5,30.8,53,356,152,4.9,11.5,2.23,6,61,167,Saints,2010,12742.1,
106,Jimmy Graham,5619,NO,TE,9.8,11,67.5,,0,0,0,6.0,7,83,20,1,74.9,60.5,90.1,55.6,90.5,39.2,279,5,66,8.6,61,712,2,110,87.5,623,39.5,281,111.5,163,14,19.5,139,1459,529,4.8,13.3,2.34,61,212,699,Saints,2011,62979.899999999994,64.54629898403482
215,Jimmy Graham,5619,NO,TE,8.8,7,64.9,,0,0,0,15.0,15,59,20,1,29.5,53.1,79.2,73.3,79.0,20.0,113,5,46,4.8,27,566,4,85,91.5,518,64.3,364,94.4,131,9,15.0,85,982,314,3.7,11.6,1.9,27,130,562,Saints,2012,44510.4,63.528632115548
318,Jimmy Graham,5619,NO,TE,10.6,11,62.1,,0,0,0,6.3,6,63,20,0,72.0,82.7,81.3,69.3,84.3,24.8,166,6,56,4.6,31,670,4,90,90.6,607,50.1,336,109.8,145,16,24.6,165,1267,433,4.8,14.1,2.09,31,186,667,Saints,2013,54227.1,79.18601583113457
431,Jimmy Graham,5619,NO,TE,8.6,7,70.2,,0,0,1,8.6,8,54,20,2,51.6,54.8,74.7,62.9,73.4,29.0,167,3,29,4.7,27,576,4,85,90.6,522,42.9,247,108.5,121,10,27.8,160,889,294,3.5,10.5,1.7,27,198,574,Saints,2014,42877.8,73.21678004535147
556,Jimmy Graham,5619,SEA,TE,9.1,4,70.6,,0,0,0,4.0,2,29,29,0,78.2,79.1,79.0,48.5,82.9,53.5,198,1,45,6.8,25,370,3,48,90.8,336,30.5,113,101.7,68,2,15.4,57,605,224,4.7,12.6,1.8,25,198,368,Seahawks,2015,29072.0,
649,Jimmy Graham,5619,SEA,TE,9.9,7,71.0,85.7,6,7,0,7.8,6,49,29,2,69.5,27.2,85.4,79.2,85.6,58.4,354,1,42,8.1,49,606,4,71,87.6,531,28.7,174,121.3,100,7,12.4,75,982,356,5.0,13.8,1.85,49,264,603,Seahawks,2016,51496.200000000004,
767,Jimmy Graham,5619,SEA,TE,8.7,6,62.0,53.1,17,32,0,10.9,7,32,29,0,38.6,80.3,66.0,65.0,65.3,27.3,147,4,33,5.9,32,538,2,57,86.6,466,44.6,240,95.4,92,10,28.1,151,520,213,3.7,9.1,1.12,32,191,538,Seahawks,2017,35508.0,
879,Jimmy Graham,5619,GB,TE,9.7,6,66.3,38.1,8,21,0,3.5,2,32,12,0,75.1,80.0,59.6,51.7,60.2,23.2,142,2,54,2.9,18,613,2,55,91.2,559,62.0,380,87.2,83,2,14.5,89,636,259,4.7,11.6,1.14,18,182,611,Packers,2018,36415.6,
1012,Jimmy Graham,5619,GB,TE,10.3,4,65.5,33.3,3,9,0,7.3,3,23,12,1,65.0,29.3,55.0,70.9,53.6,36.4,168,0,48,4.5,21,462,3,38,87.4,404,45.2,209,106.0,58,3,17.5,81,447,254,6.7,11.8,1.11,21,160,458,Packers,2019,25190.0,
1127,Jimmy Graham,5619,CHI,TE,7.5,4,69.4,64.7,11,17,0,2.0,1,32,6,1,86.5,36.7,62.7,53.6,65.6,35.7,159,3,30,9.2,41,445,2,50,88.1,392,47.2,210,106.0,72,8,17.1,76,456,203,4.1,9.1,1.16,41,191,445,Bears,2020,27901.5,
1293,Jimmy Graham,5619,CHI,TE,9.7,1,63.6,66.7,4,6,0,6.7,1,10,6,0,66.7,73.3,69.7,48.6,70.9,35.8,53,0,28,5.4,8,148,0,14,87.8,130,38.5,57,126.3,22,3,25.0,37,167,50,3.6,11.9,1.28,8,115,147,Bears,2021,10245.9,
1563,Jimmy Graham,5619,NO,TE,8.3,0,85.7,100.0,2,2,0,0.0,0,6,20,0,74.6,68.8,62.5,27.0,68.0,25.0,20,0,12,3.8,3,80,1,6,91.3,73,48.8,39,129.5,7,4,26.3,21,39,4,0.7,6.5,0.53,3,91,80,Saints,2023,5000.0,
1329,Jody Fortson,94384,KC,TE,8.8,0,100.0,100.0,1,1,0,0.0,0,3,16,0,73.4,68.0,78.8,73.2,70.6,46.2,18,0,27,7.7,3,39,0,5,87.2,34,28.2,11,145.4,5,2,25.6,10,47,10,2.0,9.4,1.38,3,15,39,Chiefs,2021,3073.2,
1430,Jody Fortson,94384,KC,TE,8.7,0,69.2,50.0,2,4,0,0.0,0,6,16,0,78.0,20.6,65.4,22.2,64.7,17.5,20,0,40,3.5,4,114,1,9,91.2,104,45.6,52,134.0,13,2,36.8,42,108,38,4.2,12.0,1.04,4,70,114,Chiefs,2022,7455.6,
1700,Jody Fortson,94384,KC,TE,4.5,0,50.0,,0,0,0,0.0,0,1,16,0,64.7,61.2,54.0,,51.5,5.9,1,1,5,0.0,0,17,1,1,94.1,16,47.1,8,16.7,2,0,47.1,8,5,3,3.0,5.0,0.31,0,23,17,Chiefs,2024,918.0,
30,Joel Dreessen,2415,HST,TE,9.0,2,72.0,,0,0,0,5.3,2,24,13,1,72.9,29.4,74.5,67.3,70.9,88.0,361,0,43,22.9,94,410,3,36,72.7,298,8.8,36,131.9,50,4,2.2,9,518,196,5.4,14.4,1.74,94,309,406,Texans,2010,30247.0,
138,Joel Dreessen,2415,HST,TE,7.6,1,75.7,,0,0,0,3.4,1,17,13,0,66.0,76.1,87.3,77.9,74.9,89.7,323,0,56,32.2,116,360,5,28,64.4,232,7.8,28,144.5,37,6,0.6,2,353,170,6.1,12.6,1.52,116,442,353,Texans,2011,30816.899999999998,
240,Joel Dreessen,2415,DEN,TE,6.2,3,73.4,,0,0,0,6.0,3,20,10,0,70.3,79.0,74.4,82.9,64.5,65.8,306,0,30,28.4,132,465,4,47,68.2,317,28.8,134,115.5,64,5,4.1,19,402,168,3.6,8.6,1.27,132,467,459,Broncos,2012,34149.600000000006,
389,Joel Dreessen,2415,DEN,TE,4.4,0,77.8,,0,0,0,0.0,0,3,10,0,75.6,69.5,55.5,80.2,58.6,69.6,55,0,14,26.6,21,79,1,7,69.6,55,15.2,12,125.5,9,1,11.4,9,47,27,3.9,6.7,0.85,21,80,76,Broncos,2013,4218.0,
1292,John Bates,42275,WAS,TE,5.7,3,87.0,66.7,2,3,0,4.8,1,11,32,1,72.3,25.0,70.7,55.4,61.6,39.5,107,1,32,17.0,46,271,1,20,77.5,210,51.3,139,108.2,23,1,6.3,17,249,142,7.1,12.5,1.19,46,248,263,Commanders,2021,18594.100000000002,
1415,John Bates,42275,WAS,TE,6.3,0,70.0,0.0,0,1,0,6.7,1,4,32,1,65.6,22.4,57.0,52.4,47.7,55.5,117,0,20,34.1,72,211,0,14,60.7,128,34.1,72,99.6,20,1,3.8,8,108,53,3.8,7.7,0.84,72,299,197,Commanders,2022,11229.0,
1523,John Bates,42275,WAS,TE,6.7,1,70.4,100.0,3,3,0,13.6,3,6,32,0,46.4,75.0,51.8,79.0,47.4,63.7,177,0,35,23.4,65,278,4,19,73.0,203,24.8,69,84.0,27,0,10.4,29,151,64,3.4,7.9,0.74,65,222,275,Commanders,2023,14245.0,
1657,John Bates,42275,WAS,TE,5.4,2,68.8,50.0,1,2,1,0.0,0,5,32,1,78.7,20.4,47.3,59.0,44.6,77.8,210,0,20,32.2,87,270,4,11,62.2,168,11.9,32,89.3,16,0,3.7,10,115,57,5.2,10.5,0.68,87,338,252,Commanders,2024,11919.599999999999,
25,John Carlson,4352,SEA,TE,8.4,0,62.5,,0,0,0,12.5,5,15,29,0,46.4,77.4,58.5,65.3,51.2,67.0,356,3,37,23.0,122,531,2,35,73.6,391,18.5,98,75.7,56,3,7.7,41,349,153,4.4,10.0,0.89,122,306,495,Seahawks,2010,28957.5,
264,John Carlson,4352,MIN,TE,6.2,0,50.0,,0,0,0,27.3,3,4,18,0,35.7,70.1,56.6,37.2,47.7,52.5,73,0,14,12.9,18,139,0,8,81.3,113,28.1,39,56.3,16,0,10.1,14,43,21,2.6,5.4,0.38,18,114,126,Vikings,2012,7131.6,
350,John Carlson,4352,MIN,TE,6.5,2,72.7,,0,0,0,3.0,1,19,18,0,78.4,44.8,78.5,71.3,75.4,45.5,121,0,30,16.5,44,266,0,32,81.6,217,28.9,77,102.8,44,1,9.8,26,344,164,5.1,10.8,1.59,44,231,224,Vikings,2013,17584.0,
449,John Carlson,4352,ARZ,TE,7.1,1,67.9,,0,0,1,16.3,7,17,1,0,34.2,77.9,51.1,51.4,47.4,80.7,398,2,32,12.2,60,493,4,36,81.5,402,12.2,60,78.7,53,1,2.2,11,375,150,4.2,10.4,0.93,60,264,469,Cardinals,2014,23965.9,
1592,John FitzPatrick,83974,ATL,TE,2.0,0,100.0,,0,0,0,0.0,0,1,2,0,64.7,61.2,63.7,,68.7,28.6,2,0,12,0.0,0,7,0,1,85.7,6,57.1,4,116.7,1,0,14.3,1,12,10,10.0,12.0,2.0,0,11,7,Falcons,2023,445.90000000000003,
1712,John FitzPatrick,83974,GB,TE,2.0,0,100.0,,0,0,0,0.0,0,0,12,0,64.7,61.2,55.1,,47.8,70.0,14,0,2,0.0,0,20,0,1,95.0,19,20.0,4,79.2,1,0,10.0,2,2,0,0.0,2.0,0.11,0,53,20,Packers,2024,1102.0,
58,John Gilmore,1176,TB,TE,4.5,2,81.3,,0,0,0,7.1,1,9,30,0,65.3,72.9,78.1,55.1,80.2,89.6,138,0,30,44.2,68,154,1,13,54.5,84,10.4,16,129.2,16,1,0.0,0,160,99,7.6,12.3,1.9,68,258,154,Buccaneers,2010,12027.4,
190,John Gilmore,1176,NO,TE,4.5,0,75.0,,0,0,0,25.0,1,1,20,0,36.2,65.8,78.8,79.4,49.5,94.3,115,0,9,69.7,85,122,2,3,29.5,36,1.6,2,125.0,4,1,4.1,5,20,10,3.3,6.7,0.56,85,207,122,Saints,2011,9613.6,
161,John Phillips,5132,DAL,TE,0.7,1,93.8,,0,0,0,0.0,0,4,9,0,81.1,73.0,61.5,43.4,61.4,39.9,63,0,12,31.6,50,158,1,15,67.1,106,3.2,5,113.8,16,1,7.6,12,101,93,6.2,6.7,0.95,50,164,80,Cowboys,2011,4920.0,
276,John Phillips,5132,DAL,TE,5.7,0,80.0,,0,0,0,0.0,0,3,9,0,76.5,70.1,65.3,55.0,51.6,75.6,102,0,19,23.7,32,135,1,8,73.3,99,20.0,27,122.9,10,1,2.2,3,55,9,1.1,6.9,0.56,32,198,132,Cowboys,2012,8619.6,
406,John Phillips,5132,SD,TE,4.4,1,80.0,,0,0,0,0.0,0,1,27,0,72.1,67.0,64.7,74.2,52.1,79.3,46,0,13,31.0,18,58,2,4,62.1,36,12.1,7,91.7,5,0,0.0,0,30,23,5.8,7.5,0.83,18,180,53,Chargers,2013,3429.1000000000004,
528,John Phillips,5132,SD,TE,7.0,0,100.0,,0,0,0,0.0,0,1,27,0,64.7,61.2,55.2,80.8,53.8,78.0,32,0,1,39.0,16,41,2,1,58.5,24,14.6,6,118.8,1,1,2.4,1,1,0,0.0,1.0,0.04,16,156,39,Chargers,2014,2152.8,
615,John Phillips,5132,SD,TE,5.1,0,90.9,,0,0,0,0.0,0,6,27,0,78.7,88.5,73.9,68.3,72.3,34.0,35,0,15,18.4,19,103,1,10,77.7,80,57.3,59,123.1,11,1,6.8,7,69,24,2.4,6.9,0.86,19,129,101,Chargers,2015,7463.900000000001,
712,John Phillips,5132,NO,TE,7.4,0,76.9,,0,0,1,0.0,0,4,20,0,78.0,71.1,59.9,68.1,53.8,73.3,132,0,16,35.0,63,180,3,10,61.7,111,20.0,36,114.9,13,1,6.1,11,72,21,2.1,7.2,0.65,63,187,179,Saints,2016,10722.1,
981,John Phillips,5132,ARZ,TE,10.0,0,100.0,,0,0,0,0.0,0,1,1,0,70.5,65.8,63.1,69.3,61.9,76.5,39,0,24,33.3,17,51,0,3,60.8,31,19.6,10,118.8,3,0,3.9,2,38,8,2.7,12.7,1.23,17,79,51,Cardinals,2018,3218.1,
1701,John Samuel Shenker,60854,LV,TE,4.0,0,100.0,,0,0,0,0.0,0,0,23,0,64.7,61.2,56.8,58.6,49.0,56.3,18,0,7,25.0,8,32,0,1,71.9,23,31.3,10,95.8,1,0,6.3,2,7,3,3.0,7.0,0.3,8,33,30,Raiders,2024,1704.0,
991,Johnny Mundt,12206,LA,TE,0.0,0,100.0,,0,0,0,0.0,0,0,26,0,64.7,61.2,77.1,69.0,60.7,40.0,2,0,5,60.0,3,5,0,1,40.0,2,20.0,1,87.5,1,0,0.0,0,5,5,5.0,5.0,2.5,3,37,3,Rams,2018,231.29999999999998,
1082,Johnny Mundt,12206,LA,TE,4.0,0,57.1,,0,0,0,20.0,1,1,26,0,28.7,67.0,63.8,77.1,41.0,64.4,56,0,9,50.6,44,87,0,4,46.0,40,16.1,14,65.2,7,0,13.8,12,26,11,2.8,6.5,0.65,44,126,82,Rams,2019,5231.599999999999,
1208,Johnny Mundt,12206,LA,TE,1.8,1,100.0,,0,0,1,0.0,0,1,26,0,72.1,67.0,64.6,48.9,63.5,78.0,32,0,34,31.7,13,41,1,4,65.9,27,9.8,4,118.8,4,0,12.2,5,53,46,11.5,13.3,1.96,13,80,41,Rams,2020,2648.6,
1353,Johnny Mundt,12206,LA,TE,7.0,0,100.0,,0,0,0,0.0,0,1,26,0,64.7,61.2,64.9,78.3,51.6,65.9,27,0,9,19.5,8,41,1,1,75.6,31,14.6,6,104.2,1,0,17.1,7,9,2,2.0,9.0,0.29,8,61,40,Rams,2021,2596.0,
1414,Johnny Mundt,12206,MIN,TE,1.2,2,90.5,100.0,2,2,1,9.5,2,9,18,0,56.9,74.7,51.2,55.3,55.3,80.7,167,0,17,26.6,55,207,2,19,71.5,148,7.7,16,110.3,21,1,10.6,22,140,124,6.5,7.4,0.95,55,238,205,Vikings,2022,10496.0,
1530,Johnny Mundt,12206,MIN,TE,5.4,2,73.9,25.0,1,4,0,5.6,1,8,18,0,69.9,74.1,70.8,56.1,72.5,64.1,84,1,32,7.6,10,131,1,17,87.8,115,25.2,33,91.2,23,1,10.7,14,172,95,5.6,10.1,1.5,10,94,131,Vikings,2023,9274.8,
1639,Johnny Mundt,12206,MIN,TE,3.9,2,75.0,100.0,2,2,2,8.7,2,10,18,0,60.3,74.9,57.2,63.8,58.6,50.6,120,0,22,8.0,19,237,5,21,85.2,202,33.8,80,113.7,28,2,15.2,36,170,107,5.1,8.1,0.84,19,214,236,Vikings,2024,13499.2,
62,Jonathan Stupar,4601,BUF,TE,1.5,1,92.3,,0,0,0,0.0,0,4,4,1,79.4,21.2,60.4,28.1,50.0,74.5,102,1,35,30.7,42,137,0,12,65.7,90,17.5,24,70.2,13,0,3.6,5,111,93,7.8,9.3,1.23,42,138,131,Bills,2010,7912.4,
803,Jonnu Smith,11855,TEN,TE,6.9,3,65.6,40.0,4,10,1,8.7,2,6,31,0,59.2,75.2,53.6,66.0,54.2,64.3,162,1,32,27.8,70,252,6,21,67.5,170,21.4,54,87.5,32,2,7.1,18,176,113,5.4,8.4,1.04,70,339,234,Titans,2017,12542.4,
914,Jonnu Smith,11855,TEN,TE,5.9,4,69.0,75.0,3,4,0,13.0,3,9,31,1,46.4,24.3,55.1,53.9,54.2,64.9,207,2,61,16.0,51,319,2,20,79.0,252,19.7,63,102.4,29,3,11.9,38,258,183,9.2,12.9,1.02,51,292,308,Titans,2018,16970.8,
1024,Jonnu Smith,11855,TEN,TE,5.2,14,79.5,71.4,5,7,0,2.8,1,16,31,0,80.4,78.7,72.0,47.7,78.6,67.1,220,1,57,24.1,79,328,4,35,73.2,240,26.5,87,121.5,44,3,5.5,18,439,282,8.1,12.5,1.83,79,369,325,Titans,2019,23400.0,
1132,Jonnu Smith,11855,TEN,TE,6.3,3,65.1,42.1,8,19,0,4.7,2,25,31,0,74.8,78.7,75.2,37.2,79.2,52.6,193,2,63,14.4,53,367,1,41,81.7,300,30.5,112,112.3,63,8,13.1,48,448,236,5.8,10.9,1.49,53,377,353,Titans,2020,26545.600000000002,
1267,Jonnu Smith,11855,NE,TE,5.6,2,65.1,14.3,1,7,1,9.7,3,15,19,1,59.5,30.2,59.3,49.4,68.2,52.4,108,2,28,19.4,40,206,7,28,76.7,158,30.6,63,73.2,43,1,12.1,25,294,239,8.5,10.5,1.86,40,310,196,Patriots,2021,11622.8,
1394,Jonnu Smith,11855,NE,TE,3.4,11,73.0,37.5,3,8,0,0.0,0,9,19,0,86.5,25.6,52.9,71.2,72.1,59.5,125,1,53,13.8,29,210,1,27,81.4,171,27.6,58,79.2,37,0,9.0,19,245,202,7.5,9.1,1.43,29,211,202,Patriots,2022,10685.8,
1496,Jonnu Smith,11855,ATL,TE,6.2,14,72.5,44.4,4,9,2,9.1,5,26,2,1,57.3,37.5,59.1,75.4,63.5,30.5,134,2,60,10.0,44,439,5,50,85.4,375,52.8,232,100.0,69,3,13.7,60,582,366,7.3,11.6,1.55,44,213,426,Falcons,2023,25176.600000000002,
1598,Jonnu Smith,11855,MIA,TE,5.0,13,80.7,61.5,8,13,3,4.3,4,55,17,2,76.0,29.3,78.2,69.6,84.0,26.6,134,1,57,5.2,26,504,6,88,90.1,454,46.0,232,121.2,109,8,23.8,120,886,521,5.9,10.1,1.95,26,120,486,Dolphins,2024,38005.200000000004,
918,Jordan Akins,47050,HST,TE,7.0,3,70.8,33.3,1,3,0,0.0,0,11,13,0,82.2,73.6,63.8,30.6,62.0,25.7,56,0,28,6.9,15,218,2,17,89.0,194,60.6,132,100.2,24,0,9.6,21,225,125,7.4,13.2,1.16,15,170,209,Texans,2018,13334.199999999999,
1015,Jordan Akins,47050,HST,TE,7.4,8,67.9,25.0,2,8,0,5.3,2,21,13,0,72.6,77.7,55.1,61.7,56.2,37.4,163,3,53,6.9,30,436,2,36,89.4,390,40.8,178,80.5,53,2,16.7,73,418,252,7.0,11.6,1.07,30,219,414,Texans,2019,22811.4,
1140,Jordan Akins,47050,HST,TE,8.0,4,75.5,63.6,7,11,0,2.6,1,20,13,0,81.0,77.8,71.8,37.1,74.6,25.2,81,0,26,4.4,14,321,2,37,92.5,297,57.6,185,106.1,49,1,10.9,35,403,163,4.4,10.9,1.36,14,83,301,Texans,2020,21611.8,
1281,Jordan Akins,47050,HST,TE,6.4,2,77.4,66.7,2,3,0,7.7,2,11,13,2,62.5,19.1,52.5,32.6,57.1,60.5,144,1,31,8.4,20,238,4,24,84.0,200,26.9,64,81.9,31,0,10.5,25,214,83,3.5,8.9,1.07,20,88,233,Texans,2021,12232.5,
1386,Jordan Akins,47050,HST,TE,8.5,6,75.5,62.5,5,8,1,2.6,1,23,13,1,81.8,29.3,72.4,61.3,74.3,47.9,156,2,46,3.1,10,326,2,37,92.9,303,40.2,131,124.1,49,5,12.0,39,495,270,7.3,13.4,1.63,10,80,326,Texans,2022,23602.4,
1532,Jordan Akins,47050,CLV,TE,5.5,1,71.4,75.0,3,4,0,11.8,2,6,8,0,51.5,73.0,53.6,43.5,57.8,57.7,79,0,28,5.1,7,137,0,15,93.4,128,34.3,47,87.8,21,0,8.0,11,132,58,3.9,8.8,1.03,7,110,137,Browns,2023,7343.2,
1623,Jordan Akins,47050,CLV,TE,6.3,2,74.1,54.5,6,11,0,2.4,1,20,8,1,83.0,30.7,67.2,75.6,69.9,50.1,177,2,21,4.5,16,353,1,40,89.0,314,34.3,121,90.8,54,2,14.2,50,390,183,4.6,9.8,1.24,16,103,348,Browns,2024,23385.600000000002,
164,Jordan Cameron,6254,CLV,TE,7.3,0,46.2,,0,0,0,14.3,1,1,8,0,49.7,68.8,56.2,72.6,54.9,47.8,22,0,15,6.5,3,46,0,6,89.1,41,21.7,10,53.0,13,0,28.3,13,33,16,2.7,5.5,0.8,3,13,45,Browns,2011,2529.0,
256,Jordan Cameron,6254,CLV,TE,9.5,1,64.5,,0,0,1,9.1,2,12,8,0,71.3,74.6,62.2,77.1,63.1,62.7,126,1,28,8.5,17,201,3,20,87.6,176,20.9,42,83.5,31,1,15.4,31,226,102,5.1,11.3,1.28,17,128,199,Browns,2012,12377.800000000001,
322,Jordan Cameron,6254,CLV,TE,10.2,5,73.4,,0,0,1,5.9,5,47,8,1,73.4,51.5,70.6,58.2,71.6,31.3,219,5,53,8.1,57,700,6,80,88.9,622,56.4,395,100.6,109,7,7.7,54,917,250,3.1,11.5,1.47,57,271,668,Browns,2013,47160.799999999996,
459,Jordan Cameron,6254,CLV,TE,10.3,1,57.1,,0,0,1,4.0,1,13,8,0,74.2,75.5,63.5,47.7,66.7,49.3,133,0,81,12.6,34,270,1,24,81.5,220,35.2,95,107.6,42,2,8.1,22,424,180,7.5,17.7,1.93,34,206,250,Browns,2014,15875.0,
559,Jordan Cameron,6254,MIA,TE,11.0,2,54.7,,0,0,1,7.9,3,21,17,1,63.7,29.1,61.8,65.5,59.7,45.6,225,4,29,15.2,75,493,6,35,80.3,396,43.6,215,62.4,64,3,7.3,36,386,86,2.5,11.0,0.97,75,250,476,Dolphins,2015,29416.8,
717,Jordan Cameron,6254,MIA,TE,7.7,0,72.7,100.0,1,1,0,11.1,1,3,17,0,54.9,70.1,60.5,76.3,59.9,80.9,55,0,13,8.8,6,68,0,8,89.7,61,10.3,7,115.7,11,1,7.4,5,60,31,3.9,7.5,0.98,6,30,67,Dolphins,2016,4053.5,
979,Jordan Franks,47206,CIN,TE,15.0,0,66.7,,0,0,0,0.0,0,1,7,0,68.3,64.0,64.4,,64.7,45.5,5,1,32,0.0,0,11,0,2,81.8,9,9.1,1,69.4,3,0,36.4,4,37,14,7.0,18.5,4.11,0,6,10,Bengals,2018,644.0,
923,Jordan Leggett,11905,NYJ,TE,6.9,0,63.6,33.3,1,3,0,6.7,1,7,22,0,64.4,72.7,65.7,63.8,60.7,44.0,77,0,16,17.1,30,175,1,14,79.4,139,33.7,59,91.9,22,1,20.0,35,114,49,3.5,8.1,0.82,30,151,171,Jets,2018,11234.7,
338,Jordan Reed,7866,WAS,TE,6.7,4,75.0,,0,0,0,8.2,4,30,32,0,61.8,78.9,89.0,74.7,87.1,49.8,126,2,38,7.5,19,253,0,45,89.3,226,31.6,80,102.0,60,3,7.9,20,499,239,5.3,11.1,2.21,19,124,226,Commanders,2013,20114.0,
447,Jordan Reed,7866,WAS,TE,4.7,10,76.9,,0,0,1,3.8,2,24,32,1,79.0,37.1,70.2,48.1,71.5,36.6,104,1,30,7.7,22,284,2,50,86.6,246,33.1,94,89.6,65,0,26.1,74,465,274,5.5,9.3,1.89,22,80,272,Commanders,2014,19094.4,
