,player,player_id,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Team,Year,weighted_grade,weighted_average_grade
1463,Ben Ellefson,27766,MIN,TE,5.3,0,100.0,,0,0,0,0.0,0,2,18,0,70.5,65.8,79.1,72.2,89.5,90.0,18,0,12,65.0,13,20,0,3,30.0,6,0.0,0,102.8,3,0,5.0,1,26,10,3.3,8.7,4.33,13,24,19,Vikings,2022,1502.8999999999999,
81,Ben Hartsock,1789,NYJ,TE,4.8,0,40.0,,0,0,0,33.3,1,1,22,0,29.9,64.0,63.0,75.2,35.0,78.5,117,0,7,39.6,59,149,2,2,57.7,86,4.0,6,47.9,5,0,14.8,22,12,4,2.0,6.0,0.14,59,306,145,Jets,2010,9135.0,
302,Ben Hartsock,1789,CAR,TE,3.0,0,66.7,,0,0,0,0.0,0,1,5,0,68.3,64.0,80.2,65.5,60.2,68.1,49,0,25,63.9,46,72,3,2,34.7,25,6.9,5,99.3,3,0,2.8,2,30,26,13.0,15.0,1.2,46,131,56,Panthers,2012,4491.2,
691,Ben Koyack,9662,JAX,TE,6.3,0,79.2,,0,0,0,5.0,1,10,15,0,69.9,74.1,61.9,76.2,56.5,76.6,144,0,17,16.0,30,188,0,19,78.2,147,18.1,34,108.5,24,1,5.3,10,161,50,2.6,8.5,1.1,30,174,188,Jaguars,2016,11637.199999999999,
845,Ben Koyack,9662,JAX,TE,4.6,0,87.5,100.0,1,1,0,12.5,1,2,15,0,54.5,70.1,56.0,53.5,48.3,76.6,121,0,21,20.9,33,158,1,7,75.3,119,20.3,32,137.5,8,1,3.2,5,60,34,4.9,8.6,0.5,33,312,158,Jaguars,2017,8848.0,
1106,Ben Koyack,9662,JAX,TE,2.5,0,50.0,,0,0,1,0.0,0,0,15,0,70.5,65.8,55.7,78.7,48.2,74.8,80,0,9,34.6,37,107,1,1,57.9,62,15.0,16,62.5,2,0,8.4,9,9,3,3.0,9.0,0.15,37,152,105,Jaguars,2019,5848.5,
53,Ben Patrick,3831,ARZ,TE,5.9,0,83.3,,0,0,1,0.0,0,6,1,1,81.1,22.6,66.0,32.9,56.3,58.6,78,0,21,27.1,36,133,3,15,69.9,93,27.1,36,95.1,18,0,4.5,6,123,62,4.1,8.2,1.32,36,117,120,Cardinals,2010,7920.0,
1565,Ben Sims,77918,GB,TE,5.3,1,83.3,,0,0,0,0.0,0,3,12,0,73.4,68.0,60.5,68.7,58.3,92.3,72,0,12,23.1,18,78,0,5,69.2,54,0.0,0,123.6,6,1,6.4,5,25,20,4.0,5.0,0.46,18,134,77,Packers,2023,4658.5,
1690,Ben Sims,77918,GB,TE,6.0,0,100.0,,0,0,0,0.0,0,1,12,0,72.1,67.0,54.4,75.5,56.1,75.7,53,0,28,8.6,6,70,0,4,90.0,63,10.0,7,110.4,4,0,8.6,6,42,18,4.5,10.5,0.67,6,154,66,Packers,2024,3590.4,
1684,Ben Sinnott,122616,WAS,TE,4.2,0,100.0,,0,0,0,0.0,0,3,32,0,74.6,68.8,53.2,81.0,49.1,52.2,71,0,23,12.5,17,136,3,6,81.6,111,27.2,37,141.7,6,1,10.3,14,51,26,4.3,8.5,0.46,17,186,122,Commanders,2024,6490.400000000001,
6,Benjamin Watson,1753,CLV,TE,8.9,5,69.4,,0,0,0,9.3,7,41,8,0,62.5,81.4,76.5,70.9,73.2,71.1,374,5,44,10.5,55,526,4,68,85.4,449,27.2,143,81.4,98,3,1.1,6,765,280,4.1,11.3,1.7,55,388,523,Browns,2010,40009.5,
