player_id,player,Team,Predicted_Net_EPA_2025
00-0037011,Tre' McKitty,Browns,-0.027074762
00-0036032,Sean McKeon,Colts,-0.028434694
00-0038920,John Samuel Shenker,Raiders,-0.02868174
00-0035771,Mitchell Wilcox,Patriots,-0.028835885
00-0036332,Josiah Deguara,Jaguars,-0.030388363
00-0039530,Brevyn Spann-Ford,Cowboys,-0.03374566
00-0039420,Jaheim Bell,Patriots,-0.034042954
00-0039847,Theo Johnson,Giants,-0.035075754
00-0037252,Greg Dulcich,Giants,-0.036706552
00-0039066,Michael Mayer,Raiders,-0.037718832
00-0036456,Dominique Dafney,Panthers,-0.040814385
00-0034981,Foster Moreau,Saints,-0.04134485
00-0031484,Chris Manhertz,Giants,-0.04137698
00-0032394,Nick Vannett,Titans,-0.041548476
00-0036232,Harrison Bryant,Raiders,-0.041599974
00-0033357,Taysom Hill,Saints,-0.043012433
00-0036040,Juwan Johnson,Saints,-0.04360406
00-0038710,Blake Whiteheart,Browns,-0.044744343
00-0037755,Jelani Woods,Colts,-0.045434512
00-0036290,Cole Kmet,Bears,-0.04593417
00-0037809,Chigoziem Okonkwo,Titans,-0.052734338
00-0038115,Daniel Bellinger,Giants,-0.053294763
00-0038589,Josh Whyle,Titans,-0.05450131
00-0034364,Jordan Akins,Browns,-0.058399655
00-0033885,David Njoku,Browns,-0.060972348
00-0038547,Luke Schoonmaker,Cowboys,-0.061769307
00-0032392,Austin Hooper,Patriots,-0.07020339
00-0037005,Tommy Tremble,Panthers,-0.07406646
00-0033881,Evan Engram,Jaguars,-0.07591863
00-0038935,Brenton Strange,Jaguars,-0.07904635
00-0038041,Jake Ferguson,Cowboys,-0.08894968
00-0039356,Ja'Tavion Sanders,Panthers,-0.10133827
