player_id,Year,Team,Cap_Space,position_x,age,adjusted_value,Net EPA,Win %,player,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,weighted_grade,weighted_average_grade,TE_Value,TE_Value_Score,Production_Score
00-0030443,2019,49ers,0.3427205100956429,,28.0,29.12965282492597,0.216,79.00%,Levine Toilolo,TE,-2.5,1.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,68.3,64.0,58.3,69.4,52.0,94.4,51.0,0.0,8.0,44.4,24.0,54.0,1.0,2.0,55.6,30.0,1.9,1.0,87.5,2.0,0.0,0.0,0.0,10.0,15.0,7.5,5.0,0.33,24.0,137.0,52.0,3031.6,MISSING,431.59999999999985,1.0789999999999997,10.0
00-0033288,2019,49ers,0.3823437832093517,,25.0,56.20267655894157,0.216,79.00%,George Kittle,TE,6.1,20.0,80.2,56.5,13.0,23.0,1.0,1.2,1.0,53.0,28.0,1.0,90.9,56.2,95.0,61.6,95.0,59.7,256.0,2.0,61.0,15.9,68.0,429.0,2.0,85.0,78.8,338.0,22.6,97.0,115.9,106.0,5.0,13.8,59.0,1053.0,621.0,7.3,12.4,3.12,68.0,368.0,412.0,39140.0,46.555325034578146,18540.0,46.35,1683.0
00-0034073,2019,49ers,0.3028692879914984,,24.0,0.0,0.216,79.00%,Ross Dwelley,TE,6.1,0.0,75.0,66.7,2.0,3.0,0.0,0.0,0.0,8.0,28.0,0.0,81.7,73.3,56.1,51.8,59.0,51.4,93.0,1.0,25.0,13.3,24.0,181.0,0.0,15.0,80.1,145.0,24.9,45.0,96.0,20.0,2.0,7.7,14.0,91.0,39.0,2.6,6.1,0.63,24.0,179.0,152.0,8527.2,MISSING,927.2000000000003,2.3180000000000005,211.0
00-0035428,2019,49ers,0.0464144527098831,,24.0,0.0,0.216,79.00%,Daniel Helm,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0
00-0028903,2019,49ers,1.3200717321997877,,31.0,0.0,0.216,79.00%,Garrett Celek,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0
00-0034073,2018,49ers,0.1912099322799097,,23.0,0.0,-0.09,25.00%,Ross Dwelley,TE,6.5,0.0,100.0,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,68.3,64.0,61.6,70.3,64.4,64.7,11.0,0.0,8.0,11.8,2.0,17.0,0.0,2.0,82.4,14.0,29.4,5.0,95.8,2.0,0.0,0.0,0.0,14.0,1.0,0.5,7.0,1.0,2.0,22.0,16.0,985.6,MISSING,185.60000000000002,0.4640000000000001,14.0
00-0028903,2018,49ers,1.4972488713318284,,30.0,0.0,-0.09,25.00%,Garrett Celek,TE,11.4,0.0,62.5,0.0,0.0,2.0,0.0,16.7,1.0,5.0,28.0,0.0,45.8,68.0,62.7,60.1,60.0,91.3,94.0,1.0,41.0,42.7,44.0,103.0,4.0,5.0,53.4,55.0,1.9,2.0,101.0,8.0,2.0,3.9,4.0,90.0,42.0,8.4,18.0,1.64,44.0,174.0,100.0,6270.0,MISSING,1270.0000000000002,3.1750000000000007,180.0
00-0033288,2018,49ers,0.3552883747178329,,24.0,62.113563650954134,-0.09,25.00%,George Kittle,TE,7.6,17.0,68.8,26.3,5.0,19.0,1.0,6.4,6.0,60.0,28.0,0.0,68.4,83.1,89.7,55.7,90.4,56.8,336.0,3.0,85.0,11.3,67.0,592.0,6.0,88.0,82.6,489.0,30.2,179.0,107.5,128.0,5.0,8.8,52.0,1377.0,873.0,9.9,15.6,2.82,67.0,337.0,567.0,50859.9,55.80973154362416,22509.9,56.274750000000004,2077.0
00-0027215,2017,49ers,0.2183862275449102,,30.0,0.0,-0.04,37.50%,Logan Paulsen,TE,11.0,0.0,0.0,0.0,0.0,1.0,0.0,MISSING,0.0,0.0,28.0,0.0,MISSING,MISSING,52.2,76.7,34.8,82.7,43.0,0.0,0.0,38.5,20.0,52.0,1.0,0.0,61.5,32.0,1.9,1.0,39.6,2.0,0.0,5.8,3.0,0.0,0.0,MISSING,MISSING,0.0,20.0,92.0,47.0,2453.4,MISSING,103.40000000000013,0.25850000000000034,0.0
00-0028903,2017,49ers,1.5419161676646709,,29.0,0.0,-0.04,37.50%,Garrett Celek,TE,8.9,4.0,70.0,25.0,1.0,4.0,0.0,8.7,2.0,15.0,28.0,0.0,59.5,74.6,73.0,55.3,73.1,70.4,212.0,1.0,61.0,27.2,82.0,301.0,4.0,21.0,71.1,214.0,16.3,49.0,132.8,30.0,4.0,9.0,27.0,336.0,177.0,8.4,16.0,1.57,82.0,259.0,288.0,21024.0,MISSING,6624.0,16.56,566.0
00-0033315,2017,49ers,0.1965479041916167,,23.0,0.0,-0.04,37.50%,Cole Hikutini,TE,7.5,0.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,2.0,28.0,0.0,68.3,64.0,56.5,MISSING,56.5,41.4,12.0,0.0,10.0,0.0,0.0,29.0,0.0,2.0,96.6,28.0,31.0,9.0,97.9,2.0,0.0,24.1,7.0,15.0,0.0,0.0,7.5,0.54,0.0,3.0,28.0,1582.0,MISSING,182.0,0.455,35.0
00-0033288,2017,49ers,0.3230964071856287,,23.0,68.64610416507516,-0.04,37.50%,George Kittle,TE,7.7,8.0,70.5,50.0,5.0,10.0,0.0,8.5,4.0,23.0,28.0,0.0,60.1,78.5,65.8,50.7,67.5,54.8,234.0,2.0,44.0,11.5,49.0,427.0,3.0,43.0,85.0,363.0,30.2,129.0,93.3,61.0,2.0,9.1,39.0,515.0,265.0,6.2,12.0,1.42,49.0,164.0,402.0,26451.6,MISSING,6351.5999999999985,15.878999999999996,785.0
00-0028903,2016,49ers,1.2337380047658917,,28.0,0.0,-0.15,12.50%,Garrett Celek,TE,9.4,1.0,61.7,40.0,2.0,5.0,0.0,17.1,6.0,19.0,28.0,2.0,30.1,20.1,58.3,55.5,55.6,74.6,238.0,1.0,31.0,11.0,35.0,319.0,3.0,29.0,87.8,280.0,22.6,72.0,96.9,47.0,3.0,1.6,5.0,350.0,115.0,4.0,12.1,1.25,35.0,287.0,315.0,18364.5,MISSING,2614.499999999999,6.536249999999998,600.0
00-0032062,2016,49ers,0.4194519224576544,,25.0,85.76892712092744,-0.15,12.50%,Blake Bell,TE,12.5,0.0,50.0,MISSING,0.0,0.0,0.0,33.3,2.0,2.0,28.0,0.0,28.6,67.0,48.6,74.5,49.7,67.9,38.0,0.0,45.0,8.9,5.0,56.0,0.0,4.0,85.7,48.0,32.1,18.0,88.0,8.0,0.0,0.0,0.0,85.0,30.0,7.5,21.3,1.77,5.0,49.0,56.0,2721.6,MISSING,-78.39999999999992,-0.1959999999999998,105.0
00-0030470,2016,49ers,1.639204611322213,,26.0,161.10592695588124,-0.15,12.50%,Vance McDonald,TE,10.3,3.0,55.8,MISSING,0.0,0.0,0.0,11.1,3.0,13.0,28.0,0.0,51.6,75.3,68.7,68.8,70.0,77.0,207.0,1.0,75.0,8.2,22.0,269.0,1.0,24.0,87.0,234.0,19.0,51.0,107.8,43.0,4.0,1.5,4.0,391.0,209.0,8.7,16.3,1.67,22.0,174.0,262.0,17999.4,MISSING,4899.400000000001,12.248500000000002,601.0
00-0027825,2016,49ers,0.057584208153539,,29.0,6.672227803912172,-0.15,12.50%,Jim Dray,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0
00-0029755,2015,49ers,0.083752093802345,,25.0,0.0,-0.15,31.30%,Brian Leonhardt,TE,3.0,0.0,100.0,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,64.7,61.2,57.3,24.5,55.2,80.0,8.0,0.0,4.0,40.0,4.0,10.0,0.0,1.0,50.0,5.0,20.0,2.0,83.3,1.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,0.8,4.0,15.0,10.0,573.0,MISSING,72.99999999999997,0.18249999999999994,4.0
00-0032062,2015,49ers,0.3917385538805136,,24.0,94.7893239285987,-0.15,31.30%,Blake Bell,TE,7.6,0.0,68.2,MISSING,0.0,0.0,0.0,6.3,1.0,5.0,28.0,0.0,66.7,73.3,50.4,49.0,51.0,42.3,99.0,0.0,48.0,10.3,24.0,234.0,0.0,15.0,84.6,198.0,51.7,121.0,94.1,22.0,0.0,5.1,12.0,186.0,95.0,6.3,12.4,0.94,24.0,117.0,232.0,11692.8,MISSING,92.79999999999967,0.23199999999999918,236.0
00-0030470,2015,49ers,0.6850879396984925,,25.0,178.0495852012595,-0.15,31.30%,Vance McDonald,TE,8.3,3.0,65.2,MISSING,0.0,0.0,0.0,14.3,5.0,15.0,28.0,1.0,39.8,76.5,65.9,80.0,59.9,53.0,148.0,3.0,36.0,16.1,45.0,279.0,2.0,30.0,81.0,226.0,38.7,108.0,80.5,46.0,3.0,4.3,12.0,326.0,181.0,6.0,10.9,1.44,45.0,188.0,268.0,17661.2,MISSING,4261.200000000002,10.653000000000004,536.0
