player,Team,Tier,Pred_XGB,Pred_Transformer,Ensemble_Pred,Conf_Lower,Conf_Upper,Vol_Index,Age_Adjustment,Last_Grade_2024,YoY_Change_Pred,Touches_2024,Age_2024
Devin Singletary,Giants,Starter,70.11,66.63,68.37,56.34,80.41,0.347,0.0,62.1,6.270000000000003,134.0,26.0
Cam Akers,Vikings,Starter,68.34,67.98,68.16,56.35,79.97,0.325,0.0,72.2,-4.040000000000006,123.0,25.0
Roschon Johnson,Bears,Starter,66.85,69.28,68.06,57.91,78.22,0.163,0.0,69.5,-1.4399999999999977,71.0,23.0
Braelon Allen,Jets,Starter,64.76,71.35,68.05,53.43,82.67,0.6,0.0,73.6,-5.549999999999997,111.0,20.0
Javonte Williams,Broncos,Starter,66.12,69.54,67.83,54.91,80.75,0.433,0.0,61.7,6.1299999999999955,200.0,24.0
Kenneth Gainwell,Eagles,Starter,66.17,69.31,67.74,56.06,79.42,0.312,0.0,57.6,10.139999999999993,101.0,25.0
Trey Sermon,Colts,Starter,67.58,67.6,67.59,52.97,82.21,0.6,0.0,54.1,13.490000000000002,72.0,25.0
Isaac Guerendo,49ers,Starter,64.14,70.91,67.52,52.9,82.14,0.6,0.0,64.6,2.9200000000000017,99.0,24.0
Saquon Barkley,Eagles,Starter,67.78,70.12,67.45,52.92,81.98,0.592,1.5,87.6,-20.14999999999999,451.0,27.0
Zamir White,Raiders,Starter,66.37,66.98,66.67,50.34,83.0,0.768,0.0,42.7,23.97,71.0,24.0
D'Andre Swift,Bears,Starter,64.93,67.95,66.44,53.47,79.41,0.438,0.0,61.3,5.140000000000001,295.0,25.0
Zack Moss,Bengals,Starter,68.36,64.16,66.26,54.64,77.88,0.306,0.0,58.2,8.060000000000002,97.0,26.0
Dare Ogunbowale,Texans,Starter,78.36,68.84,65.6,52.87,78.33,0.414,8.0,60.6,4.999999999999993,52.0,30.0
Alexander Mattison,Raiders,Starter,64.8,66.28,65.54,52.57,78.5,0.438,0.0,61.4,4.140000000000008,168.0,26.0
Ty Johnson,Bills,Starter,63.0,67.72,65.36,51.9,78.81,0.486,0.0,73.3,-7.939999999999998,83.0,26.0
Nick Chubb,Browns,Rotation,68.86,66.39,64.62,48.84,80.41,0.714,3.0,57.5,7.1200000000000045,107.0,28.0
D'Onta Foreman,Browns,Rotation,69.91,64.34,64.12,50.94,77.31,0.459,3.0,52.8,11.320000000000007,77.0,28.0
Austin Ekeler,Commanders,Rotation,69.18,70.01,64.09,50.96,77.23,0.455,5.5,69.8,-5.709999999999994,146.0,29.0
Alvin Kamara,Saints,Rotation,69.88,68.75,63.82,52.32,75.32,0.294,5.5,73.7,-9.880000000000003,296.0,29.0
Christian McCaffrey,49ers,Rotation,62.47,70.35,63.41,48.58,78.24,0.621,3.0,71.3,-7.890000000000001,65.0,28.0
Jonathan Taylor,Colts,Rotation,55.66,68.93,62.29,47.4,77.18,0.627,0.0,56.9,5.390000000000001,321.0,25.0
Gus Edwards,Chargers,Rotation,69.0,66.35,62.18,49.07,75.28,0.452,5.5,64.5,-2.3200000000000003,111.0,29.0
Kareem Hunt,Chiefs,Rotation,70.18,64.85,62.01,50.93,73.1,0.253,5.5,74.3,-12.29,250.0,29.0
Miles Sanders,Panthers,Rotation,60.7,65.57,61.64,49.45,73.82,0.361,1.5,68.0,-6.359999999999999,79.0,27.0
Ty Chandler,Vikings,Rotation,56.18,66.9,61.54,45.46,77.62,0.743,0.0,52.4,9.14,62.0,26.0
Jamaal Williams,Saints,Rotation,69.41,64.06,61.24,48.57,73.91,0.409,5.5,62.3,-1.0599999999999952,57.0,29.0
Raheem Mostert,Dolphins,Reserve/Poor,64.25,69.12,52.69,40.73,64.64,0.339,14.0,69.3,-16.61,104.0,32.0
Ameer Abdullah,Raiders,Reserve/Poor,58.81,67.13,52.47,40.51,64.43,0.34,10.5,68.3,-15.829999999999998,106.0,31.0
