index_x,team_abbr,season,n_plays,index_y,shotgun_rate,index,no_huddle_rate,play_action_rate,air_yards_per_att,motion_rate,under_center_rate,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate
100,DEN,2016,1361,100,34.16605437178546,100,4.70242468772961,0.0,8.189852700490999,0.0,65.83394562821454,0.0,27.34375,39.174107142857146,0.0,78.70967741935485,12.903225806451612,53.28798185941043,46.71201814058957,56.559766763848394,43.440233236151606,78.99543378995433,21.00456621004566,0.0
101,DEN,2017,1400,101,52.714285714285715,101,7.214285714285714,0.0,7.635048231511254,0.0,47.285714285714285,0.0,17.069486404833835,42.296072507552864,0.0,68.97018970189703,23.983739837398375,49.77973568281938,50.22026431718062,53.333333333333336,46.666666666666664,77.17842323651453,22.821576763485478,0.0
102,DEN,2018,1343,102,45.4951600893522,102,8.786299329858526,0.0,7.044871794871795,0.0,54.5048399106478,0.0,20.21857923497268,42.07650273224044,0.0,77.9050736497545,14.238952536824879,56.38766519823789,43.61233480176212,56.23100303951368,43.76899696048632,78.26086956521739,21.73913043478261,0.0
103,DEN,2019,1288,103,43.47826086956522,103,4.3478260869565215,0.0,6.450549450549451,0.0,56.52173913043478,0.0,20.192307692307693,39.42307692307692,0.0,71.25,21.964285714285715,40.33816425120773,59.66183574879227,62.11180124223602,37.88819875776397,82.17821782178217,17.82178217821782,0.0
104,DEN,2020,1358,104,53.75552282768778,104,5.522827687776141,0.0,8.475548060708263,0.0,46.24447717231222,0.0,17.038216560509554,38.53503184713376,0.0,66.57534246575342,27.397260273972602,48.56512141280353,51.434878587196465,54.0,46.0,78.77358490566037,21.22641509433962,0.0
105,DEN,2021,1340,105,48.507462686567166,105,4.626865671641791,0.0,7.794520547945205,0.0,51.492537313432834,0.0,17.246376811594203,45.36231884057971,0.0,71.53846153846153,21.846153846153847,47.22838137472284,52.77161862527716,53.352769679300295,46.647230320699705,76.63551401869158,23.364485981308412,0.0
106,DEN,2022,1436,106,52.78551532033426,106,7.311977715877438,0.0,7.870866141732283,0.0,47.21448467966574,0.0,18.436578171091444,37.02064896755162,0.0,67.28232189973615,25.593667546174142,51.49572649572649,48.504273504273506,56.33802816901409,43.66197183098591,77.48917748917748,22.51082251082251,0.0
107,DEN,2023,1364,107,45.96774193548387,107,8.944281524926687,0.0,6.609154929577465,0.0,54.03225806451613,0.0,16.55359565807327,43.69063772048847,0.0,71.1323763955343,21.21212121212121,50.22522522522522,49.77477477477478,55.89123867069487,44.10876132930513,67.42081447963801,32.57918552036199,0.0
108,DEN,2024,1446,108,51.45228215767634,108,11.479944674965422,0.0,7.104838709677419,0.0,48.54771784232366,0.0,13.105413105413104,44.15954415954416,0.0,70.96774193548387,22.58064516129032,46.186440677966104,53.813559322033896,55.833333333333336,44.166666666666664,76.25,23.75,0.0
109,DEN,2025,1587,109,53.24511657214871,109,10.838059231253938,0.0,6.900138696255201,0.0,46.75488342785129,0.0,14.555256064690028,43.261455525606465,0.0,72.54437869822485,21.53846153846154,49.80988593155893,50.19011406844106,57.49385749385749,42.50614250614251,78.70722433460075,21.292775665399237,0.0
110,DET,2015,1352,110,54.65976331360947,110,5.029585798816568,0.0,6.103397341211226,0.0,45.34023668639053,0.0,16.476345840130506,38.988580750407834,0.0,77.94316644113667,15.832205683355886,55.20169851380042,44.79830148619958,69.5906432748538,30.409356725146196,82.75862068965517,17.24137931034483,0.0
111,DET,2016,1360,111,68.38235294117648,111,18.38235294117647,0.0,7.004491017964072,0.0,31.617647058823522,0.0,10.69767441860465,28.37209302325581,0.0,66.88172043010752,26.129032258064516,52.92841648590022,47.071583514099785,68.4659090909091,31.53409090909091,84.46601941747572,15.53398058252427,0.0
112,DET,2017,1310,112,60.91603053435114,112,24.885496183206108,0.0,7.344605475040257,0.0,39.08396946564886,0.0,12.890625,33.984375,0.0,69.54887218045113,23.809523809523807,48.03695150115473,51.96304849884527,69.6048632218845,30.3951367781155,83.73205741626795,16.267942583732058,0.0
113,DET,2018,1339,113,52.94996265870052,113,8.588498879761016,0.0,6.426494345718901,0.0,47.05003734129948,0.0,14.920634920634921,41.904761904761905,0.0,74.04795486600845,19.88716502115656,49.333333333333336,50.66666666666667,62.390670553935855,37.60932944606414,80.28846153846155,19.71153846153846,0.0
114,DET,2019,1363,114,48.93617021276596,114,6.236243580337491,0.0,8.86038961038961,0.0,51.06382978723404,0.0,20.977011494252874,38.07471264367816,0.0,70.4647676161919,21.289355322338828,47.53363228699551,52.46636771300448,58.77192982456141,41.228070175438596,86.36363636363636,13.636363636363635,0.0
115,DET,2020,1319,115,49.58301743745261,115,5.761940864291129,0.0,7.931528662420382,0.0,50.41698256254739,0.0,20.150375939849624,37.59398496240601,0.0,75.53516819571865,17.889908256880734,56.01750547045952,43.98249452954048,59.93788819875776,40.06211180124223,84.89583333333334,15.104166666666666,0.0
116,DET,2021,1397,116,48.24624194702935,116,5.082319255547603,0.0,5.95748031496063,0.0,51.75375805297065,0.0,19.64038727524205,40.66390041493776,0.0,73.1454005934718,19.73293768545994,52.183406113537124,47.81659388646288,61.04651162790697,38.95348837209303,70.89201877934272,29.107981220657276,0.0
117,DET,2022,1421,117,42.646023926812106,117,4.081632653061225,0.0,6.745513866231648,0.0,57.353976073187894,0.0,22.085889570552148,43.68098159509202,0.0,71.45214521452145,21.122112211221122,47.83505154639175,52.164948453608254,55.865921787709496,44.134078212290504,73.11320754716981,26.88679245283019,0.0
118,DET,2023,1706,118,44.607268464243845,118,4.396248534583822,0.0,6.371052631578947,0.0,55.392731535756155,0.0,21.375661375661377,43.28042328042328,0.0,73.32457293035479,22.601839684625492,47.97297297297297,52.02702702702703,57.077625570776256,42.922374429223744,72.3076923076923,27.692307692307693,0.0
119,DET,2024,1510,119,36.95364238410596,119,3.774834437086093,0.0,6.092063492063492,0.0,63.04635761589404,0.0,25.630252100840334,43.48739495798319,0.0,69.17562724014337,25.806451612903224,44.927536231884055,55.072463768115945,54.427083333333336,45.57291666666667,71.16279069767441,28.837209302325583,0.0
120,DET,2025,1394,120,41.39167862266858,120,4.878048780487805,0.0,6.009661835748792,0.0,58.60832137733142,0.0,20.685434516523866,43.329253365973074,0.0,78.33622183708839,15.424610051993067,50.21186440677966,49.78813559322034,56.358381502890175,43.641618497109825,77.57009345794393,22.429906542056074,0.0
121,GB,2015,1598,121,58.82352941176471,121,31.351689612015022,0.0,7.8192090395480225,0.0,41.17647058823529,0.0,18.085106382978726,34.954407294832826,0.0,62.65957446808511,27.76595744680851,51.82341650671785,48.17658349328215,57.14285714285714,42.857142857142854,77.35042735042735,22.64957264957265,0.0
122,GB,2016,1621,122,60.57988895743368,122,11.042566317088218,0.0,8.450314465408805,0.0,39.42011104256632,0.0,17.683881064162755,31.142410015649453,0.0,69.4501018329939,24.236252545824847,55.77617328519856,44.22382671480145,66.91358024691358,33.086419753086425,82.11382113821138,17.88617886178862,0.0
123,GB,2017,1301,123,53.72790161414297,123,8.531898539584935,0.0,6.625,0.0,46.27209838585703,0.0,21.262458471760798,37.2093023255814,0.0,69.8140200286123,23.17596566523605,54.88372093023256,45.11627906976744,58.484848484848484,41.515151515151516,77.25118483412322,22.748815165876778,0.0
124,GB,2018,1358,124,58.100147275405014,124,8.100147275405007,0.0,8.142241379310345,0.0,41.899852724594986,0.0,23.198594024604567,28.471001757469246,0.0,71.48288973384031,21.799746514575414,60.82251082251082,39.17748917748918,66.3716814159292,33.6283185840708,84.39024390243902,15.609756097560975,0.0
125,GB,2019,1517,125,49.24192485168095,125,3.032300593276203,0.0,8.156661786237189,0.0,50.75807514831905,0.0,20.12987012987013,39.48051948051948,0.0,70.68273092369478,20.615796519410978,50.0,50.0,59.24050632911393,40.75949367088608,81.41592920353983,18.58407079646018,0.0
126,GB,2020,1468,126,48.56948228882834,126,2.656675749318801,0.0,7.511737089201878,0.0,51.43051771117166,0.0,20.662251655629138,40.397350993377486,0.0,67.74193548387096,27.068723702664798,48.6328125,51.3671875,53.57142857142857,46.42857142857143,79.12621359223301,20.87378640776699,0.0
127,GB,2021,1459,127,50.308430431802606,127,3.1528444139821796,0.0,7.24773413897281,0.0,49.691569568197394,0.0,20.96551724137931,39.17241379310345,0.0,69.48228882833789,24.931880108991823,47.347740667976424,52.652259332023576,59.31758530183727,40.68241469816273,82.2429906542056,17.75700934579439,0.0
128,GB,2022,1354,128,56.20384047267356,128,4.283604135893649,0.0,7.488294314381271,0.0,43.79615952732644,0.0,19.73018549747049,36.08768971332209,0.0,63.20630749014454,31.800262812089358,46.137339055793994,53.862660944206006,58.19209039548022,41.80790960451977,77.0,23.0,0.0
129,GB,2023,1523,129,57.12409717662508,129,6.500328299409061,0.0,8.00597014925373,0.0,42.87590282337492,0.0,19.90811638591118,36.14088820826952,0.0,62.06896551724138,30.804597701149426,48.031496062992126,51.96850393700787,55.670103092783506,44.329896907216494,76.01626016260163,23.983739837398375,0.0
130,GB,2024,1443,130,60.91476091476091,130,7.830907830907831,0.0,8.266666666666667,0.0,39.08523908523909,0.0,13.829787234042554,35.28368794326241,0.0,52.55972696245734,40.27303754266212,37.142857142857146,62.857142857142854,51.46666666666667,48.53333333333333,75.0,25.0,0.0
131,GB,2025,1408,131,50.99431818181818,131,6.9602272727272725,0.0,8.380952380952381,0.0,49.00568181818182,0.0,19.565217391304348,39.27536231884058,0.0,60.16713091922006,33.98328690807799,42.10526315789473,57.89473684210527,53.65168539325843,46.348314606741575,69.68325791855203,30.316742081447963,0.0
132,HOU,2015,1550,132,46.25806451612903,132,4.322580645161291,0.0,9.04178674351585,0.0,53.74193548387097,0.0,21.968787515006003,40.936374549819924,0.0,71.26917712691771,21.896792189679218,48.25581395348838,51.74418604651163,56.81233933161953,43.18766066838046,79.16666666666666,20.833333333333336,0.0
133,HOU,2016,1566,133,53.44827586206896,133,4.725415070242656,0.0,8.084919472913617,0.0,46.55172413793104,0.0,17.695473251028808,40.32921810699588,0.0,66.18876941457586,27.35961768219833,51.153846153846146,48.84615384615385,50.6265664160401,49.373433583959894,76.13636363636364,23.863636363636363,0.0
134,HOU,2017,1394,134,56.67144906743186,134,7.388809182209469,0.0,8.926243567753001,0.0,43.32855093256814,0.0,16.721854304635762,35.76158940397351,0.0,61.01265822784811,29.49367088607595,40.7488986784141,59.25110132158591,62.14689265536724,37.85310734463277,79.42583732057416,20.574162679425836,0.0
135,HOU,2018,1470,135,57.07482993197279,135,4.625850340136054,0.0,7.550724637681159,0.0,42.92517006802721,0.0,14.421553090332806,37.5594294770206,0.0,63.17044100119189,29.916567342073897,40.60606060606061,59.3939393939394,61.49732620320856,38.50267379679144,78.82882882882883,21.17117117117117,0.0
136,HOU,2019,1522,136,65.44021024967148,136,2.2339027595269383,0.0,8.0459940652819,0.0,34.55978975032852,0.0,16.920152091254753,28.517110266159694,0.0,58.734939759036145,34.036144578313255,44.01544401544402,55.98455598455598,62.30769230769231,37.69230769230769,80.54298642533936,19.457013574660635,0.0
137,HOU,2020,1249,137,65.65252201761409,137,8.8871096877502,0.0,8.111666666666666,0.0,34.34747798238591,0.0,13.752913752913754,26.573426573426573,0.0,65.97560975609757,28.04878048780488,59.49074074074075,40.50925925925926,61.20401337792642,38.79598662207358,74.61139896373057,25.38860103626943,0.0
138,HOU,2021,1365,138,55.23809523809524,138,5.934065934065933,0.0,6.763113367174281,0.0,44.76190476190476,0.0,15.548281505728315,34.20621931260229,0.0,65.78249336870027,28.116710875331563,50.0,50.0,53.23529411764706,46.76470588235294,78.24267782426779,21.75732217573222,0.0
139,HOU,2022,1335,139,49.51310861423221,139,7.715355805243446,0.0,7.017713365539453,0.0,50.48689138576779,0.0,23.44213649851632,35.90504451038576,0.0,70.04538577912254,23.751891074130103,52.41379310344828,47.58620689655172,60.66066066066066,39.33933933933934,76.92307692307693,23.076923076923077,0.0
140,HOU,2023,1560,140,48.84615384615385,140,7.179487179487179,0.0,8.017167381974248,0.0,51.15384615384615,0.0,17.418546365914786,41.228070175438596,0.0,73.49081364829397,20.078740157480315,45.5078125,54.4921875,61.5979381443299,38.402061855670105,82.53968253968253,17.46031746031746,0.0
141,HOU,2024,1581,141,48.070841239721695,141,4.490828589500316,0.0,7.528735632183908,0.0,51.929158760278305,0.0,18.148599269183922,42.38733252131547,0.0,71.97368421052632,19.86842105263158,47.5,52.5,56.15384615384615,43.84615384615385,82.82442748091603,17.17557251908397,0.0
142,HOU,2025,1612,142,49.87593052109181,142,3.598014888337469,0.0,7.782361308677098,0.0,50.12406947890819,0.0,17.2029702970297,42.698019801980195,0.0,70.1492537313433,22.885572139303484,43.320610687022906,56.6793893129771,62.67942583732058,37.32057416267943,75.2851711026616,24.714828897338403,0.0
143,IND,2015,1399,143,47.39099356683345,143,7.719799857040743,0.0,8.03191489361702,0.0,52.60900643316655,0.0,22.146739130434785,37.22826086956522,0.0,74.6606334841629,18.401206636500756,53.94736842105263,46.05263157894737,63.793103448275865,36.206896551724135,75.74468085106383,24.25531914893617,0.0
144,IND,2016,1386,144,47.76334776334777,144,6.782106782106783,0.0,7.684627575277338,0.0,52.23665223665223,0.0,20.303867403314918,39.50276243093923,0.0,73.1117824773414,18.580060422960727,54.96828752642706,45.03171247357294,58.60058309037901,41.39941690962099,75.74257425742574,24.257425742574256,0.0
145,IND,2017,1327,145,44.76262245666918,145,2.185380557648832,0.0,6.761029411764706,0.0,55.23737754333082,0.0,15.279672578444748,43.92905866302865,0.0,72.72727272727273,21.71717171717172,42.65060240963855,57.34939759036145,55.688622754491014,44.31137724550898,73.24561403508771,26.75438596491228,0.0
146,IND,2018,1567,146,59.98723675813656,146,9.955328653477984,0.0,7.461956521739131,0.0,40.01276324186344,0.0,14.673046251993622,36.20414673046252,0.0,68.51063829787233,24.680851063829788,58.5635359116022,41.43646408839779,54.82233502538071,45.17766497461929,78.90295358649789,21.09704641350211,0.0
147,IND,2019,1325,147,54.71698113207547,147,4.60377358490566,0.0,7.541133455210238,0.0,45.28301886792453,0.0,14.499999999999998,43.0,0.0,63.44827586206897,29.517241379310345,47.651006711409394,52.348993288590606,47.337278106508876,52.662721893491124,77.29468599033817,22.705314009661837,0.0
148,IND,2020,1439,148,60.111188325225854,148,8.686587908269631,0.0,6.942122186495177,0.0,39.888811674774146,0.0,10.627177700348431,42.1602787456446,0.0,64.85549132947976,29.01734104046243,48.717948717948715,51.28205128205128,54.90196078431373,45.09803921568628,75.70093457943925,24.299065420560748,0.0
149,IND,2021,1391,149,51.905104241552834,149,3.882099209202013,0.0,7.1813285457809695,0.0,48.094895758447166,0.0,13.153961136023916,45.2914798206278,0.0,64.9584487534626,27.28531855955679,48.0,52.0,48.22485207100592,51.77514792899408,71.9047619047619,28.095238095238095,0.0
