index_x,team_abbr,season,n_plays,index_y,index,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate,motion_rate,play_action_rate,air_yards_per_att,shotgun_rate,no_huddle_rate,under_center_rate,team_nickname,personnel_01_rate,personnel_10_rate,personnel_11_rate,personnel_12_rate,personnel_13_rate,personnel_20_rate,personnel_21_rate,personnel_22_rate,personnel_31_rate
153,IND,2025,1340,153,153,0.0,17.636684303350968,35.273368606701936,0.0,62.35446313065977,31.4359637774903,49.35064935064935,50.64935064935064,58.98203592814371,41.01796407185629,72.3076923076923,27.692307692307693,0.0,57.6,19.0,8.0,71.4,5.2,28.59999999999999,IND,0.0,0.1,62.67,25.54,9.82,0.0,0.69,0.1,0.0
164,JAX,2025,1512,164,164,0.0,16.644823066841415,43.90563564875492,0.0,68.09078771695593,23.89853137516689,46.33663366336634,53.663366336633665,61.398963730569946,38.60103626943005,68.14159292035397,31.858407079646017,0.0,60.6,14.6,8.7,59.5,7.0,40.5,JAX,0.09,0.46,65.23,18.48,2.84,0.0,3.39,0.0,0.0
175,KC,2025,1379,175,175,0.0,10.278372591006423,36.402569593147746,0.0,64.25438596491229,28.50877192982456,49.78165938864629,50.21834061135371,65.52706552706553,34.472934472934476,70.45454545454545,29.545454545454547,0.0,49.5,15.3,7.8,80.0,2.7,20.0,KC,0.0,0.19,56.08,27.99,6.22,0.0,4.24,1.32,0.0
186,LAR,2025,1674,186,186,0.0,25.499092558983666,43.28493647912885,0.0,81.2937062937063,12.237762237762238,48.57142857142857,51.42857142857142,60.64814814814815,39.351851851851855,76.52173913043478,23.47826086956522,0.0,62.8,21.3,9.1,39.9,6.4,60.1,LAR,0.0,0.09,58.66,9.58,30.48,0.0,0.0,0.0,0.0
197,LAC,2025,1500,197,197,0.0,15.689381933438987,38.193343898573694,0.0,65.24741081703107,28.5385500575374,44.398340248962654,55.601659751037346,64.85788113695091,35.14211886304909,71.26436781609196,28.735632183908045,0.0,50.6,15.7,8.0,70.3,4.1,29.700000000000003,LAC,0.91,4.57,56.8,5.84,1.92,5.11,10.96,7.95,0.0
208,LV,2025,1263,208,208,0.0,16.694772344013494,38.61720067453626,0.0,71.94029850746269,21.044776119402982,54.613466334164585,45.38653366583541,58.27814569536424,41.72185430463576,76.99530516431925,23.004694835680752,0.0,48.3,16.5,6.2,65.7,8.9,34.3,LV,0.0,0.0,56.96,33.97,5.91,0.0,0.32,0.21,0.0
219,MIA,2025,1255,219,219,0.0,17.647058823529413,33.63970588235294,0.0,59.634317862165965,35.0210970464135,43.75,56.25,55.66037735849056,44.33962264150944,73.4375,26.5625,0.0,67.5,18.0,7.0,71.1,3.7,28.90000000000001,MIA,0.0,0.74,39.3,10.01,0.84,0.74,24.66,8.85,0.32
230,MIN,2025,1271,230,230,0.0,18.687589158345222,43.081312410841655,0.0,73.15789473684211,18.947368421052634,46.57210401891253,53.42789598108747,59.29487179487179,40.70512820512821,75.38461538461539,24.615384615384617,0.0,48.4,16.4,7.8,55.2,7.4,44.8,MIN,0.0,0.0,63.84,21.17,3.04,0.0,7.76,3.77,0.0
241,NE,2025,1694,241,241,0.0,16.056034482758623,48.27586206896552,0.0,71.14882506527415,21.54046997389034,42.41379310344828,57.58620689655173,54.337899543378995,45.662100456621005,74.21875,25.78125,0.0,50.0,14.8,9.2,53.5,2.4,46.5,NE,0.1,0.57,48.95,19.35,0.0,0.19,15.33,6.99,0.0
252,NO,2025,1399,252,252,0.0,13.184584178498987,35.496957403651116,0.0,63.57615894039736,28.918322295805737,48.69565217391305,51.30434782608696,64.52513966480447,35.47486033519553,73.99103139013454,26.00896860986547,0.0,62.5,12.7,8.1,78.0,22.8,22.0,NO,0.0,0.19,66.7,16.84,8.28,0.09,0.37,1.02,0.0
263,NYG,2025,1434,263,263,0.0,14.119922630560929,36.36363636363637,0.0,54.961832061068705,35.33260632497274,47.17391304347826,52.826086956521735,46.81440443213297,53.18559556786704,71.55555555555554,28.444444444444443,0.0,38.7,14.2,8.5,76.5,20.8,23.5,NYG,0.18,0.0,60.46,32.53,5.07,0.0,0.65,0.18,0.0
274,NYJ,2025,1336,274,274,0.0,16.0,34.909090909090914,0.0,59.92366412213741,33.969465648854964,48.92601431980907,51.07398568019092,51.4018691588785,48.598130841121495,67.68558951965066,32.314410480349345,0.0,58.7,12.4,6.9,73.2,9.9,26.799999999999997,NYJ,0.0,0.0,67.13,17.03,0.3,0.0,6.24,2.57,0.2
285,PHI,2025,1429,285,285,0.0,9.854014598540148,37.95620437956204,0.0,58.56980703745743,34.846765039727586,43.412526997840175,56.587473002159825,54.223433242506815,45.776566757493185,68.58407079646017,31.41592920353982,0.0,44.0,13.7,9.0,76.3,18.5,23.700000000000003,PHI,0.2,0.0,59.21,25.84,7.92,0.0,0.89,0.3,0.0
296,PIT,2025,1382,296,296,0.0,15.408320493066254,39.29121725731895,0.0,71.07776261937244,23.192360163710777,48.775055679287306,51.224944320712694,60.28985507246377,39.710144927536234,79.46428571428571,20.535714285714285,0.0,52.1,13.1,6.0,65.8,11.3,34.2,PIT,0.0,0.0,38.66,24.7,14.17,0.0,2.33,0.91,0.0
307,SEA,2025,1581,307,307,0.0,20.44310171198389,45.51863041289023,0.0,68.70748299319727,25.0,43.884892086330936,56.11510791366906,49.48717948717949,50.51282051282051,65.71428571428571,34.285714285714285,0.0,54.1,14.5,7.8,45.2,7.6,54.8,SEA,0.79,0.2,41.38,29.85,5.42,0.1,11.43,6.8,0.0
318,SF,2025,1527,318,318,0.0,20.70175438596491,45.146198830409354,0.0,73.66071428571429,21.875,47.8021978021978,52.19780219780221,56.74300254452926,43.25699745547074,71.1864406779661,28.8135593220339,0.0,66.8,14.6,7.5,53.0,3.8,47.0,SF,0.0,0.0,42.61,11.46,0.46,0.0,36.32,8.23,0.0
329,TB,2025,1420,329,329,0.0,13.79310344827586,43.47826086956522,0.0,67.72908366533864,24.43559096945551,44.251626898047725,55.748373101952275,62.28571428571429,37.714285714285715,68.42105263157895,31.57894736842105,0.0,58.9,12.8,8.1,64.7,6.3,35.3,TB,0.0,1.22,68.73,18.63,2.25,0.09,5.9,1.5,0.0
340,TEN,2025,1347,340,340,0.0,13.756613756613756,35.44973544973545,0.0,70.25641025641025,22.692307692307693,49.63325183374083,50.36674816625917,65.95092024539878,34.04907975460122,77.35042735042735,22.64957264957265,0.0,43.3,15.9,7.0,72.4,10.3,27.59999999999999,TEN,0.0,0.0,69.82,16.53,1.29,0.0,2.29,0.0,0.0
351,WAS,2025,1329,351,351,0.0,6.940874035989718,28.277634961439592,0.0,51.38297872340426,40.1063829787234,37.41496598639456,62.58503401360544,55.98802395209581,44.01197604790419,69.84126984126983,30.15873015873016,0.0,49.3,17.3,8.5,86.9,60.0,13.099999999999994,WAS,0.91,0.81,56.77,23.23,5.15,0.3,1.92,0.51,0.0
