index_x,team_abbr,season,n_plays,index_y,shotgun_rate,index,no_huddle_rate,play_action_rate,air_yards_per_att,motion_rate,under_center_rate,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate,scheme_cluster
181,LAR,2020,1549,181,35.18398967075533,181,12.395093608779858,0.0,6.430473372781065,0.0,64.81601032924468,0.0,31.03448275862069,68.96551724137932,0.0,89.32038834951457,10.679611650485436,47.7859778597786,52.2140221402214,57.17884130982368,42.82115869017632,71.2,28.799999999999997,0.0,2
192,LAC,2020,1446,192,53.18118948824343,192,5.394190871369295,0.0,7.105421686746988,0.0,46.81881051175657,0.0,37.34335839598998,62.656641604010034,0.0,70.25920873124147,29.74079126875853,47.04684317718941,52.953156822810584,61.49870801033591,38.50129198966408,81.25,18.75,0.0,1
203,LV,2020,1351,203,47.00222057735011,203,7.327905255366396,0.0,7.744827586206896,0.0,52.99777942264989,0.0,31.74603174603175,68.25396825396825,0.0,73.8255033557047,26.174496644295296,43.459915611814345,56.540084388185655,62.68221574344023,37.31778425655977,76.26262626262627,23.737373737373737,0.0,1
214,MIA,2020,1336,214,64.52095808383234,214,11.30239520958084,0.0,7.1438127090301,0.0,35.47904191616766,0.0,29.04761904761905,70.95238095238095,0.0,65.72827417380661,34.271725826193396,54.77707006369427,45.22292993630573,57.27002967359051,42.72997032640949,68.4729064039409,31.52709359605911,0.0,0
225,MIN,2020,1365,225,30.47619047619048,225,3.5897435897435894,0.0,7.287744227353463,0.0,69.52380952380952,0.0,41.70471841704719,58.29528158295282,0.0,76.45502645502646,23.544973544973544,48.6652977412731,51.33470225872689,51.50602409638554,48.493975903614455,73.48066298342542,26.519337016574585,0.0,2
236,NE,2020,1245,236,42.730923694779115,236,11.244979919678714,0.0,6.2656903765690375,0.0,57.269076305220885,0.0,30.555555555555554,69.44444444444444,0.0,65.17509727626458,34.82490272373541,41.81818181818181,58.18181818181818,51.04477611940299,48.95522388059702,61.49732620320856,38.50267379679144,0.0,2
247,NO,2020,1522,247,44.48094612352168,247,2.4967148488830486,0.0,5.813397129186603,0.0,55.51905387647832,0.0,27.52293577981651,72.47706422018348,0.0,75.0,25.0,46.28252788104089,53.71747211895911,52.185089974293064,47.81491002570694,71.1864406779661,28.8135593220339,0.0,2
258,NYG,2020,1273,258,53.33857030636292,258,22.623723487824037,0.0,6.989492119089317,0.0,46.66142969363708,0.0,32.16374269005848,67.83625730994152,0.0,73.40764331210191,26.59235668789809,48.00936768149883,51.99063231850117,58.93416927899686,41.06583072100313,81.31313131313132,18.68686868686869,0.0,0
269,NYJ,2020,1264,269,49.208860759493675,269,5.2215189873417724,0.0,7.805147058823529,0.0,50.791139240506325,0.0,27.223719676549862,72.77628032345014,0.0,76.51122625215889,23.48877374784111,48.18401937046005,51.81598062953995,53.054662379421224,46.94533762057878,81.06796116504854,18.932038834951456,0.0,2
280,PHI,2020,1404,280,67.45014245014245,280,11.823361823361823,0.0,7.995522388059701,0.0,32.54985754985755,0.0,38.88888888888889,61.111111111111114,0.0,67.6674364896074,32.33256351039261,56.55913978494623,43.44086021505376,60.115606936416185,39.884393063583815,75.45454545454545,24.545454545454547,0.0,0
291,PIT,2020,1474,291,67.02849389416554,291,8.887381275440976,0.0,7.0,0.0,32.971506105834465,0.0,17.924528301886795,82.0754716981132,0.0,76.70639219934993,23.29360780065005,58.82352941176471,41.17647058823529,64.85013623978202,35.14986376021799,80.81632653061224,19.183673469387756,0.0,0
302,SEA,2020,1420,302,56.54929577464789,302,4.859154929577465,0.0,8.102325581395348,0.0,43.45070422535211,0.0,37.462235649546834,62.53776435045317,0.0,69.46666666666667,30.533333333333328,51.91919191919192,48.08080808080808,60.98901098901099,39.010989010989015,73.52941176470588,26.47058823529412,0.0,1
313,SF,2020,1360,313,46.98529411764706,313,5.8088235294117645,0.0,6.171288743882545,0.0,53.01470588235294,0.0,36.3431151241535,63.6568848758465,0.0,74.46457990115321,25.53542009884679,46.9601677148847,53.03983228511531,62.46498599439776,37.53501400560224,78.1725888324873,21.82741116751269,0.0,1
