index_x,team_abbr,season,n_plays,index_y,shotgun_rate,index,no_huddle_rate,play_action_rate,air_yards_per_att,motion_rate,under_center_rate,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate,team_nickname,personnel_01_rate,personnel_10_rate,personnel_11_rate,personnel_12_rate,personnel_13_rate,personnel_20_rate,personnel_21_rate,personnel_22_rate,personnel_31_rate,scheme_cluster
229,MIN,2024,1489,229,41.90732034922767,229,10.275352585627935,0.0,7.785493827160494,0.0,58.09267965077233,0.0,32.37410071942446,67.62589928057552,0.0,81.9614711033275,18.038528896672503,41.76470588235294,58.235294117647065,62.46719160104986,37.53280839895013,84.33179723502305,15.668202764976956,0.0,MIN,0.0,0.0,57.21,24.67,0.95,0.0,14.8,1.9,0.0,2
240,NE,2024,1380,240,57.028985507246375,240,8.26086956521739,0.0,6.574358974358974,0.0,42.971014492753625,0.0,23.96166134185303,76.03833865814697,0.0,71.03064066852369,28.96935933147632,43.18181818181818,56.81818181818182,59.36599423631124,40.63400576368876,79.62962962962963,20.37037037037037,0.0,NE,0.1,0.0,59.49,30.96,0.97,0.29,1.27,0.1,0.1,3
251,NO,2024,1369,251,46.60336011687363,251,8.254200146092037,0.0,7.483108108108108,0.0,53.39663988312637,0.0,32.51121076233184,67.48878923766816,0.0,75.76271186440677,24.237288135593225,47.82608695652174,52.17391304347826,59.25925925925925,40.74074074074074,71.42857142857143,28.57142857142857,0.0,NO,0.0,0.0,33.33,30.43,8.62,0.1,16.38,7.56,0.0,2
262,NYG,2024,1413,262,57.395612172682235,262,10.898796886058031,0.0,6.231007751937985,0.0,42.604387827317765,0.0,35.56231003039514,64.43768996960486,0.0,71.25506072874495,28.744939271255056,56.5121412803532,43.4878587196468,54.54545454545454,45.45454545454545,76.29310344827587,23.70689655172414,0.0,NYG,0.0,1.03,73.38,16.75,3.67,0.28,2.16,0.28,0.0,0
273,NYJ,2024,1339,273,60.71695294996265,273,6.721433905899925,0.0,6.307810107197549,0.0,39.28304705003735,0.0,38.148148148148145,61.851851851851855,0.0,73.43124165554073,26.568758344459276,51.7162471395881,48.2837528604119,66.3716814159292,33.6283185840708,84.76190476190476,15.23809523809524,0.0,NYJ,0.3,0.1,70.4,20.99,2.38,0.0,4.85,0.1,0.0,0
284,PHI,2024,1787,284,66.92781197537772,284,20.64913262451035,0.0,6.854757929883139,0.0,33.07218802462228,0.0,18.548387096774196,81.45161290322581,0.0,49.06832298136646,50.93167701863355,31.552587646076795,68.44741235392321,50.44052863436123,49.55947136563877,57.3943661971831,42.6056338028169,0.0,PHI,0.0,0.0,59.87,30.16,3.95,0.0,1.53,1.97,0.0,1
295,PIT,2024,1483,295,47.673634524612275,295,19.01550910316925,0.0,7.183219178082192,0.0,52.326365475387725,0.0,26.849894291754755,73.15010570824525,0.0,69.77099236641222,30.229007633587784,39.9581589958159,60.04184100418411,52.56410256410257,47.43589743589743,74.89539748953975,25.10460251046025,0.0,PIT,0.09,0.0,51.43,25.44,16.37,0.0,2.96,0.28,0.0,2
306,SEA,2024,1401,306,62.59814418272662,306,17.84439685938615,0.0,6.32923076923077,0.0,37.40185581727338,0.0,28.51239669421488,71.48760330578513,0.0,73.45132743362832,26.548672566371685,56.344086021505376,43.655913978494624,62.20238095238096,37.79761904761904,79.52380952380952,20.47619047619047,0.0,SEA,0.1,0.1,77.38,17.28,1.84,0.0,1.17,0.49,0.0,0
317,SF,2024,1358,317,48.30633284241531,317,3.0191458026509572,0.0,7.943859649122807,0.0,51.69366715758469,0.0,28.91566265060242,71.08433734939759,0.0,73.4094616639478,26.5905383360522,48.11715481171548,51.88284518828452,53.43283582089552,46.56716417910447,76.6497461928934,23.3502538071066,0.0,SF,1.17,0.0,48.34,7.41,0.58,0.0,34.89,4.87,0.0,2
328,TB,2024,1487,328,51.71486213853396,328,4.640215198386012,0.0,6.486571879936809,0.0,48.28513786146604,0.0,26.76056338028169,73.23943661971832,0.0,72.58741258741259,27.412587412587413,48.01512287334593,51.98487712665406,56.52173913043478,43.47826086956522,71.80616740088107,28.193832599118945,0.0,TB,0.0,0.09,70.93,13.07,0.0,0.73,10.24,4.02,0.18,3
339,TEN,2024,1384,339,60.47687861271677,339,6.069364161849711,0.0,7.3076923076923075,0.0,39.52312138728323,0.0,29.64285714285714,70.35714285714286,0.0,66.4021164021164,33.5978835978836,45.111111111111114,54.888888888888886,60.46511627906976,39.53488372093023,72.09302325581395,27.906976744186046,0.0,TEN,0.0,0.0,68.6,17.15,4.46,0.0,0.97,0.39,0.0,3
350,WAS,2024,1719,350,75.15997673065736,350,51.77428737638162,0.0,6.764285714285714,0.0,24.840023269342637,0.0,25.86206896551724,74.13793103448276,0.0,55.28052805280528,44.71947194719472,42.06896551724138,57.931034482758626,55.58086560364465,44.41913439635535,71.48288973384031,28.517110266159698,0.0,WAS,0.54,0.54,58.95,24.89,5.54,0.82,5.9,0.82,0.0,1
