Year,Team,Net EPA,Offensive EPA per play,EPA/Play,Total EPA,Success Rate,EPA/Pass,EPA/Rush
2016,Packers,0.07,,,,,,
2016,Texans ,-0.02,,,,,,
2016,Colts,-0.05,,,,,,
2016,Jaguars,-0.04,,,,,,
2016,Chiefs ,0.05,,,,,,
2016,Chargers,0.02,,,,,,
2016,Rams,-0.24,,,,,,
2016,Dolphins,-0.01,,,,,,
2016,Vikings,0.06,,,,,,
2016,Patriots,0.17,,,,,,
2016,Saints,0.02,,,,,,
2016,Giants,0.02,,,,,,
2016,Jets,-0.11,,,,,,
2016,Raiders,-0.01,,,,,,
2016,Eagles,0.04,,,,,,
2016,Steelers,0.08,,,,,,
2016,Seahawks,0.07,,,,,,
2016,49ers,-0.15,,,,,,
2016,Buccaneers,0.01,,,,,,
2016,Titans,0.0,,,,,,
2016,Commanders,0.02,,,,,,
2017,Browns,-0.16,,,,,,
2017,Raiders,-0.13,,,,,,
2017,Giants,-0.14,,,,,,
2017,Cowboys,0.0,,,,,,
2017,Panthers,0.03,,,,,,
2017,Titans,-0.05,,,,,,
2017,Patriots,0.09,,,,,,
2017,Jaguars,0.2,,,,,,
2017,Bears,-0.07,,,,,,
2017,Saints,0.14,,,,,,
2017,Colts,-0.18,,,,,,
2017,Texans ,-0.08,,,,,,
2017,Steelers,0.09,,,,,,
2017,Dolphins,-0.15,,,,,,
2017,Seahawks,0.06,,,,,,
2017,Cardinals,-0.06,,,,,,
2017,Broncos,-0.01,,,,,,
2017,Bengals,-0.08,,,,,,
2017,Jets,-0.09,,,,,,
2017,Bills,-0.07,,,,,,
2017,Commanders,-0.03,,,,,,
2017,49ers,-0.04,,,,,,
2017,Packers,-0.06,,,,,,
2017,Ravens,0.07,,,,,,
2017,Lions,0.02,,,,,,
2017,Buccaneers,-0.04,,,,,,
2017,Vikings,0.15,,,,,,
2017,Eagles,0.16,,,,,,
2017,Rams,0.14,,,,,,
2017,Falcons,0.06,,,,,,
2017,Chargers,0.15,,,,,,
2017,Chiefs ,0.08,,,,,,
2018,Chiefs,0.2,,,,,,
2018,Rams,0.15,,,,,,
2018,Saints,0.13,,,,,,
2018,Seahawks,0.1,,,,,,
2018,Chargers,0.14,,,,,,
2018,Steelers,0.07,,,,,,
2018,Patriots,0.11,,,,,,
2018,Colts,0.11,,,,,,
2018,Bears,0.17,,,,,,
2018,Ravens,0.11,,,,,,
2018,Texans,0.08,,,,,,
2018,Cowboys,0.05,,,,,,
2018,Eagles,0.01,,,,,,
2018,Packers,0.0,,,,,,
2018,Panthers,0.01,,,,,,
2018,Falcons,-0.03,,,,,,
2018,Vikings,0.03,,,,,,
2018,Titans,-0.04,,,,,,
2018,Broncos,-0.01,,,,,,
2018,Browns,-0.03,,,,,,
2018,Lions,-0.06,,,,,,
2018,Giants,-0.04,,,,,,
2018,Buccaneers,-0.06,,,,,,
2018,Bills,-0.05,,,,,,
2018,Jaguars,-0.1,,,,,,
2018,Commanders,-0.09,,,,,,
2018,49ers,-0.09,,,,,,
2018,Bengals,-0.12,,,,,,
2018,Jets,-0.15,,,,,,
2018,Dolphins,-0.15,,,,,,
2018,Raiders,-0.2,,,,,,
2018,Cardinals,-0.27,,,,,,
2019,Ravens,0.292,0.203,,,,,
2019,Chiefs,0.133,0.135,,,,,
2019,Cowboys,0.137,0.111,,,,,
2019,Saints,0.12,0.084,,,,,
2019,49ers,0.216,0.077,,,,,
2019,Titans,0.084,0.063,,,,,
2019,Packers,0.089,0.059,,,,,
2019,Texans,-0.002,0.057,,,,,
2019,Vikings,0.123,0.056,,,,,
2019,Raiders,-0.081,0.037,,,,,
2019,Chargers,0.0,0.036,,,,,
2019,Seahawks,-0.001,0.018,,,,,
2019,Falcons,-0.03,0.014,,,,,
2019,Cardinals,-0.081,0.014,,,,,
2019,Patriots,0.227,0.01,,,,,
2019,Colts,0.009,0.009,,,,,
2019,Eagles,0.035,0.004,,,,,
2019,Rams,0.04,0.001,,,,,
2019,Buccaneers,0.072,0.0,,,,,
2019,Bills,0.061,-0.024,,,,,
2019,Browns,-0.076,-0.027,,,,,
2019,Lions,-0.11,-0.039,,,,,
2019,Jaguars,-0.125,-0.053,,,,,
2019,Broncos,-0.053,-0.054,,,,,
2019,Giants,-0.137,-0.064,,,,,
2019,Dolphins,-0.201,-0.076,,,,,
2019,Bears,-0.032,-0.079,,,,,
2019,Panthers,-0.146,-0.087,,,,,
2019,Bengals,-0.193,-0.096,,,,,
2019,Commanders,-0.213,-0.13,,,,,
2019,Steelers,-0.014,-0.136,,,,,
2019,Jets,-0.133,-0.155,,,,,
2020,Packers,0.195,0.221,,,,,
2020,Titans,0.058,0.189,,,,,
2020,Chiefs,0.112,0.177,,,,,
2020,Bills,0.134,0.169,,,,,
2020,Buccaneers,0.186,0.149,,,,,
2020,Ravens,0.137,0.109,,,,,
2020,Seahawks,0.06,0.105,,,,,
2020,Saints,0.14,0.096,,,,,
2020,Texans,-0.075,0.093,,,,,
2020,Browns,0.01,0.091,,,,,
2020,Vikings,-0.006,0.089,,,,,
2020,Colts,0.092,0.083,,,,,
2020,Raiders,-0.071,0.066,,,,,
2020,Cardinals,0.018,0.05,,,,,
2020,Chargers,0.015,0.043,,,,,
2020,Falcons,-0.029,0.042,,,,,
2020,Steelers,0.141,0.035,,,,,
2020,Dolphins,0.049,0.026,,,,,
2020,Panthers,-0.068,0.019,,,,,
2020,Lions,-0.191,0.014,,,,,
2020,49ers,0.025,0.01,,,,,
2020,Patriots,-0.071,0.004,,,,,
2020,Rams,0.151,-0.013,,,,,
2020,Bears,-0.032,-0.016,,,,,
2020,Cowboys,-0.101,-0.029,,,,,
2020,Bengals,-0.139,-0.041,,,,,
2020,Jaguars,-0.217,-0.05,,,,,
2020,Commanders,0.033,-0.051,,,,,
2020,Eagles,-0.08,-0.055,,,,,
2020,Giants,-0.093,-0.057,,,,,
2020,Broncos,-0.112,-0.071,,,,,
2020,Jets,-0.222,-0.116,,,,,
2021,Buccaneers,0.205,0.143,,,,,
2021,Chiefs,0.102,0.14,,,,,
2021,Packers,0.116,0.136,,,,,
2021,Bills,0.202,0.091,,,,,
2021,Chargers,0.044,0.088,,,,,
2021,49ers,0.081,0.085,,,,,
2021,Cowboys,0.173,0.084,,,,,
2021,Rams,0.107,0.082,,,,,
2021,Cardinals,0.141,0.079,,,,,
2021,Patriots,0.133,0.07,,,,,
2021,Bengals,0.077,0.063,,,,,
2021,Eagles,0.052,0.061,,,,,
2021,Colts,0.06,0.06,,,,,
2021,Seahawks,0.018,0.042,,,,,
2021,Titans,0.043,0.025,,,,,
2021,Broncos,0.016,0.021,,,,,
2021,Vikings,0.022,0.018,,,,,
2021,Browns,-0.005,0.014,,,,,
2021,Ravens,-0.069,0.009,,,,,
2021,Raiders,-0.062,-0.001,,,,,
2021,Commanders,-0.116,-0.036,,,,,
2021,Dolphins,-0.019,-0.046,,,,,
2021,Steelers,-0.057,-0.051,,,,,
2021,Lions,-0.163,-0.061,,,,,
2021,Saints,0.038,-0.063,,,,,
2021,Jets,-0.211,-0.072,,,,,
2021,Falcons,-0.156,-0.076,,,,,
2021,Jaguars,-0.19,-0.079,,,,,
2021,Bears,-0.119,-0.087,,,,,
2021,Panthers,-0.101,-0.132,,,,,
2021,Texans,-0.211,-0.134,,,,,
2021,Giants,-0.169,-0.141,,,,,
2022,Chiefs,0.18,0.179,0.17,183.57,0.49729999999999996,0.25,0.04
2022,Bills,0.156,0.111,0.09,94.65,0.4793,0.14,0.03
2022,Eagles,0.163,0.1,0.09,96.22,0.4733,0.08,0.09
2022,49ers,0.196,0.084,0.07,69.87,0.4546,0.17,-0.04
2022,Bengals,0.124,0.081,0.06,59.86,0.4625,0.12,-0.05
