player_id,Year,Team,Cap_Space,position_x,age,adjusted_value,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,weighted_grade,weighted_average_grade
00-0034116,2019,Saints,0.3028692879914984,,23.0,0.0,0.12,76.50%,J.T. Gray,S,20.0,3.0,0.0,0.0,0.0,20.0,0.0,51.7,49.3,76.3,77.3,0.0,0.0,0.0,0.0,0.0,0.0,118.8,1.0,16.0,1.0,18.0,1.0,0.0,1.0,0.0,1.0,0.0,32.0,986.0,MISSING
00-0035139,2019,Seahawks,0.6025164718384697,,22.0,246.5765719063261,-0.001,66.70%,Marquise Blair,S,230.0,9.0,5.0,0.0,2.0,29.0,0.0,80.8,78.5,82.4,47.6,0.0,0.0,14.8,4.0,1.0,0.0,111.9,10.0,135.0,39.0,155.0,34.0,5.0,18.0,0.0,14.0,1.0,89.0,18055.0,MISSING
00-0033931,2019,Seahawks,0.4568910733262487,,23.0,102.36676282221002,-0.001,66.70%,Delano Hill,S,300.0,9.0,5.0,0.0,0.0,29.0,0.0,65.1,55.2,82.7,51.4,0.0,0.0,18.5,5.0,0.0,0.0,104.2,3.0,221.0,38.0,187.0,15.0,2.0,17.0,0.0,5.0,0.0,66.0,16560.0,MISSING
00-0031608,2019,Seahawks,0.8636774707757705,,26.0,21.91680053184735,-0.001,66.70%,Quandre Diggs,S,606.0,10.0,8.0,0.0,1.0,29.0,1.0,79.3,76.4,51.4,37.7,3.0,1.0,21.6,11.0,0.0,1.0,32.3,4.0,433.0,97.0,388.0,59.0,6.0,32.0,0.0,8.0,0.0,54.0,46298.4,MISSING
00-0035253,2019,Saints,0.3671758767268863,,21.0,110.15285304677752,0.12,76.50%,C.J. Gardner-Johnson,S,547.0,16.0,5.0,0.0,1.0,20.0,1.0,68.8,72.7,28.2,51.2,1.0,0.0,13.0,7.0,6.0,6.0,86.4,30.0,69.0,102.0,382.0,268.0,21.0,42.0,6.0,47.0,2.0,291.0,39766.9,MISSING
00-0033554,2019,Seahawks,0.4319877789585546,,24.0,0.0,-0.001,66.70%,Tedric Thompson,S,387.0,6.0,5.0,0.0,0.0,29.0,0.0,48.3,46.6,84.5,62.0,2.0,0.0,14.3,3.0,0.0,1.0,61.8,8.0,338.0,21.0,266.0,22.0,1.0,13.0,0.0,12.0,0.0,126.0,18034.2,MISSING
00-0034789,2019,Steelers,0.57555738575983,,22.0,469.73216363524415,-0.014,50.00%,Minkah Fitzpatrick,S,1046.0,16.0,19.0,2.0,2.0,25.0,3.0,77.4,79.8,45.3,59.7,5.0,1.0,12.7,10.0,4.0,4.0,95.6,15.0,809.0,128.0,601.0,78.0,13.0,50.0,1.0,23.0,3.0,216.0,83470.8,MISSING
00-0034858,2019,Steelers,1.2918783209351752,,22.0,307.8251035025631,-0.014,50.00%,Terrell Edmunds,S,1036.0,16.0,18.0,0.0,0.0,25.0,0.0,58.3,63.6,85.5,70.2,0.0,0.0,11.1,12.0,3.0,2.0,120.8,27.0,292.0,451.0,602.0,263.0,30.0,78.0,3.0,37.0,2.0,354.0,65889.6,MISSING
00-0034335,2019,Steelers,0.0356312433581296,,23.0,60.46615417470352,-0.014,50.00%,Marcus Allen,S,1.0,1.0,0.0,0.0,0.0,25.0,0.0,MISSING,60.0,60.4,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,MISSING
00-0033053,2019,Steelers,0.6909675876726886,,25.0,0.0,-0.014,50.00%,Sean Davis,S,55.0,1.0,0.0,0.0,0.0,25.0,0.0,55.8,48.7,0.0,35.6,0.0,0.0,16.7,1.0,0.0,1.0,118.8,2.0,54.0,1.0,35.0,0.0,1.0,5.0,0.0,2.0,0.0,30.0,2678.5,MISSING
00-0030023,2019,Steelers,0.3427205100956429,,28.0,0.0,-0.014,50.00%,Jordan Dangerfield,S,9.0,6.0,0.0,0.0,0.0,25.0,0.0,MISSING,85.6,99.0,73.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,770.4,MISSING
00-0034361,2019,Texans,0.4914415515409139,,22.0,161.24989190679736,-0.002,61.10%,Justin Reid,S,916.0,15.0,7.0,0.0,0.0,13.0,1.0,79.3,76.7,88.4,69.4,2.0,0.0,11.0,9.0,3.0,0.0,80.5,23.0,449.0,267.0,596.0,147.0,19.0,66.0,2.0,35.0,2.0,239.0,70257.2,MISSING
00-0030161,2019,Seahawks,2.4984500531349627,,28.0,0.0,-0.001,66.70%,Bradley McDougald,S,941.0,15.0,5.0,0.0,1.0,29.0,1.0,64.5,62.0,86.9,50.1,2.0,0.0,17.1,14.0,4.0,1.0,82.9,28.0,446.0,243.0,596.0,145.0,19.0,63.0,1.0,47.0,2.0,392.0,58342.0,MISSING
00-0032888,2019,Raiders,2.009231668437832,,25.0,0.0,-0.081,43.80%,Karl Joseph,S,575.0,9.0,9.0,0.0,0.0,23.0,1.0,64.7,69.9,47.9,66.5,1.0,0.0,11.8,6.0,2.0,2.0,112.8,11.0,316.0,176.0,343.0,53.0,11.0,36.0,4.0,14.0,1.0,235.0,40192.5,MISSING
00-0032939,2019,Saints,0.6715802337938364,,24.0,146.43778565909616,0.12,76.50%,Vonn Bell,S,872.0,13.0,10.0,3.0,2.0,20.0,5.0,49.4,62.8,22.3,60.0,1.0,0.0,10.5,9.0,2.0,6.0,106.7,32.0,463.0,210.0,567.0,110.0,24.0,67.0,4.0,45.0,2.0,430.0,54761.6,MISSING
00-0030294,2019,Ravens,6.725114771519659,,27.0,0.0,0.292,82.40%,Tony Jefferson,S,281.0,5.0,3.0,0.0,0.0,3.0,0.0,48.9,53.1,80.2,44.1,0.0,0.0,21.7,5.0,2.0,2.0,130.6,7.0,91.0,126.0,178.0,40.0,3.0,15.0,0.0,12.0,1.0,169.0,14921.1,MISSING
00-0032042,2019,Raiders,0.4303931987247609,,27.0,0.0,-0.081,43.80%,Curtis Riley,S,275.0,11.0,2.0,0.0,1.0,23.0,0.0,67.7,67.3,22.7,62.2,0.0,0.0,11.8,4.0,0.0,1.0,145.8,5.0,154.0,70.0,177.0,27.0,9.0,28.0,3.0,8.0,2.0,112.0,18507.5,MISSING
00-0034726,2019,Raiders,0.2630180658873539,,25.0,0.0,-0.081,43.80%,Dallin Leavitt,S,32.0,2.0,0.0,0.0,0.0,23.0,0.0,65.2,58.8,74.9,27.4,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,19.0,5.0,21.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1881.6,MISSING
00-0035693,2019,Raiders,1.110539319872476,,22.0,0.0,-0.081,43.80%,Johnathan Abram,S,48.0,1.0,1.0,0.0,0.0,23.0,0.0,46.2,38.7,0.0,45.3,0.0,0.0,33.3,2.0,0.0,2.0,0.0,0.0,36.0,9.0,26.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1857.6,MISSING
00-0035663,2019,Rams,0.4515207226354942,,21.0,197.67033473385783,0.04,56.30%,Taylor Rapp,S,823.0,15.0,22.0,0.0,0.0,26.0,1.0,61.4,63.3,61.3,80.8,2.0,1.0,5.8,6.0,6.0,2.0,86.9,47.0,148.0,439.0,508.0,202.0,35.0,76.0,4.0,67.0,1.0,544.0,52095.899999999994,MISSING
00-0032786,2019,Rams,0.3825717321997874,,24.0,39.248586720673984,0.04,56.30%,Marqui Christian,S,371.0,14.0,5.0,1.0,0.0,26.0,0.0,70.2,58.8,38.1,44.3,0.0,0.0,21.1,8.0,2.0,1.0,131.0,16.0,119.0,115.0,279.0,107.0,11.0,25.0,0.0,23.0,3.0,173.0,21814.8,MISSING
00-0025424,2019,Rams,3.0560706695005315,,34.0,17.626263821936334,0.04,56.30%,Eric Weddle,S,1031.0,16.0,21.0,1.0,0.0,26.0,0.0,70.5,69.0,66.8,79.7,0.0,0.0,7.3,8.0,2.0,2.0,128.0,21.0,617.0,270.0,614.0,121.0,19.0,80.0,2.0,28.0,3.0,186.0,71139.0,66.06915846016115
00-0033894,2019,Saints,0.9043241232731136,,22.0,218.7537710522263,0.12,76.50%,Marcus Williams,S,950.0,15.0,7.0,0.0,1.0,20.0,0.0,89.2,86.5,65.7,60.0,4.0,1.0,16.1,9.0,6.0,2.0,47.8,11.0,794.0,109.0,649.0,42.0,12.0,40.0,1.0,21.0,1.0,130.0,82175.0,MISSING
00-0035669,2019,Rams,0.2732901168969182,,24.0,16.065694566813512,0.04,56.30%,Nick Scott,S,15.0,2.0,1.0,0.0,0.0,26.0,0.0,65.0,66.9,74.5,77.4,0.0,0.0,0.0,0.0,0.0,0.0,91.7,1.0,14.0,0.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,1003.5,MISSING
00-0035609,2019,Rams,0.1701880977683315,,23.0,0.0,0.04,56.30%,Jake Gervase,S,13.0,2.0,0.0,0.0,0.0,26.0,0.0,61.3,62.6,71.2,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,10.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.8000000000001,MISSING
00-0031559,2019,Ravens,0.2016004250797024,,26.0,126.07346854609872,0.292,82.40%,Jordan Richards,S,2.0,1.0,0.0,0.0,0.0,3.0,1.0,MISSING,60.6,63.0,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.2,MISSING
00-0027866,2019,Ravens,3.719447396386822,,30.0,70.45965270562927,0.292,82.40%,Earl Thomas III,S,891.0,15.0,14.0,0.0,1.0,3.0,1.0,84.7,76.7,40.5,58.1,2.0,0.0,15.5,9.0,1.0,3.0,21.5,5.0,488.0,259.0,548.0,69.0,11.0,35.0,2.0,13.0,0.0,84.0,68339.7,69.941663350577
00-0033294,2019,Ravens,0.3659410201912858,,24.0,33.171896015736294,0.292,82.40%,Chuck Clark,S,745.0,15.0,11.0,0.0,2.0,3.0,0.0,81.9,72.9,64.3,70.5,1.0,0.0,11.4,8.0,3.0,2.0,84.5,27.0,117.0,372.0,375.0,97.0,21.0,51.0,2.0,37.0,1.0,212.0,54310.50000000001,MISSING
00-0034277,2019,Ravens,0.3238299681190223,,22.0,0.0,0.292,82.40%,DeShon Elliott,S,40.0,4.0,2.0,0.0,0.0,3.0,0.0,62.8,69.7,74.6,79.4,0.0,0.0,0.0,0.0,1.0,0.0,118.8,1.0,16.0,20.0,26.0,1.0,0.0,3.0,0.0,1.0,0.0,22.0,2788.0,MISSING
00-0027539,2019,Ravens,0.9210063761955366,,32.0,0.0,0.292,82.40%,Anthony Levine,S,167.0,14.0,0.0,0.0,0.0,3.0,0.0,52.6,48.9,83.8,27.0,0.0,0.0,10.0,1.0,0.0,0.0,108.7,10.0,5.0,88.0,122.0,15.0,4.0,9.0,1.0,11.0,0.0,111.0,8166.3,MISSING
00-0033927,2019,Rams,0.4603815090329436,,23.0,0.0,0.04,56.30%,John Johnson III,S,395.0,6.0,16.0,0.0,0.0,26.0,0.0,56.9,53.5,80.2,46.6,2.0,0.0,17.2,10.0,0.0,1.0,85.3,12.0,153.0,182.0,237.0,35.0,9.0,32.0,2.0,17.0,1.0,181.0,21132.5,MISSING
00-0030427,2019,Falcons,0.3905419766206164,,28.0,5.910238739270432,-0.03,43.80%,Kemal Ishmael,S,282.0,11.0,9.0,0.0,1.0,2.0,0.0,45.2,54.3,81.1,59.8,0.0,0.0,11.1,5.0,0.0,0.0,122.3,14.0,32.0,152.0,131.0,44.0,14.0,31.0,4.0,17.0,1.0,147.0,15312.6,MISSING
00-0031181,2019,Falcons,1.7933049946865038,,27.0,33.55287424912062,-0.03,43.80%,Ricardo Allen,S,950.0,16.0,18.0,0.0,0.0,2.0,0.0,57.3,58.6,40.5,66.2,2.0,0.0,11.1,10.0,6.0,2.0,84.0,29.0,497.0,287.0,577.0,127.0,21.0,62.0,5.0,45.0,3.0,265.0,55670.0,MISSING
00-0028899,2019,Eagles,3.005446333687566,,29.0,0.0,0.035,52.90%,Rodney McLeod,S,1013.0,16.0,14.0,0.0,2.0,24.0,0.0,70.6,65.9,67.4,54.1,2.0,0.0,17.9,15.0,4.0,1.0,52.5,16.0,622.0,182.0,639.0,133.0,20.0,55.0,1.0,30.0,1.0,163.0,66756.70000000001,MISSING
