player_id,Year,Team,player,position,age,franchise_id,player_game_count,grades_defense,snap_counts_defense,assists,forced_fumbles,grades_coverage_defense,grades_pass_rush_defense,grades_run_defense,hits,hurries,missed_tackle_rate,sacks,stops,tackles,tackles_for_loss,total_pressures,grades_defense_penalty,grades_tackle,interceptions,pass_break_ups,penalties,snap_counts_box,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,targets,fumble_recoveries,declined_penalties,missed_tackles,Cap_Space,adjusted_value,Net EPA,Win %,weighted_grade,weighted_average_grade
00-0029287,2013,Browns,Tank Carder,LB,24.0,8.0,4.0,35.3,78.0,1.0,0.0,49.2,49.9,36.1,0.0,2.0,8.3,0.0,6.0,10.0,0.0,2.0,93.3,70.5,0.0,0.0,0.0,64.0,66.0,12.0,36.0,5.0,0.0,0.0,1.0,0.3883495145631068,61.137322976461256,-0.06,25.0,2753.3999999999996,
00-0028834,2013,Browns,Craig Robertson,LB,25.0,8.0,14.0,46.9,845.0,10.0,1.0,36.5,56.4,63.4,2.0,6.0,10.3,3.0,35.0,60.0,3.0,11.0,88.4,56.6,1.0,1.0,1.0,778.0,795.0,88.0,331.0,58.0,1.0,0.0,8.0,0.3883495145631068,0.0,-0.06,25.0,39630.5,
00-0031361,2014,Browns,Christian Kirksey,LB,22.0,8.0,16.0,61.8,681.0,11.0,1.0,68.3,52.5,57.2,1.0,5.0,6.6,2.0,30.0,60.0,6.0,8.0,60.8,76.4,0.0,1.0,2.0,528.0,574.0,66.0,278.0,29.0,0.0,2.0,5.0,0.4403195488721805,171.47075093580506,-0.02,43.8,42085.8,
00-0029287,2014,Browns,Tank Carder,LB,25.0,8.0,7.0,49.7,13.0,1.0,0.0,60.0,59.4,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4,69.9,0.0,0.0,0.0,9.0,10.0,2.0,10.0,1.0,0.0,0.0,0.0,0.4285714285714286,55.31933746765175,-0.02,43.8,646.1,
00-0022927,2014,Browns,Karlos Dansby,LB,32.0,8.0,12.0,86.3,815.0,18.0,0.0,90.1,59.4,73.1,0.0,5.0,8.2,3.0,44.0,71.0,7.0,8.0,85.6,74.9,1.0,2.0,0.0,774.0,790.0,58.0,328.0,34.0,0.0,0.0,8.0,4.135338345864661,34.3671805978195,-0.02,43.8,70334.5,59.67569248162803
00-0028834,2014,Browns,Craig Robertson,LB,26.0,8.0,16.0,68.6,663.0,11.0,0.0,74.3,56.3,60.1,1.0,3.0,11.3,0.0,36.0,60.0,5.0,4.0,87.2,60.8,2.0,2.0,1.0,567.0,584.0,41.0,331.0,34.0,1.0,0.0,9.0,0.4285714285714286,0.0,-0.02,43.8,45481.8,
00-0024249,2011,Browns,D'Qwell Jackson,LB,27.0,8.0,16.0,80.7,1073.0,11.0,1.0,64.2,64.0,89.6,5.0,9.0,6.3,4.0,62.0,124.0,10.0,18.0,63.9,86.5,1.0,0.0,1.0,1041.0,1072.0,137.0,518.0,37.0,2.0,0.0,9.0,3.9460020768431985,151.0952693992365,-0.08,25.0,86591.1,
00-0027074,2011,Browns,Kaluka Maiava,LB,24.0,8.0,13.0,63.5,268.0,0.0,1.0,52.3,70.8,66.2,1.0,2.0,14.8,0.0,9.0,23.0,2.0,3.0,72.4,48.6,0.0,0.0,0.0,252.0,258.0,12.0,185.0,9.0,0.0,0.0,4.0,0.5060228452751817,90.97403938100643,-0.08,25.0,17018.0,
00-0024286,2011,Browns,Chris Gocong,LB,27.0,8.0,16.0,53.7,863.0,15.0,2.0,57.6,63.4,49.0,3.0,6.0,13.8,4.0,29.0,54.0,5.0,13.0,76.1,59.7,0.0,1.0,0.0,801.0,838.0,118.0,450.0,39.0,1.0,0.0,11.0,3.6830737279335417,85.14985494479788,-0.08,25.0,46343.100000000006,
00-0021259,2011,Browns,Scott Fujita,LB,32.0,8.0,10.0,53.0,633.0,9.0,0.0,48.9,54.0,59.8,1.0,2.0,7.3,0.0,25.0,42.0,3.0,3.0,52.6,72.9,1.0,1.0,1.0,594.0,609.0,61.0,309.0,23.0,0.0,0.0,4.0,2.907580477673936,10.589075326609684,-0.08,25.0,33549.0,
00-0028698,2011,Browns,Ben Jacobs,LB,23.0,8.0,1.0,60.4,3.0,0.0,0.0,,,60.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,69.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0804984423676012,0.0,-0.08,25.0,181.2,
00-0028458,2011,Browns,Quinton Spears,LB,23.0,8.0,3.0,60.8,6.0,0.0,0.0,60.0,59.8,60.1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,70.6,,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.3156801661474558,0.0,-0.08,25.0,364.7999999999999,
00-0024129,2010,Browns,Blake Costanzo,LB,26.0,8.0,3.0,55.5,3.0,0.0,0.0,60.0,56.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,68.7,,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4430894308943089,0.0,-0.12,31.3,166.5,
00-0024286,2010,Browns,Chris Gocong,LB,26.0,8.0,16.0,76.5,962.0,13.0,1.0,72.8,67.0,70.4,3.0,16.0,9.9,2.0,35.0,51.0,5.0,21.0,90.7,69.7,0.0,3.0,0.0,875.0,888.0,152.0,492.0,31.0,2.0,0.0,7.0,1.869918699186992,114.94028166105448,-0.12,31.3,73593.0,
00-0024249,2012,Browns,D'Qwell Jackson,LB,28.0,8.0,16.0,70.6,1120.0,21.0,2.0,81.8,54.1,59.1,2.0,1.0,7.5,4.0,42.0,78.0,2.0,7.0,44.7,84.8,2.0,5.0,3.0,1082.0,1119.0,103.0,436.0,58.0,2.0,0.0,8.0,5.140961857379768,111.9341286297672,-0.06,31.3,79072.0,
