,player,target_year,team
136,Philip Rivers,2019,Chargers
137,Philip Rivers,2020,Colts
138,Russell Wilson,2018,Seahawks
139,Russell Wilson,2019,Seahawks
140,Russell Wilson,2020,Seahawks
141,Russell Wilson,2021,Seahawks
142,Russell Wilson,2022,Broncos
143,Russell Wilson,2023,Broncos
144,Russell Wilson,2024,Steelers
145,Ryan Fitzpatrick,2018,Buccaneers
146,Ryan Fitzpatrick,2019,Dolphins
147,Ryan Fitzpatrick,2020,Dolphins
148,Ryan Tannehill,2019,Titans
149,Ryan Tannehill,2020,Titans
150,Ryan Tannehill,2021,Titans
151,Ryan Tannehill,2022,Titans
152,Ryan Tannehill,2023,Titans
153,Sam Darnold,2021,Panthers
154,Sam Darnold,2022,Panthers
155,Sam Darnold,2024,Vikings
156,Teddy Bridgewater,2021,Broncos
157,Tom Brady,2018,Patriots
158,Tom Brady,2019,Patriots
159,Tom Brady,2020,Buccaneers
160,Tom Brady,2021,Buccaneers
161,Tom Brady,2022,Buccaneers
162,Trevor Lawrence,2024,Jaguars
163,Trevor Siemian,2023,Jets
164,Tua Tagovailoa,2023,Dolphins
165,Tua Tagovailoa,2024,Dolphins
166,Tyrod Taylor,2018,Browns
167,Tyrod Taylor,2021,Texans
168,Tyrod Taylor,2023,Giants
