Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id_x,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,snap_counts_defense,player_id_y,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Year_y,weighted_grade,weighted_average_grade,merge_player_y
266.0,266.0,2010.0,Broncos,DL,Justin Bannan,00-0021092,8.0,2002.0,2002.0,Bills,31.0,139.0,0.133,3.2,37.0,15.13,401.0,14.972490955106936,2010.0,Broncos,-0.13,25.00%,justin bannan,justin bannan,justin bannan,28,Justin Bannan,DEN,DI,774,1134,16,8,5,0,1,10,0,0,57.0,77.6,53.7,58.1,77.7,7,6,0.0,0,1,81.3,1,774,68,131,0,554,15,21,1,14,2010,44118.0,MISSING,justin bannan
1046.0,1046.0,2010.0,Giants,DL,Rocky Bernard,00-0021261,8.0,2002.0,2002.0,Seahawks,31.0,146.0,0.125,2.9,33.0,12.95,376.0,13.859409404827089,2010.0,Giants,0.09,62.50%,rocky bernard,rocky bernard,rocky bernard,29,Rocky Bernard,NYG,DI,321,1139,14,2,4,0,0,21,0,0,68.1,85.8,70.7,59.2,75.9,1,9,0.0,0,0,0.0,2,321,6,305,0,10,13,16,1,12,2010,21860.1,MISSING,rocky bernard
326.0,326.0,2010.0,Browns,DL,Kenyon Coleman,00-0021262,8.0,2002.0,2002.0,Raiders,31.0,147.0,0.124,2.8,33.0,12.66,372.0,13.64158066678408,2010.0,Browns,-0.12,31.30%,kenyon coleman,kenyon coleman,kenyon coleman,30,Kenyon Coleman,CLV,DI,557,1140,16,9,0,0,0,8,3,0,64.8,58.7,56.8,67.1,74.5,1,8,6.0,4,2,79.2,3,556,0,15,1,539,45,54,1,12,2010,36093.6,MISSING,kenyon coleman
1303.0,1303.0,2010.0,Packers,DL,Howard Green,00-0021099,8.0,2002.0,2002.0,Texans,31.0,190.0,0.077,1.2,15.0,4.86,237.0,7.727932071426246,2010.0,Packers,0.18,70.00%,howard green,howard green,howard green,31,Howard Green,GB,DI,252,1173,14,1,0,0,0,12,0,0,56.5,81.8,58.8,54.3,74.3,2,4,16.7,2,0,0.0,1,252,16,58,0,178,7,9,1,7,2010,14238.0,MISSING,howard green
1798.0,1798.0,2010.0,Steelers,DL,Brett Keisel,00-0021344,8.0,2002.0,2002.0,Steelers,31.0,242.0,0.05,0.0,0.0,1.53,110.0,3.32117874688998,2010.0,Steelers,0.18,73.70%,brett keisel,brett keisel,brett keisel,32,Brett Keisel,PIT,DI,609,1204,14,6,5,0,2,25,1,0,68.9,86.3,56.0,72.0,74.0,4,14,5.9,2,0,0.0,3,609,13,35,0,434,20,26,1,21,2010,41960.100000000006,MISSING,brett keisel
731.0,731.0,2010.0,Commanders,DL,Ma'ake Kemoeatu,00-0020867,8.0,2002.0,2002.0,MISSING,31.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Commanders,-0.12,37.50%,maake kemoeatu,maake kemoeatu,maake kemoeatu,33,Ma'ake Kemoeatu,WAS,DI,362,1267,14,5,0,0,0,32,0,0,43.1,63.3,54.3,44.2,70.3,1,3,3.8,1,1,0.0,0,362,349,13,0,0,13,20,1,4,2010,15602.2,MISSING,maake kemoeatu
1977.0,1977.0,2010.0,Vikings,DL,Kevin Williams,00-0022073,7.0,2003.0,2003.0,Vikings,30.0,9.0,0.847,20.6,1350.0,387.01,1843.0,152.2348730824638,2010.0,Vikings,-0.07,37.50%,kevin williams,kevin williams,kevin williams,34,Kevin Williams,MIN,DI,895,1325,16,8,9,0,1,18,0,0,75.6,38.2,71.8,71.2,78.4,5,30,10.6,5,6,79.2,2,895,20,873,0,1,27,34,8,37,2010,67662.0,MISSING,kevin williams
1978.0,1978.0,2010.0,Vikings,DL,Jimmy Kennedy,00-0022155,7.0,2003.0,2003.0,Rams,30.0,12.0,0.742,18.8,1200.0,346.51,1691.0,136.66236275420084,2010.0,Vikings,-0.07,37.50%,jimmy kennedy,jimmy kennedy,jimmy kennedy,35,Jimmy Kennedy,MIN,DI,147,1328,9,1,0,0,0,18,0,0,60.0,81.9,59.5,57.3,72.8,1,2,20.0,2,0,0.0,1,147,0,147,0,0,5,7,1,4,2010,8820.0,MISSING,jimmy kennedy
76.0,76.0,2010.0,Bears,DL,Anthony Adams,00-0022085,7.0,2003.0,2003.0,49ers,30.0,57.0,0.342,8.9,330.0,95.73,871.0,57.48297007811546,2010.0,Bears,0.02,66.70%,anthony adams,anthony adams,anthony adams,36,Anthony Adams,CHI,DI,654,1372,18,1,1,0,3,6,0,0,55.4,65.8,60.0,53.0,68.3,5,10,3.6,1,2,0.0,2,654,0,653,0,1,22,26,3,17,2010,36231.6,MISSING,anthony adams
1610.0,1610.0,2010.0,Ravens,DL,Cory Redding,00-0021998,7.0,2003.0,2003.0,Lions,29.0,66.0,0.296,7.9,260.0,76.25,794.0,49.965978078950634,2010.0,Ravens,0.06,72.20%,cory redding,cory redding,cory redding,37,Cory Redding,BLT,DI,683,1381,17,7,2,0,0,3,1,1,55.7,30.5,63.8,53.3,65.4,8,20,8.1,3,5,0.0,4,683,108,214,0,359,24,27,5,32,2010,38043.1,MISSING,cory redding
1796.0,1796.0,2010.0,Steelers,DL,Nick Eason,00-0022010,7.0,2003.0,2003.0,Broncos,30.0,114.0,0.166,4.4,66.0,26.4,506.0,26.734813113415825,2010.0,Steelers,0.18,73.70%,nick eason,nick eason,nick eason,38,Nick Eason,PIT,DI,529,1426,19,1,0,0,0,25,0,0,43.8,84.3,46.1,47.1,36.7,0,7,23.1,3,0,108.3,2,529,126,35,0,351,9,9,0,9,2010,23170.199999999997,MISSING,nick eason
