,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Team,Year,weighted_grade,weighted_average_grade
64,Antoine Caldwell,HST,G,100.0,0,13,75.8,69.3,73.9,2,10,327,100.0,100.0,97.6,0,14,2,555,0,0,0,555,348,348,555,0,207,0,Texans,2010,42069.0,
65,Artis Hicks,WAS,G,100.0,0,32,58.8,60.1,65.5,4,15,345,100.0,100.0,96.7,6,21,2,547,0,0,0,547,366,366,540,7,181,0,Commanders,2010,32163.6,
66,Travelle Wharton,CAR,G,100.0,0,5,64.8,78.1,59.2,3,5,314,100.0,100.0,98.4,3,9,1,538,0,538,0,538,331,331,0,0,207,0,Panthers,2010,34862.4,
67,Ryan Cook,MIN,G,100.0,0,18,67.3,64.4,69.7,1,9,295,100.0,100.0,97.3,3,13,3,535,91,0,0,535,309,309,431,7,226,6,Vikings,2010,36005.5,
68,Louis Vasquez,SD,G,100.0,0,27,75.2,68.0,73.4,1,8,315,100.0,100.0,97.3,0,13,4,534,0,0,0,534,323,323,534,0,211,0,Chargers,2010,40156.8,
69,Will Montgomery,WAS,G,100.0,0,32,68.6,76.4,66.5,1,8,324,100.0,100.0,98.3,3,10,1,509,75,1,0,509,342,342,433,0,167,0,Commanders,2010,34917.399999999994,
70,Mike Brisiel,HST,G,100.0,0,13,86.9,76.2,88.8,1,7,280,100.0,100.0,98.2,2,9,1,502,0,0,0,502,297,297,502,0,205,0,Texans,2010,43623.8,
71,Stephen Neal,NE,G,100.0,0,19,75.4,71.7,73.4,1,10,269,100.0,100.0,97.6,1,12,1,492,0,0,0,492,283,283,492,0,209,0,Patriots,2010,37096.8,
72,Trai Essex,PIT,G,99.8,0,25,56.1,58.0,62.0,1,15,237,99.6,99.6,95.8,6,18,2,440,0,15,29,441,252,253,298,81,188,18,Steelers,2010,24740.100000000002,
73,Doug Legursky,PIT,G,100.0,0,25,51.7,52.7,50.0,0,11,193,100.0,100.0,96.6,3,12,1,440,169,44,0,440,202,202,207,0,238,3,Steelers,2010,22748.0,
74,Ben Hamilton,SEA,G,100.0,0,29,66.1,65.2,65.5,0,7,216,100.0,100.0,97.0,3,10,3,376,0,376,0,376,222,222,0,0,154,0,Seahawks,2010,24853.6,
75,Chester Pitts,SEA,G,100.0,0,29,61.6,63.9,59.5,1,5,215,100.0,100.0,97.7,6,8,2,350,0,299,51,350,227,227,0,0,123,0,Seahawks,2010,21560.0,
76,Russ Hochstein,DEN,G,100.0,0,10,65.5,56.2,67.4,3,3,197,100.0,100.0,97.0,4,9,3,347,1,248,2,347,210,210,75,0,137,16,Broncos,2010,22728.5,
77,Kevin Boothe,NYG,G,99.7,0,21,57.3,69.4,53.3,1,6,182,99.5,99.5,98.1,2,7,0,346,55,290,0,347,192,193,0,0,154,2,Giants,2010,19883.1,
78,Cord Howard,BUF,G,100.0,1,4,45.8,39.7,57.0,6,18,206,100.0,100.0,92.7,3,27,3,343,0,52,12,343,213,213,69,209,130,1,Bills,2010,15709.4,
79,Jamey Richard,IND,G,100.0,0,14,55.7,55.8,56.2,2,10,195,100.0,100.0,96.9,3,12,0,322,0,322,0,322,200,200,0,0,122,0,Colts,2010,17935.4,
80,Chris DeGeare,MIN,G,100.0,0,18,54.9,65.4,51.0,0,5,181,100.0,100.0,97.5,1,7,2,315,0,315,0,315,188,188,0,0,127,0,Vikings,2010,17293.5,
81,Stanley Daniels,DEN,G,100.0,0,10,57.1,67.3,49.2,0,7,191,100.0,100.0,97.1,1,9,2,300,0,300,0,300,198,198,0,0,102,0,Broncos,2010,17130.0,
82,Keydrick Vincent,TB,G,100.0,0,30,66.1,69.1,67.2,2,9,185,100.0,100.0,97.0,2,11,0,297,0,297,0,297,195,195,0,0,102,0,Buccaneers,2010,19631.699999999997,
83,Daniel Loper,OAK,G,100.0,0,23,62.9,49.1,65.9,2,6,161,100.0,100.0,96.3,0,10,2,297,0,295,0,297,171,171,0,0,126,2,Raiders,2010,18681.3,
84,Justin Smiley,JAX,G,100.0,0,15,66.1,69.9,69.2,3,1,135,100.0,100.0,97.0,4,6,2,269,0,269,0,269,142,142,0,0,127,0,Jaguars,2010,17780.899999999998,
85,Lance Louis,CHI,G,100.0,0,6,73.0,51.6,80.5,4,9,166,100.0,100.0,95.5,0,14,1,263,0,0,0,263,183,183,263,0,80,0,Bears,2010,19199.0,
86,Derek Hardman,TB,G,100.0,0,30,58.5,56.8,59.6,0,8,146,100.0,100.0,96.6,1,9,1,255,0,0,0,255,154,154,253,0,101,2,Buccaneers,2010,14917.5,
87,Adam Snyder,SF,G,97.3,0,28,70.8,81.5,68.1,1,0,129,94.9,95.0,99.6,1,1,0,255,0,29,1,262,133,140,210,0,122,22,49ers,2010,18549.6,
88,Ryan Wendell,NE,G,100.0,0,19,70.9,67.2,72.3,1,2,95,100.0,100.0,98.4,0,3,0,229,26,45,0,229,98,98,158,0,131,0,Patriots,2010,16236.100000000002,
89,Chad Rinehart,BUF,G,100.0,0,4,78.8,89.4,69.7,0,0,113,100.0,100.0,100.0,1,0,0,202,0,0,0,202,116,116,202,0,86,0,Bills,2010,15917.599999999999,
90,Montrae Holland,DAL,G,100.0,0,9,75.5,64.8,76.2,1,4,102,100.0,100.0,97.5,0,5,0,170,0,141,0,170,107,107,27,0,63,0,Cowboys,2010,12835.0,
91,Kraig Urbik,BUF,G,100.0,0,4,75.9,88.2,66.9,0,1,103,100.0,100.0,99.5,0,1,0,159,29,0,0,159,106,106,130,0,53,0,Bills,2010,12068.1,
92,Jon Asamoah,KC,G,97.5,0,16,74.8,67.4,74.7,1,1,73,96.1,95.1,98.6,0,2,0,154,0,65,0,158,78,82,74,0,76,14,Chiefs,2010,11818.4,
93,John Greco,SL,G,100.0,0,26,91.1,74.9,92.0,0,0,76,100.0,100.0,98.7,1,1,1,146,0,15,0,146,80,80,131,0,66,0,Rams,2010,13300.599999999999,
94,Billy Yates,CLV,G,100.0,0,8,68.0,86.1,61.0,0,0,50,100.0,100.0,100.0,0,0,0,136,0,6,0,136,53,53,130,0,83,0,Browns,2010,9248.0,
95,Shawn Lauvao,CLV,G,100.0,0,8,48.2,61.7,41.1,0,4,68,100.0,100.0,97.1,0,4,0,113,0,5,0,113,71,71,108,0,42,0,Browns,2010,5446.6,
96,Evan Mathis,CIN,G,100.0,0,7,92.8,77.5,91.4,0,1,55,100.0,100.0,99.1,0,1,0,110,0,108,0,110,55,55,0,0,55,2,Bengals,2010,10208.0,
97,Reggie Wells,PHI,G,100.0,0,24,41.3,52.0,45.0,1,2,69,100.0,100.0,96.4,1,4,1,110,0,71,0,110,73,73,39,0,37,0,Eagles,2010,4543.0,
98,Phil Costa,DAL,G,100.0,0,9,53.3,63.2,43.9,1,1,81,100.0,100.0,97.5,1,3,1,107,0,107,0,107,86,86,0,0,21,0,Cowboys,2010,5703.099999999999,
99,Derrick Dockery,WAS,G,100.0,0,32,70.3,73.4,66.0,0,2,50,100.0,100.0,98.0,2,2,0,83,0,83,0,83,51,51,0,0,32,0,Commanders,2010,5834.9,
100,Vladimir Ducasse,NYJ,G,100.0,0,22,71.5,82.0,66.8,0,0,18,100.0,100.0,100.0,0,0,0,68,0,0,0,68,19,19,57,11,49,0,Jets,2010,4862.0,
101,Quinn Ojinnaka,NE,G,100.0,0,19,63.6,83.6,56.4,0,1,18,100.0,100.0,97.2,0,1,0,60,0,18,18,60,18,18,0,20,42,4,Patriots,2010,3816.0,
102,Mitch Petrus,NYG,G,100.0,0,21,55.5,81.3,58.0,0,0,16,100.0,100.0,100.0,1,0,0,51,0,47,0,51,17,17,4,0,34,0,Giants,2010,2830.5,
103,Max Unger,SEA,G,100.0,1,29,57.1,82.9,47.8,0,0,26,100.0,100.0,100.0,1,0,0,51,0,0,0,51,29,29,51,0,22,0,Seahawks,2010,2912.1,
104,Rich Ohrnberger,NE,G,100.0,0,19,52.0,80.6,55.4,0,0,12,100.0,100.0,100.0,1,0,0,48,0,20,0,48,13,13,28,0,35,0,Patriots,2010,2496.0,
