Unnamed: 0_x,season,team,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year,Team,Net EPA,Win %,Unnamed: 0_y,Player,Cap_Space,year
6018.0,2013.0,49ers,Nnamdi Asomugha,00-0022077,10.0,2003.0,2003.0,Raiders,32.0,31.0,0.51,12.7,600.0,190.21,1192.0,35.544203088532726,2013.0,49ers,0.09,73.70%,,,,
6058.0,2013.0,49ers,Owen Marecic,00-0028062,2.0,2011.0,2011.0,Browns,24.0,124.0,0.15,3.9,48.0,21.13,462.0,71.39419825298518,2013.0,49ers,0.09,73.70%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,8158.0,Patrick Omameh,0.0242718446601941,2013.0
6017.0,2013.0,49ers,Perrish Cox,00-0027737,3.0,2010.0,2010.0,Broncos,26.0,137.0,0.135,3.3,38.0,15.82,409.0,56.17453495032124,2013.0,49ers,0.09,73.70%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,6486.0,Phil Dawson,1.901294498381877,2013.0
6062.0,2013.0,49ers,Will Tukuafu,00-0027905,3.0,2010.0,2010.0,MISSING,29.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2013.0,49ers,0.09,73.70%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,8693.0,Andy Lee,1.8045112781954888,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,9568.0,Brandon Thomas,0.4109052631578947,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,10502.0,Chris Martin,0.0142105263157894,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,10064.0,Chuck Jacobs,0.2278195488721804,2014.0
8062.0,2014.0,49ers,Demarcus Dobbs,00-0028479,3.0,2011.0,2011.0,MISSING,26.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2014.0,49ers,-0.03,50.00%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,10048.0,Fou Fonoti,0.2290721804511278,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,10569.0,Garrison Smith,0.0047368421052631,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,10003.0,Kaleb Ramsey,0.2524037593984962,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,9785.0,Keith Reaser,0.346766917293233,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,10238.0,Kendall Gaskins,0.0805263157894736,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,9125.0,Kendall Hunter,0.6051165413533834,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,10009.0,Kenneth Acker,0.2504887218045112,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,9516.0,Kyle Nelson,0.4285714285714286,2014.0
8090.0,2014.0,49ers,LaMichael James,00-0029260,2.0,2012.0,2012.0,49ers,24.0,61.0,0.322,8.4,292.0,86.21,835.0,161.83878201782818,2014.0,49ers,-0.03,50.00%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,10241.0,Lance Lewis,0.0805263157894736,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,10242.0,Lawrence Okoye,0.0805263157894736,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,8466.0,Navorro Bowman,3.333834586466166,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,8769.0,Phil Dawson,1.5037593984962403,2014.0
8059.0,2014.0,49ers,Ray McDonald,00-0025484,7.0,2007.0,2007.0,49ers,29.0,97.0,0.203,5.5,112.0,38.52,591.0,33.28526155136259,2014.0,49ers,-0.03,50.00%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,10434.0,Shayne Skov,0.0331578947368421,2014.0
8105.0,2014.0,49ers,Steve Johnson,00-0026364,6.0,2008.0,2008.0,Bills,28.0,224.0,0.056,0.1,2.0,2.28,150.0,7.73842108823221,2014.0,49ers,-0.03,50.00%,,,,
,,,,,,,,,,,,,,,,,,49ers,,,8518.0,Stevie Johnson,2.951127819548872,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,9839.0,Trey Millard,0.3246518796992481,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,10559.0,Xavier Grimble,0.0094736842105263,2014.0
,,,,,,,,,,,,,,,,,,49ers,,,12085.0,Bradley Pinion,0.3374860413176996,2015.0
,,,,,,,,,,,,,,,,,,49ers,,,12093.0,DeAndre Smelter,0.3350977107761027,2015.0
