Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Year_y,weighted_grade,weighted_average_grade,merge_player_y
1470.0,1470.0,2010.0,Patriots,TE,Aaron Hernandez,00-0027713,0.0,2010.0,2010.0,Patriots,20.0,113.0,0.168,4.5,68.0,27.0,511.0,99.6150849227165,2010.0,Patriots,0.22,82.40%,aaron hernandez,aaron hernandez,aaron hernandez,20,Aaron Hernandez,NE,TE,7.3,5,70.8,MISSING,0,0,0,16.4,9,27,19,0,30.0,79.6,68.9,75.1,67.8,28.8,96,0,46,2.7,9,333,3,46,92.8,309,51.4,171,128.2,65,6,14.4,48,567,304,6.6,12.3,1.83,9,168,315,2010,21703.5,MISSING,aaron hernandez
566.0,566.0,2010.0,Chargers,TE,Antonio Gates,00-0021547,7.0,2003.0,2003.0,MISSING,30.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Chargers,0.24,56.30%,antonio gates,antonio gates,antonio gates,21,Antonio Gates,SD,TE,9.7,5,79.4,MISSING,0,0,1,5.7,3,42,27,0,72.0,79.3,84.9,74.5,86.9,26.4,94,2,48,2.0,7,356,2,50,94.4,336,55.1,196,144.7,63,10,18.0,64,782,327,6.5,15.6,2.33,7,182,354,2010,30054.6,MISSING,antonio gates
1469.0,1469.0,2010.0,Patriots,TE,Rob Gronkowski,00-0027656,0.0,2010.0,2010.0,Patriots,21.0,42.0,0.429,10.8,480.0,141.82,1032.0,267.1864593211276,2010.0,Patriots,0.22,82.40%,rob gronkowski,rob gronkowski,rob gronkowski,22,Rob Gronkowski,NE,TE,9.0,5,73.0,MISSING,0,0,0,6.1,3,33,19,1,70.5,34.5,86.2,63.0,81.1,65.6,279,0,37,22.4,95,425,6,46,74.4,316,31.3,133,142.9,63,10,2.4,10,611,244,5.3,13.3,1.93,95,426,422,2010,36376.4,MISSING,rob gronkowski
1895.0,1895.0,2010.0,Texans,TE,Owen Daniels,00-0024313,4.0,2006.0,2006.0,Texans,27.0,98.0,0.201,5.4,108.0,37.68,586.0,80.73002269777413,2010.0,Texans,-0.04,37.50%,owen daniels,owen daniels,owen daniels,23,Owen Daniels,HST,TE,7.2,2,62.3,MISSING,0,0,0,9.5,4,25,13,0,56.1,77.7,69.7,78.4,68.5,79.7,286,3,31,5.0,18,359,0,38,91.1,327,15.9,57,76.6,61,2,2.5,9,471,285,7.5,12.4,1.44,18,197,352,2010,24534.4,MISSING,owen daniels
1703.0,1703.0,2010.0,Saints,TE,Jeremy Shockey,00-0021148,8.0,2002.0,2002.0,Giants,30.0,14.0,0.695,17.8,1100.0,325.31,1610.0,95.11058278344004,2010.0,Saints,0.11,64.70%,jeremy shockey,jeremy shockey,jeremy shockey,24,Jeremy Shockey,NO,TE,9.0,3,71.7,MISSING,0,0,0,6.5,3,23,20,0,67.4,78.4,67.2,60.8,66.2,55.1,207,1,31,16.5,62,376,0,43,81.1,305,30.6,115,101.5,60,3,13.3,50,432,124,2.9,10.0,1.42,62,181,372,2010,24998.4,MISSING,jeremy shockey
1773.0,1773.0,2010.0,Seahawks,TE,John Carlson,00-0026178,2.0,2008.0,2008.0,Seahawks,26.0,38.0,0.458,11.4,520.0,157.49,1084.0,233.3645728251735,2010.0,Seahawks,-0.13,44.40%,john carlson,john carlson,john carlson,25,John Carlson,SEA,TE,8.4,0,62.5,MISSING,0,0,0,12.5,5,15,29,0,46.4,77.4,58.5,65.3,51.2,67.0,356,3,37,23.0,122,531,2,35,73.6,391,18.5,98,75.7,56,3,7.7,41,349,153,4.4,10.0,0.89,122,306,495,2010,28957.5,MISSING,john carlson
1587.0,1587.0,2010.0,Rams,TE,Daniel Fells,00-0023752,4.0,2006.0,2006.0,MISSING,26.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Rams,-0.04,43.80%,daniel fells,daniel fells,daniel fells,26,Daniel Fells,SL,TE,4.3,11,73.2,MISSING,0,0,0,8.9,4,24,26,0,58.4,78.1,61.5,55.3,59.8,60.4,265,1,36,22.8,100,439,1,41,72.9,320,27.6,121,96.7,56,2,6.8,30,391,270,6.6,9.5,1.22,100,211,416,2010,25584.0,MISSING,daniel fells
897.0,897.0,2010.0,Dolphins,TE,Anthony Fasano,00-0024268,4.0,2006.0,2006.0,Cowboys,26.0,53.0,0.363,9.3,370.0,106.31,909.0,150.3197059037884,2010.0,Dolphins,-0.07,43.80%,anthony fasano,anthony fasano,anthony fasano,27,Anthony Fasano,MIA,TE,7.9,4,70.9,MISSING,0,0,1,4.9,2,29,17,0,73.9,78.0,81.3,69.4,72.0,79.6,407,1,31,29.5,151,511,3,39,67.5,345,18.2,93,117.8,55,4,0.0,0,528,209,5.4,13.5,1.53,151,363,500,2010,40650.0,MISSING,anthony fasano
1405.0,1405.0,2010.0,Panthers,TE,Dante Rosario,00-0025542,3.0,2007.0,2007.0,Panthers,25.0,155.0,0.114,2.5,29.0,10.6,344.0,45.57931474036618,2010.0,Panthers,-0.21,12.50%,dante rosario,dante rosario,dante rosario,28,Dante Rosario,CAR,TE,6.4,2,59.3,MISSING,0,0,0,11.1,4,15,5,0,51.7,77.2,57.6,76.8,52.7,36.3,161,3,26,13.3,59,443,2,32,83.5,370,39.7,176,48.7,54,0,12.4,55,264,139,4.3,8.3,0.71,59,199,392,2010,22579.2,MISSING,dante rosario
696.0,696.0,2010.0,Colts,TE,Dallas Clark,00-0022165,7.0,2003.0,2003.0,Colts,31.0,24.0,0.565,14.4,740.0,237.25,1326.0,100.28619439958835,2010.0,Colts,0.06,58.80%,dallas clark,dallas clark,dallas clark,29,Dallas Clark,IND,TE,6.8,2,72.5,MISSING,0,0,0,9.8,4,21,14,0,55.4,77.6,71.7,77.4,66.7,69.5,182,0,50,14.1,37,262,0,37,84.7,222,21.4,56,110.5,51,3,8.4,22,347,136,3.7,9.4,1.56,37,159,260,2010,18642.0,MISSING,dallas clark
1898.0,1898.0,2010.0,Texans,TE,Joel Dreessen,00-0023630,5.0,2005.0,2005.0,Jets,28.0,198.0,0.07,0.9,12.0,4.07,215.0,16.62788440207081,2010.0,Texans,-0.04,37.50%,joel dreessen,joel dreessen,joel dreessen,30,Joel Dreessen,HST,TE,9.0,2,72.0,MISSING,0,0,0,5.3,2,24,13,1,72.9,29.4,74.5,67.3,70.9,88.0,361,0,43,22.9,94,410,3,36,72.7,298,8.8,36,131.9,50,4,2.2,9,518,196,5.4,14.4,1.74,94,309,406,2010,30247.0,MISSING,joel dreessen
1957.0,1957.0,2010.0,Titans,TE,Bo Scaife,00-0023612,5.0,2005.0,2005.0,Titans,29.0,179.0,0.088,1.6,20.0,6.21,268.0,22.444246840806713,2010.0,Titans,-0.03,37.50%,bo scaife,bo scaife,bo scaife,31,Bo Scaife,TEN,TE,6.7,0,73.5,MISSING,0,0,0,10.0,4,18,31,2,54.3,23.6,56.7,64.5,52.7,51.3,160,0,30,10.6,33,312,2,36,85.6,267,31.1,97,117.6,49,4,0.3,1,318,117,3.3,8.8,1.19,33,227,258,2010,14628.6,MISSING,bo scaife
1704.0,1704.0,2010.0,Saints,TE,David Thomas,00-0024301,4.0,2006.0,2006.0,Patriots,27.0,86.0,0.229,6.2,160.0,49.08,654.0,94.0279646026504,2010.0,Saints,0.11,64.70%,david thomas,dave thomas,dave thomas,32,Dave Thomas,NO,TE,4.8,0,72.3,MISSING,0,0,0,2.9,1,13,20,0,79.4,77.1,68.0,56.2,62.0,43.6,156,1,22,25.7,92,358,1,34,71.5,256,24.0,86,90.5,47,2,9.2,33,257,145,4.3,7.6,1.0,92,239,275,2010,18700.0,MISSING,dave thomas
824.0,824.0,2010.0,Cowboys,TE,Martellus Bennett,00-0026201,2.0,2008.0,2008.0,Cowboys,23.0,61.0,0.322,8.4,292.0,86.21,835.0,161.83878201782818,2010.0,Cowboys,0.0,37.50%,martellus bennett,martellus bennett,martellus bennett,33,Martellus Bennett,DAL,TE,3.2,3,75.0,MISSING,0,0,0,8.3,3,12,9,1,60.9,37.3,78.7,65.5,59.8,68.6,164,2,32,24.3,58,239,3,33,71.1,170,18.8,45,70.3,44,0,9.6,23,260,189,5.7,7.9,1.53,58,244,232,2010,18258.4,MISSING,martellus bennett
1955.0,1955.0,2010.0,Titans,TE,Jared Cook,00-0027061,1.0,2009.0,2009.0,Titans,23.0,89.0,0.221,6.0,145.0,45.94,636.0,122.04399940591166,2010.0,Titans,-0.03,37.50%,jared cook,jared cook,jared cook,34,Jared Cook,TEN,TE,8.6,2,65.9,MISSING,0,0,0,9.4,3,18,31,0,57.0,76.3,71.5,25.8,73.2,29.5,51,3,36,6.4,11,173,3,29,88.4,153,54.3,94,70.4,44,1,11.0,19,361,157,5.4,12.4,2.36,11,69,164,2010,11726.0,MISSING,jared cook
1702.0,1702.0,2010.0,Saints,TE,Jimmy Graham,00-0027696,0.0,2010.0,2010.0,Saints,23.0,95.0,0.207,5.6,120.0,40.26,602.0,125.03104645497524,2010.0,Saints,0.11,64.70%,jimmy graham,jimmy graham,jimmy graham,35,Jimmy Graham,NO,TE,9.0,1,73.8,MISSING,0,0,0,8.8,3,21,20,1,61.3,39.4,76.3,74.9,76.9,31.4,54,2,52,3.5,6,172,1,31,93.0,160,34.9,60,118.7,42,5,30.8,53,356,152,4.9,11.5,2.23,6,61,167,2010,12742.1,MISSING,jimmy graham
1341.0,1341.0,2010.0,Packers,TE,Andrew Quarless,00-0027753,0.0,2010.0,2010.0,Packers,21.0,154.0,0.116,2.5,30.0,10.84,348.0,62.25939568638435,2010.0,Packers,0.18,70.00%,andrew quarless,andrew quarless,andrew quarless,36,Andrew Quarless,GB,TE,7.9,1,63.4,MISSING,0,0,0,13.3,4,16,12,1,34.7,29.9,57.7,79.9,53.2,41.9,132,0,23,15.9,50,315,1,26,80.6,254,36.2,114,91.9,41,1,7.9,25,284,130,5.0,10.9,1.12,50,187,271,2010,15636.7,MISSING,andrew quarless
51.0,51.0,2010.0,49ers,TE,Delanie Walker,00-0024389,4.0,2006.0,2006.0,49ers,26.0,175.0,0.092,1.7,21.0,6.79,280.0,31.815205956557264,2010.0,49ers,-0.03,37.50%,delanie walker,delanie walker,delanie walker,37,Delanie Walker,SF,TE,5.8,6,70.7,MISSING,0,0,0,12.1,4,13,28,1,47.7,28.1,69.4,53.3,65.9,35.7,75,0,38,3.8,8,210,3,29,92.4,194,46.2,97,94.7,41,0,11.4,24,331,172,5.9,11.4,1.71,8,162,196,2010,13602.4,MISSING,delanie walker
302.0,302.0,2010.0,Broncos,TE,Daniel Graham,00-0021154,8.0,2002.0,2002.0,Patriots,31.0,21.0,0.594,15.2,800.0,260.82,1397.0,78.97415327640756,2010.0,Broncos,-0.13,25.00%,daniel graham,daniel graham,daniel graham,38,Daniel Graham,DEN,TE,6.7,1,51.4,MISSING,0,0,2,14.3,3,5,10,1,55.6,23.8,58.4,81.5,33.9,76.9,453,0,28,40.9,241,589,4,18,56.4,332,9.3,55,63.2,35,0,0.5,3,153,49,2.7,8.5,0.46,241,373,511,2010,29842.4,MISSING,daniel graham
762.0,762.0,2010.0,Commanders,TE,Fred Davis,00-0026188,2.0,2008.0,2008.0,Commanders,24.0,48.0,0.39,9.9,420.0,121.19,961.0,198.33962674027515,2010.0,Commanders,-0.12,37.50%,fred davis,fred davis,fred davis,39,Fred Davis,WAS,TE,8.3,3,75.0,MISSING,0,0,1,12.5,3,11,32,0,29.7,74.6,65.1,68.6,60.0,91.3,189,0,71,11.6,24,207,3,21,82.1,170,7.7,16,147.3,28,3,0.5,1,316,178,8.5,15.0,1.86,24,178,206,2010,13410.6,MISSING,fred davis
1406.0,1406.0,2010.0,Panthers,TE,Jeff King,00-0024369,4.0,2006.0,2006.0,Panthers,27.0,155.0,0.114,2.5,29.0,10.6,344.0,41.24186946552129,2010.0,Panthers,-0.21,12.50%,jeff king,jeff king,jeff king,40,Jeff King,CAR,TE,5.1,0,70.4,MISSING,0,0,0,17.4,4,8,5,0,34.7,74.3,65.6,71.4,44.8,83.2,233,0,16,34.6,97,280,4,19,63.2,177,16.1,45,104.1,27,2,0.4,1,121,33,1.7,6.4,0.68,97,388,279,2010,18302.4,MISSING,jeff king
371.0,371.0,2010.0,Browns,TE,Evan Moore,00-0026123,2.0,2008.0,2008.0,MISSING,25.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Browns,-0.12,31.30%,evan moore,evan moore,evan moore,41,Evan Moore,CLV,TE,15.1,2,61.5,MISSING,0,0,0,11.1,2,11,8,1,52.8,23.0,68.1,69.3,67.7,6.1,10,0,49,0.6,1,163,0,16,93.9,153,50.9,83,117.8,26,1,42.9,70,322,86,5.4,20.1,2.1,1,23,163,2010,11100.3,MISSING,evan moore
565.0,565.0,2010.0,Chargers,TE,Randy McMichael,00-0021236,8.0,2002.0,2002.0,Dolphins,31.0,114.0,0.166,4.4,66.0,26.4,506.0,19.805636680938967,2010.0,Chargers,0.24,56.30%,randy mcmichael,randy mcmichael,randy mcmichael,42,Randy McMichael,SD,TE,7.5,1,76.9,MISSING,0,0,0,4.8,1,15,27,0,70.5,74.4,77.0,60.9,69.4,58.6,207,1,28,35.4,125,353,2,20,63.2,223,23.2,82,111.2,26,2,2.3,8,221,96,4.8,11.1,0.99,125,318,297,2010,22869.0,MISSING,randy mcmichael
