player_id,Year,Team,Cap_Space,age,adjusted_value,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,sacks,snap_counts_box,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,stops,tackles,tackles_for_loss,targets,total_pressures,weighted_grade,weighted_average_grade
00-0034171,2018,Raiders,0.17527539503386,22.0,0.0,-0.2,25.00%,Jason Cabinda,LB,164.0,10.0,3.0,0.0,0.0,23.0,0.0,69.2,73.4,81.5,66.7,68.3,78.9,1.0,2.0,0.0,4.3,1.0,0.0,0.0,0.0,157.0,163.0,5.0,109.0,11.0,19.0,0.0,6.0,3.0,12037.6,MISSING
00-0029670,2018,Rams,5.455229119638826,28.0,223.3133760173562,0.15,79.00%,Mark Barron,LB,569.0,12.0,11.0,0.0,1.0,26.0,0.0,54.5,44.6,51.2,69.4,38.1,62.1,0.0,1.0,0.0,10.8,7.0,1.0,2.0,1.0,494.0,565.0,7.0,271.0,25.0,47.0,3.0,37.0,2.0,25377.4,MISSING
00-0031943,2018,Rams,0.4232505643340858,26.0,69.15454106393481,0.15,79.00%,Ramik Wilson,LB,158.0,9.0,6.0,0.0,0.0,26.0,0.0,71.1,61.3,81.6,52.1,47.8,78.1,0.0,1.0,0.0,3.4,1.0,1.0,0.0,0.0,128.0,154.0,5.0,69.0,14.0,22.0,3.0,16.0,1.0,9685.4,MISSING
00-0034806,2018,Rams,0.3129198645598194,23.0,67.56719136258307,0.15,79.00%,Micah Kiser,LB,1.0,1.0,0.0,0.0,0.0,26.0,0.0,MISSING,60.0,60.0,MISSING,60.0,MISSING,0.0,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,MISSING
00-0032248,2018,Rams,0.4080338600451467,26.0,15.583266417974244,0.15,79.00%,Bryce Hager,LB,54.0,7.0,2.0,0.0,0.0,26.0,0.0,75.3,68.5,92.6,54.0,53.1,66.9,0.0,0.0,0.0,11.1,1.0,1.0,0.0,0.0,46.0,51.0,4.0,17.0,2.0,6.0,0.0,6.0,0.0,3699.0,MISSING
00-0032677,2018,Rams,0.3583521444695259,24.0,0.0,0.15,79.00%,Cory Littleton,LB,964.0,16.0,17.0,0.0,0.0,26.0,0.0,83.1,66.0,66.3,66.3,42.4,84.0,0.0,10.0,3.0,5.9,7.0,8.0,4.0,4.0,801.0,876.0,80.0,360.0,53.0,95.0,5.0,71.0,14.0,63624.0,MISSING
00-0031296,2018,Ravens,4.9198645598194135,26.0,290.13933319069133,0.11,58.80%,C.J. Mosley,LB,874.0,15.0,24.0,0.0,0.0,3.0,0.0,64.1,70.1,88.0,58.1,75.4,75.7,1.0,13.0,1.0,6.4,7.0,3.0,0.0,1.0,806.0,825.0,162.0,286.0,44.0,79.0,5.0,59.0,15.0,61267.4,MISSING
00-0034266,2018,Ravens,0.3611602708803612,23.0,89.16640637281117,0.11,58.80%,Kenny Young,LB,371.0,16.0,4.0,0.0,1.0,3.0,0.0,47.2,55.1,81.6,70.1,57.9,59.3,4.0,8.0,0.0,13.7,7.0,0.0,0.0,3.0,309.0,334.0,57.0,151.0,26.0,40.0,3.0,25.0,15.0,20442.1,MISSING
00-0032573,2018,Ravens,0.355530474040632,26.0,0.0,0.11,58.80%,Patrick Onwuasor,LB,435.0,16.0,8.0,0.0,2.0,3.0,0.0,64.8,58.5,47.4,70.3,47.7,64.3,6.0,0.0,1.0,13.5,7.0,2.0,2.0,6.0,360.0,388.0,58.0,178.0,22.0,37.0,4.0,24.0,12.0,25447.5,MISSING
00-0034787,2018,Ravens,0.271632618510158,23.0,0.0,0.11,58.80%,Chris Board,LB,17.0,6.0,0.0,0.0,0.0,3.0,0.0,61.5,50.5,85.2,53.0,52.8,MISSING,0.0,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,13.0,17.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,858.5,MISSING
00-0033914,2018,Saints,0.4662234762979684,23.0,144.6998849461099,0.13,77.80%,Alex Anzalone,LB,486.0,16.0,9.0,0.0,2.0,20.0,0.0,72.0,70.5,83.8,76.4,51.3,76.3,3.0,10.0,1.0,10.3,6.0,1.0,1.0,2.0,396.0,447.0,63.0,124.0,17.0,43.0,3.0,28.0,15.0,34263.0,MISSING
00-0030278,2018,Saints,1.580135440180587,27.0,141.54276830920938,0.13,77.80%,Manti Te'o,LB,141.0,5.0,4.0,0.0,0.0,20.0,0.0,72.1,80.4,79.5,53.5,79.8,61.3,0.0,1.0,0.0,9.5,2.0,1.0,0.0,0.0,135.0,137.0,13.0,69.0,11.0,15.0,1.0,14.0,1.0,11336.4,MISSING
00-0029607,2018,Saints,1.8623024830699773,29.0,58.05582800961685,0.13,77.80%,Demario Davis,LB,877.0,16.0,13.0,0.0,1.0,20.0,1.0,58.5,74.6,65.2,81.0,84.5,64.9,6.0,7.0,0.0,12.3,13.0,2.0,3.0,5.0,700.0,790.0,112.0,287.0,46.0,80.0,7.0,72.0,18.0,65424.2,MISSING
00-0030463,2018,Saints,2.9345372460496613,27.0,33.18452900093269,0.13,77.80%,A.J. Klein,LB,670.0,16.0,15.0,0.0,0.0,20.0,2.0,68.8,69.1,88.5,60.2,65.1,64.9,2.0,7.0,1.0,12.3,9.0,1.0,0.0,2.0,495.0,534.0,68.0,258.0,28.0,49.0,5.0,26.0,11.0,46296.99999999999,MISSING
00-0028834,2018,Saints,1.1286681715575622,30.0,0.0,0.13,77.80%,Craig Robertson,LB,90.0,8.0,2.0,0.0,0.0,20.0,0.0,68.2,71.2,79.8,59.5,68.6,84.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,77.0,9.0,36.0,7.0,7.0,1.0,6.0,1.0,6408.0,MISSING
00-0029255,2018,Seahawks,7.674943566591422,28.0,90.71045147886922,0.1,58.80%,Bobby Wagner,LB,925.0,15.0,34.0,0.0,2.0,29.0,1.0,90.4,91.7,21.6,88.5,91.4,91.8,9.0,2.0,1.0,0.7,1.0,7.0,3.0,1.0,825.0,918.0,46.0,329.0,40.0,104.0,5.0,70.0,12.0,84822.5,MISSING
00-0034755,2018,Seahawks,0.3156907449209932,23.0,72.38723079795948,0.1,58.80%,Shaquem Griffin,LB,50.0,4.0,2.0,0.0,0.0,29.0,0.0,40.2,39.9,74.6,55.0,54.3,47.8,0.0,0.0,0.0,16.7,1.0,0.0,0.0,0.0,39.0,48.0,3.0,14.0,1.0,3.0,0.0,5.0,0.0,1995.0,MISSING
00-0028037,2018,Seahawks,4.6275395033860045,29.0,32.34241550777703,0.1,58.80%,K.J. Wright,LB,223.0,5.0,5.0,0.0,0.0,29.0,0.0,69.9,70.2,78.1,64.3,64.8,67.9,0.0,1.0,0.0,8.7,2.0,1.0,0.0,0.0,188.0,210.0,4.0,83.0,5.0,16.0,3.0,15.0,1.0,15654.6,MISSING
00-0029409,2018,Seahawks,0.183573927765237,27.0,0.0,0.1,58.80%,Mychal Kendricks,LB,183.0,4.0,4.0,0.0,0.0,29.0,0.0,56.1,66.4,77.4,85.7,67.1,48.1,1.0,1.0,0.0,15.8,3.0,1.0,0.0,2.0,157.0,170.0,10.0,80.0,8.0,12.0,1.0,11.0,4.0,12151.2,MISSING
00-0033452,2018,Seahawks,0.2708803611738148,24.0,0.0,0.1,58.80%,Austin Calitro,LB,282.0,11.0,6.0,0.0,0.0,29.0,0.0,28.3,29.2,20.5,71.5,50.6,50.4,0.0,1.0,0.0,13.6,6.0,0.0,1.0,1.0,272.0,281.0,8.0,133.0,18.0,32.0,3.0,32.0,2.0,8234.4,MISSING
00-0030064,2018,Steelers,0.8465011286681716,27.0,116.70282360826918,0.07,60.00%,Jon Bostic,LB,560.0,16.0,14.0,0.0,0.0,25.0,0.0,56.3,59.5,21.1,67.4,62.8,88.6,1.0,7.0,0.0,1.6,1.0,2.0,2.0,2.0,490.0,546.0,58.0,258.0,22.0,48.0,3.0,37.0,10.0,33320.0,MISSING
00-0031961,2019,49ers,0.8767268862911796,29.0,11.75525795269152,0.216,79.00%,Mark Nzeocha,LB,29.0,7.0,0.0,0.0,0.0,28.0,0.0,60.6,45.8,71.3,MISSING,43.7,75.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,29.0,0.0,19.0,0.0,2.0,0.0,1.0,0.0,1328.1999999999998,MISSING
00-0033445,2018,Raiders,0.3146162528216704,22.0,0.0,-0.2,25.00%,Nicholas Morrow,LB,416.0,14.0,5.0,0.0,1.0,23.0,0.0,53.2,50.9,82.6,67.3,46.5,41.5,2.0,3.0,0.0,20.0,8.0,3.0,0.0,1.0,342.0,382.0,28.0,160.0,15.0,27.0,3.0,36.0,6.0,21174.4,MISSING
00-0035166,2019,49ers,0.2656748140276302,22.0,0.0,0.216,79.00%,Azeez Al-Shaair,LB,174.0,10.0,5.0,0.0,0.0,28.0,0.0,49.3,42.2,13.2,57.8,41.9,28.3,0.0,1.0,0.0,31.6,6.0,0.0,1.0,0.0,99.0,145.0,13.0,78.0,5.0,8.0,0.0,11.0,1.0,7342.8,MISSING
00-0032773,2019,Bears,1.1523804463336875,26.0,73.79666996550506,-0.032,50.00%,Nick Kwiatkoski,LB,512.0,10.0,12.0,0.0,1.0,6.0,0.0,68.7,72.5,45.7,81.8,66.9,67.7,0.0,10.0,1.0,10.0,7.0,3.0,1.0,3.0,492.0,507.0,39.0,191.0,26.0,51.0,5.0,34.0,13.0,37120.0,MISSING
00-0029562,2019,Buccaneers,5.180658873538788,29.0,56.44795066061626,0.072,43.80%,Lavonte David,LB,1124.0,16.0,35.0,0.0,3.0,30.0,1.0,91.1,88.2,87.3,53.9,72.6,74.8,6.0,11.0,1.0,7.7,10.0,4.0,1.0,1.0,856.0,1003.0,99.0,343.0,54.0,85.0,10.0,87.0,18.0,99136.8,MISSING
00-0035549,2019,Buccaneers,0.1856594048884166,22.0,0.0,0.072,43.80%,Noah Dawkins,LB,5.0,2.0,0.0,0.0,0.0,30.0,0.0,61.5,56.9,67.5,54.0,MISSING,MISSING,0.0,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,284.5,MISSING
00-0034415,2019,Buccaneers,0.2723878852284803,23.0,0.0,0.072,43.80%,Jack Cichy,LB,1.0,1.0,0.0,0.0,0.0,30.0,0.0,MISSING,82.9,61.7,MISSING,64.1,73.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,82.9,MISSING
00-0033875,2019,Cardinals,1.9531397449521788,24.0,397.5097755464975,-0.081,33.30%,Haason Reddick,LB,690.0,16.0,19.0,0.0,0.0,1.0,1.0,29.2,40.2,90.2,65.0,57.1,43.4,3.0,19.0,0.0,15.5,13.0,4.0,1.0,1.0,472.0,553.0,127.0,216.0,34.0,52.0,7.0,66.0,23.0,27738.000000000004,MISSING
00-0032129,2019,Cardinals,3.4006376195536663,27.0,96.71759695192156,-0.081,33.30%,Jordan Hicks,LB,1133.0,16.0,60.0,1.0,2.0,1.0,1.0,53.8,61.0,33.3,67.7,69.1,61.2,5.0,9.0,3.0,10.8,20.0,3.0,5.0,2.0,986.0,1112.0,95.0,423.0,44.0,105.0,8.0,81.0,16.0,69113.0,MISSING
00-0034422,2019,Cardinals,0.0356312433581296,24.0,21.675412045587656,-0.081,33.30%,Keishawn Bierria,LB,1.0,1.0,0.0,0.0,0.0,1.0,0.0,MISSING,60.0,MISSING,MISSING,60.0,MISSING,0.0,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,MISSING
00-0032809,2019,Cardinals,0.3427205100956429,26.0,10.896065349343989,-0.081,33.30%,Joe Walker,LB,537.0,13.0,12.0,0.0,1.0,1.0,0.0,45.6,46.2,84.1,52.9,52.0,33.6,1.0,2.0,0.0,17.5,11.0,0.0,1.0,0.0,497.0,529.0,29.0,249.0,20.0,40.0,5.0,35.0,3.0,24809.4,MISSING
00-0033580,2019,Cardinals,0.0806397449521785,24.0,0.0,-0.081,33.30%,Tanner Vallejo,LB,29.0,2.0,1.0,0.0,1.0,1.0,0.0,61.7,92.3,72.2,74.2,92.1,58.0,0.0,0.0,0.0,12.5,1.0,0.0,0.0,1.0,25.0,27.0,0.0,21.0,6.0,6.0,2.0,2.0,1.0,2676.7,MISSING
00-0034490,2019,Cardinals,0.3034006376195536,23.0,0.0,-0.081,33.30%,Ezekiel Turner,LB,6.0,3.0,0.0,0.0,0.0,1.0,0.0,35.1,35.1,69.4,MISSING,60.0,MISSING,0.0,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,210.6,MISSING
00-0030382,2019,Buccaneers,0.3905419766206164,28.0,93.7133972586115,0.072,43.80%,Kevin Minter,LB,275.0,10.0,3.0,0.0,0.0,30.0,0.0,57.2,65.2,23.3,74.3,68.4,58.7,1.0,11.0,0.0,15.6,5.0,1.0,1.0,0.0,254.0,269.0,56.0,73.0,16.0,24.0,2.0,20.0,12.0,17930.0,MISSING
00-0034473,2019,Cardinals,0.3039319872476089,25.0,0.0,-0.081,33.30%,Dennis Gardeck,LB,2.0,2.0,1.0,0.0,0.0,1.0,1.0,MISSING,67.5,60.0,MISSING,65.8,75.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,135.0,MISSING
00-0034375,2019,Chargers,0.3898034006376195,23.0,83.78793424989426,0.0,31.30%,Kyzir White,LB,372.0,16.0,10.0,0.0,0.0,27.0,0.0,67.5,66.6,84.0,54.6,63.0,76.6,0.0,0.0,1.0,4.5,2.0,1.0,0.0,0.0,188.0,238.0,10.0,238.0,19.0,32.0,0.0,19.0,0.0,24775.2,MISSING
00-0035262,2019,Chargers,0.3505324123273113,24.0,81.63881977370919,0.0,31.30%,Drue Tranquill,LB,382.0,12.0,10.0,0.0,0.0,27.0,0.0,62.8,66.6,83.5,53.7,69.6,62.2,0.0,1.0,0.0,10.6,7.0,1.0,0.0,0.0,302.0,378.0,13.0,140.0,22.0,49.0,4.0,41.0,1.0,25441.2,MISSING
00-0032895,2019,Chargers,1.1004766206163656,25.0,35.161240375774206,0.0,31.30%,Jatavis Brown,LB,94.0,7.0,1.0,0.0,0.0,27.0,1.0,31.8,29.4,75.4,66.7,29.3,25.0,0.0,0.0,0.0,54.5,6.0,0.0,0.0,0.0,77.0,94.0,3.0,23.0,0.0,4.0,0.0,7.0,0.0,2763.6,MISSING
00-0023448,2019,Chargers,1.726886291179596,36.0,15.721673592209807,0.0,31.30%,Thomas Davis Sr.,LB,805.0,16.0,26.0,0.0,0.0,27.0,0.0,55.7,61.7,33.9,71.5,67.4,47.9,0.0,1.0,0.0,15.2,19.0,2.0,3.0,2.0,763.0,797.0,19.0,384.0,39.0,80.0,3.0,71.0,3.0,49668.5,53.47258979206049
00-0032081,2019,Chargers,1.021519659936238,28.0,0.0,0.0,31.30%,Nick Dzubnar,LB,2.0,2.0,0.0,0.0,0.0,27.0,0.0,MISSING,60.0,60.1,60.0,MISSING,MISSING,0.0,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,MISSING
00-0033147,2019,Chiefs,0.9797348565356004,24.0,297.57348035509744,0.133,79.00%,Darron Lee,LB,161.0,9.0,2.0,0.0,0.0,16.0,0.0,29.4,36.3,77.6,64.1,54.1,34.5,0.0,1.0,0.0,22.2,6.0,0.0,0.0,0.0,133.0,145.0,14.0,79.0,5.0,19.0,0.0,18.0,1.0,5844.299999999999,MISSING
00-0033058,2019,Chiefs,0.6623544102019129,25.0,201.3519295519833,0.133,79.00%,Reggie Ragland,LB,235.0,14.0,6.0,0.0,0.0,16.0,1.0,64.1,68.1,82.6,58.3,70.4,57.8,1.0,7.0,0.0,12.5,4.0,0.0,0.0,2.0,124.0,141.0,64.0,102.0,15.0,22.0,2.0,15.0,10.0,16003.499999999998,MISSING
00-0034781,2019,Chiefs,0.4239527098831031,24.0,106.21459646133653,0.133,79.00%,Dorian O'Daniel,LB,6.0,2.0,0.0,0.0,0.0,16.0,0.0,77.5,85.3,99.9,60.0,MISSING,MISSING,0.0,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,511.8,MISSING
00-0032215,2019,Chiefs,0.9962805526036131,26.0,56.695350085592175,0.133,79.00%,Damien Wilson,LB,709.0,16.0,24.0,0.0,1.0,16.0,0.0,55.6,55.2,63.5,60.7,55.5,75.6,2.0,7.0,0.0,7.1,6.0,0.0,2.0,2.0,542.0,593.0,65.0,334.0,29.0,55.0,2.0,47.0,11.0,39136.8,MISSING
00-0032103,2019,Chargers,1.8265143464399576,26.0,162.38675196627133,0.0,31.30%,Denzel Perryman,LB,359.0,12.0,15.0,0.0,0.0,27.0,0.0,54.7,59.2,35.7,50.1,65.8,34.3,0.0,0.0,1.0,18.5,15.0,0.0,1.0,0.0,314.0,358.0,6.0,194.0,27.0,51.0,5.0,28.0,0.0,21252.8,MISSING
