player_id,Year,Team,Cap_Space,age,adjusted_value,Net EPA,Win %,player,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,weighted_average_grade
00-0029278,2018,Cowboys,0.6913092550790068,28.0,34.87104351587171,0.05,61.10%,Joe Looney,C,100.0,0.0,9.0,55.1,64.7,49.9,3.0,21.0,612.0,100.0,100.0,97.9,5.0,25.0,1.0,1076.0,1076.0,0.0,0.0,1076.0,654.0,654.0,0.0,0.0,422.0,0.0,59287.6,73.15627240143368
00-0035127,2022,Raiders,0.7588856868395774,25.0,0.0,-0.059,35.30%,Andre James,C,100.0,0.0,23.0,62.8,64.5,59.3,5.0,17.0,559.0,100.0,100.0,97.7,3.0,24.0,2.0,964.0,964.0,0.0,0.0,964.0,588.0,588.0,0.0,0.0,376.0,0.0,60539.2,MISSING
00-0034804,2022,Rams,0.8645533141210375,26.0,68.37843095621646,-0.098,29.40%,Brian Allen,C,100.0,0.0,26.0,63.8,59.2,66.1,5.0,0.0,233.0,100.0,100.0,97.2,1.0,9.0,4.0,373.0,373.0,0.0,0.0,373.0,244.0,244.0,0.0,0.0,129.0,0.0,23797.4,MISSING
00-0034762,2018,Bengals,1.2017737020316028,23.0,391.1615418671963,-0.12,37.50%,Billy Price,C,100.0,0.0,7.0,55.6,66.0,57.3,1.0,8.0,323.0,100.0,100.0,98.3,7.0,10.0,1.0,558.0,558.0,0.0,0.0,558.0,351.0,351.0,0.0,0.0,207.0,0.0,31024.8,MISSING
00-0030781,2018,Bengals,0.3132054176072235,26.0,0.0,-0.12,37.50%,Trey Hopkins,C,100.0,0.0,7.0,60.0,72.8,53.0,0.0,9.0,359.0,100.0,100.0,97.6,2.0,13.0,4.0,589.0,439.0,93.0,0.0,589.0,390.0,390.0,43.0,0.0,199.0,14.0,35340.0,MISSING
00-0031306,2018,Bills,1.1604085778781037,26.0,0.0,-0.05,37.50%,Russell Bodine,C,100.0,0.0,4.0,62.3,74.6,57.0,1.0,8.0,315.0,100.0,100.0,98.6,3.0,9.0,0.0,588.0,588.0,0.0,0.0,588.0,340.0,340.0,0.0,0.0,248.0,0.0,36632.4,MISSING
00-0029268,2018,Broncos,0.1463950338600451,29.0,44.305575838673306,-0.01,37.50%,Gino Gradkowski,C,100.0,0.0,10.0,62.8,79.5,58.5,0.0,0.0,13.0,100.0,100.0,100.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,17.0,14.0,14.0,0.0,0.0,3.0,0.0,1067.6,MISSING
00-0033592,2022,Seahawks,0.569164265129683,28.0,7.977987817081086,-0.019,50.00%,Kyle Fuller,C,100.0,0.0,29.0,55.6,47.7,56.9,2.0,0.0,32.0,100.0,100.0,96.9,0.0,2.0,0.0,51.0,49.0,0.0,0.0,51.0,32.0,32.0,2.0,0.0,19.0,0.0,2835.6,MISSING
00-0031349,2018,Broncos,1.6444695259593678,28.0,0.0,-0.01,37.50%,Matt Paradis,C,100.0,0.0,10.0,81.4,78.6,80.7,1.0,3.0,330.0,100.0,100.0,99.1,2.0,5.0,1.0,569.0,569.0,0.0,0.0,569.0,356.0,356.0,0.0,0.0,213.0,0.0,46316.600000000006,MISSING
00-0030076,2018,Browns,3.809255079006772,27.0,44.2787269966307,-0.03,46.70%,J.C. Tretter,C,100.0,1.0,8.0,76.9,85.7,69.8,1.0,11.0,638.0,100.0,100.0,98.7,1.0,14.0,2.0,1091.0,1091.0,0.0,0.0,1091.0,694.0,694.0,0.0,0.0,397.0,0.0,83897.90000000001,80.0
