player_id,Year,Team,Cap_Space,age,adjusted_value,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
00-0031043,2015,Bears,0.6524420714684535,23.0,209.52192215027893,-0.07,37.50%,Ego Ferguson,DI,105.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,59.2,79.2,53.3,61.8,71.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,105.0,1.0,64.0,2.0,38.0,1.0,6.0,0.0,2.0,6216.0,MISSING
00-0031551,2015,Bears,0.7167727526521496,21.0,280.87328471391106,-0.07,37.50%,Eddie Goldman,DI,517.0,15.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,70.4,87.6,68.1,63.7,59.4,2.0,18.0,14.8,4.0,0.0,0.0,6.0,515.0,262.0,251.0,0.0,2.0,21.0,17.0,1.0,26.0,36396.8,MISSING
00-0025472,2014,Seahawks,4.285714285714286,29.0,38.7423104925207,0.21,73.70%,Brandon Mebane,DI,280.0,9.0,3.0,0.0,0.0,0.0,29.0,0.0,0.0,59.1,38.2,65.6,58.6,59.4,2.0,7.0,14.3,2.0,2.0,0.0,1.0,280.0,14.0,251.0,0.0,15.0,10.0,9.0,4.0,10.0,16548.0,MISSING
00-0027941,2015,Bills,5.460308486878838,25.0,507.9571449980229,0.02,50.00%,Marcell Dareus,DI,755.0,15.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,80.1,58.2,60.3,89.7,72.1,4.0,23.0,5.6,3.0,3.0,0.0,2.0,748.0,241.0,484.0,6.0,17.0,31.0,42.0,4.0,29.0,60475.49999999999,MISSING
00-0029257,2015,Bills,0.0480339195979899,25.0,171.54204110844418,0.02,50.00%,Jerel Worthy,DI,23.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,44.6,74.7,51.7,48.9,MISSING,0.0,1.0,MISSING,0.0,0.0,0.0,0.0,23.0,1.0,15.0,0.0,7.0,0.0,0.0,0.0,1.0,1025.8,MISSING
00-0029684,2015,Bengals,0.5550670016750419,25.0,94.9127452096368,0.12,70.60%,Brandon Thompson,DI,181.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,53.7,83.0,56.2,49.9,28.9,1.0,3.0,33.3,3.0,0.0,79.2,1.0,181.0,10.0,163.0,0.0,8.0,7.0,6.0,3.0,5.0,9719.7,MISSING
00-0030132,2015,Bills,0.4082914572864322,27.0,0.0,0.02,50.00%,Stefan Charles,DI,231.0,13.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,56.9,29.9,57.3,63.0,39.5,2.0,3.0,15.4,2.0,2.0,0.0,0.0,229.0,76.0,131.0,1.0,21.0,3.0,8.0,0.0,5.0,13143.9,MISSING
00-0024002,2010,Ravens,1.1111113821138212,27.0,0.0,0.06,72.20%,Brandon McKinney,DI,225.0,13.0,4.0,1.0,0.0,0.0,3.0,1.0,0.0,73.9,82.8,56.1,75.2,47.4,0.0,3.0,8.3,1.0,0.0,0.0,0.0,225.0,16.0,150.0,0.0,59.0,6.0,7.0,0.0,3.0,16627.5,MISSING
00-0029940,2015,Bills,0.1046901172529313,25.0,0.0,0.02,50.00%,T.J. Barnes,DI,57.0,10.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,64.2,78.8,68.0,57.3,70.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,23.0,28.0,2.0,4.0,1.0,1.0,0.0,1.0,3659.4,MISSING
00-0028707,2015,Bills,0.4082914572864322,27.0,0.0,0.02,50.00%,Corbin Bryant,DI,633.0,16.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,64.2,76.4,56.9,69.6,46.2,6.0,20.0,11.1,5.0,1.0,91.7,1.0,599.0,39.0,407.0,29.0,124.0,22.0,32.0,1.0,27.0,40638.6,MISSING
