team,player_id,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,snap_counts_pass_block,snap_counts_run_block,total_snaps,Year,weighted_grade,weighted_average_grade,merge_player_y
Buccaneers,00-0026804,0.0,Buccaneers,0.05,62.50%,Ryan Purvis,TE,0.2601626016260162,2010.0,ryan purvis,ryan purvis,ryan purvis,77.0,Ryan Purvis,TB,TE,3.2,0.0,83.3,MISSING,0.0,0.0,0.0,0.0,0.0,3.0,30.0,0.0,73.4,68.0,71.4,60.8,74.4,59.5,25.0,0.0,12.0,31.0,13.0,42.0,1.0,5.0,66.7,28.0,21.4,9.0,93.1,6.0,0.0,2.4,1.0,38.0,31.0,6.2,7.6,1.36,13.0,85.0,35.0,2010.0,2499.0,MISSING,ryan purvis
Cardinals,00-0025602,18.569804751848057,Cardinals,-0.21,31.30%,Ben Patrick,TE,1.3691056910569106,2010.0,ben patrick,ben patrick,ben patrick,53.0,Ben Patrick,ARZ,TE,5.9,0.0,83.3,MISSING,0.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,81.1,22.6,66.0,32.9,56.3,58.6,78.0,0.0,21.0,27.1,36.0,133.0,3.0,15.0,69.9,93.0,27.1,36.0,95.1,18.0,0.0,4.5,6.0,123.0,62.0,4.1,8.2,1.32,36.0,117.0,120.0,2010.0,7920.0,MISSING,ben patrick
Cardinals,00-0027825,18.136995594713657,Cardinals,-0.21,31.30%,Jim Dray,TE,0.2701219512195121,2010.0,jim dray,jim dray,jim dray,68.0,Jim Dray,ARZ,TE,5.1,1.0,33.3,MISSING,0.0,0.0,0.0,25.0,1.0,3.0,1.0,0.0,36.8,65.8,51.8,64.6,38.9,72.3,81.0,0.0,24.0,32.1,36.0,112.0,1.0,3.0,66.1,74.0,20.5,23.0,51.6,9.0,0.0,1.8,2.0,47.0,23.0,7.7,15.7,0.64,36.0,74.0,106.0,2010.0,5490.799999999999,MISSING,jim dray
Chargers,00-0022714,72.71885227806357,Chargers,0.24,56.30%,Kris Wilson,TE,0.573170731707317,2010.0,kris wilson,kris wilson,kris wilson,74.0,Kris Wilson,SD,TE,5.1,0.0,85.7,MISSING,0.0,0.0,0.0,14.3,1.0,2.0,27.0,1.0,49.7,17.2,53.1,58.5,40.0,42.2,54.0,0.0,37.0,34.4,44.0,128.0,1.0,6.0,63.3,81.0,7.0,9.0,110.1,7.0,0.0,10.9,14.0,73.0,57.0,9.5,12.2,0.9,44.0,202.0,77.0,2010.0,4088.7,MISSING,kris wilson
Chargers,00-0021236,19.805636680938967,Chargers,0.24,56.30%,Randy McMichael,TE,0.6138211382113821,2010.0,randy mcmichael,randy mcmichael,randy mcmichael,42.0,Randy McMichael,SD,TE,7.5,1.0,76.9,MISSING,0.0,0.0,0.0,4.8,1.0,15.0,27.0,0.0,70.5,74.4,77.0,60.9,69.4,58.6,207.0,1.0,28.0,35.4,125.0,353.0,2.0,20.0,63.2,223.0,23.2,82.0,111.2,26.0,2.0,2.3,8.0,221.0,96.0,4.8,11.1,0.99,125.0,318.0,297.0,2010.0,22869.0,MISSING,randy mcmichael
Chargers,00-0021547,0.0,Chargers,0.24,56.30%,Antonio Gates,TE,4.867886178861788,2010.0,antonio gates,antonio gates,antonio gates,21.0,Antonio Gates,SD,TE,9.7,5.0,79.4,MISSING,0.0,0.0,1.0,5.7,3.0,42.0,27.0,0.0,72.0,79.3,84.9,74.5,86.9,26.4,94.0,2.0,48.0,2.0,7.0,356.0,2.0,50.0,94.4,336.0,55.1,196.0,144.7,63.0,10.0,18.0,64.0,782.0,327.0,6.5,15.6,2.33,7.0,182.0,354.0,2010.0,30054.6,MISSING,antonio gates
Chargers,00-0026757,0.0,Chargers,0.24,56.30%,Kory Sperry,TE,0.1322333333333333,2010.0,kory sperry,kory sperry,kory sperry,87.0,Kory Sperry,SD,TE,8.3,0.0,100.0,MISSING,0.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0,72.1,67.0,70.9,70.1,81.6,81.0,17.0,0.0,35.0,4.8,1.0,21.0,0.0,4.0,95.2,20.0,19.0,4.0,118.8,4.0,0.0,0.0,0.0,73.0,40.0,10.0,18.3,3.65,1.0,57.0,21.0,2010.0,1488.9,MISSING,kory sperry
Chiefs,00-0027695,128.11880507244533,Chiefs,0.05,58.80%,Tony Moeaki,TE,0.3997252032520325,2010.0,tony moeaki,tony moeaki,tony moeaki,17.0,Tony Moeaki,KC,TE,9.1,2.0,69.6,MISSING,0.0,0.0,1.0,9.4,5.0,32.0,16.0,0.0,57.2,79.2,83.0,69.2,74.1,60.0,290.0,3.0,34.0,22.6,109.0,483.0,4.0,48.0,74.3,359.0,31.5,152.0,91.3,69.0,3.0,6.0,29.0,578.0,223.0,4.6,12.0,1.61,109.0,464.0,471.0,2010.0,39093.0,MISSING,tony moeaki
Chiefs,00-0024287,113.3443297366606,Chiefs,0.05,58.80%,Leonard Pope,TE,0.5121951219512195,2010.0,leonard pope,leonard pope,leonard pope,55.0,Leonard Pope,KC,TE,6.6,0.0,58.8,MISSING,0.0,0.0,0.0,28.6,4.0,7.0,16.0,0.0,29.9,71.5,60.3,70.1,43.5,86.8,204.0,0.0,14.0,51.5,121.0,235.0,4.0,10.0,45.5,107.0,11.9,28.0,108.9,17.0,2.0,0.0,0.0,76.0,36.0,3.6,7.6,0.71,121.0,320.0,232.0,2010.0,13989.6,MISSING,leonard pope
Chiefs,00-0027154,15.74005479435275,Chiefs,0.05,58.80%,Jake O'Connell,TE,0.330670731707317,2010.0,jake oconnell,jake oconnell,jake oconnell,88.0,Jake O'Connell,KC,TE,4.3,0.0,75.0,MISSING,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,70.5,65.8,75.6,57.2,58.8,83.9,52.0,0.0,18.0,43.5,27.0,62.0,1.0,3.0,53.2,33.0,3.2,2.0,96.9,4.0,0.0,8.1,5.0,31.0,24.0,8.0,10.3,0.94,27.0,60.0,59.0,2010.0,4460.4,MISSING,jake oconnell
Colts,00-0027761,56.585388556441146,Colts,0.06,58.80%,Brody Eldridge,TE,0.2932520325203252,2010.0,brody eldridge,brody eldridge,brody eldridge,69.0,Brody Eldridge,IND,TE,7.8,0.0,55.6,MISSING,0.0,0.0,0.0,16.7,1.0,1.0,14.0,0.0,45.8,68.0,54.5,62.4,39.4,97.6,120.0,1.0,10.0,45.5,56.0,123.0,2.0,5.0,54.5,67.0,2.4,3.0,26.9,9.0,0.0,0.0,0.0,39.0,18.0,3.6,7.8,0.58,56.0,187.0,123.0,2010.0,6703.5,MISSING,brody eldridge
Colts,00-0022165,100.28619439958835,Colts,0.06,58.80%,Dallas Clark,TE,6.360433333333333,2010.0,dallas clark,dallas clark,dallas clark,29.0,Dallas Clark,IND,TE,6.8,2.0,72.5,MISSING,0.0,0.0,0.0,9.8,4.0,21.0,14.0,0.0,55.4,77.6,71.7,77.4,66.7,69.5,182.0,0.0,50.0,14.1,37.0,262.0,0.0,37.0,84.7,222.0,21.4,56.0,110.5,51.0,3.0,8.4,22.0,347.0,136.0,3.7,9.4,1.56,37.0,159.0,260.0,2010.0,18642.0,MISSING,dallas clark
Colts,00-0026267,69.2478569693987,Colts,0.06,58.80%,Jacob Tamme,TE,0.4677991869918699,2010.0,jacob tamme,jacob tamme,jacob tamme,5.0,Jacob Tamme,IND,TE,6.4,4.0,73.5,MISSING,0.0,0.0,0.0,8.9,7.0,39.0,14.0,0.0,58.9,81.4,79.5,59.6,81.7,69.9,299.0,3.0,30.0,8.9,38.0,428.0,3.0,72.0,87.4,374.0,22.2,95.0,92.9,98.0,4.0,5.1,22.0,677.0,340.0,4.7,9.4,1.81,38.0,174.0,416.0,2010.0,33072.0,MISSING,jacob tamme
Colts,00-0024529,0.0,Colts,0.06,58.80%,Gijon Robinson,TE,0.3821138211382114,2010.0,gijon robinson,gijon robinson,gijon robinson,76.0,Gijon Robinson,IND,TE,4.7,0.0,50.0,MISSING,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,70.5,65.8,50.9,78.3,58.5,87.8,43.0,0.0,6.0,42.9,21.0,49.0,1.0,3.0,55.1,27.0,6.1,3.0,95.8,6.0,1.0,4.1,2.0,12.0,6.0,2.0,4.0,0.44,21.0,83.0,48.0,2010.0,2443.2,MISSING,gijon robinson
Commanders,00-0026188,198.33962674027515,Commanders,-0.12,37.50%,Fred Davis,TE,0.6630081300813009,2010.0,fred davis,fred davis,fred davis,39.0,Fred Davis,WAS,TE,8.3,3.0,75.0,MISSING,0.0,0.0,1.0,12.5,3.0,11.0,32.0,0.0,29.7,74.6,65.1,68.6,60.0,91.3,189.0,0.0,71.0,11.6,24.0,207.0,3.0,21.0,82.1,170.0,7.7,16.0,147.3,28.0,3.0,0.5,1.0,316.0,178.0,8.5,15.0,1.86,24.0,178.0,206.0,2010.0,13410.6,MISSING,fred davis
Commanders,00-0022738,55.180569348451385,Commanders,-0.12,37.50%,Chris Cooley,TE,3.8685634146341465,2010.0,chris cooley,chris cooley,chris cooley,1.0,Chris Cooley,WAS,TE,6.3,12.0,66.4,MISSING,0.0,0.0,0.0,9.4,8.0,40.0,32.0,3.0,44.2,25.2,67.6,41.4,62.6,70.2,463.0,2.0,35.0,10.2,67.0,660.0,2.0,77.0,85.2,562.0,23.2,153.0,89.3,116.0,3.0,2.0,13.0,849.0,405.0,5.3,11.0,1.51,67.0,333.0,629.0,2010.0,42520.399999999994,78.26249999999999,chris cooley
Commanders,00-0027215,0.0,Commanders,-0.12,37.50%,Logan Paulsen,TE,0.2628723577235772,2010.0,logan paulsen,logan paulsen,logan paulsen,102.0,Logan Paulsen,WAS,TE,2.0,0.0,100.0,MISSING,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,68.3,64.0,64.4,66.5,64.1,86.7,13.0,0.0,9.0,6.7,1.0,15.0,0.0,2.0,86.7,13.0,0.0,0.0,127.1,2.0,1.0,0.0,0.0,10.0,9.0,4.5,5.0,0.77,1.0,15.0,13.0,2010.0,837.2,MISSING,logan paulsen
Cowboys,00-0026201,161.83878201782818,Cowboys,0.0,37.50%,Martellus Bennett,TE,0.6680211382113821,2010.0,martellus bennett,martellus bennett,martellus bennett,33.0,Martellus Bennett,DAL,TE,3.2,3.0,75.0,MISSING,0.0,0.0,0.0,8.3,3.0,12.0,9.0,1.0,60.9,37.3,78.7,65.5,59.8,68.6,164.0,2.0,32.0,24.3,58.0,239.0,3.0,33.0,71.1,170.0,18.8,45.0,70.3,44.0,0.0,9.6,23.0,260.0,189.0,5.7,7.9,1.53,58.0,244.0,232.0,2010.0,18258.4,MISSING,martellus bennett
Cowboys,00-0022127,47.89504906086949,Cowboys,0.0,37.50%,Jason Witten,TE,4.1796747967479675,2010.0,jason witten,jason witten,jason witten,0.0,Jason Witten,DAL,TE,7.2,13.0,76.4,MISSING,0.0,0.0,1.0,3.1,3.0,49.0,9.0,1.0,89.9,57.2,90.3,74.3,86.7,78.5,509.0,3.0,33.0,14.4,93.0,648.0,6.0,94.0,81.5,528.0,12.8,83.0,113.9,123.0,9.0,1.4,9.0,1002.0,394.0,4.2,10.7,1.9,93.0,397.0,601.0,2010.0,54270.3,81.86470588235295,jason witten
Dolphins,00-0024268,150.3197059037884,Dolphins,-0.07,43.80%,Anthony Fasano,TE,1.5252032520325205,2010.0,anthony fasano,anthony fasano,anthony fasano,27.0,Anthony Fasano,MIA,TE,7.9,4.0,70.9,MISSING,0.0,0.0,1.0,4.9,2.0,29.0,17.0,0.0,73.9,78.0,81.3,69.4,72.0,79.6,407.0,1.0,31.0,29.5,151.0,511.0,3.0,39.0,67.5,345.0,18.2,93.0,117.8,55.0,4.0,0.0,0.0,528.0,209.0,5.4,13.5,1.53,151.0,363.0,500.0,2010.0,40650.0,MISSING,anthony fasano
Dolphins,00-0027809,25.454825952993303,Dolphins,-0.07,43.80%,Mickey Shuler,TE,0.2601626016260162,2010.0,mickey shuler,mickey shuler,mickey shuler,85.0,Mickey Shuler,MIA,TE,10.0,0.0,40.0,MISSING,0.0,0.0,0.0,33.3,1.0,2.0,17.0,0.0,36.2,65.8,62.4,77.8,54.7,68.4,52.0,1.0,28.0,19.7,15.0,76.0,0.0,2.0,77.6,59.0,21.1,16.0,32.5,5.0,0.0,6.6,5.0,44.0,12.0,6.0,22.0,0.75,15.0,43.0,73.0,2010.0,4555.2,MISSING,mickey shuler
Dolphins,00-0027445,0.0,Dolphins,-0.07,43.80%,Jeron Mastrud,TE,0.2295544715447154,2010.0,jeron mastrud,jeron mastrud,jeron mastrud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0027445,0.0,Dolphins,-0.07,43.80%,Jeron Mastrud,TE,0.0718699186991869,2010.0,jeron mastrud,jeron mastrud,jeron mastrud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0027725,86.53285920908559,Eagles,0.01,58.80%,Clay Harbor,TE,0.3522154471544715,2010.0,clay harbor,clay harbor,clay harbor,61.0,Clay Harbor,PHI,TE,10.0,0.0,64.3,MISSING,0.0,0.0,0.0,18.2,2.0,3.0,24.0,0.0,38.7,70.6,51.5,51.0,45.5,65.4,70.0,0.0,24.0,21.5,23.0,107.0,2.0,9.0,76.6,82.0,15.0,16.0,100.9,14.0,1.0,11.2,12.0,72.0,20.0,2.2,8.0,0.88,23.0,89.0,98.0,2010.0,5047.0,MISSING,clay harbor
Eagles,00-0024321,72.80595968297786,Eagles,0.01,58.80%,Garrett Mills,TE,0.5121951219512195,2010.0,garrett mills,garrett mills,garrett mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0025549,41.91948686696637,Eagles,0.01,58.80%,Brent Celek,TE,2.069471544715447,2010.0,brent celek,brent celek,brent celek,13.0,Brent Celek,PHI,TE,9.2,9.0,57.1,MISSING,0.0,0.0,0.0,12.0,6.0,25.0,24.0,0.0,50.3,79.3,64.5,70.1,59.5,78.5,453.0,2.0,65.0,22.9,132.0,577.0,7.0,44.0,73.3,423.0,15.8,91.0,85.2,77.0,4.0,4.0,23.0,536.0,252.0,5.7,12.2,1.27,132.0,338.0,567.0,2010.0,36571.5,MISSING,brent celek
