Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Year_y,weighted_grade,weighted_average_grade,merge_player_y
1381.0,1381.0,2010.0,Panthers,OL,Jordan Gross,00-0022117,7.0,2003.0,2003.0,Panthers,30.0,8.0,0.883,21.4,1400.0,405.8,1905.0,158.28305028600275,2010.0,Panthers,-0.21,12.50%,jordan gross,jordan gross,jordan gross,31,Jordan Gross,CAR,T,100.0,0,5,84.3,77.9,82.5,8,15,550,100.0,100.0,96.8,4,29,6,988,0,0,988,988,574,574,0,0,414,0,2010,83288.4,MISSING,jordan gross
1122.0,1122.0,2010.0,Jaguars,OL,Eugene Monroe,00-0026984,1.0,2009.0,2009.0,Jaguars,23.0,8.0,0.883,21.4,1400.0,405.8,1905.0,525.5182338369175,2010.0,Jaguars,-0.1,50.00%,eugene monroe,eugene monroe,eugene monroe,32,Eugene Monroe,JAX,T,100.0,0,15,61.9,57.2,66.2,13,29,491,100.0,100.0,94.7,9,47,5,988,0,0,988,988,518,518,0,0,470,0,2010,61157.2,MISSING,eugene monroe
425.0,425.0,2010.0,Buccaneers,OL,Donald Penn,00-0023894,4.0,2006.0,2006.0,MISSING,27.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Buccaneers,0.05,62.50%,donald penn,donald penn,donald penn,33,Donald Penn,TB,T,99.9,1,30,73.3,67.4,70.9,8,37,564,99.8,99.8,94.9,4,51,6,982,0,0,982,983,590,591,0,0,392,1,2010,72053.9,MISSING,donald penn
31.0,31.0,2010.0,49ers,OL,Anthony Davis,00-0027863,0.0,2010.0,2010.0,49ers,20.0,11.0,0.777,19.3,1250.0,357.62,1737.0,519.1343265344232,2010.0,49ers,-0.03,37.50%,anthony davis,anthony davis,anthony davis,34,Anthony Davis,SF,T,100.0,1,28,59.7,58.1,67.2,11,37,561,100.0,100.0,93.8,11,59,11,979,0,0,0,979,590,590,0,979,389,0,2010,58446.3,MISSING,anthony davis
479.0,479.0,2010.0,Cardinals,OL,Levi Brown,00-0025392,3.0,2007.0,2007.0,Cardinals,26.0,5.0,0.991,24.3,1700.0,467.81,2152.0,492.9774689557595,2010.0,Cardinals,-0.21,31.30%,levi brown,levi brown,levi brown,35,Levi Brown,ARZ,T,100.0,1,1,55.3,49.4,60.2,10,50,621,100.0,100.0,93.6,6,70,10,960,0,0,959,960,643,643,0,0,317,1,2010,53088.0,MISSING,levi brown
347.0,347.0,2010.0,Browns,OL,Joe Thomas,00-0025390,3.0,2007.0,2007.0,Browns,25.0,3.0,1.063,27.6,2200.0,514.33,2421.0,561.3794642805499,2010.0,Browns,-0.12,31.30%,joe thomas,joe thomas,joe thomas,36,Joe Thomas,CLV,T,99.9,0,8,82.2,81.7,74.7,7,12,529,99.8,99.8,97.3,2,24,5,957,0,0,957,958,557,558,0,0,400,1,2010,78747.6,MISSING,joe thomas
1938.0,1938.0,2010.0,Titans,OL,Michael Roos,00-0023476,5.0,2005.0,2005.0,Titans,27.0,41.0,0.436,11.0,490.0,145.59,1044.0,134.97023468665023,2010.0,Titans,-0.03,37.50%,michael roos,michael roos,michael roos,37,Michael Roos,TEN,T,100.0,0,31,73.1,68.6,72.5,4,26,513,100.0,100.0,95.3,4,39,9,953,0,0,953,953,545,545,0,0,408,0,2010,69664.29999999999,MISSING,michael roos
1941.0,1941.0,2010.0,Titans,OL,David Stewart,00-0023548,5.0,2005.0,2005.0,Titans,28.0,113.0,0.168,4.5,68.0,27.0,511.0,49.46738720855424,2010.0,Titans,-0.03,37.50%,david stewart,david stewart,david stewart,38,David Stewart,TEN,T,100.0,2,31,72.7,71.4,74.9,2,25,513,100.0,100.0,96.6,7,31,4,953,0,0,0,953,545,545,0,953,408,0,2010,69283.1,MISSING,david stewart
1513.0,1513.0,2010.0,Raiders,OL,Langston Walker,00-0021181,8.0,2002.0,2002.0,Raiders,30.0,53.0,0.363,9.3,370.0,106.31,909.0,45.27542535456555,2010.0,Raiders,0.02,50.00%,langston walker,langston walker,langston walker,39,Langston Walker,OAK,T,99.2,0,23,72.7,58.0,87.9,4,34,480,98.4,98.5,95.0,7,43,5,951,0,0,0,959,520,528,0,901,431,58,2010,69719.3,MISSING,langston walker
222.0,222.0,2010.0,Bills,OL,Demetress Bell,00-0026359,2.0,2008.0,2008.0,Bills,26.0,219.0,0.058,0.3,4.0,2.55,162.0,19.26558203089,2010.0,Bills,-0.19,25.00%,demetress bell,demetress bell,demetress bell,40,Demetress Bell,BUF,T,100.0,0,4,69.0,72.8,64.8,10,29,566,100.0,100.0,95.8,5,43,4,950,0,0,950,950,587,587,0,0,363,0,2010,65550.0,MISSING,demetress bell
