,position,weighted_avg_block_percent,weighted_avg_declined_penalties,weighted_avg_franchise_id,weighted_avg_grades_offense,weighted_avg_grades_pass_block,weighted_avg_grades_run_block,weighted_avg_hits_allowed,weighted_avg_hurries_allowed,weighted_avg_non_spike_pass_block,weighted_avg_non_spike_pass_block_percentage,weighted_avg_pass_block_percent,weighted_avg_pbe,weighted_avg_penalties,weighted_avg_pressures_allowed,weighted_avg_sacks_allowed,weighted_avg_snap_counts_block,weighted_avg_snap_counts_ce,weighted_avg_snap_counts_lg,weighted_avg_snap_counts_lt,weighted_avg_snap_counts_offense,weighted_avg_snap_counts_pass_block,weighted_avg_snap_counts_pass_play,weighted_avg_snap_counts_rg,weighted_avg_snap_counts_rt,weighted_avg_snap_counts_run_block,weighted_avg_snap_counts_te,Team,Year,Previous_block_percent,Previous_declined_penalties,Previous_franchise_id,Previous_grades_offense,Previous_grades_pass_block,Previous_grades_run_block,Previous_hits_allowed,Previous_hurries_allowed,Previous_non_spike_pass_block,Previous_non_spike_pass_block_percentage,Previous_pass_block_percent,Previous_pbe,Previous_penalties,Previous_pressures_allowed,Previous_sacks_allowed,Previous_snap_counts_block,Previous_snap_counts_ce,Previous_snap_counts_lg,Previous_snap_counts_lt,Previous_snap_counts_offense,Previous_snap_counts_pass_block,Previous_snap_counts_pass_play,Previous_snap_counts_rg,Previous_snap_counts_rt,Previous_snap_counts_run_block,Previous_snap_counts_te
31,TE,67.04199837530464,0.3066612510154346,8.0,57.53732737611698,73.3870430544273,54.66486596263201,0.15637692932575142,1.238830219333875,30.612103980503655,25.088667749796915,25.89967506092608,97.79955320877336,1.5942323314378555,1.8582453290008125,0.46303818034118605,207.81397238017874,0.0,0.0,0.9199837530463039,342.9695369618197,34.52924451665313,169.6848090982941,0.0,0.0,173.28472786352557,251.68968318440292,Browns,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
32,C,100.0,0.0,9.0,55.1,64.7,49.9,3.0,21.0,612.0,100.0,100.0,97.9,5.0,25.0,1.0,1076.0,1076.0,0.0,0.0,1076.0,654.0,654.0,0.0,0.0,422.0,0.0,Cowboys,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
33,G,100.0,0.0,9.0,59.75,59.925,57.825,2.5,12.25,306.0,100.0,100.0,95.525,1.75,18.5,3.75,538.75,0.0,269.0,0.25,538.75,327.0,327.0,269.0,0.0,211.75,0.5,Cowboys,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
34,T,100.0,1.0,9.0,69.96666666666667,70.43333333333334,68.3,3.3333333333333335,16.666666666666668,408.6666666666667,100.0,100.0,96.56666666666666,7.333333333333333,23.333333333333332,3.3333333333333335,718.6666666666666,0.0,0.0,358.3333333333333,718.6666666666666,436.6666666666667,436.6666666666667,0.0,358.6666666666667,282.0,1.6666666666666667,Cowboys,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
35,TE,57.202119815668205,0.0,9.0,60.63847926267281,46.58299539170506,63.085207373271885,0.6281105990783411,1.2460829493087557,18.900000000000002,13.656129032258065,14.609400921658985,95.74557603686637,1.1253456221198157,1.8741935483870964,0.0,165.30230414746543,0.0,0.0,0.0,312.8373271889401,21.118433179723503,168.65345622119818,0.0,0.0,144.18387096774194,226.83594470046083,Cowboys,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
36,C,100.0,0.0,10.0,72.1,79.05,69.6,0.5,1.5,171.5,100.0,100.0,99.55,1.0,2.5,0.5,293.0,293.0,0.0,0.0,293.0,185.0,185.0,0.0,0.0,108.0,0.0,Broncos,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
37,G,98.94638462834992,0.0,10.0,62.766998145963264,55.393173773807526,63.91112422046183,1.6854879487611665,16.68633069273555,302.98297657171753,97.75123883364235,98.0342996797573,96.9661216922299,2.1911343333895164,20.05730659025788,1.6854879487611665,512.0616888589248,82.25181189954492,180.9988201584359,2.0225855385134,512.2189448845442,326.56851508511716,326.72577111073656,181.02140569694927,62.36305410416316,185.49317377380754,3.561267486937468,Broncos,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
38,T,99.95002501250626,2.499249624812406,10.0,68.79799899949975,70.24907453726864,67.94857428714356,4.999499749874937,17.998499249624814,513.4462231115557,99.9000500250125,99.95002501250626,97.34992496248124,10.998499249624814,24.99799899949975,2.0,882.4107053526765,0.0,0.0,530.2346173086544,882.9104552276137,552.9419709854927,553.4417208604302,0.0,352.176088044022,329.4687343671836,0.0,Broncos,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
39,TE,63.66625802685346,0.0,10.0,60.57717454757734,61.77270869819031,61.56888499708114,0.4544658493870402,0.5855224751897256,18.42586106246351,42.85665499124343,42.93966725043783,99.0418855808523,0.5805604203152364,1.0399883245767658,0.0,90.53998832457675,0.0,0.0,0.14302393461762988,179.472270869819,20.0446584938704,108.97694103911266,0.0,0.0,70.49532983070635,122.61908931698773,Broncos,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
40,C,100.0,6.0,11.0,71.1,73.8,70.4,5.0,15.0,628.0,100.0,100.0,98.2,9.0,21.0,1.0,1076.0,1074.0,0.0,0.0,1076.0,673.0,673.0,0.0,0.0,403.0,0.0,Lions,2018,,,,,,,,,,,,,,,,,,,,,,,,,,
