,player,team_name,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Team,Year,weighted_grade,weighted_average_grade
68,Stephon Heyer,WAS,T,100.0,0,32,61.2,56.3,71.7,5,16,284,100.0,100.0,94.5,7,26,5,445,0,0,176,445,304,304,63,206,141,0,Commanders,2010,27234.0,
69,Jeremy Bridges,ARZ,T,100.0,0,1,72.7,67.0,80.7,4,10,282,100.0,100.0,96.5,3,17,3,436,0,0,0,436,293,293,0,434,143,1,Cardinals,2010,31697.2,
70,King Dunlap,PHI,T,100.0,0,24,70.4,67.3,69.3,2,10,254,100.0,100.0,96.1,4,16,4,433,0,0,210,433,267,267,0,222,166,1,Eagles,2010,30483.2,
71,Eben Britton,JAX,T,100.0,1,15,71.7,65.4,73.6,5,8,214,100.0,100.0,96.0,2,15,2,424,0,0,0,424,228,228,0,424,196,0,Jaguars,2010,30400.800000000003,
72,Barry Sims,SF,T,100.0,0,28,70.7,74.8,64.2,2,9,226,100.0,100.0,95.8,2,15,4,392,0,0,391,392,234,234,0,0,158,1,49ers,2010,27714.4,
73,Brandyn Dombrowski,SD,T,99.7,0,27,52.0,40.4,62.6,4,22,201,99.5,99.5,92.0,4,29,3,390,0,9,363,391,212,213,0,2,178,17,Chargers,2010,20332.0,
74,Jeff Linkenbach,IND,T,100.0,0,14,59.5,65.2,51.1,5,10,231,100.0,100.0,96.8,0,15,0,367,0,0,114,367,234,234,196,55,133,2,Colts,2010,21836.5,
75,Max Starks,PIT,T,100.0,0,25,62.2,65.6,59.5,3,15,166,100.0,100.0,94.0,1,19,1,341,0,0,341,341,175,175,0,0,166,0,Steelers,2010,21210.2,
76,Andre Smith,CIN,T,100.0,0,7,50.6,44.6,64.6,3,14,168,100.0,100.0,93.2,4,20,3,281,0,0,0,281,182,182,0,281,99,0,Bengals,2010,14218.6,
77,Corey Hilliard,DET,T,100.0,1,11,68.3,62.5,77.6,0,10,148,100.0,100.0,95.9,5,11,1,266,0,0,5,266,153,153,0,261,113,0,Lions,2010,18167.8,
78,Anthony Collins,CIN,T,100.0,0,7,67.9,79.6,54.4,0,3,145,100.0,100.0,99.0,1,3,0,255,0,0,8,255,152,152,0,247,103,0,Bengals,2010,17314.5,
79,Cornell Green,BUF,T,100.0,0,4,56.3,62.6,61.7,0,9,147,100.0,100.0,95.6,4,11,2,248,0,0,0,248,154,154,0,248,94,0,Bills,2010,13962.4,
80,Rashad Butler,HST,T,100.0,0,13,56.0,51.6,65.8,3,14,137,100.0,100.0,92.3,3,19,2,246,0,0,242,246,146,146,0,0,100,4,Texans,2010,13776.0,
81,Tony Pashos,CLV,T,100.0,0,8,58.9,55.8,61.5,1,11,137,100.0,100.0,94.9,2,13,1,242,0,0,0,242,141,141,0,242,101,0,Browns,2010,14253.8,
82,Mark Tauscher,GB,T,100.0,0,12,55.2,49.6,64.5,1,13,135,100.0,100.0,93.3,3,16,2,237,0,0,0,237,148,148,0,237,89,0,Packers,2010,13082.400000000001,
83,Lydon Murtha,MIA,T,98.7,1,17,60.5,66.1,55.9,2,7,130,97.7,97.8,95.8,3,10,1,227,0,0,10,230,134,137,0,214,93,6,Dolphins,2010,13915.0,
84,Ryan O'Callaghan,KC,T,98.1,0,16,77.5,71.6,78.7,1,4,84,97.7,96.7,97.0,0,5,0,157,0,0,0,160,87,90,0,154,70,6,Chiefs,2010,12400.0,
