,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Team,Year,weighted_grade,weighted_average_grade
86,Jay Richardson,SEA,ED,119,3754,9,0,0,0,0,29,0,50.8,79.9,54.2,51.1,72.3,0,2,0.0,0,0,0,62,57,119,0,79,2,6,0,2,Seahawks,2010,6045.2,
87,Jacob Ford,TEN,ED,568,3820,14,9,0,0,1,31,0,58.3,14.6,67.5,52.0,63.4,5,21,10.5,4,5,3,317,229,516,26,476,19,25,4,29,Titans,2010,33114.4,
88,C.J. Ah You,SL,ED,344,3855,16,2,1,0,1,26,0,64.3,83.9,68.4,53.5,75.2,6,5,0.0,0,0,4,239,80,319,0,116,10,7,2,15,Rams,2010,22119.2,
89,Keyunta Dawson,IND,ED,597,3858,17,5,1,0,0,14,1,54.7,85.1,55.7,53.6,64.6,6,11,7.1,2,0,0,361,208,552,0,267,7,21,1,17,Colts,2010,32655.9,
90,Antwan Applewhite,SD,ED,606,3877,15,6,1,0,1,27,0,61.4,70.4,57.9,58.2,73.3,3,11,6.5,3,2,3,164,284,415,400,14,27,37,6,17,Chargers,2010,37208.4,
91,Marques Murrell,NE,ED,6,4024,1,0,0,0,0,19,0,62.1,70.9,58.0,60.6,69.9,0,0,0.0,0,0,0,2,2,6,4,2,0,1,0,0,Patriots,2010,372.6,
92,Jason Trusnik,CLV,ED,219,4083,16,0,1,0,0,8,0,56.8,82.5,53.4,56.8,79.8,1,1,0.0,0,0,1,51,122,194,187,7,8,11,0,3,Browns,2010,12439.199999999999,
93,Chris Wilson,WAS,ED,122,4244,15,3,0,0,1,32,0,72.3,81.0,64.6,75.3,81.3,3,4,0.0,0,0,0,70,35,65,63,0,4,8,1,7,Commanders,2010,8820.6,
94,Jyles Tucker,SD,ED,38,4259,2,0,0,0,0,27,0,69.7,74.4,66.9,62.5,68.1,0,3,,0,0,1,30,7,38,1,37,1,0,0,4,Chargers,2010,2648.6,
95,Edgar Jones,BLT,ED,4,4280,4,0,0,0,0,3,0,29.8,69.7,55.7,60.0,,0,0,,0,0,0,3,1,4,0,4,0,0,0,0,Ravens,2010,119.2,
96,Chris Long,SL,ED,962,4316,16,2,1,2,3,26,1,64.0,63.2,78.0,44.9,29.4,13,56,16.7,4,3,8,577,332,959,1,956,21,18,1,77,Rams,2010,61568.0,
97,Derrick Harvey,JAX,ED,350,4322,15,0,0,0,0,15,0,52.2,84.2,61.4,40.9,74.0,2,9,0.0,0,0,3,166,172,349,0,313,7,8,1,14,Jaguars,2010,18270.0,
