Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id_x,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,snap_counts_defense,player_id_y,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_corner,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Year_y,weighted_grade,weighted_average_grade,merge_player_y
517.0,517.0,2010.0,Chargers,CB,Donald Strickland,00-0022158,7.0,2003.0,2003.0,Colts,29.0,90.0,0.219,5.9,140.0,44.94,630.0,36.2510039376175,2010.0,Chargers,0.24,56.30%,donald strickland,donald strickland,donald strickland,21,Donald Strickland,SD,CB,285,1405,11,3,0,1,27,0,61.2,62.5,24.8,44.0,0,0,21.1,4,1,1,109.5,20,2,204,276,5,12,0,27,1,216,2010,17812.5,MISSING,donald strickland
188.0,188.0,2010.0,Bills,CB,Terrence McGee,00-0022008,7.0,2003.0,2003.0,Bills,29.0,111.0,0.172,4.6,72.0,28.22,520.0,27.80059540746498,2010.0,Bills,-0.19,25.00%,terrence mcgee,terrence mcgee,terrence mcgee,22,Terrence McGee,BUF,CB,313,1423,9,3,0,0,4,0,72.7,75.5,84.0,74.7,0,0,7.1,1,2,0,80.2,10,273,172,20,3,10,1,20,1,95,2010,23631.5,MISSING,terrence mcgee
915.0,915.0,2010.0,Eagles,CB,Asante Samuel,00-0021956,7.0,2003.0,2003.0,Patriots,29.0,120.0,0.155,4.1,54.0,23.41,479.0,24.862402496399685,2010.0,Eagles,0.01,58.80%,asante samuel,asante samuel,asante samuel,23,Asante Samuel,PHI,CB,729,1432,12,2,0,0,24,1,81.4,75.2,37.6,28.6,7,0,27.0,10,6,3,43.8,21,687,446,11,11,25,0,46,4,157,2010,54820.8,MISSING,asante samuel
1791.0,1791.0,2010.0,Steelers,CB,Ivan Taylor,00-0021891,7.0,2003.0,2003.0,Steelers,30.0,125.0,0.149,3.9,47.0,20.67,457.0,23.58295527661187,2010.0,Steelers,0.18,73.70%,ivan taylor,ike taylor,ike taylor,24,Ike Taylor,PIT,CB,1146,1437,19,7,0,2,25,0,65.8,71.2,51.8,69.6,2,0,8.6,6,7,10,72.3,57,1045,764,25,16,57,0,102,1,699,2010,81595.2,MISSING,ike taylor
1974.0,1974.0,2010.0,Vikings,CB,Frank Walker,00-0021943,7.0,2003.0,2003.0,Giants,29.0,207.0,0.063,0.6,9.0,3.33,192.0,7.804092247729938,2010.0,Vikings,-0.07,37.50%,frank walker,frank walker,frank walker,25,Frank Walker,MIN,CB,235,1507,9,2,1,0,18,0,70.4,69.1,83.4,41.5,1,0,19.0,4,4,2,67.1,11,230,170,2,4,15,0,23,1,159,2010,16238.499999999998,MISSING,frank walker
1488.0,1488.0,2010.0,Raiders,CB,Chris Johnson,00-0021949,7.0,2003.0,2003.0,Packers,30.0,245.0,0.049,0.0,0.0,1.43,103.0,4.302467020305003,2010.0,Raiders,0.02,50.00%,chris johnson,chris johnson,chris johnson,26,Chris Johnson,OAK,CB,376,1539,12,0,1,0,23,0,60.6,57.6,36.0,59.2,2,1,15.8,3,5,8,68.9,17,343,251,20,1,16,0,40,3,261,2010,21657.6,MISSING,chris johnson
917.0,917.0,2010.0,Eagles,CB,Joselio Hanson,00-0021654,7.0,2003.0,2003.0,MISSING,29.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Eagles,0.01,58.80%,joselio hanson,joselio hanson,joselio hanson,27,Joselio Hanson,PHI,CB,694,1619,16,3,0,0,24,0,73.2,72.1,87.3,80.4,1,0,6.3,2,7,1,103.0,37,136,451,503,10,27,0,57,5,340,2010,50037.399999999994,MISSING,joselio hanson
710.0,710.0,2010.0,Commanders,CB,DeAngelo Hall,00-0022923,6.0,2004.0,2004.0,Falcons,26.0,8.0,0.883,21.4,1400.0,405.8,1905.0,213.65976951855615,2010.0,Commanders,-0.12,37.50%,deangelo hall,deangelo hall,deangelo hall,28,DeAngelo Hall,WAS,CB,1079,1729,16,8,0,2,32,0,72.1,71.8,89.2,72.1,6,1,8.3,8,8,0,105.8,73,1017,652,12,35,80,5,99,8,965,2010,77472.2,MISSING,deangelo hall
973.0,973.0,2010.0,Falcons,CB,Dunta Robinson,00-0022735,6.0,2004.0,2004.0,Texans,28.0,10.0,0.811,19.9,1300.0,369.09,1787.0,197.75520885765553,2010.0,Falcons,0.1,76.50%,dunta robinson,dunta robinson,dunta robinson,29,Dunta Robinson,ATL,CB,899,1731,16,2,0,0,2,1,75.1,74.3,72.4,71.9,1,0,7.6,5,4,3,98.6,57,833,587,2,13,59,1,88,5,599,2010,66795.7,MISSING,dunta robinson
1353.0,1353.0,2010.0,Panthers,CB,Chris Gamble,00-0022914,6.0,2004.0,2004.0,Panthers,27.0,28.0,0.533,13.4,660.0,209.11,1245.0,125.1523475906518,2010.0,Panthers,-0.21,12.50%,chris gamble,chris gamble,chris gamble,30,Chris Gamble,CAR,CB,710,1749,11,2,0,0,5,0,64.2,65.7,87.4,39.1,0,0,18.2,8,5,3,91.8,29,627,379,11,10,34,2,47,1,352,2010,46647.0,MISSING,chris gamble
640.0,640.0,2010.0,Colts,CB,Bob Sanders,00-0022944,6.0,2004.0,2004.0,Colts,29.0,44.0,0.415,10.5,460.0,134.58,1007.0,95.11059236599576,2010.0,Colts,0.06,58.80%,bob sanders,bob sanders,bob sanders,31,Bob Sanders,IND,CB,10,1765,1,0,0,0,14,0,61.5,54.9,68.6,MISSING,0,0,MISSING,0,0,0,0.0,0,0,7,0,0,0,0,0,0,0,2010,549.0,MISSING,bob sanders
121.0,121.0,2010.0,Bengals,CB,Keiwan Ratliff,00-0022928,6.0,2004.0,2004.0,Bengals,29.0,49.0,0.384,9.8,410.0,118.06,951.0,87.79734607225814,2010.0,Bengals,-0.06,25.00%,keiwan ratliff,keiwan ratliff,keiwan ratliff,32,Keiwan Ratliff,CIN,CB,63,1770,3,1,0,0,7,0,55.5,57.5,78.1,70.0,0,0,9.1,1,0,0,145.1,11,0,52,61,3,9,0,11,1,127,2010,3622.5,MISSING,keiwan ratliff
2.0,2.0,2010.0,49ers,CB,Shawntae Spencer,00-0022843,6.0,2004.0,2004.0,49ers,28.0,58.0,0.337,8.7,320.0,93.26,862.0,76.19676336884852,2010.0,49ers,-0.03,37.50%,shawntae spencer,shawntae spencer,shawntae spencer,33,Shawntae Spencer,SF,CB,1021,1779,16,2,2,1,28,1,65.2,62.8,90.3,29.5,3,0,23.7,14,5,3,93.8,54,907,622,60,13,43,0,77,4,594,2010,64118.8,MISSING,shawntae spencer
