player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jarran Reed,10683,DI,SEA,16,16,0,100.0,0,0,29,2,0,55.1,66.8,71.9,65.6,65.8,64.9,13,26,0,0,6,8.0,4,0,2,91.7,1,11,0,0,0,13,773,773,78,573,1,121,0,0,487,273,0,37,30,2,1,50,0,6,4,6.0
Deion Jones,10686,LB,ATL,6,7,0,76.7,1,1,2,0,0,72.2,73.7,0.0,74.1,72.0,63.6,1,2,1,2,40,10.3,6,4,3,81.4,23,1,0,328,2,235,384,4,0,0,4,0,2,380,10,139,48,28,45,0,30,4,1,231,115,10.0
Su'a Cravens,10687,S,DEN,5,2,0,100.0,0,0,10,0,0,29.2,37.4,77.4,72.7,75.5,69.5,1,1,0,0,27,6.7,1,0,3,118.8,13,0,0,83,4,86,117,2,0,0,2,0,3,115,6,25,25,4,12,1,13,2,0,177,55,13.6
Mackensie Alexander,10688,CB,MIN,15,6,0,67.8,3,0,18,0,0,72.5,78.1,85.0,76.2,86.3,60.9,1,3,0,0,34,15.9,7,8,6,85.6,40,4,0,39,26,360,564,17,0,0,17,0,7,547,21,183,475,22,31,3,59,8,0,383,265,9.6
Sean Davis,10692,S,PIT,15,17,0,64.5,0,1,25,0,0,71.5,69.7,40.9,73.1,66.7,68.6,1,1,0,1,63,12.9,12,4,2,95.6,20,0,0,143,4,634,980,15,0,0,15,0,779,965,8,338,39,15,64,0,31,2,1,316,167,15.8
Cyrus Jones,10694,S,BLT,6,1,0,66.7,0,0,3,0,0,51.3,59.4,86.5,,69.3,26.2,0,0,0,0,20,50.0,1,0,0,100.7,2,0,0,12,0,10,17,0,0,0,0,0,1,17,0,7,2,0,0,0,3,0,0,31,15,15.5
Vonn Bell,10695,S,NO,16,12,1,72.3,1,1,20,1,0,68.3,75.3,60.7,73.1,88.1,74.6,2,0,0,0,26,9.9,9,2,2,106.2,34,1,0,262,44,509,753,48,0,0,48,0,217,705,34,210,181,29,70,5,47,3,2,334,122,9.8
James Bradberry,10696,CB,CAR,16,2,0,57.4,2,1,5,0,0,64.9,66.4,67.9,91.4,64.3,53.4,0,1,0,1,75,12.0,9,13,5,97.9,58,1,0,52,860,622,994,2,0,0,2,0,21,992,3,369,57,20,64,1,101,2,6,783,211,13.5
Adam Gotsis,10697,DI,DEN,16,7,5,,0,2,10,1,0,54.9,68.2,72.4,66.7,66.3,72.5,4,9,0,0,,2.6,1,0,1,0.0,0,3,0,1,0,1,513,511,12,311,55,133,0,2,281,231,0,25,31,3,0,16,0,0,0,
Kevin Byard,10698,S,TEN,16,19,0,70.0,0,0,31,0,0,82.5,87.9,84.6,90.1,87.8,83.0,3,2,0,4,17,6.9,6,2,1,55.8,21,2,0,372,26,611,1042,25,0,0,25,0,470,1017,23,408,149,17,62,1,30,7,1,172,83,8.2
