Team,Year,Cap_Space,adjusted_value,Net EPA,Win %,franchise_id,age,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_defense,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
Saints,2018,16.967241534988712,1061.4704829478933,0.13,77.80%,20.0,26.390557939914164,14.672865999046257,7.459227467811159,1.5784453981878874,0.4864091559370529,0.619933237958989,0.7353361945636624,79.11721506914641,76.5275631855031,70.2525989508822,78.54830710538866,70.10544412607449,7.772055317119695,30.87172150691464,7.334670487106017,2.7181688125894135,1.5030996661897948,7.619456366237482,2097.0,435.17548879351455,208.3652837386743,664.0362422508346,605.9761564139246,38.5655698617072,25.216022889842634,24.492131616595135,3.5460181211254174,46.26323319027182,54732.57253218884,0.0
Saints,2019,13.926561105207226,710.8533833341412,0.12,76.50%,20.0,25.88296488946684,13.697442566103165,6.566103164282618,0.7602947550931947,0.8361508452535761,0.9952319029042046,0.38014737754659733,77.17954052882531,56.18912006935413,73.4507585609016,74.97377546597312,56.31976592977893,6.363675769397486,35.29085392284352,17.00606848721283,5.324664065886433,3.113133940182055,8.98699609882965,2307.0,385.47897702644127,174.78630255743388,563.3311660164716,519.7754659731253,23.208495882097964,19.036844386649328,14.829215431296056,0.8920676202860858,50.641525791070656,47022.66085825748,0.0
Saints,2020,12.234978809283552,1085.1022008137236,0.14,72.20%,20.0,26.744618395303327,14.635518590998043,5.139432485322896,1.7959882583170255,0.0,0.9569471624266145,0.0,76.26061643835617,56.66849315068493,75.26566944580678,68.80949119373777,51.0125061304561,8.148727984344422,28.8160469667319,18.571064247179986,4.759784735812133,3.176614481409002,8.09344422700587,2044.0,379.0318003913894,200.56017612524462,585.4408023483365,555.0313111545988,22.06457925636008,22.639921722113503,20.699608610567516,3.0342465753424657,45.05821917808219,46082.89036203523,0.0
Saints,2021,14.124222465753423,1052.1001893576154,0.038,52.90%,20.0,27.258802816901408,13.115757042253522,7.47887323943662,1.5598591549295775,0.0,1.4053697183098592,0.27684859154929575,76.9893045774648,72.28323063380282,69.05365316901408,76.40840669014084,64.95391725352113,6.846390845070423,20.399647887323944,12.284771126760564,3.672975352112676,1.5246478873239437,7.612676056338028,2272.0,333.70598591549293,176.59022887323943,516.618838028169,480.2152288732394,22.449823943661972,25.4881161971831,22.986355633802816,3.311619718309859,34.85871478873239,41851.45928697183,73.68078910286519
Saints,2022,12.859166666666667,1265.1745051738717,-0.002,41.20%,20.0,28.04757785467128,14.880190311418685,9.745674740484429,0.3416955017301038,0.36591695501730104,0.3416955017301038,0.20761245674740483,72.39407439446367,66.00363321799308,61.11483564013841,74.02054498269896,58.7048875432526,3.439878892733564,18.700259515570934,10.758520761245675,5.22621107266436,1.7547577854671281,5.711937716262976,2312.0,310.92387543252596,221.94982698961937,539.2391868512111,490.7417820069204,40.3568339100346,23.42257785467128,30.69766435986159,4.858996539792387,27.852076124567475,39976.811461937716,56.3788515972503
Saints,2023,15.61905471530249,1083.3051754643604,0.08,52.90%,20.0,28.776806989674345,16.317315329626688,14.031374106433677,1.3848292295472597,0.0,0.3471008737092931,0.6628276409849087,71.50007942811754,75.37605242255758,63.396266878474975,68.72160444797458,56.22204130262113,5.802223987291502,30.62509928514694,11.354011119936459,5.372517871326449,1.6942017474185862,4.926926131850675,2518.0,379.9404289118348,247.582208101668,637.1695790309769,558.7823669579032,52.889992057188245,26.365766481334393,29.95075456711676,3.443208895949166,41.35424940428912,47064.39491660048,54.674645161290314
Saints,2024,15.475850039154269,1427.8083737167644,-0.08437242371,29.40%,20.0,27.83399209486166,16.555335968379445,8.32411067193676,2.986166007905138,0.0,0.883399209486166,0.0,66.7897233201581,66.12747035573122,65.04466403162056,58.92233201581028,42.3693675889328,6.2687747035573125,34.76086956521739,18.408695652173915,7.863636363636363,2.150197628458498,6.140316205533597,2530.0,410.2885375494071,229.17588932806325,655.2747035573123,562.1640316205534,81.05335968379447,23.555335968379445,25.175889328063242,2.950592885375494,47.1699604743083,45542.32015810277,63.95980230642505
Seahawks,2010,1.9901747967479673,481.7170126878822,-0.13,44.40%,29.0,23.46788990825688,15.862385321100918,5.913499344692005,0.0,0.0,0.0,0.0,52.825688073394495,83.8402359108781,57.246395806028836,47.47326343381389,54.052031454783744,0.8440366972477065,9.386631716906946,7.761467889908257,2.9567496723460027,0.0,0.10484927916120576,763.0,211.53604193971165,232.1035386631717,443.84927916120574,0.10484927916120576,355.45609436435126,12.028833551769331,20.783748361730012,1.583224115334207,10.33551769331586,22137.171690694628,0.0
Seahawks,2011,4.76201287642783,131.110782967358,0.0,43.80%,29.0,29.0,16.0,5.0,3.0,2.0,3.0,0.0,79.7,31.3,84.3,57.4,65.6,9.0,45.0,10.3,4.0,5.0,12.0,929.0,536.0,341.0,910.0,45.0,862.0,36.0,30.0,4.0,66.0,74041.3,0.0
Seahawks,2012,13.106403814262023,793.6561193665481,0.18,66.70%,29.0,27.80810234541578,17.365316275764037,5.8081023454157785,2.9040511727078893,0.36531627576403697,2.269367448471926,1.0,72.36083866382374,35.263823738450604,82.07263681592039,48.22615493958777,53.74541577825159,11.365316275764037,32.25088841506752,16.79630419331912,4.538734896943852,4.634683724235963,11.0,1407.0,475.41293532338307,236.57142857142858,747.1982942430703,49.272921108742004,697.9253731343283,20.34683724235963,15.981520966595593,0.0,54.61620469083156,56172.48194740583,0.0
