Team,Year,Cap_Space,adjusted_value,Net EPA,Win %,franchise_id,declined_penalties,hits_allowed,hurries_allowed,non_spike_pass_block,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,age,block_percent,grades_offense,grades_pass_block,grades_run_block,non_spike_pass_block_percentage,pass_block_percent,pbe,weighted_average_grade
Bengals,2022,5.954003362151777,444.12062213898525,0.124,,7.0,2.0,13.0,55.0,1369.0,14.0,85.0,17.0,2272.0,0.0,0.0,1107.0,2272.0,1465.0,1465.0,0.0,1107.0,807.0,58.0,134346.09999999998,26.09286971830986,100.0,59.131205985915486,54.15321302816902,60.42711267605633,100.0,100.0,96.26078345070422,35.274963063856106
Bengals,2023,11.316638790035586,625.5695174503364,-0.04,,7.0,2.0,17.0,69.0,1377.0,8.0,101.0,15.0,2157.0,0.0,0.0,1068.0,2157.0,1449.0,1449.0,0.0,1086.0,708.0,3.0,134202.5,25.969865554010198,100.0,62.217199814557254,62.115020862308754,55.54112192860455,100.0,100.0,95.77714418173389,0.0
Bengals,2024,9.958127642913079,545.147976258535,0.04236154557,,7.0,1.0,10.0,47.0,1119.0,15.0,66.0,9.0,1762.0,0.0,0.0,704.0,1763.0,1199.0,1200.0,0.0,1056.0,563.0,3.0,102090.4,24.74872376630743,99.9526375496313,57.907203630175836,63.34934770277936,53.220363017583665,99.90527509926262,99.90527509926262,96.60062393647192,0.0
Bills,2010,1.478658536585366,92.33790240300513,-0.19,,4.0,0.0,11.0,30.0,612.0,6.0,45.0,4.0,1016.0,0.0,8.0,950.0,1016.0,634.0,634.0,0.0,58.0,382.0,0.0,69533.6,26.090551181102363,100.0,68.43858267716536,72.67755905511812,64.34173228346457,100.0,100.0,95.93582677165355,0.0
Bills,2011,3.1012269989615784,147.49471000384085,-0.06,,4.0,1.0,11.0,43.0,1145.0,11.0,63.0,9.0,1900.0,0.0,0.0,852.0,1901.0,1217.0,1218.0,0.0,1043.0,683.0,6.0,127875.9,26.869542346133613,99.95097317201473,67.26770120988952,71.25444502893215,60.49053129931616,99.9264597580221,99.9264597580221,96.88663861125724,0.0
Bills,2012,3.9367106135986734,412.6970819643794,-0.09,,4.0,0.0,23.0,41.0,1172.0,20.0,76.0,12.0,2088.0,0.0,0.0,1011.0,2089.0,1213.0,1214.0,53.0,1011.0,875.0,14.0,141882.8,24.2077549066539,99.95217807563428,67.91900430828147,69.11144088080421,67.43106749640977,99.92029679272379,99.92029679272379,96.2731450454763,0.0
Bills,2013,3.92096359223301,308.1994310570682,0.02,,4.0,2.0,11.0,52.0,1210.0,12.0,69.0,6.0,2329.0,0.0,0.0,1161.0,2330.0,1292.0,1293.0,0.0,1161.0,1037.0,8.0,173857.2,26.99656652360515,99.95708154506438,74.61682403433477,76.521330472103,68.17489270386267,99.88566523605151,99.88566523605151,96.91064377682405,70.8226191360324
Bills,2014,5.137515037593985,564.5172410830551,0.05,,4.0,0.0,16.0,46.0,1262.0,10.0,76.0,14.0,2143.0,0.0,0.0,1058.0,2143.0,1330.0,1330.0,0.0,1061.0,813.0,23.0,146910.4,23.02706486234251,100.0,68.55361642557163,73.83798413439104,59.75762949136725,100.0,100.0,96.50718618758751,0.0
Bills,2015,2.5060748185371304,496.95914385257583,0.02,,4.0,3.0,10.0,47.0,1146.0,25.0,65.0,8.0,2232.0,0.0,0.0,1062.0,2232.0,1234.0,1234.0,0.0,1072.0,998.0,98.0,144445.6,24.006720430107528,100.0,64.715770609319,72.18131720430108,56.07002688172043,100.0,100.0,96.79256272401433,0.0
Bills,2016,6.172120177754879,14.24219053986667,0.03,,4.0,2.0,3.0,77.0,1147.0,15.0,90.0,10.0,2143.0,0.0,0.0,1007.0,2143.0,1235.0,1235.0,0.0,1037.0,908.0,96.0,148626.0,24.930004666355575,100.0,69.35417638824079,72.08651423238452,63.253149790014,100.0,100.0,95.6137190853943,0.0
Bills,2017,10.691260479041917,268.838515760789,-0.07,,4.0,4.0,7.0,56.0,1240.0,12.0,74.0,11.0,2283.0,0.0,1.0,1129.0,2283.0,1308.0,1308.0,0.0,1130.0,975.0,23.0,159663.80000000002,24.970214629872974,100.0,69.9359614542269,73.50411738939992,63.51914148050811,99.95619798510731,99.95619798510731,96.52698204117391,23.45306923294942
Bills,2018,2.1194898419864563,225.42641860546328,-0.05,,4.0,6.0,7.0,50.0,1164.0,23.0,70.0,13.0,2092.0,0.0,0.0,1054.0,2095.0,1255.0,1258.0,0.0,1032.0,837.0,4.0,132700.7,25.461575178997613,99.84835322195704,63.341622911694515,71.21112171837709,55.171169451073986,99.7472553699284,99.7472553699284,96.38028639618139,0.0
Bills,2019,4.944674282678002,441.815747564277,0.061,,4.0,5.0,7.0,53.0,1173.0,25.0,71.0,11.0,2112.0,0.0,0.0,1016.0,2113.0,1248.0,1249.0,55.0,1040.0,864.0,2.0,137391.40000000002,25.30619971604354,99.95191670610508,65.02195929957406,68.96190250828207,59.75787979176526,99.90383341221012,99.90383341221012,96.50052058684334,0.0
Bills,2020,7.944724016145308,399.7714202736877,0.134,,4.0,1.0,4.0,24.0,680.0,5.0,34.0,6.0,1160.0,7.0,0.0,1090.0,1170.0,732.0,742.0,9.0,40.0,428.0,24.0,90637.4,26.15897435897436,99.14239316239316,77.46786324786325,75.30273504273504,74.51914529914531,98.32735042735042,98.24478632478632,97.15418803418804,0.0
Bills,2021,10.58967397260274,362.707957195046,0.202,,4.0,4.0,14.0,43.0,1162.0,22.0,65.0,8.0,1979.0,0.0,0.0,1295.0,1982.0,1240.0,1243.0,0.0,625.0,739.0,61.0,136285.5,25.403632694248234,99.8433905146317,68.76160443995964,66.23077699293643,68.7108980827447,99.34818365287589,99.4760847628658,96.56074672048437,0.0
Bills,2022,5.590065321805955,269.63611410582865,0.156,,4.0,4.0,13.0,66.0,1346.0,20.0,90.0,11.0,2194.0,0.0,0.0,1074.0,2195.0,1424.0,1425.0,38.0,1079.0,770.0,4.0,137021.3,27.18223234624146,99.95658314350798,62.424282460136666,64.9903416856492,57.438359908883825,99.86760820045558,99.86760820045558,96.19699316628702,0.0
Bills,2023,6.703838523131672,309.4358203287184,0.19,,4.0,4.0,13.0,60.0,1460.0,18.0,80.0,7.0,2614.0,0.0,0.0,1306.0,2614.0,1550.0,1550.0,0.0,1304.0,1064.0,4.0,188853.2,26.934200459066563,100.0,72.2468247895945,71.07911247130833,70.0486610558531,100.0,100.0,96.97314460596786,52.06362658093624
Bills,2024,6.853278778386844,241.829410318307,0.1922816216,,4.0,3.0,10.0,37.0,1346.0,33.0,52.0,5.0,2585.0,0.0,1.0,1289.0,2585.0,1452.0,1452.0,6.0,1286.0,1133.0,2.0,188108.6,27.738878143133462,100.0,72.76928433268858,77.04920696324952,71.8594584139265,99.88394584139265,99.88394584139265,97.80344294003868,60.5963390121284
Broncos,2010,3.4029471544715455,538.9744973651519,-0.13,,10.0,4.0,6.0,47.0,1025.0,12.0,62.0,9.0,1704.0,0.0,0.0,1037.0,1704.0,1085.0,1085.0,0.0,654.0,619.0,13.0,131750.3,23.768779342723004,100.0,77.31825117370892,72.56361502347417,78.97834507042253,100.0,100.0,96.52312206572769,0.0
Broncos,2011,4.389927310488058,371.4868173090223,-0.09,,10.0,3.0,5.0,35.0,581.0,13.0,46.0,6.0,1318.0,0.0,0.0,1178.0,1340.0,622.0,644.0,1.0,24.0,696.0,137.0,87966.8,24.109701492537315,98.32999999999998,65.64686567164179,67.94776119402985,59.25186567164179,94.93768656716416,94.86216417910448,95.3915671641791,63.172576459427994
Broncos,2012,5.281405472636816,336.13517260829195,0.19,,10.0,1.0,6.0,16.0,667.0,7.0,25.0,3.0,1275.0,0.0,0.0,1236.0,1275.0,711.0,711.0,0.0,10.0,564.0,29.0,102001.8,25.054117647058824,100.0,80.00141176470588,84.43364705882352,68.15341176470588,100.0,100.0,97.83505882352942,72.54575138080496
Broncos,2013,12.249063106796115,325.56196037865186,0.21,,10.0,2.0,8.0,32.0,831.0,12.0,49.0,9.0,1433.0,0.0,0.0,1421.0,1433.0,886.0,886.0,0.0,9.0,547.0,3.0,115506.79999999999,26.914166085136078,100.0,80.60488485694347,75.5764829030007,78.65771109560363,100.0,100.0,96.5271458478716,70.90170641777493
Broncos,2014,8.793959398496241,309.5059404828799,0.18,,10.0,4.0,12.0,34.0,1026.0,17.0,52.0,6.0,1910.0,0.0,0.0,1198.0,1910.0,1102.0,1102.0,0.0,559.0,808.0,153.0,134537.4,26.940314136125654,100.0,70.43842931937172,72.02031413612565,65.38198952879581,100.0,100.0,97.20774869109947,46.60224362215686
